date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,81860,1346,1653,20830,48847,24706,8163,663,910,26052,9816,16236,20830,48847,-28017,24706,8163,16543,-247
2006-06-20,38389,1518,1246,3487,12933,14606,13651,1206,887,16124,14897,1227,3487,12933,-9446,14606,13651,955,319
2006-06-27,42822,1730,1246,4966,18149,15281,10449,1509,1913,17011,11695,5316,4966,18149,-13183,15281,10449,4832,-404
2006-07-03,46479,2344,1246,6319,21168,17090,11015,1392,1917,19434,12261,7173,6319,21168,-14849,17090,11015,6075,-525
2006-07-11,52354,1914,906,5761,27506,20895,6892,546,2724,22809,7798,15011,5761,27506,-21745,20895,6892,14003,-2178
2006-07-18,55187,1923,906,1424,36615,29627,5382,546,2915,31550,6288,25262,1424,36615,-35191,29627,5382,24245,-2369
2006-07-25,62937,1964,906,1108,43864,36059,5412,546,2728,38023,6318,31705,1108,43864,-42756,36059,5412,30647,-2182
2006-08-01,68817,1971,906,1110,53182,38784,2889,546,1507,40755,3795,36960,1110,53182,-52072,38784,2889,35895,-961
2006-08-08,66179,2163,906,627,51882,35632,2293,1402,984,37795,3199,34596,627,51882,-51255,35632,2293,33339,418
2006-08-15,73750,2169,906,527,59687,42703,3162,1087,1061,44872,4068,40804,527,59687,-59160,42703,3162,39541,26
2006-08-22,62988,1961,906,946,49951,32508,995,506,1076,34469,1901,32568,946,49951,-49005,32508,995,31513,-570
2006-08-29,64195,1247,906,1909,51806,33721,522,501,1361,34968,1428,33540,1909,51806,-49897,33721,522,33199,-860
2006-09-05,82426,1166,906,1167,65228,49600,3685,0,1462,50766,4591,46175,1167,65228,-64061,49600,3685,45915,-1462
2006-09-12,69828,1032,1257,3693,42809,29428,721,179,947,30460,1978,28482,3693,42809,-39116,29428,721,28707,-768
2006-09-19,62418,434,1826,851,44885,39661,5395,507,1836,40095,7221,32874,851,44885,-44034,39661,5395,34266,-1329
2006-09-26,57804,421,1826,916,41222,35614,3493,497,1718,36035,5319,30716,916,41222,-40306,35614,3493,32121,-1221
2006-10-03,56807,0,2321,918,34393,36950,9317,0,500,36950,11638,25312,918,34393,-33475,36950,9317,27633,-500
2006-10-10,65955,0,2412,917,41203,44942,8553,0,2270,44942,10965,33977,917,41203,-40286,44942,8553,36389,-2270
2006-10-17,74537,0,2524,1250,51552,49709,10242,687,0,49709,12766,36943,1250,51552,-50302,49709,10242,39467,687
2006-10-24,88052,0,2576,858,66558,61217,7573,775,0,61217,10149,51068,858,66558,-65700,61217,7573,53644,775
2006-10-31,108714,0,2495,1322,82179,76703,9572,1729,1832,76703,12067,64636,1322,82179,-80857,76703,9572,67131,-103
2006-11-07,124275,561,1826,1413,99437,90093,9942,2457,2576,90654,11768,78886,1413,99437,-98024,90093,9942,80151,-119
2006-11-14,105920,769,1848,1211,86844,69343,5828,2483,879,70112,7676,62436,1211,86844,-85633,69343,5828,63515,1604
2006-11-21,108935,1814,1840,1409,87365,72374,7084,1302,1289,74188,8924,65264,1409,87365,-85956,72374,7084,65290,13
2006-11-28,124776,1833,1257,1559,100176,86929,9984,866,2000,88762,11241,77521,1559,100176,-98617,86929,9984,76945,-1134
2006-12-05,130393,1590,1857,1147,106001,87404,8240,3438,4050,88994,10097,78897,1147,106001,-104854,87404,8240,79164,-612
2006-12-12,171329,1290,1482,4883,108369,91279,8630,979,3792,92569,10112,82457,4883,108369,-103486,91279,8630,82649,-2813
2006-12-19,130356,2112,4401,863,115869,94063,500,1480,2460,96175,4901,91274,863,115869,-115006,94063,500,93563,-980
2006-12-26,129194,2756,4401,1322,114751,91962,1011,2743,1693,94718,5412,89306,1322,114751,-113429,91962,1011,90951,1050
2007-01-03,132739,4431,4401,1804,115756,93560,1038,2196,2636,97991,5439,92552,1804,115756,-113952,93560,1038,92522,-440
2007-01-09,116757,4722,4405,20082,92443,59948,4693,2147,3072,64670,9098,55572,20082,92443,-72361,59948,4693,55255,-925
2007-01-16,122119,4934,5317,13771,100532,70505,1426,796,2408,75439,6743,68696,13771,100532,-86761,70505,1426,69079,-1612
2007-01-23,128157,5375,6229,7080,105421,83391,3358,1282,2638,88766,9587,79179,7080,105421,-98341,83391,3358,80033,-1356
2007-01-30,116822,4865,6472,15387,90203,65490,2346,573,2649,70355,8818,61537,15387,90203,-74816,65490,2346,63144,-2076
2007-02-06,118268,4655,6155,18168,87564,66444,7203,1567,2045,71099,13358,57741,18168,87564,-69396,66444,7203,59241,-478
2007-02-13,115763,4745,6405,14644,89372,66426,1094,1682,3199,71171,7499,63672,14644,89372,-74728,66426,1094,65332,-1517
2007-02-20,124300,4787,6405,13205,95188,73481,3851,740,2816,78268,10256,68012,13205,95188,-81983,73481,3851,69630,-2076
2007-02-27,140885,4317,6579,10683,111093,87951,4302,2169,2478,92268,10881,81387,10683,111093,-100410,87951,4302,83649,-309
2007-03-06,121693,2628,6424,41309,80615,43380,15551,4485,3067,46008,21975,24033,41309,80615,-39306,43380,15551,27829,1418
2007-03-13,132747,2978,6510,37321,86046,48778,4685,3,4106,51756,11195,40561,37321,86046,-48725,48778,4685,44093,-4103
2007-03-20,105142,2969,7673,1979,74821,68811,4962,990,4037,71780,12635,59145,1979,74821,-72842,68811,4962,63849,-3047
2007-03-27,121570,3607,7673,2201,94648,84064,2082,1897,3349,87671,9755,77916,2201,94648,-92447,84064,2082,81982,-1452
2007-04-03,123462,4915,7673,3469,94607,81760,1610,1632,4835,86675,9283,77392,3469,94607,-91138,81760,1610,80150,-3203
2007-04-10,119193,5524,8052,3352,88006,75062,1810,909,3588,80586,9862,70724,3352,88006,-84654,75062,1810,73252,-2679
2007-04-17,125608,4528,8023,3079,89635,84400,6496,485,5246,88928,14519,74409,3079,89635,-86556,84400,6496,77904,-4761
2007-04-24,125222,5045,8309,6234,90330,76414,4085,3532,6322,81459,12394,69065,6234,90330,-84096,76414,4085,72329,-2790
2007-05-01,110105,5087,8309,5788,75660,63429,5964,2913,3605,68516,14273,54243,5788,75660,-69872,63429,5964,57465,-692
2007-05-08,116752,5132,8751,6281,79491,72508,6342,1544,3506,77640,15093,62547,6281,79491,-73210,72508,6342,66166,-1962
2007-05-15,117016,5116,9367,5046,81440,75273,5757,1610,5053,80389,15124,65265,5046,81440,-76394,75273,5757,69516,-3443
2007-05-22,105510,5168,9367,11428,59256,55601,15269,1961,4429,60769,24636,36133,11428,59256,-47828,55601,15269,40332,-2468
2007-05-29,100156,5511,9367,14173,51205,49861,17667,469,3879,55372,27034,28338,14173,51205,-37032,49861,17667,32194,-3410
2007-06-05,124824,5367,9367,6688,90872,77977,3457,462,5278,83344,12824,70520,6688,90872,-84184,77977,3457,74520,-4816
2007-06-12,158832,5391,9367,9423,93000,82522,12296,489,5488,87913,21663,66250,9423,93000,-83577,82522,12296,70226,-4999
2007-06-19,116983,5276,9925,1794,83563,75095,5070,0,6063,80371,14995,65376,1794,83563,-81769,75095,5070,70025,-6063
2007-06-26,113363,5250,9884,2355,81912,69499,2318,541,4995,74749,12202,62547,2355,81912,-79557,69499,2318,67181,-4454
