date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2018-04-10,1702,122,0,0,0,902,1108,53,207,1024,1108,-84,0,0,0,902,1108,-206,-154
2018-04-17,2029,122,0,0,0,1053,1313,130,332,1175,1313,-138,0,0,0,1053,1313,-260,-202
2018-04-24,2380,105,0,0,0,1194,1682,198,336,1299,1682,-383,0,0,0,1194,1682,-488,-138
2018-05-01,1991,0,0,0,0,1198,1348,177,283,1198,1348,-150,0,0,0,1198,1348,-150,-106
2018-05-08,2485,0,0,0,0,1284,1707,391,368,1284,1707,-423,0,0,0,1284,1707,-423,23
2018-05-15,2505,0,29,0,0,1338,1657,337,366,1338,1686,-348,0,0,0,1338,1657,-319,-29
2018-05-22,2684,0,29,0,0,1323,1872,462,327,1323,1901,-578,0,0,0,1323,1872,-549,135
2018-05-29,2714,38,25,0,0,1172,1812,486,416,1210,1837,-627,0,0,0,1172,1812,-640,70
2018-06-05,2556,47,29,0,0,1126,1845,540,305,1173,1874,-701,0,0,0,1126,1845,-719,235
2018-06-12,2643,0,108,29,0,1349,1634,427,440,1349,1742,-393,29,0,29,1349,1634,-285,-13
2018-06-19,2633,52,59,29,0,1478,1414,159,590,1530,1473,57,29,0,29,1478,1414,64,-431
2018-06-26,2687,0,111,29,0,1508,1505,171,515,1508,1616,-108,29,0,29,1508,1505,3,-344
2018-07-03,2514,44,84,0,0,1198,1639,438,366,1242,1723,-481,0,0,0,1198,1639,-441,72
2018-07-10,2622,0,119,0,0,1412,1652,396,368,1412,1771,-359,0,0,0,1412,1652,-240,28
2018-07-17,2854,25,89,0,0,1469,1990,493,332,1494,2079,-585,0,0,0,1469,1990,-521,161
2018-07-24,3431,44,164,30,0,1353,2313,868,392,1397,2477,-1080,30,0,30,1353,2313,-960,476
2018-07-31,3063,0,209,0,0,1722,1969,259,340,1722,2178,-456,0,0,0,1722,1969,-247,-81
2018-08-07,2732,0,143,0,0,1481,1454,135,470,1481,1597,-116,0,0,0,1481,1454,27,-335
2018-08-14,2983,0,215,0,0,2065,1766,138,521,2065,1981,84,0,0,0,2065,1766,299,-383
2018-08-21,2981,0,191,0,0,2104,1838,85,515,2104,2029,75,0,0,0,2104,1838,266,-430
2018-08-28,2840,67,170,0,0,1688,1745,160,529,1755,1915,-160,0,0,0,1688,1745,-57,-369
2018-09-04,2707,99,140,0,0,1187,1657,576,532,1286,1797,-511,0,0,0,1187,1657,-470,44
2018-09-11,2711,0,199,0,0,1630,1322,116,727,1630,1521,109,0,0,0,1630,1322,308,-611
2018-09-18,2742,0,140,0,0,1566,1382,90,654,1566,1522,44,0,0,0,1566,1382,184,-564
2018-09-25,2746,0,131,0,1,1412,1420,213,539,1412,1551,-139,0,1,-1,1412,1420,-8,-326
2018-10-02,2354,26,125,0,40,1237,1342,327,566,1263,1467,-204,0,40,-40,1237,1342,-105,-239
2018-10-09,2848,0,121,0,76,1643,1656,395,606,1643,1777,-134,0,76,-76,1643,1656,-13,-211
2018-10-16,2730,54,108,0,76,1606,1620,302,556,1660,1728,-68,0,76,-76,1606,1620,-14,-254
2018-10-23,3001,0,161,0,76,1659,1400,211,531,1659,1561,98,0,76,-76,1659,1400,259,-320
2018-10-30,2608,0,238,0,0,1789,1511,184,451,1789,1749,40,0,0,0,1789,1511,278,-267
2018-11-06,2913,72,108,0,0,1877,1965,299,552,1949,2073,-124,0,0,0,1877,1965,-88,-253
2018-11-13,3530,0,250,31,0,2462,2353,399,619,2462,2603,-141,31,0,31,2462,2353,109,-220
2018-11-20,3729,0,166,0,0,2152,1912,315,672,2152,2078,74,0,0,0,2152,1912,240,-357
2018-11-27,3791,0,238,0,0,2416,2089,261,674,2416,2327,89,0,0,0,2416,2089,327,-413
2018-12-04,3301,34,123,0,0,2409,2317,195,465,2443,2440,3,0,0,0,2409,2317,92,-270
2018-12-11,3970,27,256,0,0,2905,2699,159,545,2932,2955,-23,0,0,0,2905,2699,206,-386
2018-12-18,4359,138,110,0,0,3091,3213,178,605,3229,3323,-94,0,0,0,3091,3213,-122,-427
2018-12-24,3857,101,140,0,0,2690,2577,160,673,2791,2717,74,0,0,0,2690,2577,113,-513
2018-12-31,3708,80,140,49,0,2452,2389,105,674,2532,2529,3,49,0,49,2452,2389,63,-569
2019-01-08,3764,165,140,0,0,2610,2648,201,602,2775,2788,-13,0,0,0,2610,2648,-38,-401
2019-01-15,4473,27,337,0,1,3417,2923,110,608,3444,3260,184,0,1,-1,3417,2923,494,-498
2019-01-22,4976,27,344,0,1,3341,2863,111,610,3368,3207,161,0,1,-1,3341,2863,478,-499
2019-01-29,4047,30,360,0,97,2760,2572,227,347,2790,2932,-142,0,97,-97,2760,2572,188,-120
2019-02-05,3881,32,291,0,97,2532,2429,245,354,2564,2720,-156,0,97,-97,2532,2429,103,-109
2019-02-12,3361,134,205,0,97,1697,2090,510,462,1831,2295,-464,0,97,-97,1697,2090,-393,48
2019-02-19,3964,170,165,0,97,1834,2259,704,761,2004,2424,-420,0,97,-97,1834,2259,-425,-57
2019-02-26,3324,54,283,0,124,1575,1885,739,624,1629,2168,-539,0,124,-124,1575,1885,-310,115
2019-03-05,3226,33,228,0,124,1347,1812,823,559,1380,2040,-660,0,124,-124,1347,1812,-465,264
2019-03-12,3480,97,195,0,124,1459,2257,751,343,1556,2452,-896,0,124,-124,1459,2257,-798,408
2019-03-19,3681,156,177,0,124,1460,2528,767,285,1616,2705,-1089,0,124,-124,1460,2528,-1068,482
2019-03-26,3428,35,241,0,124,1238,2105,687,88,1273,2346,-1073,0,124,-124,1238,2105,-867,599
2019-04-02,4000,315,89,0,158,1517,2598,598,440,1832,2687,-855,0,158,-158,1517,2598,-1081,158
2019-04-09,4443,244,80,0,158,1968,2714,634,804,2212,2794,-582,0,158,-158,1968,2714,-746,-170
2019-04-16,4324,163,201,0,158,2272,2541,532,975,2435,2742,-307,0,158,-158,2272,2541,-269,-443
2019-04-23,4313,245,132,0,158,2025,2458,501,1173,2270,2590,-320,0,158,-158,2025,2458,-433,-672
2019-04-30,3817,254,72,0,123,1789,2375,458,942,2043,2447,-404,0,123,-123,1789,2375,-586,-484
2019-05-07,4388,286,0,0,123,1941,2692,719,1216,2227,2692,-465,0,123,-123,1941,2692,-751,-497
2019-05-14,4447,199,0,0,123,2289,2455,317,1218,2488,2455,33,0,123,-123,2289,2455,-166,-901
2019-05-21,4650,223,0,0,123,2354,2498,268,1251,2577,2498,79,0,123,-123,2354,2498,-144,-983
2019-05-28,5190,319,0,0,123,2709,2763,238,1577,3028,2763,265,0,123,-123,2709,2763,-54,-1339
2019-06-04,4436,300,56,0,0,2321,2698,213,1043,2621,2754,-133,0,0,0,2321,2698,-377,-830
2019-06-11,4434,359,0,0,0,2073,3044,362,751,2432,3044,-612,0,0,0,2073,3044,-971,-389
2019-06-18,5391,354,0,0,0,2564,2911,482,1621,2918,2911,7,0,0,0,2564,2911,-347,-1139
2019-06-25,6021,310,0,0,0,3093,3246,490,1967,3403,3246,157,0,0,0,3093,3246,-153,-1477
2019-07-02,5839,188,146,36,0,3253,3326,605,1812,3441,3472,-31,36,0,36,3253,3326,-73,-1207
2019-07-09,6075,249,109,57,0,3233,3730,625,1711,3482,3839,-357,57,0,57,3233,3730,-497,-1086
2019-07-16,5322,211,151,39,0,2566,3394,506,1157,2777,3545,-768,39,0,39,2566,3394,-828,-651
2019-07-23,4928,102,111,40,0,2208,2799,682,1370,2310,2910,-600,40,0,40,2208,2799,-591,-688
2019-07-30,4302,251,147,60,0,1843,2288,533,1280,2094,2435,-341,60,0,60,1843,2288,-445,-747
2019-08-06,4692,260,224,0,0,1847,2264,713,1586,2107,2488,-381,0,0,0,1847,2264,-417,-873
2019-08-13,4729,222,224,0,50,2002,2480,647,1346,2224,2704,-480,0,50,-50,2002,2480,-478,-699
2019-08-20,4485,266,224,0,50,1836,2209,463,1350,2102,2433,-331,0,50,-50,1836,2209,-373,-887
2019-08-27,4091,237,222,0,50,1739,2093,309,1131,1976,2315,-339,0,50,-50,1739,2093,-354,-822
2019-09-03,4493,324,163,31,50,1979,2467,421,1221,2303,2630,-327,31,50,-19,1979,2467,-488,-800
2019-09-10,4128,244,190,31,50,1692,2233,480,951,1936,2423,-487,31,50,-19,1692,2233,-541,-471
2019-09-17,4174,262,201,31,50,1688,2254,521,1093,1950,2455,-505,31,50,-19,1688,2254,-566,-572
2019-09-24,4178,42,100,72,50,1651,2510,488,687,1693,2610,-917,72,50,22,1651,2510,-859,-199
2019-10-01,3348,70,31,59,0,1298,2063,374,572,1368,2094,-726,59,0,59,1298,2063,-765,-198
2019-10-08,3335,140,138,59,0,1211,2048,395,526,1351,2186,-835,59,0,59,1211,2048,-837,-131
2019-10-15,3444,210,149,59,0,1186,2031,370,511,1396,2180,-784,59,0,59,1186,2031,-845,-141
2019-10-22,3093,163,31,59,0,950,1714,321,518,1113,1745,-632,59,0,59,950,1714,-764,-197
2019-10-29,3155,260,86,33,0,956,2016,569,445,1216,2102,-886,33,0,33,956,2016,-1060,124
2019-11-05,3520,188,149,32,0,1221,2345,595,457,1409,2494,-1085,32,0,32,1221,2345,-1124,138
2019-11-12,3091,99,143,32,0,912,2043,636,358,1011,2186,-1175,32,0,32,912,2043,-1131,278
2019-11-19,3157,67,292,38,0,1059,1914,466,334,1126,2206,-1080,38,0,38,1059,1914,-855,132
2019-11-26,3554,56,298,38,0,1155,1669,334,626,1211,1967,-756,38,0,38,1155,1669,-514,-292
2019-12-03,2983,93,256,131,0,894,1257,307,638,987,1513,-526,131,0,131,894,1257,-363,-331
