date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2018-07-31,192560,33856,43526,129849,100895,1880,2221,3627,30094,-9670,28954,-341,-26467
2018-08-07,197270,34415,41350,143794,104977,935,3913,3469,30676,-6935,38817,-2978,-27207
2018-08-14,191269,38845,32242,134678,108172,647,3545,4243,32828,6603,26506,-2898,-28585
2018-08-21,172605,39942,25517,113415,95223,1350,1911,3248,33522,14425,18192,-561,-30274
2018-08-28,178367,36974,31322,114156,92656,6596,1967,3413,33491,5652,21500,4629,-30078
2018-09-04,182214,35868,34182,118977,95731,6787,1884,3653,32232,1686,23246,4903,-28579
2018-09-11,189032,35719,34111,124954,104260,6640,1750,3661,29490,1608,20694,4890,-25829
2018-09-18,201473,35457,41971,132425,106204,8354,1672,3404,28657,-6514,26221,6682,-25253
2018-09-25,209507,34874,44873,138263,108533,7768,1187,4241,29878,-9999,29730,6581,-25637
2018-10-02,171026,37089,35891,102266,88194,5561,841,4316,24060,1198,14072,4720,-19744
2018-10-09,171251,38772,28186,99194,96988,6190,821,3820,21913,10586,2206,5369,-18093
2018-10-16,154582,36924,27927,82442,88132,9797,797,3256,14866,8997,-5690,9000,-11610
2018-10-23,161083,35686,30283,83813,91484,9797,711,5270,11250,5403,-7671,9086,-5980
2018-10-30,146739,34926,41892,82325,74588,6624,1241,5320,11092,-6966,7737,5383,-5772
2018-11-06,162036,33785,55431,91083,70827,8260,1777,4620,9687,-21646,20256,6483,-5067
2018-11-13,173133,32900,60917,99941,74019,8493,1911,5694,10231,-28017,25922,6582,-4537
2018-11-20,179837,31966,69544,103446,69065,9919,1661,4949,10230,-37578,34381,8258,-5281
2018-11-27,191809,31713,74737,112393,73828,11197,1360,5166,10761,-43024,38565,9837,-5595
2018-12-04,186038,32196,71656,104488,73737,10561,1185,9533,10459,-39460,30751,9376,-926
2018-12-11,188985,31971,64971,111790,88336,10518,1302,10303,10374,-33000,23454,9216,-71
2018-12-18,180316,31589,63180,110219,80907,5585,963,8823,11308,-31591,29312,4622,-2485
2018-12-24,171650,31072,64795,106061,70773,1744,909,8212,10637,-33723,35288,835,-2425
2018-12-31,177294,31193,65396,110333,74998,2730,1166,8381,11059,-34203,35335,1564,-2678
2019-01-08,181984,31174,61824,110782,81648,4080,1410,9855,11106,-30650,29134,2670,-1251
2019-01-15,190500,31687,65462,113609,84753,6265,1614,11324,11336,-33775,28856,4651,-12
2019-01-22,183235,31510,59154,109047,81683,4361,1491,9776,12678,-27644,27364,2870,-2902
2019-01-29,187900,31476,58242,116928,88233,4255,1517,5463,9877,-26766,28695,2738,-4414
2019-02-05,191606,31675,56229,115991,92037,5224,1538,6137,9130,-24554,23954,3686,-2993
2019-02-12,176108,29842,61217,101188,77322,10717,1630,8786,10105,-31375,23866,9087,-1319
2019-02-19,178692,29377,65429,106808,75379,7698,1579,10188,11333,-36052,31429,6119,-1145
2019-02-26,174419,27200,67148,107228,69480,5186,1615,11578,12806,-39948,37748,3571,-1228
2019-03-05,188787,26141,72489,116571,72065,7081,1281,11612,15180,-46348,44506,5800,-3568
2019-03-12,191942,25566,74419,120278,68066,6922,595,7790,17923,-48853,52212,6327,-10133
2019-03-19,198835,23966,77152,127918,73579,7881,703,7690,16062,-53186,54339,7178,-8372
2019-03-26,197605,23391,75022,123417,64777,6685,1816,9883,21096,-51631,58640,4869,-11213
2019-04-02,199274,22582,71988,124131,67226,6648,2100,9683,21263,-49406,56905,4548,-11580
2019-04-09,201843,22311,71909,121444,66165,6726,2295,10511,20231,-49598,55279,4431,-9720
2019-04-16,188766,22056,69800,114509,57790,6738,2466,5111,18058,-47744,56719,4272,-12947
2019-04-23,187940,21521,73479,116525,52584,2617,2571,7660,19031,-51958,63941,46,-11371
2019-04-30,176508,20995,78295,115017,42408,2517,2412,6761,21472,-57300,72609,105,-14711
2019-05-07,182731,20513,81908,123174,43941,2708,1466,3782,21985,-61395,79233,1242,-18203
2019-05-14,193517,19765,79958,132187,57034,4357,295,3755,22059,-60193,75153,4062,-18304
2019-05-21,200432,19274,78296,135912,61988,3777,25,3774,21730,-59022,73924,3752,-17956
2019-05-28,192321,19194,76830,125179,53871,4221,348,4925,22062,-57636,71308,3873,-17137
2019-06-04,184117,18851,66993,122790,59908,4612,864,4753,22803,-48142,62882,3748,-18050
2019-06-11,164609,18040,63819,111177,52718,4852,1267,5310,21212,-45779,58459,3585,-15902
2019-06-18,153591,17243,58669,107268,50095,1622,1510,4991,20338,-41426,57173,112,-15347
2019-06-25,142188,15334,58956,102130,41790,1616,2250,3808,18725,-43622,60340,-634,-14917
2019-07-02,145027,14055,65022,108687,39279,1659,1913,3412,20396,-50967,69408,-254,-16984
2019-07-09,150046,13078,71248,113691,38517,2354,603,3909,21667,-58170,75174,1751,-17758
2019-07-16,155216,12459,74245,119757,39495,2284,609,3752,22900,-61786,80262,1675,-19148
2019-07-23,161348,11346,77095,125743,41823,3208,1804,3868,22848,-65749,83920,1404,-18980
2019-07-30,163136,10715,76592,130009,43351,3167,2507,3365,23677,-65877,86658,660,-20312
2019-08-06,165531,10071,79839,132867,43863,2824,2529,3683,21979,-69768,89004,295,-18296
2019-08-13,170868,8407,75546,139048,50573,2068,2464,2689,22553,-67139,88475,-396,-19864
2019-08-20,173255,8215,71409,138080,51460,2035,2453,2448,24337,-63194,86620,-418,-21889
2019-08-27,177610,7820,70908,141060,55028,2921,2514,2528,24767,-63088,86032,407,-22239
2019-09-03,179943,7481,74293,142994,52830,2814,2556,2380,24896,-66812,90164,258,-22516
2019-09-10,191547,7434,81629,150678,50837,3129,2639,2637,27665,-74195,99841,490,-25028
2019-09-17,208057,5962,75712,167457,69281,2656,2314,2204,29626,-69750,98176,342,-27422
2019-09-24,219456,5715,70894,175695,80306,3416,2030,1681,32053,-65179,95389,1386,-30372
2019-10-01,220875,4366,69295,178021,86632,1776,1910,3134,28528,-64929,91389,-134,-25394
2019-10-08,209867,4691,46408,166278,96886,1419,1826,4871,31422,-41717,69392,-407,-26551
2019-10-15,208086,3096,32294,169919,105276,1454,1807,3247,37407,-29198,64643,-353,-34160
2019-10-22,198823,1863,37971,158575,95055,6723,1937,2457,33567,-36108,63520,4786,-31110
2019-10-29,173007,1531,43797,141464,75617,6632,1924,2661,29928,-42266,65847,4708,-27267
2019-11-05,183413,1060,54625,151516,76680,7679,1966,2618,28344,-53565,74836,5713,-25726
2019-11-12,187970,1332,55062,156841,83062,7782,2031,2211,27575,-53730,73779,5751,-25364
2019-11-19,184118,858,51991,150637,83268,7798,1984,3640,24884,-51133,67369,5814,-21244
2019-11-26,185442,582,51427,149555,83013,7841,1963,3357,23884,-50845,66542,5878,-20527
2019-12-03,194061,533,59623,156406,79891,7695,2064,4923,27284,-59090,76515,5631,-22361
2019-12-10,199125,723,63908,157380,78733,7729,1819,2988,23792,-63185,78647,5910,-20804
