date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,155287,30813,31436,77701,95595,11285,925,6790,1317,-623,-17894,10360,5473
2006-06-20,142912,32342,27208,65733,90905,11387,447,6170,1422,5134,-25172,10940,4748
2006-06-27,140852,31871,23787,63084,90774,11275,384,5883,1498,8084,-27690,10891,4385
2006-07-03,145277,35403,13648,59803,100288,10962,546,5526,3059,21755,-40485,10416,2467
2006-07-11,174984,55805,5758,62526,126550,9980,2072,6215,5755,50047,-64024,7908,460
2006-07-18,172248,50021,4913,62269,121905,10564,2076,4370,5040,45108,-59636,8488,-670
2006-07-25,159118,39004,6084,62580,113069,12002,1551,4088,3953,32920,-50489,10451,135
2006-08-01,156689,37310,10080,64508,109027,12512,1400,3803,3003,27230,-44519,11112,800
2006-08-08,150100,39612,12416,61763,106369,11545,1313,3551,2274,27196,-44606,10232,1277
2006-08-15,141506,42001,12305,53617,99654,11436,1364,3787,2040,29696,-46037,10072,1747
2006-08-22,138472,39347,14134,54663,96475,11845,1702,3921,1815,25213,-41812,10143,2106
2006-08-29,139048,27155,20243,65272,90684,12635,1660,4452,1567,6912,-25412,10975,2885
2006-09-05,143552,27984,23097,70627,92650,12644,1585,3849,1631,4887,-22023,11059,2218
2006-09-12,148109,27562,24359,74985,94977,12197,1586,3596,1394,3203,-19992,10611,2202
2006-09-19,156761,24875,31928,85003,95576,12403,766,4083,1511,-7053,-10573,11637,2572
2006-09-26,150960,23521,22886,82792,98917,11919,766,4049,1984,635,-16125,11153,2065
2006-10-03,157869,23885,27676,84171,97623,12506,755,4481,1853,-3791,-13452,11751,2628
2006-10-10,157060,24421,30167,85585,97516,13044,756,3915,2263,-5746,-11931,12288,1652
2006-10-17,168384,24656,41326,91621,97251,14289,766,4880,2213,-16670,-5630,13523,2667
2006-10-24,173480,27816,44485,93096,97752,14225,754,4900,2704,-16669,-4656,13471,2196
2006-10-31,166240,28688,37011,85406,97356,14378,759,4386,2630,-8323,-11950,13619,1756
2006-11-07,151991,29910,29432,75012,94663,13475,825,4055,2768,478,-19651,12650,1287
2006-11-14,133286,31656,21914,63687,85720,11599,1883,2624,2779,9742,-22033,9716,-155
2006-11-21,136439,30254,24646,65728,84756,11908,1891,2759,2738,5608,-19028,10017,21
2006-11-28,139535,30465,27983,68575,85324,11657,1524,2879,3345,2482,-16749,10133,-466
2006-12-05,144167,34317,22035,66686,91646,11187,1719,3365,5263,12282,-24960,9468,-1898
2006-12-12,148243,37453,7779,64339,106284,11261,1975,3557,5532,29674,-41945,9286,-1975
2006-12-19,157500,44521,7581,63791,112660,10898,1937,3664,5875,36940,-48869,8961,-2211
2006-12-26,155390,44369,7503,63340,112354,10760,1856,3537,6070,36866,-49014,8904,-2533
2007-01-03,162595,48162,6138,62815,118785,10666,1830,4381,6673,42024,-55970,8836,-2292
2007-01-09,158797,45167,6866,64861,118579,11342,1407,3736,5111,38301,-53718,9935,-1375
2007-01-16,154572,42563,7074,64355,112820,11337,3620,4307,5516,35489,-48465,7717,-1209
2007-01-23,152872,41925,10346,63410,108766,11384,2829,4768,5794,31579,-45356,8555,-1026
2007-01-30,149852,41745,10343,61856,104318,11476,4700,5113,5996,31402,-42462,6776,-883
2007-02-06,150971,46508,8418,55530,103780,11013,5241,4367,5938,38090,-48250,5772,-1571
2007-02-13,150823,56000,7093,53184,110211,11605,5699,3268,7021,48907,-57027,5906,-3753
2007-02-20,170394,61018,10553,56285,115344,11881,6202,4098,6893,50465,-59059,5679,-2795
2007-02-27,171374,58199,8461,56321,114585,11894,7582,4774,6825,49738,-58264,4312,-2051
2007-03-06,178041,58450,7425,58502,119097,14925,9433,4718,6189,51025,-60595,5492,-1471
2007-03-13,182728,58859,9233,61595,120325,14997,9946,4520,6746,49626,-58730,5051,-2226
2007-03-20,187281,60696,7544,59671,121598,15648,9527,4172,8549,53152,-61927,6121,-4377
2007-03-27,194640,66331,8064,59319,124158,15713,9583,3930,9009,58267,-64839,6130,-5079
2007-04-03,185697,58484,6250,58728,118943,15127,9876,3703,7444,52234,-60215,5251,-3741
2007-04-10,173714,58622,6795,57572,116019,14012,9999,3748,7564,51827,-58447,4013,-3816
2007-04-17,165529,60218,6584,52335,110454,13187,9800,3352,8808,53634,-58119,3387,-5456
2007-04-24,158873,53391,6734,53730,106750,12035,11025,4265,6127,46657,-53020,1010,-1862
2007-05-01,160187,50468,5794,55041,103666,12292,12122,3455,6437,44674,-48625,170,-2982
2007-05-08,161321,50621,6528,54466,102531,13238,11873,3210,6642,44093,-48065,1365,-3432
2007-05-15,167347,52396,10652,58998,104486,13236,11455,3288,6856,41744,-45488,1781,-3568
2007-05-22,169463,53503,10487,48048,89747,13149,17761,4033,7489,43016,-41699,-4612,-3456
2007-05-29,169651,54985,10763,46308,90698,13072,17728,4670,6727,44222,-44390,-4656,-2057
2007-06-05,161221,49007,8090,48936,90785,12526,17629,4997,6459,40917,-41849,-5103,-1462
2007-06-12,153458,48024,8720,44213,83778,11969,16079,4235,6768,39304,-39565,-4110,-2533
2007-06-19,153631,52862,8444,46748,90678,12307,15419,3247,7535,44418,-43930,-3112,-4288
2007-06-26,166098,56619,8395,49047,97948,12958,15668,3861,8580,48224,-48901,-2710,-4719
2007-07-03,180839,69733,9386,47593,107430,13255,15524,3170,9019,60347,-59837,-2269,-5849
2007-07-10,183073,70688,9518,46965,110040,13151,15204,4611,7893,61170,-63075,-2053,-3282
2007-07-17,181451,70124,9406,45524,106914,13348,15242,4475,8530,60718,-61390,-1894,-4055
2007-07-24,182664,69483,9510,45327,107079,13413,14981,4372,8237,59973,-61752,-1568,-3865
2007-07-31,170943,54558,6840,47252,99021,13426,14706,4624,6610,47718,-51769,-1280,-1986
2007-08-07,153898,48348,7437,39921,84672,13753,13633,4500,6458,40911,-44751,120,-1958
2007-08-14,145705,46548,11323,38247,80793,13847,12086,5239,5796,35225,-42546,1761,-557
2007-08-21,143323,34702,5836,44837,77916,13897,12816,5475,7429,28866,-33079,1081,-1954
