date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,159563,14371,35579,52914,74352,31585,371,10402,3386,-21208,-21438,31214,7016
2006-06-20,157556,14856,36323,49622,70143,31087,298,10904,3952,-21467,-20521,30789,6952
2006-06-27,154667,15285,38951,43156,62069,31216,475,11797,4527,-23666,-18913,30741,7270
2006-07-03,157478,17219,30877,38631,66493,31419,349,11088,6510,-13658,-27862,31070,4578
2006-07-11,154188,16591,30490,37868,66449,31587,441,11717,5138,-13899,-28581,31146,6579
2006-07-18,151436,17740,32370,36446,64564,31519,418,10734,3879,-14630,-28118,31101,6855
2006-07-25,155756,17327,36403,39598,63099,32076,452,10829,3977,-19076,-23501,31624,6852
2006-08-01,153176,18761,33170,36988,64699,31517,308,10037,4588,-14409,-27711,31209,5449
2006-08-08,153905,20478,20526,32476,73540,30830,409,9547,4137,-48,-41064,30421,5410
2006-08-15,134945,16675,18338,32401,71492,30216,386,10235,4278,-1663,-39091,29830,5957
2006-08-22,133673,18650,16163,26424,67999,30647,231,9667,5412,2487,-41575,30416,4255
2006-08-29,130003,17589,17280,27076,66026,30726,170,9961,5807,309,-38950,30556,4154
2006-09-05,133046,18640,17474,26594,67615,31556,245,9536,5758,1166,-41021,31311,3778
2006-09-12,132032,16927,22455,29296,62237,31292,129,10142,6010,-5528,-32941,31163,4132
2006-09-19,138298,16063,27721,33115,60989,31140,97,10232,4660,-11658,-27874,31043,5572
2006-09-26,136541,16779,24271,30760,62668,31208,136,9682,5056,-7492,-31908,31072,4626
2006-10-03,142062,17292,24208,33716,64900,31483,237,9881,5437,-6916,-31184,31246,4444
2006-10-10,142009,16911,25180,34930,66000,31269,351,10158,5511,-8269,-31070,30918,4647
2006-10-17,139345,17071,28922,36544,64910,31350,787,9946,4093,-11851,-28366,30563,5853
2006-10-24,143758,18689,23973,35484,72519,31418,526,10313,4038,-5284,-37035,30892,6275
2006-10-31,151090,21911,19870,34432,77773,31252,791,9274,4770,2041,-43341,30461,4504
2006-11-07,165573,26033,14584,33778,85826,31433,700,10232,6004,11449,-52048,30733,4228
2006-11-14,155363,30712,9196,28353,87893,30698,409,9193,7792,21516,-59540,30289,1401
2006-11-21,155139,31748,7696,28338,87284,30861,358,8577,9251,24052,-58946,30503,-674
2006-11-28,162836,33848,7429,28388,90710,31180,312,9164,9553,26419,-62322,30868,-389
2006-12-05,171839,36233,7352,28831,94347,31829,441,9636,10649,28881,-65516,31388,-1013
2006-12-12,170384,37901,6643,30042,97821,31859,200,9665,10962,31258,-67779,31659,-1297
2006-12-19,167635,34399,7151,32057,96204,32174,168,9277,10303,27248,-64147,32006,-1026
2006-12-26,175013,35996,6472,34163,101083,32135,244,9395,10129,29524,-66920,31891,-734
2007-01-03,177345,35093,8327,35858,101713,32853,232,9940,9556,26766,-65855,32621,384
2007-01-09,171344,27679,10155,38117,95541,33003,219,9597,7638,17524,-57424,32784,1959
2007-01-16,171887,26390,9318,37212,97410,35072,318,9462,7934,17072,-60198,34754,1528
