date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,81852,6177,6569,16910,17103,29530,22311,2116,7431,-392,-193,7219,-5315
2006-06-20,79307,6204,5095,14502,17690,29512,21472,2169,6665,1109,-3188,8040,-4496
2006-06-27,75069,6137,5723,14580,18630,29751,20747,2038,6393,414,-4050,9004,-4355
2006-07-03,74597,6543,4742,14012,19216,29790,21255,1897,6373,1801,-5204,8535,-4476
2006-07-11,76417,8601,6027,13234,20867,30101,20196,1977,7091,2574,-7633,9905,-5114
2006-07-18,78028,8819,6203,13978,20852,30470,19093,1993,8295,2616,-6874,11377,-6302
2006-07-25,75062,6411,6138,13854,20013,30699,17603,2029,8174,273,-6159,13096,-6145
2006-08-01,73081,6432,6503,12204,19757,30710,16459,2250,8624,-71,-7553,14251,-6374
2006-08-08,73948,7051,7496,12939,20215,30294,16079,2373,8651,-445,-7276,14215,-6278
2006-08-15,75901,6975,8351,14326,20871,30026,14823,2348,9152,-1376,-6545,15203,-6804
2006-08-22,73677,5889,8986,14518,20218,30294,13937,2322,9149,-3097,-5700,16357,-6827
2006-08-29,70522,5979,10458,13672,19515,30434,12558,2177,9186,-4479,-5843,17876,-7009
2006-09-05,70659,7300,9847,13305,21200,30552,12387,2081,8495,-2547,-7895,18165,-6414
2006-09-12,70296,5629,8379,13742,22541,30393,11261,2294,9142,-2750,-8799,19132,-6848
2006-09-19,69561,6850,10317,14043,23541,30868,10061,2320,10155,-3467,-9498,20807,-7835
2006-09-26,69466,8477,10589,12615,20755,31135,10756,2090,9833,-2112,-8140,20379,-7743
2006-10-03,70934,8511,13664,13088,21419,31727,11227,2091,9432,-5153,-8331,20500,-7341
2006-10-10,70505,8646,14570,12186,17846,31446,10619,1930,9425,-5924,-5660,20827,-7495
2006-10-17,74270,10760,12866,11028,21415,30851,10862,2309,9221,-2106,-10387,19989,-6912
2006-10-24,76902,10107,11957,11138,21074,30956,10556,2334,10333,-1850,-9936,20400,-7999
2006-10-31,76020,9492,13837,10841,20382,31121,9988,2227,9004,-4345,-9541,21133,-6777
2006-11-07,73966,9615,15423,11224,18528,31769,10078,1792,9780,-5808,-7304,21691,-7988
2006-11-14,75570,7812,17393,12540,17000,32339,8394,2211,9898,-9581,-4460,23945,-7687
2006-11-21,75216,7368,17399,13906,16810,32998,8762,1729,10110,-10031,-2904,24236,-8381
2006-11-28,71524,7749,17721,11893,14479,33052,7820,2050,10066,-9972,-2586,25232,-8016
2006-12-05,69961,7739,16612,11640,16073,33168,7272,1745,10247,-8873,-4433,25896,-8502
2006-12-12,69269,7499,16787,11188,16315,33244,6786,1914,10531,-9288,-5127,26458,-8617
2006-12-19,70497,6073,17366,12905,16283,33731,6983,2322,10518,-11293,-3378,26748,-8196
2006-12-26,68970,4553,17510,13131,15735,33665,6189,1936,9784,-12957,-2604,27476,-7848
2007-01-03,72195,3648,16688,13633,16831,34374,6510,2145,9849,-13040,-3198,27864,-7704
2007-01-09,71944,3088,18748,14533,18802,34175,6123,3164,7539,-15660,-4269,28052,-4375
2007-01-16,70989,3134,18802,14961,16607,32873,6520,2131,7899,-15668,-1646,26353,-5768
2007-01-23,72844,2626,19174,14693,17249,33189,6256,2276,7882,-16548,-2556,26933,-5606
2007-01-30,73497,2792,19782,15347,17374,32540,6215,2509,7885,-16990,-2027,26325,-5376
2007-02-06,74215,2262,20041,16285,18110,32823,7019,2844,7793,-17779,-1825,25804,-4949
2007-02-13,73026,2979,18817,15254,17886,32462,7424,2379,8026,-15838,-2632,25038,-5647
2007-02-20,73575,2727,18591,16316,17240,32186,8516,2008,7675,-15864,-924,23670,-5667
2007-02-27,66804,3320,16354,12242,14803,32355,8637,1866,7985,-13034,-2561,23718,-6119
2007-03-06,66480,2693,16955,11425,15303,32323,8055,2340,7721,-14262,-3878,24268,-5381
2007-03-13,66097,2502,14497,11841,15978,32586,8174,1979,8573,-11995,-4137,24412,-6594
2007-03-20,72292,5664,12730,12724,19180,32316,9581,2011,10236,-7066,-6456,22735,-8225
2007-03-27,75521,6785,14873,12647,20487,32333,9794,1858,9676,-8088,-7840,22539,-7818
2007-04-03,78251,8400,13837,11557,21445,32542,10094,1486,9089,-5437,-9888,22448,-7603
2007-04-10,81586,10779,15096,11537,22695,32560,11557,1511,7283,-4317,-11158,21003,-5772
2007-04-17,82436,12409,15348,12232,22498,32360,12366,1343,7388,-2939,-10266,19994,-6045
2007-04-24,81578,12195,14773,12808,23266,31835,12593,1694,7568,-2578,-10458,19242,-5874
2007-05-01,82404,14084,15492,12173,24119,32161,12995,993,7922,-1408,-11946,19166,-6929
2007-05-08,82364,14867,16213,12633,24597,32075,13675,1026,7860,-1346,-11964,18400,-6834
