date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,1651025,217971,31383,287963,781118,373170,1174,76534,37407,186588,-493155,371996,39127
2006-06-20,1660431,188222,51725,313909,742914,370100,6244,72671,37711,136497,-429005,363856,34960
2006-06-27,1599046,192676,85370,310586,714314,369097,14955,73313,33513,107306,-403728,354142,39800
2006-07-03,1630673,215391,97802,290596,728224,373327,10016,76623,35155,117589,-437628,363311,41468
2006-07-11,1671220,227375,66799,288127,765627,381437,2136,71808,43638,160576,-477500,379301,28170
2006-07-18,1666137,224003,33658,284985,779133,392972,0,67808,46426,190345,-494148,392972,21382
2006-07-25,1703133,220761,48723,293000,774021,385520,684,79309,38599,172038,-481021,384836,40710
2006-08-01,1731018,231366,60325,283494,769550,395206,1939,70912,39033,171041,-486056,393267,31879
2006-08-08,1699740,223341,64325,280528,752304,398384,2566,72871,36769,159016,-471776,395818,36102
2006-08-15,1704444,193068,102958,334372,723013,384362,3575,80069,32098,90110,-388641,380787,47971
2006-08-22,1701840,197270,116636,339327,707231,387955,5125,64721,34523,80634,-367904,382830,30198
2006-08-29,1625725,210127,124710,298897,682005,394176,6270,63922,34043,85417,-383108,387906,29879
2006-09-05,1635746,215646,119073,279970,679567,397604,6836,67476,34815,96573,-399597,390768,32661
2006-09-12,1657493,197439,123342,303081,670827,397022,7199,61093,34726,74097,-367746,389823,26367
2006-09-19,1639081,210962,112747,289802,678403,391763,7261,57856,37638,98215,-388601,384502,20218
2006-09-26,1651672,235713,68384,277640,727527,397394,5216,56211,44983,167329,-449887,392178,11228
2006-10-03,1658557,244102,42973,280254,757111,396910,487,53423,51278,201129,-476857,396423,2145
2006-10-10,1704664,245040,31242,276831,787081,399201,126,56755,39561,213798,-510250,399075,17194
2006-10-17,1834478,262308,15053,311142,867608,409410,331,52720,37354,247255,-556466,409079,15366
2006-10-24,1905066,252275,5706,330638,905697,408110,220,74376,35573,246569,-575059,407890,38803
2006-10-31,1931056,257382,10796,357449,906595,411016,75,56758,37812,246586,-549146,410941,18946
2006-11-07,2067296,272180,8757,381353,966124,405022,67,62356,39869,263423,-584771,404955,22487
