date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,234516,26989,40500,47936,118486,73541,1975,7122,3421,-13511,-70550,71566,3701
2006-06-20,210042,26403,38085,41687,111847,72686,1509,6366,3480,-11682,-70160,71177,2886
2006-06-27,205184,24538,46795,37320,94921,75177,1889,6431,4229,-22257,-57601,73288,2202
2006-07-03,209953,24636,49806,39359,94732,75990,2043,6785,4612,-25170,-55373,73947,2173
2006-07-11,214301,24477,52204,38980,92849,77053,2252,7277,4933,-27727,-53869,74801,2344
2006-07-18,216260,24817,49206,39211,97066,76382,1978,7154,5390,-24389,-57855,74404,1764
2006-07-25,220348,24094,42980,41729,104943,76532,1493,6262,5021,-18886,-63214,75039,1241
2006-08-01,226523,25719,38767,42675,113503,76390,1251,6417,5045,-13048,-70828,75139,1372
2006-08-08,228078,26219,30561,41278,122797,77060,1392,5844,4763,-4342,-81519,75668,1081
2006-08-15,228129,25678,30909,42427,120429,76587,1459,6825,4674,-5231,-78002,75128,2151
2006-08-22,227860,26448,31782,43428,120430,75917,1464,6494,4936,-5334,-77002,74453,1558
2006-08-29,229349,26219,33050,45503,120874,75962,1546,6317,4820,-6831,-75371,74416,1497
2006-09-05,231154,25406,38826,46954,114422,76129,1593,6174,5115,-13420,-67468,74536,1059
2006-09-12,233176,25084,44189,49845,108630,75345,1972,6603,5548,-19105,-58785,73373,1055
2006-09-19,238765,23639,47064,54216,108557,74537,1658,6898,5310,-23425,-54341,72879,1588
2006-09-26,238708,24687,45772,53266,109885,74460,2183,7109,4909,-21085,-56619,72277,2200
2006-10-03,245261,23310,50362,54822,106365,75187,2348,7920,5295,-27052,-51543,72839,2625
2006-10-10,249166,22738,50996,56331,103928,74402,2839,8448,7537,-28258,-47597,71563,911
2006-10-17,254411,22490,50455,57334,108209,73935,2946,8778,5608,-27965,-50875,70989,3170
2006-10-24,253572,21288,47898,53732,108739,73975,2661,10161,6221,-26610,-55007,71314,3940
2006-10-31,257078,23895,46594,51594,112284,74625,3003,9661,4945,-22699,-60690,71622,4716
2006-11-07,258611,25204,45244,49586,113499,74365,3605,9708,4957,-20040,-63913,70760,4751
