date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,67357,2942,565,19531,26137,5706,6690,587,5016,8648,7255,1393,19531,26137,-6606,5706,6690,-984,-4429
2006-06-20,56065,2615,843,18194,39290,7869,3939,0,5177,10484,4782,5702,18194,39290,-21096,7869,3939,3930,-5177
2006-06-27,55519,2412,1238,17771,39115,7705,3244,234,5184,10117,4482,5635,17771,39115,-21344,7705,3244,4461,-4950
2006-07-03,56213,3989,1238,18073,39139,6670,2996,246,5465,10659,4234,6425,18073,39139,-21066,6670,2996,3674,-5219
2006-07-11,56915,3623,1213,18633,39833,6911,2767,0,5323,10534,3980,6554,18633,39833,-21200,6911,2767,4144,-5323
2006-07-18,58536,3476,1859,21006,42137,5858,3653,210,5020,9334,5512,3822,21006,42137,-21131,5858,3653,2205,-4810
2006-07-25,59236,3594,1208,21030,42140,6232,2812,0,4824,9826,4020,5806,21030,42140,-21110,6232,2812,3420,-4824
2006-08-01,59589,3809,944,21049,42254,6851,3126,79,5130,10660,4070,6590,21049,42254,-21205,6851,3126,3725,-5051
2006-08-08,60103,3520,962,21066,42071,7044,2936,0,5058,10564,3898,6666,21066,42071,-21005,7044,2936,4108,-5058
2006-08-15,59803,3562,1196,21063,42055,7835,3251,0,5097,11397,4447,6950,21063,42055,-20992,7835,3251,4584,-5097
2006-08-22,61177,3220,849,21371,42712,8188,3358,0,5035,11408,4207,7201,21371,42712,-21341,8188,3358,4830,-5035
2006-08-29,61818,3220,1109,21075,42644,8733,3502,0,5114,11953,4611,7342,21075,42644,-21569,8733,3502,5231,-5114
2006-09-05,63049,2625,1249,20892,42639,9890,3885,94,4926,12515,5134,7381,20892,42639,-21747,9890,3885,6005,-4832
2006-09-12,79221,2594,945,20812,42251,12598,4218,155,5460,15192,5163,10029,20812,42251,-21439,12598,4218,8380,-5305
2006-09-19,56295,2554,1893,18806,35829,9222,1421,321,8768,11776,3314,8462,18806,35829,-17023,9222,1421,7801,-8447
2006-09-26,57610,2504,1636,18428,35937,10574,1668,448,9010,13078,3304,9774,18428,35937,-17509,10574,1668,8906,-8562
2006-10-03,61756,2493,1888,19316,36708,12510,3345,0,9068,15003,5233,9770,19316,36708,-17392,12510,3345,9165,-9068
2006-10-10,63648,2438,2271,19869,37632,14611,4489,0,7964,17049,6760,10289,19869,37632,-17763,14611,4489,10122,-7964
2006-10-17,64472,2415,2710,19625,37582,15140,5515,0,7985,17555,8225,9330,19625,37582,-17957,15140,5515,9625,-7985
2006-10-24,65344,2351,2950,19549,37916,15720,5915,0,8024,18071,8865,9206,19549,37916,-18367,15720,5915,9805,-8024
2006-10-31,64747,2361,3697,19829,37741,16083,5057,514,8238,18444,8754,9690,19829,37741,-17912,16083,5057,11026,-7724
2006-11-07,65333,1996,3689,19235,37795,15876,4631,0,8046,17872,8320,9552,19235,37795,-18560,15876,4631,11245,-8046
2006-11-14,64507,2032,3707,18879,37785,16270,5049,0,7936,18302,8756,9546,18879,37785,-18906,16270,5049,11221,-7936
2006-11-21,63645,1885,3613,18335,37022,17101,5609,202,7343,18986,9222,9764,18335,37022,-18687,17101,5609,11492,-7141
2006-11-28,63829,1989,3407,18334,37153,15657,6293,202,7043,17646,9700,7946,18334,37153,-18819,15657,6293,9364,-6841
2006-12-05,67449,1869,3982,18659,37525,16312,4894,202,7093,18181,8876,9305,18659,37525,-18866,16312,4894,11418,-6891
2006-12-12,95564,1934,4024,20118,39156,17968,5714,97,7093,19902,9738,10164,20118,39156,-19038,17968,5714,12254,-6996
2006-12-19,66871,1797,2959,18790,47386,18774,2197,8097,5988,20571,5156,15415,18790,47386,-28596,18774,2197,16577,2109
2006-12-26,66441,1868,2969,18558,47484,18857,2573,8097,5988,20725,5542,15183,18558,47484,-28926,18857,2573,16284,2109
2007-01-03,65702,1784,1019,18483,47999,16132,2915,8009,5988,17916,3934,13982,18483,47999,-29516,16132,2915,13217,2021
2007-01-09,67900,1838,1029,18707,47984,15061,3714,7833,5988,16899,4743,12156,18707,47984,-29277,15061,3714,11347,1845
2007-01-16,67708,1780,1649,18617,49228,15586,2985,7790,4727,17366,4634,12732,18617,49228,-30611,15586,2985,12601,3063
2007-01-23,69303,1819,1303,20292,51573,15570,3881,7651,3788,17389,5184,12205,20292,51573,-31281,15570,3881,11689,3863
2007-01-30,70995,1821,1580,19843,52567,17094,3633,7785,3788,18915,5213,13702,19843,52567,-32724,17094,3633,13461,3997
2007-02-06,72758,1752,1555,19387,52681,19497,5609,7915,3788,21249,7164,14085,19387,52681,-33294,19497,5609,13888,4127
2007-02-13,72952,1766,1704,19525,52651,19555,5585,7830,3788,21321,7289,14032,19525,52651,-33126,19555,5585,13970,4042
2007-02-20,76047,1700,2153,20620,54645,21438,5689,8528,3888,23138,7842,15296,20620,54645,-34025,21438,5689,15749,4640
2007-02-27,75972,1863,978,20232,54870,19843,5800,8029,4288,21706,6778,14928,20232,54870,-34638,19843,5800,14043,3741
2007-03-06,74428,2532,587,20128,54750,19344,5112,8271,3688,21876,5699,16177,20128,54750,-34622,19344,5112,14232,4583
2007-03-13,80292,2552,681,20533,53818,17424,5380,8546,4400,19976,6061,13915,20533,53818,-33285,17424,5380,12044,4146
2007-03-20,40219,1989,693,17382,22669,10266,5088,2620,4638,12255,5781,6474,17382,22669,-5287,10266,5088,5178,-2018
2007-03-27,40799,1927,770,17555,22666,10905,5004,2453,4655,12832,5774,7058,17555,22666,-5111,10905,5004,5901,-2202
2007-04-03,42172,1501,1979,17516,22664,12590,5079,2537,4569,14091,7058,7033,17516,22664,-5148,12590,5079,7511,-2032
2007-04-10,42578,1871,1793,17568,22651,12477,5668,2498,4575,14348,7461,6887,17568,22651,-5083,12477,5668,6809,-2077
2007-04-17,43412,1441,2033,17292,22672,13023,5747,2421,4597,14464,7780,6684,17292,22672,-5380,13023,5747,7276,-2176
2007-04-24,44906,1345,2099,17934,23675,14387,5533,2572,4205,15732,7632,8100,17934,23675,-5741,14387,5533,8854,-1633
2007-05-01,51115,1273,2375,19320,25573,18159,5647,2467,6483,19432,8022,11410,19320,25573,-6253,18159,5647,12512,-4016
2007-05-08,50902,1210,2344,19096,23856,16393,5579,2659,6692,17603,7923,9680,19096,23856,-4760,16393,5579,10814,-4033
2007-05-15,52019,941,1502,19319,24879,17511,5841,2998,7370,18452,7343,11109,19319,24879,-5560,17511,5841,11670,-4372
2007-05-22,52367,874,1902,18895,26492,18615,6136,2183,6842,19489,8038,11451,18895,26492,-7597,18615,6136,12479,-4659
2007-05-29,54024,873,550,19371,27005,18083,6088,2478,7494,18956,6638,12318,19371,27005,-7634,18083,6088,11995,-5016
2007-06-05,56436,827,2508,19547,26994,19630,6160,2405,7199,20457,8668,11789,19547,26994,-7447,19630,6160,13470,-4794
2007-06-12,64188,1686,530,19149,26909,17902,7753,1769,6882,19588,8283,11305,19149,26909,-7760,17902,7753,10149,-5113
2007-06-19,34492,832,600,16063,7108,8546,6882,969,9810,9378,7482,1896,16063,7108,8955,8546,6882,1664,-8841
2007-06-26,34643,2032,0,15468,7200,8783,7594,815,9612,10815,7594,3221,15468,7200,8268,8783,7594,1189,-8797
2007-07-03,33861,1240,0,15236,8111,9554,6818,700,8643,10794,6818,3976,15236,8111,7125,9554,6818,2736,-7943
2007-07-10,34828,1691,0,15184,9238,9526,6390,743,8612,11217,6390,4827,15184,9238,5946,9526,6390,3136,-7869
2007-07-17,36622,483,1600,16029,8666,10536,7101,909,9379,11019,8701,2318,16029,8666,7363,10536,7101,3435,-8470
2007-07-24,35976,483,200,16601,9027,10551,8834,938,8247,11034,9034,2000,16601,9027,7574,10551,8834,1717,-7309
2007-07-31,38327,1683,0,17128,10150,9459,10597,1157,7833,11142,10597,545,17128,10150,6978,9459,10597,-1138,-6676
2007-08-07,40484,1683,0,17928,9913,10975,11086,763,7934,12658,11086,1572,17928,9913,8015,10975,11086,-111,-7171
2007-08-14,41787,2083,0,17800,9702,10647,12590,322,8166,12730,12590,140,17800,9702,8098,10647,12590,-1943,-7844
2007-08-21,40438,2083,0,17675,9781,11700,12908,241,8794,13783,12908,875,17675,9781,7894,11700,12908,-1208,-8553
2007-08-28,40448,2083,0,17700,10116,12275,12487,240,8822,14358,12487,1871,17700,10116,7584,12275,12487,-212,-8582
2007-09-04,40596,1883,0,17850,10452,12129,11865,670,9091,14012,11865,2147,17850,10452,7398,12129,11865,264,-8421
2007-09-11,44124,2062,0,17850,10602,12477,12578,669,8797,14539,12578,1961,17850,10602,7248,12477,12578,-101,-8128
2007-09-18,48973,1678,0,18126,10433,13887,11902,350,8909,15565,11902,3663,18126,10433,7693,13887,11902,1985,-8559
2007-09-25,25502,1078,0,13709,9527,5814,6335,0,3641,6892,6335,557,13709,9527,4182,5814,6335,-521,-3641
2007-10-02,28713,713,1200,15133,10947,6499,6292,0,3641,7212,7492,-280,15133,10947,4186,6499,6292,207,-3641
2007-10-09,29818,659,0,17175,11583,6339,6846,220,4629,6998,6846,152,17175,11583,5592,6339,6846,-507,-4409
2007-10-16,32279,1891,0,17315,13719,7234,8133,363,6045,9125,8133,992,17315,13719,3596,7234,8133,-899,-5682
2007-10-23,33821,1659,0,17317,13395,9371,7411,347,6095,11030,7411,3619,17317,13395,3922,9371,7411,1960,-5748
2007-10-30,35602,1914,0,18263,13898,9713,7925,400,6158,11627,7925,3702,18263,13898,4365,9713,7925,1788,-5758
2007-11-06,35760,1914,0,16109,12329,10915,8669,394,6328,12829,8669,4160,16109,12329,3780,10915,8669,2246,-5934
2007-11-13,38022,1914,0,16184,11601,10719,9034,450,6346,12633,9034,3599,16184,11601,4583,10719,9034,1685,-5896
2007-11-20,37243,2314,0,15081,11131,10346,9400,317,6295,12660,9400,3260,15081,11131,3950,10346,9400,946,-5978
2007-11-27,37719,2518,0,15821,11089,11142,9259,320,6445,13660,9259,4401,15821,11089,4732,11142,9259,1883,-6125
2007-12-04,37343,2680,0,15885,10961,11464,9087,265,6122,14144,9087,5057,15885,10961,4924,11464,9087,2377,-5857
2007-12-11,40242,3001,0,16818,11831,11887,9650,283,6229,14888,9650,5238,16818,11831,4987,11887,9650,2237,-5946
2007-12-18,45217,2050,0,17390,11648,12633,10889,245,6214,14683,10889,3794,17390,11648,5742,12633,10889,1744,-5969
2007-12-24,24976,2050,0,11975,6279,5588,7686,6,5739,7638,7686,-48,11975,6279,5696,5588,7686,-2098,-5733
2007-12-31,25428,1800,0,12189,6309,5815,8077,3,5789,7615,8077,-462,12189,6309,5880,5815,8077,-2262,-5786
2008-01-08,28534,2000,0,11858,7629,7621,8779,0,5789,9621,8779,842,11858,7629,4229,7621,8779,-1158,-5789
2008-01-15,30321,2004,0,11967,7989,8522,8839,1,5737,10526,8839,1687,11967,7989,3978,8522,8839,-317,-5736
2008-01-22,30464,1602,0,11485,7642,8992,9128,7,5437,10594,9128,1466,11485,7642,3843,8992,9128,-136,-5430
2008-01-29,30879,1400,0,11619,10405,11296,7974,1,4620,12696,7974,4722,11619,10405,1214,11296,7974,3322,-4619
2008-02-05,31780,1800,0,11211,9870,12291,7921,253,4570,14091,7921,6170,11211,9870,1341,12291,7921,4370,-4317
2008-02-12,34928,1800,0,11465,11670,13487,8750,1103,3891,15287,8750,6537,11465,11670,-205,13487,8750,4737,-2788
2008-02-19,33982,1800,0,11390,11001,13306,8946,1102,3841,15106,8946,6160,11390,11001,389,13306,8946,4360,-2739
2008-02-26,35201,2200,0,11434,10526,14287,10746,1102,3941,16487,10746,5741,11434,10526,908,14287,10746,3541,-2839
2008-03-04,37253,2200,0,12055,10965,14567,11697,1102,3781,16767,11697,5070,12055,10965,1090,14567,11697,2870,-2679
2008-03-11,38317,2000,0,12090,10888,15367,12811,1102,3356,17367,12811,4556,12090,10888,1202,15367,12811,2556,-2254
2008-03-18,47131,2000,0,12160,11046,15842,12837,1102,3245,17842,12837,5005,12160,11046,1114,15842,12837,3005,-2143
2008-03-25,25105,2000,0,6207,10890,6188,5625,6208,3392,8188,5625,2563,6207,10890,-4683,6188,5625,563,2816
2008-04-01,28991,2000,0,7743,11556,7623,7311,6196,3551,9623,7311,2312,7743,11556,-3813,7623,7311,312,2645
2008-04-08,33100,2000,0,8631,12377,7830,8126,5600,3591,9830,8126,1704,8631,12377,-3746,7830,8126,-296,2009
2008-04-15,30215,2000,0,9313,12096,7876,9095,5103,3447,9876,9095,781,9313,12096,-2783,7876,9095,-1219,1656
2008-04-22,30114,1800,0,8703,11329,9109,9217,4365,3243,10909,9217,1692,8703,11329,-2626,9109,9217,-108,1122
2008-04-29,30760,2200,0,9363,11329,9754,10126,3768,3219,11954,10126,1828,9363,11329,-1966,9754,10126,-372,549
2008-05-06,31480,2400,0,9397,11337,10329,10442,3768,3244,12729,10442,2287,9397,11337,-1940,10329,10442,-113,524
2008-05-13,33123,2200,0,8781,11836,11626,10627,3768,3485,13826,10627,3199,8781,11836,-3055,11626,10627,999,283
2008-05-20,32811,2400,0,9422,11086,10552,10995,3768,3486,12952,10995,1957,9422,11086,-1664,10552,10995,-443,282
2008-05-27,32235,2000,0,9277,11088,10946,10841,3768,3435,12946,10841,2105,9277,11088,-1811,10946,10841,105,333
2008-06-03,32685,2000,0,8636,8810,10368,11332,3768,3423,12368,11332,1036,8636,8810,-174,10368,11332,-964,345
2008-06-10,34400,2513,246,8772,8159,9520,12691,3768,3430,12033,12937,-904,8772,8159,613,9520,12691,-3171,338
2008-06-17,51717,2713,0,8759,8328,10579,13326,3768,3728,13292,13326,-34,8759,8328,431,10579,13326,-2747,40
2008-06-24,25756,3013,0,10570,3134,6124,9019,0,6068,9137,9019,118,10570,3134,7436,6124,9019,-2895,-6068
2008-07-01,28461,3013,0,10528,4319,8379,9440,0,6054,11392,9440,1952,10528,4319,6209,8379,9440,-1061,-6054
2008-07-08,30498,2213,0,11018,4770,10088,10077,0,6547,12301,10077,2224,11018,4770,6248,10088,10077,11,-6547
2008-07-15,33437,2161,0,11715,6210,10549,10008,0,6684,12710,10008,2702,11715,6210,5505,10549,10008,541,-6684
2008-07-22,32414,2161,0,9270,6081,14330,9416,15,6603,16491,9416,7075,9270,6081,3189,14330,9416,4914,-6588
2008-07-29,32739,2098,0,9181,6109,15004,9362,13,6696,17102,9362,7740,9181,6109,3072,15004,9362,5642,-6683
2008-08-05,33251,2081,0,9181,6090,15821,9412,3,6458,17902,9412,8490,9181,6090,3091,15821,9412,6409,-6455
2008-08-12,35833,2081,0,10168,8781,17258,9478,3,6558,19339,9478,9861,10168,8781,1387,17258,9478,7780,-6555
2008-08-19,36045,2081,0,12281,6977,14725,10512,0,7321,16806,10512,6294,12281,6977,5304,14725,10512,4213,-7321
2008-08-26,37295,1600,0,12236,6726,14610,11170,473,6469,16210,11170,5040,12236,6726,5510,14610,11170,3440,-5996
2008-09-02,36909,1600,0,12346,7167,14595,10162,473,6584,16195,10162,6033,12346,7167,5179,14595,10162,4433,-6111
2008-09-09,41228,1200,0,13252,4485,15178,10764,473,6597,16378,10764,5614,13252,4485,8767,15178,10764,4414,-6124
2008-09-16,62342,1000,0,14512,7640,19351,13570,473,6854,20351,13570,6781,14512,7640,6872,19351,13570,5781,-6381
2008-09-23,24484,600,0,9399,7650,7556,2373,2015,4377,8156,2373,5783,9399,7650,1749,7556,2373,5183,-2362
2008-09-30,26258,200,0,8989,7025,8660,3654,2011,4327,8860,3654,5206,8989,7025,1964,8660,3654,5006,-2316
2008-10-07,27968,200,0,9418,6796,8927,5665,2011,4252,9127,5665,3462,9418,6796,2622,8927,5665,3262,-2241
2008-10-14,29582,0,0,10468,7572,9654,4766,2011,4252,9654,4766,4888,10468,7572,2896,9654,4766,4888,-2241
2008-10-21,27817,200,0,9712,8345,10257,3853,2211,4052,10457,3853,6604,9712,8345,1367,10257,3853,6404,-1841
2008-10-28,30107,200,0,11456,9341,9725,5149,2211,2432,9925,5149,4776,11456,9341,2115,9725,5149,4576,-221
2008-11-04,28303,200,0,8987,9419,11216,4422,2011,2482,11416,4422,6994,8987,9419,-432,11216,4422,6794,-471
2008-11-11,27849,200,0,9007,8840,10865,5526,2011,2132,11065,5526,5539,9007,8840,167,10865,5526,5339,-121
2008-11-18,27799,200,0,9025,9020,10914,5398,2011,1957,11114,5398,5716,9025,9020,5,10914,5398,5516,54
2008-11-25,30783,200,0,9617,9784,10938,7199,3710,1462,11138,7199,3939,9617,9784,-167,10938,7199,3739,2248
2008-12-02,33789,200,0,11232,11451,11324,7375,3710,1462,11524,7375,4149,11232,11451,-219,11324,7375,3949,2248
2008-12-09,33133,200,0,11810,11503,10889,7367,3710,1462,11089,7367,3722,11810,11503,307,10889,7367,3522,2248
2008-12-16,37653,200,0,11929,11926,11263,7500,3710,1462,11463,7500,3963,11929,11926,3,11263,7500,3763,2248
2008-12-22,9537,400,0,3308,1757,2919,4363,0,0,3319,4363,-1044,3308,1757,1551,2919,4363,-1444,0
2008-12-30,9955,400,0,3308,2255,2823,4279,10,0,3223,4279,-1056,3308,2255,1053,2823,4279,-1456,10
2009-01-06,10432,400,0,5251,1885,2688,3797,17,0,3088,3797,-709,5251,1885,3366,2688,3797,-1109,17
2009-01-13,12583,400,0,5230,4870,3281,3815,0,0,3681,3815,-134,5230,4870,360,3281,3815,-534,0
2009-01-20,16982,400,0,9351,9337,3300,3996,0,243,3700,3996,-296,9351,9337,14,3300,3996,-696,-243
2009-01-27,17271,400,0,9394,9337,4210,4329,0,255,4610,4329,281,9394,9337,57,4210,4329,-119,-255
2009-02-03,19014,200,0,10314,10729,4301,4491,0,240,4501,4491,10,10314,10729,-415,4301,4491,-190,-240
2009-02-10,21391,200,0,13441,13124,3425,4606,0,0,3625,4606,-981,13441,13124,317,3425,4606,-1181,0
2009-02-17,22898,200,0,13480,13624,4120,5277,0,0,4320,5277,-957,13480,13624,-144,4120,5277,-1157,0
2009-02-24,25211,200,0,13958,15124,5125,4727,35,0,5325,4727,598,13958,15124,-1166,5125,4727,398,35
2009-03-03,26287,200,0,14458,16124,5289,5295,32,0,5489,5295,194,14458,16124,-1666,5289,5295,-6,32
