date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,226641,22352,17391,34944,110033,47535,7570,6523,2561,69887,24961,44926,34944,110033,-75089,47535,7570,39965,3962
2006-06-20,156363,21190,14822,15888,74780,35719,12877,7396,1531,56909,27699,29210,15888,74780,-58892,35719,12877,22842,5865
2006-06-27,175206,20435,14770,16392,86793,49147,11270,6296,3008,69582,26040,43542,16392,86793,-70401,49147,11270,37877,3288
2006-07-03,193017,18375,14517,15241,96729,62455,11419,6018,2182,80830,25936,54894,15241,96729,-81488,62455,11419,51036,3836
2006-07-11,192637,18281,13091,13037,108341,67082,10531,6211,3031,85363,23622,61741,13037,108341,-95304,67082,10531,56551,3180
2006-07-18,179294,22961,11973,10081,86189,48561,10085,7289,2437,71522,22058,49464,10081,86189,-76108,48561,10085,38476,4852
2006-07-25,172685,23021,11973,12672,79376,44826,13073,7014,3414,67847,25046,42801,12672,79376,-66704,44826,13073,31753,3600
2006-08-01,187609,18412,11964,15301,99895,58063,8152,7306,2337,76475,20116,56359,15301,99895,-84594,58063,8152,49911,4969
2006-08-08,204673,17314,12104,17554,124168,72929,6681,7767,1521,90243,18785,71458,17554,124168,-106614,72929,6681,66248,6246
2006-08-15,204849,18403,11443,16201,123058,71486,6329,8403,1098,89889,17772,72117,16201,123058,-106857,71486,6329,65157,7305
2006-08-22,203046,16004,12589,14275,116056,67107,6602,8905,1106,83111,19191,63920,14275,116056,-101781,67107,6602,60505,7799
2006-08-29,197787,16596,12312,17787,107036,61824,7439,7335,1064,78420,19751,58669,17787,107036,-89249,61824,7439,54385,6271
2006-09-05,198470,17115,10746,17573,108029,58712,8431,7606,2533,75827,19177,56650,17573,108029,-90456,58712,8431,50281,5073
2006-09-12,185640,18623,10035,13368,94124,61071,11146,5203,1167,79694,21181,58513,13368,94124,-80756,61071,11146,49925,4036
2006-09-19,150897,19127,9552,9678,69959,46668,13156,5641,2194,65795,22708,43087,9678,69959,-60281,46668,13156,33512,3447
2006-09-26,159111,19953,7662,11333,82052,43132,11783,7274,1049,63085,19445,43640,11333,82052,-70719,43132,11783,31349,6225
2006-10-03,163759,19907,6666,10250,82680,49740,12186,7040,1587,69647,18852,50795,10250,82680,-72430,49740,12186,37554,5453
2006-10-10,172274,21592,5602,17800,68659,41585,28543,9802,2783,63177,34145,29032,17800,68659,-50859,41585,28543,13042,7019
2006-10-17,178241,23125,4641,25379,65482,41202,33775,7496,2408,64327,38416,25911,25379,65482,-40103,41202,33775,7427,5088
2006-10-24,182181,24035,5216,30979,64891,40710,36230,7856,2527,64745,41446,23299,30979,64891,-33912,40710,36230,4480,5329
2006-10-31,187326,23419,4294,13118,93609,55449,13694,6214,3097,78868,17988,60880,13118,93609,-80491,55449,13694,41755,3117
2006-11-07,199717,21998,4290,15927,113184,68124,12817,5662,5178,90122,17107,73015,15927,113184,-97257,68124,12817,55307,484
2006-11-14,195647,21620,4012,19851,108468,55709,9242,5369,3474,77329,13254,64075,19851,108468,-88617,55709,9242,46467,1895
2006-11-21,204445,21390,3721,26018,118223,57088,8019,5518,3831,78478,11740,66738,26018,118223,-92205,57088,8019,49069,1687
2006-11-28,257426,23573,2212,29519,128309,67644,12726,9146,1916,91217,14938,76279,29519,128309,-98790,67644,12726,54918,7230
2006-12-05,283216,21673,4980,33770,140964,76002,13715,6399,3868,97675,18695,78980,33770,140964,-107194,76002,13715,62287,2531
2006-12-12,264790,20010,6836,27520,148970,82207,8248,7181,3227,102217,15084,87133,27520,148970,-121450,82207,8248,73959,3954
2006-12-19,226594,20810,10182,21614,139165,77743,8739,8187,2230,98553,18921,79632,21614,139165,-117551,77743,8739,69004,5957
2006-12-26,216185,21462,9224,20973,134699,69865,10589,7088,1289,91327,19813,71514,20973,134699,-113726,69865,10589,59276,5799
2007-01-03,221982,22775,9404,24975,126789,63179,11375,8130,3738,85954,20779,65175,24975,126789,-101814,63179,11375,51804,4392
2007-01-09,205308,23645,7911,28833,126520,56195,10100,7917,2524,79840,18011,61829,28833,126520,-97687,56195,10100,46095,5393
2007-01-16,190188,23981,7387,26488,99083,33071,9359,9365,2297,57052,16746,40306,26488,99083,-72595,33071,9359,23712,7068
2007-01-23,197434,24821,9511,30977,101635,39722,10343,10008,3904,64543,19854,44689,30977,101635,-70658,39722,10343,29379,6104
2007-01-30,203153,24191,9981,35433,104382,45649,13246,7538,1560,69840,23227,46613,35433,104382,-68949,45649,13246,32403,5978
2007-02-06,213125,22872,10980,54354,107961,35038,18295,6863,2321,57910,29275,28635,54354,107961,-53607,35038,18295,16743,4542
2007-02-13,211628,22353,12197,31221,120780,62251,12858,8919,1058,84604,25055,59549,31221,120780,-89559,62251,12858,49393,7861
2007-02-20,230785,23641,12551,31780,140018,70934,7787,12040,1711,94575,20338,74237,31780,140018,-108238,70934,7787,63147,10329
2007-02-27,255552,22898,13315,34284,151440,79655,9255,12152,2383,102553,22570,79983,34284,151440,-117156,79655,9255,70400,9769
2007-03-06,232143,21485,14467,39162,135662,63378,7604,8191,2028,84863,22071,62792,39162,135662,-96500,63378,7604,55774,6163
2007-03-13,239563,22021,13963,32692,131744,70926,7961,6537,5533,92947,21924,71023,32692,131744,-99052,70926,7961,62965,1004
2007-03-20,212660,21194,16151,18476,120734,71563,6400,7735,3370,92757,22551,70206,18476,120734,-102258,71563,6400,65163,4365
2007-03-27,225554,21153,15124,17521,119876,79073,10618,9245,5288,100226,25742,74484,17521,119876,-102355,79073,10618,68455,3957
2007-04-03,231632,21593,14754,15189,129953,82657,7497,8073,4164,104250,22251,81999,15189,129953,-114764,82657,7497,75160,3909
2007-04-10,238898,23575,17051,14566,136630,93437,8831,9095,3213,117012,25882,91130,14566,136630,-122064,93437,8831,84606,5882
2007-04-17,251975,24442,17336,15209,138430,91103,11167,11651,3043,115545,28503,87042,15209,138430,-123221,91103,11167,79936,8608
2007-04-24,270865,26036,17990,14390,139771,100648,15808,11183,4235,126684,33798,92886,14390,139771,-125381,100648,15808,84840,6948
2007-05-01,278271,28879,19353,14004,141608,97458,12662,12276,4873,126337,32015,94322,14004,141608,-127604,97458,12662,84796,7403
2007-05-08,256528,29016,19508,15800,132369,93502,15788,9424,4477,122518,35296,87222,15800,132369,-116569,93502,15788,77714,4947
2007-05-15,272350,28747,20355,16575,141217,109565,18671,9683,5101,138312,39026,99286,16575,141217,-124642,109565,18671,90894,4582
2007-05-22,255858,29970,20165,25599,120053,87546,22513,8174,4528,117516,42678,74838,25599,120053,-94454,87546,22513,65033,3646
