date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,129086,8405,2994,17866,65836,45130,14314,498,804,53535,17308,36227,17866,65836,-47970,45130,14314,30816,-306
2006-06-20,81751,8834,2872,4617,54137,41245,8770,0,0,50079,11642,38437,4617,54137,-49520,41245,8770,32475,0
2006-06-27,81757,8544,2794,11462,43383,29771,13526,1187,0,38315,16320,21995,11462,43383,-31921,29771,13526,16245,1187
2006-07-03,81952,8113,2931,9279,45297,32811,12138,1140,0,40924,15069,25855,9279,45297,-36018,32811,12138,20673,1140
2006-07-11,87887,8279,2089,11034,49713,35668,15732,136,0,43947,17821,26126,11034,49713,-38679,35668,15732,19936,136
2006-07-18,90448,8455,2265,11950,51488,37261,12966,593,950,45716,15231,30485,11950,51488,-39538,37261,12966,24295,-357
2006-07-25,104319,8759,2319,16006,63308,47398,16661,0,592,56157,18980,37177,16006,63308,-47302,47398,16661,30737,-592
2006-08-01,116684,8067,2306,14156,73348,56674,17164,0,825,64741,19470,45271,14156,73348,-59192,56674,17164,39510,-825
2006-08-08,131051,7872,2032,16334,91643,66199,12281,975,0,74071,14313,59758,16334,91643,-75309,66199,12281,53918,975
2006-08-15,138760,7740,1990,14815,99754,74157,13372,471,512,81897,15362,66535,14815,99754,-84939,74157,13372,60785,-41
2006-08-22,130831,8036,1935,17779,92142,66613,13465,457,0,74649,15400,59249,17779,92142,-74363,66613,13465,53148,457
2006-08-29,133812,8312,1974,16900,95014,68229,13081,1063,0,76541,15055,61486,16900,95014,-78114,68229,13081,55148,1063
2006-09-05,135129,8588,1878,19266,94329,67749,12800,1569,355,76337,14678,61659,19266,94329,-75063,67749,12800,54949,1214
2006-09-12,130099,8025,2841,20765,68941,50920,15829,1133,262,58945,18670,40275,20765,68941,-48176,50920,15829,35091,871
2006-09-19,106904,6395,2847,10645,69866,59860,15595,948,267,66255,18442,47813,10645,69866,-59221,59860,15595,44265,681
2006-09-26,125243,6071,3044,9311,82915,74678,18306,980,1432,80749,21350,59399,9311,82915,-73604,74678,18306,56372,-452
2006-10-03,108041,5538,2987,9280,65393,62630,17646,939,1106,68168,20633,47535,9280,65393,-56113,62630,17646,44984,-167
2006-10-10,104601,5225,2992,19601,56564,46079,21665,985,0,51304,24657,26647,19601,56564,-36963,46079,21665,24414,985
2006-10-17,111292,6843,2989,18914,60926,54543,23332,967,1,61386,26321,35065,18914,60926,-42012,54543,23332,31211,966
2006-10-24,104601,7935,2076,12793,63105,53394,17437,1550,3,61329,19513,41816,12793,63105,-50312,53394,17437,35957,1547
2006-10-31,130470,7775,2105,10073,84647,76763,16433,982,406,84538,18538,66000,10073,84647,-74574,76763,16433,60330,576
2006-11-07,155328,7124,2085,10243,110068,100272,17933,1419,1275,107396,20018,87378,10243,110068,-99825,100272,17933,82339,144
2006-11-14,140304,6918,2539,9858,100661,82610,14385,2570,296,89528,16924,72604,9858,100661,-90803,82610,14385,68225,2274
2006-11-21,144658,6751,2072,9372,100229,87498,17653,1440,1423,94249,19725,74524,9372,100229,-90857,87498,17653,69845,17
2006-11-28,160710,5520,1530,9372,114430,99849,12511,1005,1058,105369,14041,91328,9372,114430,-105058,99849,12511,87338,-53
2006-12-05,159301,5281,1526,9331,108021,94009,13643,1028,2703,99290,15169,84121,9331,108021,-98690,94009,13643,80366,-1675
2006-12-12,186252,3499,2491,10336,116820,103077,15058,1050,2264,106576,17549,89027,10336,116820,-106484,103077,15058,88019,-1214
2006-12-19,154538,4275,5808,10444,113803,99176,10562,1660,2438,103451,16370,87081,10444,113803,-103359,99176,10562,88614,-778
2006-12-26,145282,4804,6158,10867,105660,87220,10488,2080,2472,92024,16646,75378,10867,105660,-94793,87220,10488,76732,-392
2007-01-03,142587,4038,6960,15221,96362,78980,11331,1034,2467,83018,18291,64727,15221,96362,-81141,78980,11331,67649,-1433
2007-01-09,136490,3732,8144,18517,89866,69683,10268,3559,2065,73415,18412,55003,18517,89866,-71349,69683,10268,59415,1494
2007-01-16,155935,3222,9903,12236,104284,93691,10741,2233,2803,96913,20644,76269,12236,104284,-92048,93691,10741,82950,-570
2007-01-23,170756,3561,13206,11270,115989,107465,10476,2318,2237,111026,23682,87344,11270,115989,-104719,107465,10476,96989,81
2007-01-30,153465,3610,14208,18436,94106,85946,11552,1023,2800,89556,25760,63796,18436,94106,-75670,85946,11552,74394,-1777
2007-02-06,169922,2638,14799,16313,107258,105316,13123,514,3532,107954,27922,80032,16313,107258,-90945,105316,13123,92193,-3018
2007-02-13,155967,2770,14990,49081,87099,57882,17342,1834,3607,60652,32332,28320,49081,87099,-38018,57882,17342,40540,-1773
2007-02-20,153729,2842,15279,42310,89174,65384,12962,491,4169,68226,28241,39985,42310,89174,-46864,65384,12962,52422,-3678
2007-02-27,167884,2845,16542,30353,94734,82012,15964,2555,5153,84857,32506,52351,30353,94734,-64381,82012,15964,66048,-2598
2007-03-06,161846,1177,14876,59780,80011,49361,23429,4994,5359,50538,38305,12233,59780,80011,-20231,49361,23429,25932,-365
2007-03-13,166863,2178,14911,74935,78582,37273,26237,3469,5533,39451,41148,-1697,74935,78582,-3647,37273,26237,11036,-2064
2007-03-20,119495,1486,16004,13120,53250,65463,14671,2457,5098,66949,30675,36274,13120,53250,-40130,65463,14671,50792,-2641
2007-03-27,121322,2331,15967,13851,56370,61227,15881,1626,3176,63558,31848,31710,13851,56370,-42519,61227,15881,45346,-1550
2007-04-03,134113,2210,15967,13501,63800,71867,14358,461,3196,74077,30325,43752,13501,63800,-50299,71867,14358,57509,-2735
2007-04-10,128016,1864,16945,16359,55972,68349,20421,1291,1317,70213,37366,32847,16359,55972,-39613,68349,20421,47928,-26
2007-04-17,146258,1845,20340,14080,63091,81142,17190,482,2938,82987,37530,45457,14080,63091,-49011,81142,17190,63952,-2456
2007-04-24,159463,2357,21885,11862,75175,95306,17934,7,3708,97663,39819,57844,11862,75175,-63313,95306,17934,77372,-3701
2007-05-01,156292,1743,24341,11164,66199,88421,18916,2138,4486,90164,43257,46907,11164,66199,-55035,88421,18916,69505,-2348
2007-05-08,142835,1787,22457,12143,63823,77240,16653,2692,4103,79027,39110,39917,12143,63823,-51680,77240,16653,60587,-1411
2007-05-15,136164,1800,23162,27161,52044,63005,21109,1004,4394,64805,44271,20534,27161,52044,-24883,63005,21109,41896,-3390
2007-05-22,133081,1689,23056,23347,52166,57553,17500,2504,3309,59242,40556,18686,23347,52166,-28819,57553,17500,40053,-805
2007-05-29,141272,2192,21020,14170,62142,72788,16157,4283,6460,74980,37177,37803,14170,62142,-47972,72788,16157,56631,-2177
2007-06-05,154765,1548,22004,12899,71184,85060,15631,3988,7043,86608,37635,48973,12899,71184,-58285,85060,15631,69429,-3055
2007-06-12,141200,1929,19770,19073,51886,60525,11947,3017,6206,62454,31717,30737,19073,51886,-32813,60525,11947,48578,-3189
2007-06-19,141755,1879,21016,9184,74404,90338,11029,3770,6980,92217,32045,60172,9184,74404,-65220,90338,11029,79309,-3210
2007-06-26,169481,1558,21919,7827,105447,117123,6287,1260,5237,118681,28206,90475,7827,105447,-97620,117123,6287,110836,-3977
2007-07-03,175644,999,21516,6667,102942,119751,5533,2661,5658,120750,27049,93701,6667,102942,-96275,119751,5533,114218,-2997
2007-07-10,164975,1514,21232,8475,96500,106759,5025,2983,5648,108273,26257,82016,8475,96500,-88025,106759,5025,101734,-2665
2007-07-17,184087,2112,21840,8631,112798,125183,5807,2052,5796,127295,27647,99648,8631,112798,-104167,125183,5807,119376,-3744
2007-07-24,175374,1212,21984,9409,95843,107550,5734,3012,6634,108762,27718,81044,9409,95843,-86434,107550,5734,101816,-3622
2007-07-31,144567,1028,21896,9969,68455,81079,6814,2275,5622,82107,28710,53397,9969,68455,-58486,81079,6814,74265,-3347
2007-08-07,135487,2606,21565,19792,66641,67866,6825,3227,4668,70472,28390,42082,19792,66641,-46849,67866,6825,61041,-1441
2007-08-14,131600,1055,22111,30257,65359,55217,5466,2171,4613,56272,27577,28695,30257,65359,-35102,55217,5466,49751,-2442
2007-08-21,130155,1864,19291,44979,63110,42393,8781,0,4039,44257,28072,16185,44979,63110,-18131,42393,8781,33612,-4039
2007-08-28,135845,1539,19498,47525,65963,48295,11781,594,4965,49834,31279,18555,47525,65963,-18438,48295,11781,36514,-4371
2007-09-04,138637,2121,19691,45983,70778,49990,8432,0,4099,52111,28123,23988,45983,70778,-24795,49990,8432,41558,-4099
2007-09-11,150312,2215,19658,36989,77497,61087,6363,775,4082,63302,26021,37281,36989,77497,-40508,61087,6363,54724,-3307
2007-09-18,87203,2308,18059,16884,26672,36022,12086,887,5183,38330,30145,8185,16884,26672,-9788,36022,12086,23936,-4296
