date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,382474,103211,30916,42587,128892,19370,66611,33230,10656,72295,-86305,-47241,22574
2006-06-20,390281,94632,30963,47440,126992,22404,64682,32947,11142,63669,-79552,-42278,21805
2006-06-27,384321,91042,32287,48449,121890,22425,62640,31307,11386,58755,-73441,-40215,19921
2006-07-03,392868,92545,30452,48087,122568,22720,69714,32874,8677,62093,-74481,-46994,24197
2006-07-11,427008,104213,27624,54509,130618,21840,79217,33165,11194,76589,-76109,-57377,21971
2006-07-18,443519,107413,24296,49863,131166,21681,83183,31760,9442,83117,-81303,-61502,22318
2006-07-25,432413,99087,22386,52859,133290,22956,85604,29740,6244,76701,-80431,-62648,23496
2006-08-01,394609,99330,24391,45161,135988,21250,73244,32195,4758,74939,-90827,-51994,27437
2006-08-08,402899,104600,24271,46203,142240,20703,72061,33123,6489,80329,-96037,-51358,26634
2006-08-15,402702,96966,24602,46986,139790,20326,66040,33047,5839,72364,-92804,-45714,27208
2006-08-22,393425,90079,25742,48070,138621,22442,62922,36185,6335,64337,-90551,-40480,29850
2006-08-29,390836,83122,31194,51201,136807,27971,59944,37506,5376,51928,-85606,-31973,32130
2006-09-05,420442,90955,27781,54238,144515,23579,67114,38744,5960,63174,-90277,-43535,32784
2006-09-12,403755,78251,31200,53732,133417,33464,59988,35724,6633,47051,-79685,-26524,29091
2006-09-19,430959,71695,29518,61312,135599,36876,59838,34606,7391,42177,-74287,-22962,27215
2006-09-26,406994,70524,32558,63370,131160,33963,59958,32245,3913,37966,-67790,-25995,28332
2006-10-03,413818,67587,33259,66104,131341,35907,60203,34112,4380,34328,-65237,-24296,29732
2006-10-10,430807,63659,38639,72256,133538,38669,56417,35107,4364,25020,-61282,-17748,30743
2006-10-17,426984,67141,40387,71558,131844,33807,56992,35555,4015,26754,-60286,-23185,31540
2006-10-24,430766,56144,40439,75101,131931,29711,53996,42341,4550,15705,-56830,-24285,37791
2006-10-31,427979,62544,36234,67289,129457,28865,59193,38742,3509,26310,-62168,-30328,35233
2006-11-07,455640,79413,30100,69676,146344,24643,64715,36424,6370,49313,-76668,-40072,30054
2006-11-14,476072,81805,27808,75827,158575,23369,66754,40068,6318,53997,-82748,-43385,33750
2006-11-21,474432,79463,27921,71887,153358,24292,64583,37885,6093,51542,-81471,-40291,31792
2006-11-28,423676,77611,29840,62564,141730,22103,66127,41021,7103,47771,-79166,-44024,33918
2006-12-05,415169,83017,28109,56787,138379,22467,66259,37523,7141,54908,-81592,-43792,30382
2006-12-12,411990,80167,28486,56527,138696,27470,64889,37573,7306,51681,-82169,-37419,30267
2006-12-19,416337,69911,29269,62701,137892,32664,61671,36613,7969,40642,-75191,-29007,28644
2006-12-26,415984,71209,32791,62269,139328,33014,62964,37763,7877,38418,-77059,-29950,29886
2007-01-03,434040,79570,31903,59523,142026,31482,65185,39645,9061,47667,-82503,-33703,30584
2007-01-09,426897,66123,40894,61731,126344,37098,56369,35992,8708,25229,-64613,-19271,27284
2007-01-16,421266,69652,34377,63169,129454,30226,61019,38574,9086,35275,-66285,-30793,29488
2007-01-23,457878,89090,29885,68321,148973,26441,73518,41420,10603,59205,-80652,-47077,30817
2007-01-30,426462,102396,29413,55258,148386,26517,77936,42746,9567,72983,-93128,-51419,33179
2007-02-06,449381,111899,27788,53021,158799,26714,78368,41638,9683,84111,-105778,-51654,31955
2007-02-13,482168,124329,25039,55706,171493,25859,87371,43595,10570,99290,-115787,-61512,33025
2007-02-20,494298,124341,26184,55735,175612,27507,87292,44786,5190,98157,-119877,-59785,39596
2007-02-27,533271,139549,23707,63467,191610,26700,92566,41524,9002,115842,-128143,-65866,32522
2007-03-06,487871,90785,22161,67506,166752,33223,79172,42914,5723,68624,-99246,-45949,37191
2007-03-13,494886,86558,18569,73613,169949,33638,76957,40182,6682,67989,-96336,-43319,33500
2007-03-20,467591,84751,18921,64307,159361,35305,78028,38492,6968,65830,-95054,-42723,31524
2007-03-27,437206,88578,19742,57504,154666,32372,82112,37323,6142,68836,-97162,-49740,31181
2007-04-03,430640,92989,23202,62112,149146,31909,83086,38242,9120,69787,-87034,-51177,29122
2007-04-10,463667,108209,23313,60893,166798,30740,87186,42436,9191,84896,-105905,-56446,33245
2007-04-17,484425,126468,18917,57646,174533,30180,98098,44557,10182,107551,-116887,-67918,34375
