date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,191044,14628,11180,56814,105948,39577,600,5397,5329,3448,-49134,38977,68
2006-06-20,191490,14523,11618,57307,106497,39894,159,5567,4248,2905,-49190,39735,1319
2006-06-27,192353,17881,8268,52876,109722,39900,119,6236,4197,9613,-56846,39781,2039
2006-07-03,187977,20523,8957,51129,108590,39593,0,5406,4685,11566,-57461,39593,721
2006-07-11,192976,17575,8589,53195,108382,39659,480,5212,4488,8986,-55187,39179,724
2006-07-18,211521,23723,8145,60443,122194,38627,1460,5445,3987,15578,-61751,37167,1458
2006-07-25,207150,14630,8587,63794,113224,39322,1516,4638,4149,6043,-49430,37806,489
2006-08-01,203204,15989,4447,58190,115636,39515,2141,5267,4434,11542,-57446,37374,833
2006-08-08,207106,18721,4261,55706,118761,40784,2446,5436,4311,14460,-63055,38338,1125
2006-08-15,210812,13540,6841,61685,113751,41647,1615,5937,5429,6699,-52066,40032,508
2006-08-22,212905,15648,6816,64266,117644,43279,820,6158,4647,8832,-53378,42459,1511
2006-08-29,213595,13265,10387,66086,118559,45949,825,6924,3972,2878,-52473,45124,2952
2006-09-05,214917,13390,11246,64060,115744,46645,1302,6934,3533,2144,-51684,45343,3401
2006-09-12,229095,16102,13840,73933,121221,45557,997,6413,3747,2262,-47288,44560,2666
2006-09-19,243469,14068,18442,79832,124623,49818,472,6886,3261,-4374,-44791,49346,3625
2006-09-26,243158,13330,19904,79397,123820,51698,714,8078,4478,-6574,-44423,50984,3600
2006-10-03,250430,13580,26282,81565,123498,55167,1114,7151,4092,-12702,-41933,54053,3059
2006-10-10,250018,12791,24562,83507,125689,55890,1773,6855,3736,-11771,-42182,54117,3119
2006-10-17,248552,13326,23829,84608,129832,54776,1876,6936,3897,-10503,-45224,52900,3039
2006-10-24,255140,11500,28075,88253,129539,54670,1458,8981,3681,-16575,-41286,53212,5300
2006-10-31,259292,12151,28945,88821,132338,56374,1020,8955,3487,-16794,-43517,55354,5468
2006-11-07,259714,14238,26620,88779,136542,55023,443,8385,3346,-12382,-47763,54580,5039
2006-11-14,258624,14012,27615,82344,129586,54750,792,8502,3066,-13603,-47242,53958,5436
2006-11-21,265792,14941,25880,88714,136227,54771,931,7721,3395,-10939,-47513,53840,4326
2006-11-28,253702,14174,25123,89158,136300,54109,790,8098,3842,-10949,-47142,53319,4256
2006-12-05,243486,17978,21383,79029,134775,52148,559,9080,5009,-3405,-55746,51589,4071
2006-12-12,241968,18339,27638,76401,126579,52746,975,9588,3820,-9299,-50178,51771,5768
2006-12-19,242437,17410,26318,79758,129751,53104,1135,9055,3240,-8908,-49993,51969,5815
2006-12-26,239979,16644,29519,80481,130747,56791,1176,10082,3614,-12875,-50266,55615,6468
2007-01-03,239780,15271,34924,78251,124396,61172,0,10040,3535,-19653,-46145,61172,6505
2007-01-09,244376,13552,33590,77835,123284,62842,110,9484,3755,-20038,-45449,62732,5729
2007-01-16,251366,12274,31273,79456,125122,63675,0,8210,4468,-18999,-45666,63675,3742
2007-01-23,247158,13115,34158,70829,115952,65193,0,8152,3965,-21043,-45123,65193,4187
