date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,166835,20766,14503,12462,67149,64614,315,9382,2783,6263,-54687,64299,6599
2006-06-20,167064,22966,10119,14864,78403,64370,262,9435,2815,12847,-63539,64108,6620
2006-06-27,171957,26131,8886,15691,83904,64618,261,9781,3000,17245,-68213,64357,6781
2006-07-03,172219,26065,8114,16191,85568,64790,243,10016,3225,17951,-69377,64547,6791
2006-07-11,159264,24534,9226,15660,80389,65301,242,10022,4029,15308,-64729,65059,5993
2006-07-18,163158,22624,9359,12583,76584,65067,242,9123,3952,13265,-64001,64825,5171
2006-07-25,164359,19854,12188,13041,71854,65857,242,9939,4814,7666,-58813,65615,5125
2006-08-01,169562,22137,13377,13575,72931,66255,240,10079,4625,8760,-59356,66015,5454
2006-08-08,169321,24385,12215,11784,73888,65724,241,9690,4830,12170,-62104,65483,4860
2006-08-15,163337,25693,10393,9507,72778,65007,241,7822,6583,15300,-63271,64766,1239
2006-08-22,177164,28545,9285,11847,80444,66171,200,7982,7113,19260,-68597,65971,869
2006-08-29,183014,31645,8649,10339,80195,66501,200,7973,7752,22996,-69856,66301,221
2006-09-05,193225,33781,9902,10937,85099,68040,200,8386,7495,23879,-74162,67840,891
2006-09-12,187369,34070,10765,11560,85804,68112,198,9090,6881,23305,-74244,67914,2209
2006-09-19,184901,32242,7543,11364,82915,67673,198,8387,7460,24699,-71551,67475,927
2006-09-26,178364,26453,8185,11215,78299,68019,239,8363,6529,18268,-67084,67780,1834
2006-10-03,183748,23270,7994,13739,81392,69350,362,9712,5034,15276,-67653,68988,4678
2006-10-10,184441,23885,10469,15232,78132,69246,479,9449,6780,13416,-62900,68767,2669
2006-10-17,179007,24476,12399,11408,76029,70769,511,7481,5479,12077,-64621,70258,2002
2006-10-24,178993,17369,12274,11859,76321,70830,487,15182,5217,5095,-64462,70343,9965
2006-10-31,197929,27843,9728,12223,89147,71691,432,10459,4311,18115,-76924,71259,6148
2006-11-07,202280,32247,8791,13270,96604,72020,375,11089,4548,23456,-83334,71645,6541
2006-11-14,198030,30310,6903,17205,97467,71556,263,6744,5947,23407,-80262,71293,797
2006-11-21,199261,27577,6880,18641,97208,73294,201,5861,6846,20697,-78567,73093,-985
2006-11-28,195158,27174,7231,19153,95586,73717,201,5260,6973,19943,-76433,73516,-1713
2006-12-05,194939,25342,7021,19305,96234,73660,201,5782,6683,18321,-76929,73459,-901
2006-12-12,194022,23168,7836,18723,97510,73282,201,8727,3941,15332,-78787,73081,4786
2006-12-19,180391,20466,10347,14560,94102,72290,202,10002,3028,10119,-79542,72088,6974
2006-12-26,180670,19282,11382,14598,92138,72036,202,10069,3557,7900,-77540,71834,6512
