date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,274024,49172,21732,42090,112293,72176,1824,10606,4594,27440,-70203,70352,6012
2006-06-20,257008,45403,13161,40204,116166,72825,1946,10207,3964,32242,-75962,70879,6243
2006-06-27,270201,47885,9449,38634,118744,72619,2116,9958,3425,38436,-80110,70503,6533
2006-07-03,267968,52146,6367,37913,124069,72885,2074,11157,2971,45779,-86156,70811,8186
2006-07-11,274538,51338,6503,45710,128991,73393,1983,8187,2443,44835,-83281,71410,5744
2006-07-18,273328,48948,6802,41994,121164,72801,1905,7575,4539,42146,-79170,70896,3036
2006-07-25,275833,46440,7681,42861,121387,73707,1781,6794,5126,38759,-78526,71926,1668
2006-08-01,276029,44902,8681,43128,120874,74952,1948,7845,4185,36221,-77746,73004,3660
2006-08-08,262157,46228,8507,39597,120382,74844,2056,8632,4479,37721,-80785,72788,4153
2006-08-15,235116,45852,5970,25225,105415,74717,1993,6666,6110,39882,-80190,72724,556
2006-08-22,234418,46836,7229,21783,102500,75802,1938,6784,7056,39607,-80717,73864,-272
2006-08-29,236628,49101,8319,21195,100834,76409,2030,7366,7545,40782,-79639,74379,-179
2006-09-05,247557,54216,10222,20974,104730,78472,2145,7505,10299,43994,-83756,76327,-2794
2006-09-12,248414,54217,10412,21597,106071,76257,1840,7518,9798,43805,-84474,74417,-2280
2006-09-19,250481,46120,8138,25373,103615,76009,1649,7860,9929,37982,-78242,74360,-2069
2006-09-26,253351,43772,6617,27427,104939,76686,1595,8333,13127,37155,-77512,75091,-4794
2006-10-03,257357,42201,8078,27525,104388,78135,1861,8899,13649,34123,-76863,76274,-4750
2006-10-10,227041,42301,9160,22933,97748,76569,1687,8284,11554,33141,-74815,74882,-3270
2006-10-17,219688,40109,10658,18644,92727,76929,2211,6630,8948,29451,-74083,74718,-2318
2006-10-24,221340,35763,11121,16697,89874,78153,1921,12124,9658,24642,-73177,76232,2466
2006-10-31,218788,42097,11653,17294,94194,78872,2506,6749,8002,30444,-76900,76366,-1253
2006-11-07,223022,42949,16083,16899,95095,80345,2409,8938,2982,26866,-78196,77936,5956
2006-11-14,239301,42592,17117,21565,98735,79254,2192,8412,2254,25475,-77170,77062,6158
2006-11-21,244317,42528,17102,23896,100376,80908,2642,7714,2828,25426,-76480,78266,4886
2006-11-28,244972,43037,17037,25174,100173,81311,2589,6373,4232,26000,-74999,78722,2141
2006-12-05,237704,46357,19409,21190,98278,81393,2499,7006,3454,26948,-77088,78894,3552
2006-12-12,238916,46441,19910,22543,99374,80983,2985,9808,4113,26531,-76831,77998,5695
2006-12-19,240088,46402,18055,24401,102638,79894,2731,10996,3883,28347,-78237,77163,7113
2006-12-26,246338,46694,18452,23734,101763,80084,2711,11918,4153,28242,-78029,77373,7765
2007-01-03,267023,50597,14366,24294,108902,80883,2591,10913,4207,36231,-84608,78292,6706
2007-01-09,276351,52679,14280,25687,113058,83266,2218,10852,5521,38399,-87371,81048,5331
2007-01-16,283809,58422,15912,23196,115501,90159,1703,7846,6228,42510,-92305,88456,1618
2007-01-23,278693,59380,17182,22265,118307,91290,1550,6412,4886,42198,-96042,89740,1526
2007-01-30,274851,58822,17007,24913,117483,91072,1775,6106,7135,41815,-92570,89297,-1029
2007-02-06,284824,62939,16413,28190,123630,92493,2173,6631,9827,46526,-95440,90320,-3196
2007-02-13,293311,65226,16416,31929,131872,93334,2340,7237,10116,48810,-99943,90994,-2879
2007-02-20,294636,68262,18195,30951,132324,93961,2537,6838,9749,50067,-101373,91424,-2911
2007-02-27,306992,71865,16910,30676,138360,94540,1753,6641,11590,54955,-107684,92787,-4949
2007-03-06,311045,69562,15262,30777,136774,95925,1887,6237,11713,54300,-105997,94038,-5476
2007-03-13,331580,70789,15135,27238,133804,95080,2288,7265,12359,55654,-106566,92792,-5094
2007-03-20,330649,68734,18409,23458,129799,95203,2225,6617,10008,50325,-106341,92978,-3391
2007-03-27,331766,67699,19912,22993,127014,94458,2165,6971,10097,47787,-104021,92293,-3126
2007-04-03,333492,67173,22540,28162,130377,94887,2053,7937,9680,44633,-102215,92834,-1743
2007-04-10,316785,66217,22294,25110,127818,94440,2668,9084,9904,43923,-102708,91772,-820
2007-04-17,302068,58979,17591,25063,125890,93230,2210,7202,9438,41388,-100827,91020,-2236
2007-04-24,293664,56392,18392,23436,122063,93208,2504,7058,8474,38000,-98627,90704,-1416
2007-05-01,291528,57725,20759,21503,122584,95264,2930,6915,8129,36966,-101081,92334,-1214
2007-05-08,280627,56947,18972,23447,123049,94631,2569,6867,9511,37975,-99602,92062,-2644
2007-05-15,289122,59569,19196,26513,127866,94919,2588,7230,9665,40373,-101353,92331,-2435
2007-05-22,295592,63058,19857,27257,129342,95335,3017,6978,11198,43201,-102085,92318,-4220
2007-05-29,295678,59964,18964,30170,130175,95247,2984,6231,9692,41000,-100005,92263,-3461
2007-06-05,269546,54314,14934,26996,125468,95894,3209,6180,9971,39380,-98472,92685,-3791
2007-06-12,262298,52266,15541,25197,119928,95347,3025,5552,9281,36725,-94731,92322,-3729
2007-06-19,262445,54859,15463,25747,121325,94928,3343,5303,9694,39396,-95578,91585,-4391
2007-06-26,249378,49180,17995,21802,110729,96119,3061,4572,9847,31185,-88927,93058,-5275
2007-07-03,243801,46091,20928,22538,107151,96642,3020,4624,10469,25163,-84613,93622,-5845
2007-07-10,255436,52920,21624,22241,111238,94596,3171,6501,11045,31296,-88997,91425,-4544
2007-07-17,261751,53508,18479,23124,118129,94549,2936,7400,10771,35029,-95005,91613,-3371
2007-07-24,268048,54315,17093,25929,123639,95819,3136,7655,10439,37222,-97710,92683,-2784
2007-07-31,283697,60416,13652,30977,135354,96517,2040,7379,12530,46764,-104377,94477,-5151
2007-08-07,259034,56692,15027,22997,124673,97197,1772,7771,13209,41665,-101676,95425,-5438
2007-08-14,242788,46050,16297,22862,115784,95449,2420,7706,11963,29753,-92922,93029,-4257
2007-08-21,242703,41333,20035,25266,111061,94607,2435,8180,11523,21298,-85795,92172,-3343
2007-08-28,248443,47497,17745,21181,115445,94611,2583,11345,8440,29752,-94264,92028,2905
2007-09-04,253578,48970,15749,20513,121128,95403,2299,12776,7908,33221,-100615,93104,4868
2007-09-11,248039,46859,16944,22718,117325,95178,2726,13332,8473,29915,-94607,92452,4859
2007-09-18,252457,44040,22066,22811,115327,95615,3226,13461,5045,21974,-92516,92389,8416
2007-09-25,269851,47394,21719,28218,121672,95538,3204,13647,5506,25675,-93454,92334,8141
2007-10-02,263747,45677,25373,28490,118661,95900,3269,14430,4253,20304,-90171,92631,10177
2007-10-09,247583,42250,29617,27611,110457,95432,3220,13255,3581,12633,-82846,92212,9674
2007-10-16,248001,42571,30815,28037,111982,95640,3354,13451,3678,11756,-83945,92286,9773
2007-10-23,251894,44325,30478,28694,112670,97164,3493,13214,4690,13847,-83976,93671,8524
2007-10-30,250670,43189,34600,30984,110752,97673,3604,13010,4380,8589,-79768,94069,8630
2007-11-06,257575,40745,39124,35962,111788,97501,3129,13891,4478,1621,-75826,94372,9413
2007-11-13,267911,40965,33487,37319,119187,97810,3251,14232,3868,7478,-81868,94559,10364
2007-11-20,263136,42262,35293,35226,116819,98602,3479,13916,4574,6969,-81593,95123,9342
2007-11-27,259339,43677,34967,34689,116501,98605,3582,13345,5109,8710,-81812,95023,8236
2007-12-04,260606,44399,40644,35689,115346,99362,3503,13130,3827,3755,-79657,95859,9303
2007-12-11,262209,46646,39311,31122,111676,99298,3884,14048,4107,7335,-80554,95414,9941
2007-12-18,260724,45709,43061,29088,103939,98950,3906,13850,4463,2648,-74851,95044,9387
2007-12-24,259105,46318,44065,28141,102268,99313,3849,13207,3986,2253,-74127,95464,9221
2007-12-31,260474,48294,42407,25941,102810,99409,4106,14023,4505,5887,-76869,95303,9518
2008-01-08,264584,46932,41096,25073,102529,100644,3960,12384,6299,5836,-77456,96684,6085
2008-01-15,281561,47231,45064,30216,108457,103536,3741,12399,4953,2167,-78241,99795,7446
2008-01-22,282759,50384,43229,30497,111420,103663,3638,12071,5716,7155,-80923,100025,6355
2008-01-29,293121,53083,44500,30335,113058,104962,3739,12108,5813,8583,-82723,101223,6295
2008-02-05,296418,59356,48223,25975,117335,111273,4621,12297,5681,11133,-91360,106652,6616
2008-02-12,297156,61421,47018,25616,117959,111558,5465,12598,5931,14403,-92343,106093,6667
2008-02-19,298648,61238,46928,25279,118888,112780,5516,12393,5364,14310,-93609,107264,7029
2008-02-26,310381,65208,46245,20965,124899,115214,5652,14452,5465,18963,-103934,109562,8987
2008-03-04,317498,66490,51607,23847,124862,119928,6438,12914,4373,14883,-101015,113490,8541
2008-03-11,318660,70444,49413,25852,128305,118525,6320,11432,4975,21031,-102453,112205,6457
2008-03-18,315389,72209,47594,26365,129110,115638,6821,15081,6108,24615,-102745,108817,8973
2008-03-25,311845,74861,43540,24773,132802,113330,10975,17905,5131,31321,-108029,102355,12774
2008-04-01,320721,78616,46462,23592,136528,114361,10600,22416,5719,32154,-112936,103761,16697
2008-04-08,318600,79800,45921,21166,136617,116509,10476,23921,4720,33879,-115451,106033,19201
2008-04-15,329229,82656,41176,20819,142647,118947,10473,23682,6248,41480,-121828,108474,17434
2008-04-22,340291,80953,36462,20891,147399,123113,10295,24126,7964,44491,-126508,112818,16162
2008-04-29,349442,84090,35823,21991,153819,125085,9990,26093,7392,48267,-131828,115095,18701
2008-05-06,356425,86716,33083,22676,158023,122231,9410,28073,8203,53633,-135347,112821,19870
2008-05-13,365550,85494,30297,26921,169476,125119,8555,27805,6884,55197,-142555,116564,20921
2008-05-20,361919,80668,29824,28635,166728,125530,7805,26195,8539,50844,-138093,117725,17656
2008-05-27,373650,80590,25773,28444,172805,130288,7016,23801,7132,54817,-144361,123272,16669
2008-06-03,367938,78825,23370,27467,172158,132270,5606,20994,7272,55455,-144691,126664,13722
2008-06-10,353359,76885,20890,23781,168771,132375,5921,20784,5788,55995,-144990,126454,14996
2008-06-17,366473,80128,17270,24923,177513,134865,5898,18655,6027,62858,-152590,128967,12628
2008-06-24,375865,81329,14912,21400,178395,135001,6074,16548,5643,66417,-156995,128927,10905
2008-07-01,386140,83587,14161,21214,175982,134738,5861,13860,10018,69426,-154768,128877,3842
2008-07-08,377103,81807,13661,19718,168955,130752,5755,12540,10760,68146,-149237,124997,1780
2008-07-15,361826,72604,19354,23372,157557,127520,5470,12436,10253,53250,-134185,122050,2183
2008-07-22,361907,67065,23362,26801,148229,126068,4878,11701,13423,43703,-121428,121190,-1722
2008-07-29,356559,63875,28354,28004,144509,128735,4412,10577,14872,35521,-116505,124323,-4295
2008-08-05,341514,63709,31930,27021,140765,127461,4140,11226,16901,31779,-113744,123321,-5675
2008-08-12,321728,64309,29086,27240,140258,125002,4391,10509,17436,35223,-113018,120611,-6927
2008-08-19,318658,64079,30121,26736,134372,123264,4154,9310,18004,33958,-107636,119110,-8694
2008-08-26,316437,63747,31092,25764,132372,125107,4174,8493,18288,32655,-106608,120933,-9795
2008-09-02,318448,64586,35625,24623,127801,123433,4048,8835,18995,28961,-103178,119385,-10160
2008-09-09,311026,64042,42201,26949,120799,119356,3665,9374,18083,21841,-93850,115691,-8709
2008-09-16,317184,62842,42511,28928,120325,118959,3435,8675,19633,20331,-91397,115524,-10958
2008-09-23,297516,61592,39905,29568,115186,113440,3362,6195,20008,21687,-85618,110078,-13813
2008-09-30,291455,59087,35638,31131,112977,108545,3551,6261,19989,23449,-81846,104994,-13728
2008-10-07,275334,52504,32271,36338,112463,105031,2897,5899,19127,20233,-76125,102134,-13228
2008-10-14,270072,48520,27708,34730,110767,100800,2665,6517,17070,20812,-76037,98135,-10553
2008-10-21,266491,49341,30110,33850,105585,96592,2670,6550,18155,19231,-71735,93922,-11605
2008-10-28,260878,45457,28006,32573,100448,89917,2769,6396,16216,17451,-67875,87148,-9820
2008-11-04,266244,48401,22068,31667,103865,89794,2755,6693,19321,26333,-72198,87039,-12628
2008-11-11,263965,46893,21144,34946,107339,88467,2647,6310,17594,25749,-72393,85820,-11284
2008-11-18,273079,41871,22794,42114,108292,85274,2613,6374,16979,19077,-66178,82661,-10605
2008-11-25,272530,36677,21867,43324,107963,83514,2522,7170,14897,14810,-64639,80992,-7727
2008-12-02,273906,36788,21820,44040,108123,84068,2364,6949,15977,14968,-64083,81704,-9028
2008-12-09,252794,36576,21832,40823,100726,81902,1626,7092,18510,14744,-59903,80276,-11418
2008-12-16,255260,37177,21739,40221,100387,80855,1579,6934,17812,15438,-60166,79276,-10878
2008-12-22,258217,37281,21002,40518,101387,81617,1537,6554,18766,16279,-60869,80080,-12212
2008-12-30,257709,37232,20838,39238,101543,81554,1802,6956,18632,16394,-62305,79752,-11676
2009-01-06,263030,37820,18840,35707,105234,83159,1841,8744,18390,18980,-69527,81318,-9646
2009-01-13,249706,37054,18745,36805,99419,72248,1589,9663,16652,18309,-62614,70659,-6989
2009-01-20,254238,40783,21627,38055,96041,69447,1588,9405,18469,19156,-57986,67859,-9064
2009-01-27,261927,42987,25013,42892,97400,68702,1392,9315,19108,17974,-54508,67310,-9793
2009-02-03,264312,44943,26894,43060,100252,68053,1295,8709,18266,18049,-57192,66758,-9557
2009-02-10,240292,42805,29411,38274,100846,68114,1114,8630,7119,13394,-62572,67000,1511
2009-02-17,240544,41607,29598,38201,98183,67892,1137,7813,5830,12009,-59982,66755,1983
2009-02-24,248096,44385,32974,38923,95066,67862,1175,7239,3839,11411,-56143,66687,3400
2009-03-03,247291,42341,33095,42519,95538,67152,1362,7965,6059,9246,-53019,65790,1906
2009-03-10,255285,43023,36926,46869,97865,67159,1427,7748,6067,6097,-50996,65732,1681
2009-03-17,251239,43229,35157,45238,98458,67442,2074,6714,5325,8072,-53220,65368,1389
2009-03-24,257856,45326,32669,46088,105847,68364,2083,5967,7180,12657,-59759,66281,-1213
2009-03-31,252544,44644,37120,45633,100529,68691,2419,4687,7555,7524,-54896,66272,-2868
2009-04-07,244497,46682,29360,41910,105178,68910,3353,5392,8652,17322,-63268,65557,-3260
2009-04-14,240110,47179,27621,40133,106010,68565,3055,5324,8737,19558,-65877,65510,-3413
2009-04-21,242589,46919,27501,37323,104782,69044,2911,4593,8747,19418,-67459,66133,-4154
2009-04-28,243972,44837,29075,34956,102408,69164,3141,4840,6775,15762,-67452,66023,-1935
2009-05-05,245416,45453,34207,35910,100698,70760,3221,5745,7340,11246,-64788,67539,-1595
2009-05-12,245793,47620,34002,35955,101678,72143,3600,5022,7365,13618,-65723,68543,-2343
2009-05-19,247066,49678,33826,35642,99803,72233,3693,4243,10480,15852,-64161,68540,-6237
2009-05-26,248168,53990,34934,32524,102285,73956,4002,4513,8187,19056,-69761,69954,-3674
2009-06-02,260805,50133,48211,38860,95838,76186,3639,7486,7758,1922,-56978,72547,-272
2009-06-09,253375,53240,49054,38795,96290,76631,3683,7703,9086,4186,-57495,72948,-1383
2009-06-16,253357,51838,50964,39264,94317,76745,3466,6849,7173,874,-55053,73279,-324
2009-06-23,258453,55950,40448,37042,101691,76945,3919,6889,10264,15502,-64649,73026,-3375
2009-06-30,262646,59934,28976,33128,111670,77901,3648,7119,11784,30958,-78542,74253,-4665
2009-07-07,263502,61598,26497,34129,113258,77250,3631,4610,13409,35101,-79129,73619,-8799
2009-07-14,270962,62210,26172,30164,121291,78087,3878,10115,6425,36038,-91127,74209,3690
2009-07-21,283490,64818,22558,31580,128667,79873,4096,9541,7076,42260,-97087,75777,2465
2009-07-28,285947,61722,23906,30153,129948,81639,4507,13513,7688,37816,-99795,77132,5825
2009-08-04,290478,59546,27642,30485,127722,81820,4276,19615,7136,31904,-97237,77544,12479
2009-08-11,270560,52283,37153,30260,114074,81665,3465,24558,6199,15130,-83814,78200,18359
2009-08-18,277194,56399,42443,32134,114136,80848,3467,24811,6406,13956,-82002,77381,18405
2009-08-25,288013,59310,44513,35778,116925,80773,3704,25303,7244,14797,-81147,77069,18059
2009-09-01,292765,58292,54557,40291,111558,81619,3015,23782,7306,3735,-71267,78604,16476
2009-09-08,290869,60637,53779,41025,112221,82766,3198,17001,3737,6858,-71196,79568,13264
2009-09-15,306038,64558,52179,42367,119713,83148,3253,18013,4138,12379,-77346,79895,13875
2009-09-22,313056,62381,59838,50200,113597,83725,3131,12109,6099,2543,-63397,80594,6010
2009-09-29,309703,63280,55986,50407,117927,84880,4313,9952,3918,7294,-67520,80567,6034
2009-10-06,308144,62363,57313,51899,119571,87610,4248,11885,4034,5050,-67672,83362,7851
2009-10-13,313681,65397,57624,50694,120499,87976,5148,9283,3848,7773,-69805,82828,5435
2009-10-20,322887,68608,50650,46732,127277,89544,6138,7958,5060,17958,-80545,83406,2898
2009-10-27,326680,74927,40736,42149,135322,90521,5756,5158,5786,34191,-93173,84765,-628
2009-11-03,332985,78957,36879,39977,140270,90418,5577,5329,6024,42078,-100293,84841,-695
2009-11-09,330450,77686,34197,39673,140237,91383,5684,7605,4360,43489,-100564,85699,3245
2009-11-17,337426,81374,49724,42228,135573,91746,6628,11763,3430,31650,-93345,85118,8333
2009-11-24,331100,83257,54622,44831,137935,92129,6829,13012,2650,28635,-93104,85300,10362
2009-12-01,333127,81603,55924,46925,137725,91858,8510,15164,2902,25679,-90800,83348,12262
2009-12-08,315573,80723,58667,42122,132501,89519,7745,16796,3183,22056,-90379,81774,13613
2009-12-15,317114,86924,53761,39632,137323,90774,7753,14471,5283,33163,-97691,83021,9188
2009-12-22,316597,87451,44528,39644,142210,91024,7624,12259,6162,42923,-102566,83400,6097
2009-12-29,323347,91554,42273,37983,145085,91543,8132,13907,7324,49281,-107102,83411,6583
2010-01-05,320947,94102,36722,35108,153964,92870,7653,13978,5739,57380,-118856,85217,8239
2010-01-12,337335,98351,35855,34777,156784,96704,7412,13029,6399,62496,-122007,89292,6630
2010-01-19,344351,109704,29307,27794,169908,101865,6337,10816,4590,80397,-142114,95528,6226
2010-01-26,345665,105675,25632,28567,171453,100994,5947,13405,4951,80043,-142886,95047,8454
2010-02-02,345174,104776,28825,28565,167133,100638,6506,13377,5052,75951,-138568,94132,8325
2010-02-09,335063,107818,24769,23814,166224,103127,5723,9780,5084,83049,-142410,97404,4696
2010-02-16,348749,116012,18531,22797,173038,103208,4746,5481,6144,97481,-150241,98462,-663
2010-02-23,367021,114098,12044,25223,178573,102690,4245,6172,8161,102054,-153350,98445,-1989
2010-03-02,384485,123635,11411,24767,189032,104739,4264,6018,7632,112224,-164265,100475,-1614
2010-03-09,396970,125739,10070,24632,193740,105965,4238,8388,5282,115669,-169108,101727,3106
2010-03-16,430542,128834,7229,31725,205511,109555,4471,5850,5468,121605,-173786,105084,382
2010-03-23,442433,126846,6621,28695,203985,110219,4498,7207,5805,120225,-175290,105721,1402
2010-03-30,452617,128631,5529,30494,211181,109624,4599,9448,5416,123102,-180687,105025,4032
2010-04-06,420423,127919,8925,23258,205362,110304,4443,10495,3389,118994,-182104,105861,7106
2010-04-13,422839,129967,6102,19594,205194,109481,4562,11927,3715,123865,-185600,104919,8212
2010-04-20,440368,136745,6226,17151,211793,112197,4654,12386,3436,130519,-194642,107543,8950
2010-04-27,445080,134337,6071,13441,208741,113165,5071,14246,3999,128266,-195300,108094,10247
2010-05-04,459254,139309,6010,13981,210281,114313,5282,15308,10436,133299,-196300,109031,4872
2010-05-11,471918,143137,4745,16638,214622,115566,5299,15443,12565,138392,-197984,110267,2878
2010-05-18,448365,125469,5176,22479,202912,111034,4858,16617,14197,120293,-180433,106176,2420
2010-05-25,438263,116438,3897,28221,199650,108837,4445,17353,17436,112541,-171429,104392,-83
2010-06-01,428621,113465,6619,29871,194345,108720,5257,15446,17630,106846,-164474,103463,-2184
2010-06-08,389314,99006,11473,26740,177017,110252,4529,15986,17411,87533,-150277,105723,-1425
2010-06-15,387493,98761,16559,27528,171515,109696,4620,14704,18121,82202,-143987,105076,-3417
2010-06-22,388904,101821,18643,26739,172350,109552,4981,13415,17785,83178,-145611,104571,-4370
2010-06-29,386939,102176,18610,26823,167498,111284,4844,8887,19185,83566,-140675,106440,-10298
2010-07-06,390976,106907,15507,25179,171315,110445,4668,9177,21507,91400,-146136,105777,-12330
2010-07-13,388527,111654,11890,28842,177374,110118,4765,5837,25254,99764,-148532,105353,-19417
2010-07-20,408187,121489,7620,29829,191349,110427,3991,5594,27052,113869,-161520,106436,-21458
2010-07-27,414854,125158,7906,29617,193710,108955,3814,6859,26447,117252,-164093,105141,-19588
2010-08-03,415673,126737,6202,28829,199211,110353,3957,6931,24324,120535,-170382,106396,-17393
2010-08-10,407917,129794,4183,25828,203960,108788,3701,6795,18522,125611,-178132,105087,-11727
2010-08-17,415127,130333,5052,26272,203964,107959,4147,8620,18077,125281,-177692,103812,-9457
2010-08-24,432931,141914,4114,22839,216944,109962,3926,8585,11618,137800,-194105,106036,-3033
2010-08-31,439303,148576,3339,21833,221851,108134,4374,9279,11805,145237,-200018,103760,-2526
2010-09-07,443367,146815,2957,23830,225072,108073,4391,10667,10939,143858,-201242,103682,-272
2010-09-14,440880,150355,4961,21067,220958,108481,4864,10434,11628,145394,-199891,103617,-1194
2010-09-21,445946,142531,4302,25110,221182,104286,4671,12104,7828,138229,-196072,99615,4276
2010-09-28,435341,138696,5453,27941,220722,103222,5287,13390,6836,133243,-192781,97935,6554
2010-10-05,392882,129371,4448,23422,212586,105800,4215,13832,6144,124923,-189164,101585,7688
2010-10-12,394863,124363,5563,20777,211816,107693,5025,15740,5630,118800,-191039,102668,10110
2010-10-19,397975,127110,6001,18353,207067,105512,5242,15022,5350,121109,-188714,100270,9672
2010-10-26,401541,127987,5910,17022,206199,107691,5220,15117,8521,122077,-189177,102471,6596
2010-11-02,402220,120601,8199,17298,200505,108211,5061,16178,7472,112402,-183207,103150,8706
2010-11-09,393601,114810,12272,18909,195926,105536,5240,17063,4460,102538,-177017,100296,12603
2010-11-16,399695,114138,8430,22555,197745,105618,4754,16387,4013,105708,-175190,100864,12374
2010-11-23,429637,120922,9157,24971,201870,109582,5067,13875,7545,111765,-176899,104515,6330
2010-11-30,447790,122594,9790,24728,200728,108948,5348,14411,6970,112804,-176000,103600,7441
2010-12-07,408284,119020,11534,22846,198202,110043,4371,15145,5989,107486,-175356,105672,9156
2010-12-14,402764,116136,10443,23048,195149,109450,4280,14354,6279,105693,-172101,105170,8075
2010-12-21,398013,113808,9756,19976,188300,108989,4929,13634,6366,104052,-168324,104060,7268
2010-12-28,404928,117021,12609,17301,185459,110755,5459,12582,7022,104412,-168158,105296,5560
2011-01-04,408326,118863,18513,15146,182295,112456,5425,13149,7189,100350,-167149,107031,5960
2011-01-11,422705,124643,18799,21005,189479,110491,5764,13076,8540,105844,-168474,104727,4536
2011-01-18,445723,125324,25497,25519,185465,111504,5923,12315,8335,99827,-159946,105581,3980
2011-01-25,456147,117640,21285,28991,189090,111197,5782,13696,10144,96355,-160099,105415,3552
2011-02-01,477049,120233,24216,39023,199535,112785,6249,14663,9322,96017,-160512,106536,5341
2011-02-08,426776,110907,21279,38217,193606,111651,5865,13904,7646,89628,-155389,105786,6258
2011-02-15,432827,116479,20413,36376,195139,114291,6867,12561,8898,96066,-158763,107424,3663
2011-02-22,442408,113895,18148,34897,197507,115670,7241,14833,7484,95747,-162610,108429,7349
2011-03-01,442164,108715,17960,34487,193264,114114,7937,17157,8802,90755,-158777,106177,8355
2011-03-08,456057,112920,14861,37830,199492,112316,8627,15601,7004,98059,-161662,103689,8597
2011-03-15,469059,106872,17332,43028,195649,114024,9590,15004,5984,89540,-152621,104434,9020
2011-03-22,459624,95991,18151,47808,193359,114042,8375,13621,4165,77840,-145551,105667,9456
2011-03-29,490042,99451,14455,53242,202499,115392,8288,15074,6669,84996,-149257,107104,8405
2011-04-05,480576,111731,13755,50310,212754,120336,7414,11963,9264,97976,-162444,112922,2699
2011-04-12,475769,115590,11800,49190,215488,120608,6994,11611,9656,103790,-166298,113614,1955
2011-04-19,468386,113499,10060,48678,215778,120640,6669,12938,9665,103439,-167100,113971,3273
2011-04-26,454946,108193,11783,49506,207449,119564,6709,12429,10533,96410,-157943,112855,1896
2011-05-03,448797,102821,14927,48431,197184,119068,7440,11813,9102,87894,-148753,111628,2711
2011-05-10,456000,101559,18413,50931,192985,115787,5957,9765,8474,83146,-142054,109830,1291
2011-05-17,453479,97774,21955,55137,190963,113311,6782,11419,8134,75819,-135826,106529,3285
2011-05-24,460444,91012,23662,61891,188323,111974,7000,7078,8493,67350,-126432,104974,-1415
2011-05-31,456835,92032,29809,63155,182769,111607,7126,5696,9265,62223,-119614,104481,-3569
2011-06-07,406977,89975,34893,63829,177733,111035,7135,7124,9828,55082,-113904,103900,-2704
2011-06-14,412817,89611,36485,63037,173903,112346,7344,4688,10049,53126,-110866,105002,-5361
2011-06-21,419172,92293,32112,60257,178140,113669,6698,3581,9456,60181,-117883,106971,-5875
2011-06-28,427589,90741,25769,61029,182266,114367,6503,3476,10113,64972,-121237,107864,-6637
