date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,37396,0,108,27566,17477,0,0,907,1766,-108,10089,0,-859
2006-06-20,38322,0,110,29469,18382,0,0,712,2251,-110,11087,0,-1539
2006-06-27,39079,0,613,30416,18625,0,0,672,2434,-613,11791,0,-1762
2006-07-03,35412,24,633,27019,16981,0,0,599,2183,-609,10038,0,-1584
2006-07-11,36111,75,1158,27748,17087,0,0,595,2698,-1083,10661,0,-2103
2006-07-18,37063,104,1531,28242,17437,0,0,686,2764,-1427,10805,0,-2078
2006-07-25,37949,152,1956,28644,17731,0,0,673,3244,-1804,10913,0,-2571
2006-08-01,38542,156,2064,29383,18002,0,0,706,3720,-1908,11381,0,-3014
2006-08-08,34755,168,2086,26501,16336,0,0,801,2999,-1918,10165,0,-2198
2006-08-15,34938,123,2012,26469,16454,0,0,905,2484,-1889,10015,0,-1579
2006-08-22,35829,148,1950,27102,17800,0,0,809,2459,-1802,9302,0,-1650
2006-08-29,36750,172,1357,27616,18274,0,0,1069,3437,-1185,9342,0,-2368
2006-09-05,31233,200,962,22371,15930,0,0,1506,2297,-762,6441,0,-791
2006-09-12,32213,0,919,23481,16537,0,0,1257,1666,-919,6944,0,-409
2006-09-19,33973,0,953,24525,17387,0,0,1310,2380,-953,7138,0,-1070
2006-09-26,35110,0,973,25306,18196,0,0,1516,2260,-973,7110,0,-744
2006-10-03,31527,0,918,22016,16170,0,0,1829,1233,-918,5846,0,596
2006-10-10,32134,0,903,22708,16393,0,0,1602,1296,-903,6315,0,306
2006-10-17,33301,0,909,22855,16636,0,0,2169,1402,-909,6219,0,767
2006-10-24,35976,0,657,23684,17885,0,0,2751,1347,-657,5799,0,1404
2006-10-31,37187,0,706,25063,18236,0,0,2806,2017,-706,6827,0,789
2006-11-07,34432,0,215,21859,16386,0,0,2229,1767,-215,5473,0,462
2006-11-14,37026,0,60,23356,17133,0,0,2422,1982,-60,6223,0,440
2006-11-21,38035,0,55,24350,18062,0,0,2099,2031,-55,6288,0,68
2006-11-28,38084,0,54,24425,18124,0,0,2071,2191,-54,6301,0,-120
2006-12-05,34456,61,0,21535,16850,0,0,2180,2301,61,4685,0,-121
2006-12-12,35088,66,0,22335,17168,0,0,1994,2535,66,5167,0,-541
2006-12-19,36300,104,0,22896,17921,0,0,2415,2524,104,4975,0,-109
2006-12-26,36631,177,0,22826,18045,0,0,2492,1982,177,4781,0,510
2007-01-03,37149,176,0,22814,18567,0,0,2684,1886,176,4247,0,798
2007-01-09,32075,100,0,18920,15583,0,0,2764,2019,100,3337,0,745
2007-01-16,33321,102,0,19938,16526,0,0,2662,1684,102,3412,0,978
2007-01-23,35591,223,0,20967,17522,0,0,2803,1942,223,3445,0,861
2007-01-30,39471,311,0,22033,20421,0,0,3490,1855,311,1612,0,1635
2007-02-06,38274,250,0,21362,19698,0,0,3238,1791,250,1664,0,1447
2007-02-13,39852,403,0,21878,21079,0,0,3440,1705,403,799,0,1735
2007-02-20,41822,444,0,22608,21574,0,0,3284,1697,444,1034,0,1587
2007-02-27,41986,469,0,24119,23092,0,0,3272,2054,469,1027,0,1218
2007-03-06,39235,220,0,23005,21955,0,0,3075,1353,220,1050,0,1722
2007-03-13,40273,678,0,22795,22267,0,0,3283,1456,678,528,0,1827
2007-03-20,43162,815,0,24283,24221,0,0,3617,1088,815,62,0,2529
2007-03-27,43671,805,0,24350,24677,0,0,3542,1152,805,-327,0,2390
2007-04-03,40674,564,276,23459,23616,0,0,3044,388,288,-157,0,2656
2007-04-10,42323,570,161,23964,24078,0,0,2767,413,409,-114,0,2354
2007-04-17,43347,1615,111,23199,24374,0,0,2545,377,1504,-1175,0,2168
2007-04-24,46046,1575,0,24869,26767,0,0,3354,726,1575,-1898,0,2628
2007-05-01,47906,1838,0,25214,27706,0,0,3289,715,1838,-2492,0,2574
2007-05-08,46158,1886,0,24847,27200,0,0,3713,857,1886,-2353,0,2856
2007-05-15,48003,1843,0,25800,28953,0,0,4533,858,1843,-3153,0,3675
2007-05-22,48841,1601,0,26107,29276,0,0,4853,871,1601,-3169,0,3982
2007-05-29,49722,1852,0,26364,30247,0,0,4768,916,1852,-3883,0,3852
2007-06-05,46918,1472,0,25110,27495,0,642,4260,826,1472,-2385,-642,3434
2007-06-12,48419,2178,0,24619,28772,0,715,5043,757,2178,-4153,-715,4286
