date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,607238,17444,51983,305928,95265,87991,233942,19953,15307,105435,285925,-180490,305928,95265,210663,87991,233942,-145951,4646
2006-06-20,334523,16929,57607,209017,53760,28191,164643,15366,8227,45120,222250,-177130,209017,53760,155257,28191,164643,-136452,7139
2006-06-27,356310,14021,59702,222791,60831,35634,176309,13205,8837,49655,236011,-186356,222791,60831,161960,35634,176309,-140675,4368
2006-07-03,329418,22566,59460,167194,80949,31483,131292,9736,5537,54049,190752,-136703,167194,80949,86245,31483,131292,-99809,4199
2006-07-11,346387,16175,55117,171384,72874,63256,152945,16995,5343,79431,208062,-128631,171384,72874,98510,63256,152945,-89689,11652
2006-07-18,431910,13578,60731,247538,97904,61766,183713,15859,9381,75344,244444,-169100,247538,97904,149634,61766,183713,-121947,6478
2006-07-25,423300,13361,63631,241387,96438,59970,173979,15195,10230,73331,237610,-164279,241387,96438,144949,59970,173979,-114009,4965
2006-08-01,424398,14040,61166,265467,99202,72502,186709,11835,10150,86542,247875,-161333,265467,99202,166265,72502,186709,-114207,1685
2006-08-08,440480,17429,61750,258721,102765,80356,181514,15367,13103,97785,243264,-145479,258721,102765,155956,80356,181514,-101158,2264
2006-08-15,442038,17918,56418,219123,117370,100927,180280,12820,14878,118845,236698,-117853,219123,117370,101753,100927,180280,-79353,-2058
2006-08-22,416531,16885,53175,195114,125825,94186,151548,9740,15061,111071,204723,-93652,195114,125825,69289,94186,151548,-57362,-5321
2006-08-29,405196,18102,53246,190651,130884,99847,159199,16499,11922,117949,212445,-94496,190651,130884,59767,99847,159199,-59352,4577
2006-09-05,416054,16275,53379,190815,130387,108420,161826,10070,11898,124695,215205,-90510,190815,130387,60428,108420,161826,-53406,-1828
2006-09-12,561191,20315,51569,193682,121205,120746,179002,14166,16515,141061,230571,-89510,193682,121205,72477,120746,179002,-58256,-2349
2006-09-19,388670,22811,50671,182466,110038,108756,113841,12267,17134,131567,164512,-32945,182466,110038,72428,108756,113841,-5085,-4867
