date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,1266505,82672,64990,196619,210564,49803,87411,16412,19730,17682,-13945,-37608,-3318
2006-06-20,1314953,76908,51055,201615,219146,48392,89675,13605,20683,25853,-17531,-41283,-7078
2006-06-27,1276105,84494,62551,193286,206879,49710,95195,13699,18806,21943,-13593,-45485,-5107
2006-07-03,1273955,82459,63430,196401,207792,50636,93243,16270,19123,19029,-11391,-42607,-2853
2006-07-11,1323842,87172,72656,205644,215392,50326,93101,17314,18581,14516,-9748,-42775,-1267
2006-07-18,1370264,90891,69898,219812,230759,49520,96239,14994,19887,20993,-10947,-46719,-4893
2006-07-25,1385753,85821,56946,211918,225823,50532,97216,12313,19760,28875,-13905,-46684,-7447
2006-08-01,1401570,77717,47811,209169,227894,50278,92100,10163,19718,29906,-18725,-41822,-9555
2006-08-08,1431438,80899,48179,211762,232814,52217,101488,11560,18102,32720,-21052,-49271,-6542
2006-08-15,1439389,88999,51923,201948,225087,52753,105007,12799,19909,37076,-23139,-52254,-7110
2006-08-22,1456139,97352,58306,210270,233561,54569,106780,13570,20504,39046,-23291,-52211,-6934
2006-08-29,1377094,105949,56928,285374,316632,53814,108142,14687,16234,49021,-31258,-54328,-1547
2006-09-05,1387889,98516,67971,208550,227505,56982,111964,20220,15645,30545,-18955,-54982,4575
2006-09-12,1423441,120288,74516,216296,233541,55754,118055,15131,16750,45772,-17245,-62301,-1619
2006-09-19,1487089,120067,76764,229632,240301,56211,120570,17694,20576,43303,-10669,-64359,-2882
2006-09-26,1356047,119914,82281,213117,229632,56036,118750,23111,15592,37633,-16515,-62714,7519
2006-10-03,1357200,116249,76653,209832,225383,56581,124134,27254,17133,39596,-15551,-67553,10121
2006-10-10,1335952,96713,59614,208840,225041,55527,120311,26631,16130,37099,-16201,-64784,10501
2006-10-17,1370437,93669,62430,213017,226904,54459,116524,26093,15554,31239,-13887,-62065,10539
2006-10-24,1354294,94100,53446,213896,228327,50791,113338,23817,22587,40654,-14431,-62547,1230
2006-10-31,1313954,105260,63873,197833,213017,51323,107812,17359,16469,41387,-15184,-56489,890
2006-11-07,1319221,99895,68450,194626,209993,57091,101877,15193,17196,31445,-15367,-44786,-2003
2006-11-14,1350586,96753,67506,198400,213505,55540,95985,19676,19409,29247,-15105,-40445,267
2006-11-21,1365298,89056,71903,193751,212198,63024,92651,26055,19110,17153,-18447,-29627,6945
2006-11-28,1297098,86742,69056,181994,202759,61903,89075,28764,18701,17686,-20765,-27172,10063
2006-12-05,1342234,89522,73398,189800,203783,62497,100273,31511,17611,16124,-13983,-37776,13900
2006-12-12,1339702,92083,87645,189151,208004,62066,88788,26875,15899,4438,-18853,-26722,10976
2006-12-19,1366391,92303,93277,194060,207316,62561,81644,15223,17171,-974,-13256,-19083,-1948
2006-12-26,1311746,85158,87188,186479,194554,64711,87006,13675,20711,-2030,-8075,-22295,-7036
2007-01-03,1315469,84417,89405,179021,191645,66081,74856,17196,18625,-4988,-12624,-8775,-1429
2007-01-09,1350716,80228,95753,179915,194163,70976,66098,16488,17226,-15525,-14248,4878,-738
2007-01-16,1406892,77810,98121,184167,200449,83911,71168,16141,17972,-20311,-16282,12743,-1831
2007-01-23,1445632,68965,85370,186072,207607,83647,70791,15371,17257,-16405,-21535,12856,-1886
2007-01-30,1419014,60367,71710,172449,197127,82914,71308,16924,18366,-11343,-24678,11606,-1442
2007-02-06,1419051,61706,59385,167237,194791,82668,82047,14715,19498,2321,-27554,621,-4783
2007-02-13,1426150,60429,61237,170435,198828,88489,73108,12815,26928,-808,-28393,15381,-14113
2007-02-20,1435541,59321,58744,171742,199567,90358,79305,13644,25615,577,-27825,11053,-11971
2007-02-27,1279765,63897,52309,134247,162607,89004,90770,12762,24631,11588,-28360,-1766,-11869
2007-03-06,1293980,64099,71872,134407,163392,94124,74399,11717,27575,-7773,-28985,19725,-15858
2007-03-13,1316305,62407,75063,139460,158477,95808,84864,11658,23342,-12656,-19017,10944,-11684
2007-03-20,1321858,66872,91893,145055,160958,97170,74072,14558,29942,-25021,-15903,23098,-15384
2007-03-27,1273365,57199,97072,131661,157538,106705,49990,11656,37448,-39873,-25877,56715,-25792
2007-04-03,1261717,55970,83436,130539,157870,101099,59302,14070,35967,-27466,-27331,41797,-21897
2007-04-10,1279934,65636,98044,130251,164346,112073,52085,17103,49070,-32408,-34095,59988,-31967
2007-04-17,1290296,57815,89831,151277,174830,104292,55412,14536,42589,-32016,-23553,48880,-28053
2007-04-24,1280533,56779,107218,149526,172388,116062,51298,13997,40045,-50439,-22862,64764,-26048
2007-05-01,1258965,57292,105186,149182,172506,119029,53135,11570,39253,-47894,-23324,65894,-27683
2007-05-08,1258685,56928,99062,149380,182772,120950,52861,12529,40844,-42134,-33392,68089,-28315
2007-05-15,1232253,64524,90076,154678,195812,118744,51835,11134,45905,-25552,-41134,66909,-34771
2007-05-22,1239333,62589,91689,155749,201555,117611,49507,13200,43835,-29100,-45806,68104,-30635
2007-05-29,1216534,54329,98663,153419,189515,119473,49972,14928,37134,-44334,-36096,69501,-22206
2007-06-05,1240379,61986,105307,156409,198303,129683,49994,14163,41744,-43321,-41894,79689,-27581
2007-06-12,1237292,57777,121284,155903,186447,127429,47346,19687,37428,-63507,-30544,80083,-17741
2007-06-19,1266968,56340,125096,165093,196358,132514,46908,18406,37435,-68756,-31265,85606,-19029
2007-06-26,1268462,53877,117988,175375,191080,116560,50228,17574,34352,-64111,-15705,66332,-16778
2007-07-03,1283072,50575,123951,156245,164732,115151,47218,19856,37979,-73376,-8487,67933,-18123
2007-07-10,1306887,58959,134566,157888,167314,112703,46160,19004,37719,-75607,-9426,66543,-18715
2007-07-17,1324011,59482,136038,151895,154695,111041,52153,21100,38143,-76556,-2800,58888,-17043
2007-07-24,1346945,55069,143784,157438,155726,109854,36164,20081,45296,-88715,1712,73690,-25215
2007-07-31,1302573,49892,146340,146344,152092,145995,52147,15666,44453,-96448,-5748,93848,-28787
2007-08-07,1291448,50142,134354,148690,155283,135105,52619,16634,41622,-84212,-6593,82486,-24988
2007-08-14,1261744,45854,116984,143832,158824,136543,51044,13660,48963,-71130,-14992,85499,-35303
2007-08-21,1268326,47994,94163,149284,157242,98268,53075,16084,48502,-46169,-7958,45193,-32418
2007-08-28,1254199,56772,101941,150546,155092,86342,57066,17915,38951,-45169,-4546,29276,-21036
2007-09-04,1261060,57104,110527,148908,153524,91565,53576,19402,37623,-53423,-4616,37989,-18221
2007-09-11,1269279,64587,116281,161755,162688,87883,54447,22740,37883,-51694,-933,33436,-15143
2007-09-18,1280922,58673,109600,161281,167965,106032,52970,14655,41356,-50927,-6684,53062,-26701
2007-09-25,1195152,47439,102262,139446,147929,104393,50136,15914,38721,-54823,-8483,54257,-22807
2007-10-02,1203193,48868,100004,138509,152887,109436,48391,14516,39749,-51136,-14378,61045,-25233
2007-10-09,1188789,52843,99104,134124,142638,92106,50588,18049,35214,-46261,-8514,41518,-17165
2007-10-16,1200775,48866,99825,134825,149075,107448,48534,15478,39618,-50959,-14250,58914,-24140
2007-10-23,1214827,56867,108795,134720,147699,95880,52475,21789,35207,-51928,-12979,43405,-13418
2007-10-30,1180575,44739,109693,127918,151384,122037,44365,16125,35413,-64954,-23466,77672,-19288
2007-11-06,1210010,42777,105536,133603,154847,112344,47965,17060,32896,-62759,-21244,64379,-15836
2007-11-13,1237693,41799,123830,141803,155346,119186,42523,18245,32688,-82031,-13543,76663,-14443
2007-11-20,1252533,51417,126686,144694,154414,104364,49508,20999,28684,-75269,-9720,54856,-7685
2007-11-27,1231709,58091,131685,146352,155498,108039,48889,18491,30488,-73594,-9146,59150,-11997
2007-12-04,1271664,78703,149396,160098,164350,102759,50294,23942,25196,-70693,-4252,52465,-1254
2007-12-11,1275224,77103,158157,162990,169185,113519,46048,25300,24964,-81054,-6195,67471,336
2007-12-18,1300956,75501,162232,165440,180006,127032,45393,24753,30437,-86731,-14566,81639,-5684
2007-12-24,1297421,76252,171947,162498,175038,140040,51448,23705,30497,-95695,-12540,88592,-6792
2007-12-31,1274630,70637,168027,161849,183421,160551,45320,21676,38891,-97390,-21572,115231,-17215
2008-01-08,1302452,59876,148323,173169,206314,165539,44577,20680,44165,-88447,-33145,120962,-23485
2008-01-15,1323503,54457,146928,172889,206805,171991,44645,18172,48384,-92471,-33916,127346,-30212
2008-01-22,1325348,71363,145955,178429,207909,143873,53355,21021,38058,-74592,-29480,90518,-17037
2008-01-29,1310903,59143,148937,175570,201994,160343,48417,20319,41117,-89794,-26424,111926,-20798
2008-02-05,1345714,60156,152600,184546,209704,160917,45604,19275,43152,-92444,-25158,115313,-23877
2008-02-12,1397119,84014,170079,166902,202802,184260,44744,19979,67501,-86065,-35900,139516,-47522
2008-02-19,1418245,105493,208533,154096,193406,203797,44177,25913,71808,-103040,-39310,159620,-45895
