date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,22546,357,0,3914,6807,7030,4600,0,137,7387,4600,2787,3914,6807,-2893,7030,4600,2430,-137
2006-07-11,14081,877,240,6375,5962,4329,5032,0,675,5206,5272,-66,6375,5962,413,4329,5032,-703,-675
2006-07-18,14948,1130,0,4178,6920,6929,4470,275,994,8059,4470,3589,4178,6920,-2742,6929,4470,2459,-719
2006-07-25,16341,1155,0,3861,7768,9103,5875,0,727,10258,5875,4383,3861,7768,-3907,9103,5875,3228,-727
2006-08-01,18160,1177,0,3540,10019,10955,5620,0,463,12132,5620,6512,3540,10019,-6479,10955,5620,5335,-463
2006-08-08,17327,1228,176,3971,10170,9302,4876,173,181,10530,5052,5478,3971,10170,-6199,9302,4876,4426,-8
2006-08-15,19536,1222,176,2810,14351,13333,3284,129,629,14555,3460,11095,2810,14351,-11541,13333,3284,10049,-500
2006-08-22,19886,1229,176,3032,14219,11787,3563,1032,289,13016,3739,9277,3032,14219,-11187,11787,3563,8224,743
2006-08-29,18099,1218,171,2661,13752,10687,2419,786,211,11905,2590,9315,2661,13752,-11091,10687,2419,8268,575
2006-09-05,18852,1431,0,3179,14151,11218,3164,434,292,12649,3164,9485,3179,14151,-10972,11218,3164,8054,142
2006-09-12,19320,1625,0,3952,13847,9420,1684,289,416,11045,1684,9361,3952,13847,-9895,9420,1684,7736,-127
2006-09-19,17608,1912,0,534,14336,13039,1585,225,557,14951,1585,13366,534,14336,-13802,13039,1585,11454,-332
2006-09-26,17727,1588,0,541,13608,12830,2335,202,555,14418,2335,12083,541,13608,-13067,12830,2335,10495,-353
2006-10-03,13426,1628,0,677,10996,8421,0,243,728,10049,0,10049,677,10996,-10319,8421,0,8421,-485
2006-10-10,15750,1201,0,1016,12405,11479,1235,163,1110,12680,1235,11445,1016,12405,-11389,11479,1235,10244,-947
2006-10-17,19759,1261,0,1029,15645,14898,1746,151,876,16159,1746,14413,1029,15645,-14616,14898,1746,13152,-725
2006-10-24,21403,1407,0,1296,16088,15887,2731,370,892,17294,2731,14563,1296,16088,-14792,15887,2731,13156,-522
2006-10-31,18440,2057,0,1296,14691,12559,1645,118,645,14616,1645,12971,1296,14691,-13395,12559,1645,10914,-527
2006-11-07,18916,2100,0,889,15003,13405,1676,0,911,15505,1676,13829,889,15003,-14114,13405,1676,11729,-911
2006-11-14,15514,2135,0,878,12840,9757,379,370,674,11892,379,11513,878,12840,-11962,9757,379,9378,-304
2006-11-21,17654,1944,0,874,14089,12162,1263,150,831,14106,1263,12843,874,14089,-13215,12162,1263,10899,-681
2006-11-28,18078,2035,0,936,14387,12284,1027,203,1389,14319,1027,13292,936,14387,-13451,12284,1027,11257,-1186
2006-12-05,19768,1836,0,1064,17007,14003,872,444,648,15839,872,14967,1064,17007,-15943,14003,872,13131,-204
2006-12-12,22265,1399,0,1329,17806,16055,1036,103,1170,17454,1036,16418,1329,17806,-16477,16055,1036,15019,-1067
2006-12-19,22440,1570,0,833,19205,17812,1263,277,1103,19382,1263,18119,833,19205,-18372,17812,1263,16549,-826
2006-12-26,21961,1433,0,954,18818,17203,1134,103,935,18636,1134,17502,954,18818,-17864,17203,1134,16069,-832
2007-01-03,22855,1468,0,1289,18377,17452,2325,278,650,18920,2325,16595,1289,18377,-17088,17452,2325,15127,-372
2007-01-09,20440,1289,0,2324,16639,13472,1422,740,650,14761,1422,13339,2324,16639,-14315,13472,1422,12050,90
2007-01-16,19988,1164,0,2565,16103,12346,1038,891,680,13510,1038,12472,2565,16103,-13538,12346,1038,11308,211
2007-01-23,18687,1189,120,3871,15247,9827,569,347,787,11016,689,10327,3871,15247,-11376,9827,569,9258,-440
2007-01-30,18000,1441,245,6348,15056,7053,0,465,809,8494,245,8249,6348,15056,-8708,7053,0,7053,-344
2007-02-06,18326,1600,358,5792,15451,8122,0,0,648,9722,358,9364,5792,15451,-9659,8122,0,8122,-648
2007-02-13,19219,1682,566,4491,15822,10383,0,0,1024,12065,566,11499,4491,15822,-11331,10383,0,10383,-1024
2007-02-20,21969,1774,647,3306,17752,13665,761,100,895,15439,1408,14031,3306,17752,-14446,13665,761,12904,-795
2007-02-27,22779,2031,749,2899,18725,14408,366,0,593,16439,1115,15324,2899,18725,-15826,14408,366,14042,-593
2007-03-06,21159,1740,775,4099,17144,11706,0,457,566,13446,775,12671,4099,17144,-13045,11706,0,11706,-109
2007-03-13,23442,1940,936,5007,16882,11681,549,0,708,13621,1485,12136,5007,16882,-11875,11681,549,11132,-708
2007-03-20,23099,2006,916,2087,17023,16876,1924,100,1076,18882,2840,16042,2087,17023,-14936,16876,1924,14952,-976
2007-03-27,27611,2489,910,1557,19873,20700,2814,100,968,23189,3724,19465,1557,19873,-18316,20700,2814,17886,-868
2007-04-03,27025,2501,898,1604,19996,19949,2747,200,617,22450,3645,18805,1604,19996,-18392,19949,2747,17202,-417
2007-04-10,25383,2360,879,2008,20090,17873,1736,100,488,20233,2615,17618,2008,20090,-18082,17873,1736,16137,-388
2007-04-17,28672,2286,817,1752,23040,20688,1494,240,738,22974,2311,20663,1752,23040,-21288,20688,1494,19194,-498
2007-04-24,28091,2276,631,1841,23315,19318,201,560,1250,21594,832,20762,1841,23315,-21474,19318,201,19117,-690
2007-05-01,25253,2494,521,3651,21949,15335,157,512,635,17829,678,17151,3651,21949,-18298,15335,157,15178,-123
2007-05-08,23617,2400,516,3893,20532,13361,158,654,530,15761,674,15087,3893,20532,-16639,13361,158,13203,124
2007-05-15,26331,2379,477,3534,22679,17135,158,0,859,19514,635,18879,3534,22679,-19145,17135,158,16977,-859
2007-05-22,24381,2320,461,4363,21283,14078,158,641,590,16398,619,15779,4363,21283,-16920,14078,158,13920,51
2007-05-29,23796,2569,460,5333,20644,12570,158,387,618,15139,618,14521,5333,20644,-15311,12570,158,12412,-231
2007-06-05,27528,2761,448,4472,23448,17005,423,0,994,19766,871,18895,4472,23448,-18976,17005,423,16582,-994
