date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,48861,10294,477,9068,28857,3530,0,3430,636,9817,-19789,3530,2794
2006-06-20,44353,10274,327,7731,27892,2945,0,3313,706,9947,-20161,2945,2607
2006-06-27,47601,11626,193,8193,30964,3059,0,4208,1187,11433,-22771,3059,3021
2006-07-03,48267,12347,107,7724,32153,3064,0,4395,845,12240,-24429,3064,3550
2006-07-11,44976,9219,384,8706,28580,3066,0,3987,877,8835,-19874,3066,3110
2006-07-18,44145,7845,1285,10236,26294,3116,0,2944,1148,6560,-16058,3116,1796
2006-07-25,47151,7933,422,10285,29225,3189,0,3290,1248,7511,-18940,3189,2042
2006-08-01,52927,8991,488,12290,32129,3164,0,3253,1206,8503,-19839,3164,2047
2006-08-08,52252,9718,791,13467,31306,3157,0,2677,1397,8927,-17839,3157,1280
2006-08-15,53705,10172,430,14753,32373,3222,0,2401,1716,9742,-17620,3222,685
2006-08-22,54494,9415,66,17562,36125,3244,0,2493,931,9349,-18563,3244,1562
2006-08-29,55120,10347,126,17036,35842,3155,0,2546,966,10221,-18806,3155,1580
2006-09-05,51707,9530,140,16038,33187,2976,0,2534,828,9390,-17149,2976,1706
2006-09-12,53905,9162,231,18476,33910,2968,0,2301,1063,8931,-15434,2968,1238
2006-09-19,52302,7533,570,19966,31952,2889,0,1809,1311,6963,-11986,2889,498
2006-09-26,52695,6618,693,19656,30949,2820,0,2043,1150,5925,-11293,2820,893
2006-10-03,54628,6732,500,20324,32926,2784,0,2259,934,6232,-12602,2784,1325
2006-10-10,53805,5769,1782,21993,30771,2772,402,2542,725,3987,-8778,2370,1817
2006-10-17,58777,7298,140,21401,35596,2692,0,2863,1427,7158,-14195,2692,1436
2006-10-24,48412,7830,0,18246,33350,2664,0,2766,1226,7830,-15104,2664,1540
2006-10-31,48942,9075,0,17596,33336,2607,86,2463,1275,9075,-15740,2521,1188
2006-11-07,49115,9628,108,16874,32315,2432,86,2483,1630,9520,-15441,2346,853
2006-11-14,49008,8654,74,17509,31571,2424,86,2214,1503,8580,-14062,2338,711
2006-11-21,49132,9489,1,16881,31175,2440,86,2025,1577,9488,-14294,2354,448
2006-11-28,49796,9576,0,16625,30111,2432,86,1732,1763,9576,-13486,2346,-31
2006-12-05,47941,10546,8,15099,29919,2514,86,1898,1523,10538,-14820,2428,375
2006-12-12,42974,9357,27,10534,23687,2565,134,2052,1596,9330,-13153,2431,456
2006-12-19,35498,8842,30,8844,20806,2586,134,1676,1372,8812,-11962,2452,304
2006-12-26,36170,8397,33,9919,21554,2605,134,2028,1183,8364,-11635,2471,845
2007-01-03,36561,9715,82,8881,22790,2438,134,2694,1085,9633,-13909,2304,1609
2007-01-09,37045,9188,171,10087,22720,2433,134,2499,1029,9017,-12633,2299,1470
2007-01-16,38836,9963,230,10082,24197,2567,134,2594,1275,9733,-14115,2433,1319
2007-01-23,43113,13727,387,9370,27945,2663,134,2793,1178,13340,-18575,2529,1615
2007-01-30,42538,9770,411,12336,25294,2668,134,3064,2520,9359,-12958,2534,544
2007-02-06,41408,7458,571,12468,23447,2703,134,2653,2038,6887,-10979,2569,615
2007-02-13,39633,6907,543,12028,23187,2731,134,2585,1561,6364,-11159,2597,1024
2007-02-20,35056,7415,450,10776,22502,2715,134,2708,1540,6965,-11726,2581,1168
2007-02-27,39302,10757,269,9416,25832,2627,194,2852,1767,10488,-16416,2433,1085
2007-03-06,43955,12567,304,10815,28727,2424,194,2772,1406,12263,-17912,2230,1366
2007-03-13,44045,13388,645,11114,28330,1873,198,2792,1570,12743,-17216,1675,1222
2007-03-20,44355,13493,537,11188,29083,1923,198,2846,1798,12956,-17895,1725,1048
2007-03-27,46447,12122,513,13348,29558,1946,208,3091,1854,11609,-16210,1738,1237
2007-04-03,45599,9053,653,14685,28036,1778,178,2787,1049,8400,-13351,1600,1738
2007-04-10,46372,8063,965,16512,27084,1687,138,3050,1223,7098,-10572,1549,1827
2007-04-17,49513,5125,1447,19444,26613,1789,73,2924,1309,3678,-7169,1716,1615
2007-04-24,43166,4060,2067,17757,23629,1815,0,2562,1173,1993,-5872,1815,1389
2007-05-01,43214,3615,2542,17006,23072,1959,0,2893,1336,1073,-6066,1959,1557
2007-05-08,44770,3783,2432,16965,23220,2153,0,2909,1795,1351,-6255,2153,1114
2007-05-15,48144,4343,2371,17083,25050,2237,0,3450,1803,1972,-7967,2237,1647
2007-05-22,47646,4632,2169,17087,25286,2242,0,3824,1474,2463,-8199,2242,2350
2007-05-29,46826,4509,2556,17998,24465,2222,0,2417,1109,1953,-6467,2222,1308
2007-06-05,48478,3942,3238,18823,23599,2200,0,2074,1022,704,-4776,2200,1052
2007-06-12,50885,3669,4223,19979,22993,2024,0,2048,1172,-554,-3014,2024,876
2007-06-19,48091,3531,5276,21525,23517,2305,0,1685,1106,-1745,-1992,2305,579
2007-06-26,48737,3491,6196,22415,23027,2212,0,1482,1409,-2705,-612,2212,73
2007-07-03,46512,3611,7143,20015,20839,2623,0,1710,1464,-3532,-824,2623,246
2007-07-10,46391,3951,7406,19526,20271,2715,0,1407,1355,-3455,-745,2715,52
2007-07-17,46438,4044,7171,19102,20374,2711,0,1400,1428,-3127,-1272,2711,-28
2007-07-24,49575,3884,7281,19491,22012,2741,0,1608,1311,-3397,-2521,2741,297
2007-07-31,49949,3696,6675,18692,22290,2871,0,1539,854,-2979,-3598,2871,685
2007-08-07,52810,3759,6545,19505,23470,2920,0,1414,611,-2786,-3965,2920,803
2007-08-14,54589,3630,6819,19610,23174,2912,0,1616,845,-3189,-3564,2912,771
2007-08-21,43637,3242,6659,16160,17686,2702,0,1481,1292,-3417,-1526,2702,189
2007-08-28,41895,3258,7123,15584,16952,2699,0,1580,840,-3865,-1368,2699,740
