date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,14355,5375,1686,891,7083,1658,3215,2435,529,3689,-6192,-1557,1906
2006-06-20,13681,5138,1545,955,7358,1810,2401,2232,463,3593,-6403,-591,1769
2006-06-27,13149,5360,2000,881,7110,1951,2292,2020,535,3360,-6229,-341,1485
2006-07-03,13423,5734,2040,871,7109,1857,2335,1901,694,3694,-6238,-478,1207
2006-07-11,13895,6219,2042,848,7413,1833,2569,1950,703,4177,-6565,-736,1247
2006-07-18,14132,6617,2064,1034,7538,1545,2802,2054,633,4553,-6504,-1257,1421
2006-07-25,14535,6643,2064,1071,7504,1566,2858,2020,626,4579,-6433,-1292,1394
2006-08-01,13587,5876,2064,934,7402,1805,2356,1976,594,3812,-6468,-551,1382
2006-08-08,12388,4419,1587,988,6716,1924,2350,1980,564,2832,-5728,-426,1416
2006-08-15,12911,4497,1087,1077,7494,2020,2328,2038,598,3410,-6417,-308,1440
2006-08-22,13074,4706,881,1021,7697,1798,2297,1957,580,3825,-6676,-499,1377
2006-08-29,14073,4583,881,1900,8773,2295,2252,1760,512,3702,-6873,43,1248
2006-09-05,11444,4851,1289,1045,7603,1741,1708,1604,616,3562,-6558,33,988
2006-09-12,11489,4327,1446,1027,7383,2574,1472,1552,801,2881,-6356,1102,751
2006-09-19,10823,3586,1520,1121,6672,2750,1343,1525,861,2066,-5551,1407,664
2006-09-26,10884,3334,1098,1273,7053,2876,1399,1505,775,2236,-5780,1477,730
2006-10-03,11344,3510,1133,1330,7117,2799,1305,1584,973,2377,-5787,1494,611
2006-10-10,11681,3607,1466,1266,6960,3088,1472,1580,902,2141,-5694,1616,678
2006-10-17,11498,3767,1337,1254,6926,3018,1497,1427,1067,2430,-5672,1521,360
2006-10-24,12139,2907,1425,1295,6985,2887,1915,2685,1044,1482,-5690,972,1641
2006-10-31,12707,4521,1459,1252,7279,3008,2005,1282,1060,3062,-6027,1003,222
2006-11-07,12963,4904,1396,1173,7855,2986,1975,1354,1187,3508,-6682,1011,167
2006-11-14,12931,4500,1301,1028,7648,2837,1760,1416,1071,3199,-6620,1077,345
2006-11-21,12632,3762,1236,1329,7231,2841,1423,1375,954,2526,-5902,1418,421
2006-11-28,11506,3180,1272,1120,6893,2749,1341,1537,954,1908,-5773,1408,583
2006-12-05,11042,3221,1431,1086,6813,3032,1465,1377,1065,1790,-5727,1567,312
2006-12-12,11196,3289,1530,1040,6712,3042,1542,1396,1068,1759,-5672,1500,328
2006-12-19,11185,3093,1590,854,6615,3374,1495,1411,1010,1503,-5761,1879,401
2006-12-26,11332,3144,1587,922,6719,3409,1495,1401,1097,1557,-5797,1914,304
2007-01-03,12459,4224,1551,1105,7459,3162,1728,1512,1287,2673,-6354,1434,225
2007-01-09,12873,4717,1535,924,7669,2988,1883,1658,1346,3182,-6745,1105,312
2007-01-16,12924,4660,1500,852,7792,2926,2007,1819,1269,3160,-6940,919,550
2007-01-23,14479,5961,1457,897,8952,2717,2319,2364,1448,4504,-8055,398,916
2007-01-30,15607,6068,1111,873,9754,2555,2606,3057,1504,4957,-8881,-51,1553
2007-02-06,15654,5950,1076,929,9867,2468,2658,3204,1467,4874,-8938,-190,1737
2007-02-13,16358,5610,1251,961,9944,2809,2647,3320,1415,4359,-8983,162,1905
2007-02-20,15572,4782,1125,999,9382,2890,2799,3478,1350,3657,-8383,91,2128
2007-02-27,17344,5392,1335,1868,10923,3096,2931,3755,1165,4057,-9055,165,2590
2007-03-06,15612,5193,1220,984,10463,3259,2557,3548,731,3973,-9479,702,2817
2007-03-13,15502,5568,1248,888,10620,3365,2605,3405,705,4320,-9732,760,2700
2007-03-20,15320,5367,1249,950,10536,3385,2608,3348,679,4118,-9586,777,2669
2007-03-27,15673,5497,1391,986,10539,3188,2558,3324,780,4106,-9553,630,2544
2007-04-03,15692,5566,1238,977,10951,3049,2321,3399,769,4328,-9974,728,2630
2007-04-10,16337,6092,1205,1007,11136,3028,2900,3401,776,4887,-10129,128,2625
2007-04-17,18857,7968,1396,954,12175,2837,3958,4126,927,6572,-11221,-1121,3199
2007-04-24,19881,8944,1508,1008,12767,2587,4354,4282,897,7436,-11759,-1767,3385
2007-05-01,20105,9616,1310,1045,13439,2300,4024,4094,924,8306,-12394,-1724,3170
2007-05-08,20373,9693,1278,1073,13414,2054,4070,4381,923,8415,-12341,-2016,3458
2007-05-15,19975,9114,1297,1128,12996,2668,3876,3794,946,7817,-11868,-1208,2848
2007-05-22,19106,8911,1272,1089,12456,2350,3414,3606,1055,7639,-11367,-1064,2551
2007-05-29,19332,8982,1344,1611,12841,2316,3418,3392,1005,7638,-11230,-1102,2387
2007-06-05,18107,8755,810,1105,12731,2432,3530,2938,668,7945,-11626,-1098,2270
2007-06-12,18198,8980,836,1114,12733,2408,3593,2992,700,8144,-11619,-1185,2292
2007-06-19,18634,9442,834,1111,12949,2298,3136,3070,1439,8608,-11838,-838,1631
2007-06-26,18165,9816,713,947,13786,1756,2684,3138,631,9103,-12839,-928,2507
2007-07-03,17549,9425,965,951,13099,1652,2653,2930,439,8460,-12148,-1001,2491
2007-07-10,17613,9635,866,950,13166,1539,2750,2881,431,8769,-12216,-1211,2450
2007-07-17,17724,9870,895,944,13256,1314,2749,2958,431,8975,-12312,-1435,2527
2007-07-24,18966,10172,795,951,14525,2162,2787,2989,488,9377,-13574,-625,2501
2007-07-31,18623,10039,1008,981,13799,2192,2818,2825,455,9031,-12818,-626,2370
2007-08-07,18920,9937,986,949,13637,2615,3169,2807,454,8951,-12688,-554,2353
2007-08-14,17996,9197,1552,908,12147,2442,2879,2850,471,7645,-11239,-437,2379
2007-08-21,17677,8097,1737,1465,11053,2426,2291,2475,620,6360,-9588,135,1855
2007-08-28,17819,7924,2001,1749,10719,2460,2228,2585,777,5923,-8970,232,1808
