date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,8616,3257,3164,1297,3059,1176,967,361,0,93,-1762,209,361
2006-06-20,7380,2964,2018,932,3319,1100,875,260,0,946,-2387,225,260
2006-06-27,8093,3036,1908,1046,3622,1317,1093,300,60,1128,-2576,224,240
2006-07-03,7338,3058,1178,656,3905,1185,1266,367,60,1880,-3249,-81,307
2006-07-11,8213,3897,833,423,4336,1044,2052,492,113,3064,-3913,-1008,379
2006-07-18,9022,4471,833,438,4925,1043,2000,478,60,3638,-4487,-957,418
2006-07-25,8567,4145,583,432,4903,1137,1946,478,65,3562,-4471,-809,413
2006-08-01,9272,4789,383,404,5219,1175,2451,526,129,4406,-4815,-1276,397
2006-08-08,10176,5083,383,394,5517,1260,2894,702,145,4700,-5123,-1634,557
2006-08-15,9948,4901,383,420,5169,1174,2996,751,60,4518,-4749,-1822,691
2006-08-22,9877,4588,383,455,5135,1121,2912,945,0,4205,-4680,-1791,945
2006-08-29,9665,4612,525,537,5036,1125,2643,756,0,4087,-4499,-1518,756
2006-09-05,10269,5203,575,601,5371,1176,3146,687,70,4628,-4770,-1970,617
2006-09-12,9399,4359,600,461,4804,1165,2671,1288,0,3759,-4343,-1506,1288
2006-09-19,8528,3433,550,739,4074,1081,2440,1338,0,2883,-3335,-1359,1338
2006-09-26,8451,3422,671,682,3993,1143,2247,1189,73,2751,-3311,-1104,1116
2006-10-03,7682,3389,863,521,3833,1254,1864,914,101,2526,-3312,-610,813
2006-10-10,6968,2716,1501,543,3177,1299,926,696,142,1215,-2634,373,554
2006-10-17,7288,2700,1572,532,3436,1716,1060,620,0,1128,-2904,656,620
2006-10-24,7046,2530,1426,653,3138,1182,848,934,242,1104,-2485,334,692
2006-10-31,7648,2744,1739,853,3227,1537,1169,612,135,1005,-2374,368,477
2006-11-07,9085,3125,1354,995,4251,2013,2069,987,194,1771,-3256,-56,793
2006-11-14,8258,2942,1336,702,4352,1403,1576,1142,0,1606,-3650,-173,1142
2006-11-21,7580,2797,804,480,4118,1227,1456,845,0,1993,-3638,-229,845
2006-11-28,8099,2748,817,543,4340,1320,1749,567,74,1931,-3797,-429,493
2006-12-05,8034,2405,810,775,4273,1435,1857,497,170,1595,-3498,-422,327
2006-12-12,8162,2312,775,826,3802,1350,1922,558,225,1537,-2976,-572,333
2006-12-19,8167,2410,743,770,3776,1435,1843,567,205,1667,-3006,-408,362
2006-12-26,8549,2575,781,1226,4059,1355,1900,168,250,1794,-2833,-545,-82
2007-01-03,8383,3370,805,1036,4295,1310,1920,345,338,2565,-3259,-610,7
2007-01-09,8058,2958,975,1074,4051,1284,1472,399,320,1983,-2977,-188,79
2007-01-16,8504,3247,776,1230,4257,1310,2083,399,365,2471,-3027,-773,34
2007-01-23,9102,3946,725,803,4736,1335,2287,581,393,3221,-3933,-952,188
2007-01-30,9855,4416,834,951,5125,1324,2529,771,451,3582,-4174,-1205,320
2007-02-06,10390,4264,919,1117,4716,1234,3059,854,316,3345,-3599,-1825,538
2007-02-13,10596,4705,1149,1129,4778,1216,3059,894,280,3556,-3649,-1843,614
2007-02-20,10924,5120,876,1265,5093,1209,3185,791,507,4244,-3828,-1976,284
2007-02-27,12293,5950,814,1139,5744,1299,3437,831,625,5136,-4605,-2138,206
2007-03-06,11025,5067,457,1243,5418,1240,3174,454,379,4610,-4175,-1934,75
2007-03-13,10719,5300,435,1251,5256,1086,3364,424,290,4865,-4005,-2278,134
2007-03-20,11340,5818,721,1054,5309,1133,3467,474,386,5097,-4255,-2334,88
2007-03-27,11320,6010,720,1074,5660,1160,3590,505,242,5290,-4586,-2430,263
2007-04-03,11787,6622,1068,762,5760,1255,3570,593,441,5554,-4998,-2315,152
2007-04-10,12684,7113,1199,735,6356,1247,3748,954,527,5914,-5621,-2501,427
2007-04-17,13788,7827,1025,679,6627,1284,5004,1558,384,6802,-5948,-3720,1174
2007-04-24,14767,8316,1025,776,7549,1232,5008,1437,465,7291,-6773,-3776,972
2007-05-01,14652,8524,886,636,7859,1235,5022,1138,218,7638,-7223,-3787,920
2007-05-08,15130,9129,695,690,8060,1138,5012,1011,323,8434,-7370,-3874,688
2007-05-15,16081,9992,752,781,8485,1150,5579,1126,247,9240,-7704,-4429,879
2007-05-22,15141,9388,984,924,7770,1138,5211,860,299,8404,-6846,-4073,561
2007-05-29,14738,8770,712,1028,7658,860,4784,713,311,8058,-6630,-3924,402
2007-06-05,14730,8726,530,970,7622,872,4727,909,393,8196,-6652,-3855,516
2007-06-12,15187,9444,589,976,7947,777,4815,752,349,8855,-6971,-4038,403
2007-06-19,15231,9402,535,910,7617,851,5224,749,392,8867,-6707,-4373,357
2007-06-26,15288,8316,744,1550,7059,902,5618,973,442,7572,-5509,-4716,531
2007-07-03,14533,8602,525,1232,6864,905,5702,1027,563,8077,-5632,-4797,464
2007-07-10,15801,9681,758,784,7606,877,6053,1208,597,8923,-6822,-5176,611
2007-07-17,17001,10564,690,880,7970,841,6793,1568,633,9874,-7090,-5952,935
2007-07-24,18768,11771,607,893,8966,852,7504,1914,802,11164,-8073,-6652,1112
2007-07-31,14773,7637,375,1863,7198,905,5941,1400,503,7262,-5335,-5036,897
2007-08-07,14573,7546,433,1656,7222,874,5544,1400,561,7113,-5566,-4670,839
2007-08-14,12933,5695,390,1987,6027,1058,5287,1455,378,5305,-4040,-4229,1077
2007-08-21,11119,4371,1001,1973,4967,1114,3260,1369,350,3370,-2994,-2146,1019
2007-08-28,10529,4128,828,1844,4798,1113,3455,1350,278,3300,-2954,-2342,1072
2007-09-04,10881,3834,710,2032,5060,993,3264,1439,269,3124,-3028,-2271,1170
2007-09-11,11352,4456,633,2030,5764,918,3748,1610,338,3823,-3734,-2830,1272
2007-09-18,12205,5576,684,1627,5941,927,4222,1527,464,4892,-4314,-3295,1063
2007-09-25,13729,6933,346,823,6178,916,5078,1839,495,6587,-5355,-4162,1344
2007-10-02,14621,7992,1017,757,6387,918,5590,1577,697,6975,-5630,-4672,880
2007-10-09,14894,8221,910,1330,6743,872,5487,1271,721,7311,-5413,-4615,550
2007-10-16,14968,8602,949,683,7429,918,4742,1407,822,7653,-6746,-3824,585
2007-10-23,15504,9044,920,812,8125,954,4565,1540,854,8124,-7313,-3611,686
2007-10-30,15695,8863,1100,903,7618,917,4906,1599,1044,7763,-6715,-3989,555
2007-11-06,16382,9510,1300,791,7801,900,5318,1867,1085,8210,-7010,-4418,782
2007-11-13,13865,7311,1204,836,6884,1074,4060,1897,826,6107,-6048,-2986,1071
2007-11-20,13979,7491,1391,600,5989,1067,4598,1890,743,6100,-5389,-3531,1147
2007-11-27,13612,6993,1774,649,5243,873,4642,1788,718,5219,-4594,-3769,1070
2007-12-04,13897,7386,1820,455,4675,948,4819,1542,1119,5566,-4220,-3871,423
2007-12-11,14092,7713,1616,379,4963,731,4843,1593,1187,6097,-4584,-4112,406
2007-12-18,16213,9011,1668,370,6051,677,6158,1905,1045,7343,-5681,-5481,860
2007-12-24,16670,9577,1614,363,6440,706,6493,2156,910,7963,-6077,-5787,1246
2007-12-31,17562,10453,1477,230,6870,709,7194,2194,782,8976,-6640,-6485,1412
2008-01-08,19500,12144,1737,289,8167,781,7536,2425,1079,10407,-7878,-6755,1346
2008-01-15,17970,10782,1504,340,7328,889,6700,2163,1283,9278,-6988,-5811,880
2008-01-22,16847,9949,1225,412,6576,787,6812,2195,1136,8724,-6164,-6025,1059
2008-01-29,16759,9559,1689,552,6807,877,5791,1854,988,7870,-6255,-4914,866
2008-02-05,15705,8956,1578,541,6885,809,4554,1692,1201,7378,-6344,-3745,491
2008-02-12,15135,8037,1773,424,6380,736,4172,2068,1240,6264,-5956,-3436,828
2008-02-19,16153,7725,1393,647,6193,1332,4793,2353,1650,6332,-5546,-3461,703
2008-02-26,15486,7696,1574,1008,6009,796,5090,1442,1369,6122,-5001,-4294,73
2008-03-04,15014,6861,1346,1321,5983,710,4838,1678,1327,5515,-4662,-4128,351
2008-03-11,13669,6407,827,1808,5262,493,5023,1189,1162,5580,-3454,-4530,27
2008-03-18,12575,5328,813,1304,4406,615,4528,1057,1120,4515,-3102,-3913,-63
2008-03-25,11413,5517,439,1119,3492,468,5100,846,1127,5078,-2373,-4632,-281
2008-04-01,12018,6402,609,1150,4253,311,4436,879,1069,5793,-3103,-4125,-190
