date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,48363,7682,0,21321,40069,10471,720,1090,0,7682,-18748,9751,1090
2006-06-20,49860,8338,0,22487,40127,10330,720,1000,695,8338,-17640,9610,305
2006-06-27,50591,8264,0,22786,40242,10041,729,1074,199,8264,-17456,9312,875
2006-07-03,50886,7492,1,23909,40643,10590,1034,950,573,7491,-16734,9556,377
2006-07-11,51535,7113,333,23142,40926,10865,1137,1092,18,6780,-17784,9728,1074
2006-07-18,53697,6843,891,25187,43068,11200,669,950,0,5952,-17881,10531,950
2006-07-25,54004,7238,1206,24669,42610,11022,287,1100,33,6032,-17941,10735,1067
2006-08-01,52556,8452,1200,19850,38874,11878,477,1697,150,7252,-19024,11401,1547
2006-08-08,58142,9099,591,19202,43099,13629,491,2777,449,8508,-23897,13138,2328
2006-08-15,63625,10301,0,21544,50579,17417,182,1715,202,10301,-29035,17235,1513
2006-08-22,68696,9830,0,25641,54395,17963,499,1657,440,9830,-28754,17464,1217
2006-08-29,69973,8760,741,26727,56028,18277,595,1667,224,8019,-29301,17682,1443
2006-09-05,75227,9437,273,29276,60576,19581,771,2256,679,9164,-31300,18810,1577
2006-09-12,82510,10649,673,33122,66163,19954,749,1728,400,9976,-33041,19205,1328
2006-09-19,88521,10286,1567,40510,72233,20225,747,1654,326,8719,-31723,19478,1328
2006-09-26,90970,7810,2101,41019,70539,21783,745,1859,969,5709,-29520,21038,890
2006-10-03,96006,7243,2895,43457,72444,22891,967,2519,359,4348,-28987,21924,2160
2006-10-10,98659,7533,2908,46298,75246,21872,917,1987,69,4625,-28948,20955,1918
2006-10-17,104225,8593,4218,51048,80693,22607,772,2002,0,4375,-29645,21835,2002
2006-10-24,107080,9163,6078,50555,79685,22986,606,2341,211,3085,-29130,22380,2130
2006-10-31,110928,10249,10092,53462,79141,23893,572,3260,327,157,-25679,23321,2933
2006-11-07,118997,10619,10719,57623,84250,24655,938,3081,507,-100,-26627,23717,2574
2006-11-14,126065,12046,8341,61939,91096,24492,1749,3409,530,3705,-29157,22743,2879
2006-11-21,131287,14731,8304,64231,96228,23984,1759,3836,464,6427,-31997,22225,3372
2006-11-28,128887,15209,8216,61701,95141,24624,1776,3618,1593,6993,-33440,22848,2025
2006-12-05,131137,16622,8324,58525,96809,25158,1635,4331,513,8298,-38284,23523,3818
2006-12-12,138730,20386,11275,59755,100496,26214,2154,4593,600,9111,-40741,24060,3993
2006-12-19,148303,20127,8935,62598,109877,26873,2113,5376,357,11192,-47279,24760,5019
2006-12-26,154602,19827,14158,68734,111235,28750,2402,5551,292,5669,-42501,26348,5259
2007-01-03,159760,23168,17942,67261,109803,31040,1994,5136,425,5226,-42542,29046,4711
2007-01-09,173772,23981,20843,75917,114787,32794,2336,6466,975,3138,-38870,30458,5491
2007-01-16,183358,23863,21985,79957,116742,33405,2905,6944,942,1878,-36785,30500,6002
2007-01-23,187430,25304,24191,81821,116980,32772,2600,5859,1214,1113,-35159,30172,4645
2007-01-30,180484,27901,18658,70618,115670,33010,2397,5984,1490,9243,-45052,30613,4494
2007-02-06,178802,27707,16571,67773,113437,32128,2458,5357,1556,11136,-45664,29670,3801
2007-02-13,182886,26614,14860,72025,118409,31680,2427,6075,1894,11754,-46384,29253,4181
2007-02-20,187640,27282,14021,75906,119192,27670,2631,6183,2093,13261,-43286,25039,4090
2007-02-27,185477,26239,8216,71773,124092,27457,1939,5229,2075,18023,-52319,25518,3154
2007-03-06,192635,29622,7108,73982,128673,27559,3203,5298,1924,22514,-54691,24356,3374
2007-03-13,197403,30729,5788,74127,128713,27517,4558,4954,2868,24941,-54586,22959,2086
2007-03-20,199005,29716,4428,75974,129807,25940,5358,5206,2189,25288,-53833,20582,3017
2007-03-27,198061,35274,4506,62695,120791,26566,5631,5138,3065,30768,-58096,20935,2073
2007-04-03,203834,36513,5035,62976,123555,26426,5316,5690,3124,31478,-60579,21110,2566
2007-04-10,206506,37036,4894,63087,122410,26545,4374,5278,4050,32142,-59323,22171,1228
2007-04-17,223991,35897,5576,78659,135149,26736,4833,5428,4762,30321,-56490,21903,666
2007-04-24,231448,35509,5707,80599,130150,24988,6167,5334,6249,29802,-49551,18821,-915
2007-05-01,221515,39800,4799,62980,118568,24599,9538,6464,6226,35001,-55588,15061,238
2007-05-08,224356,37566,8683,66155,115486,24895,10744,7809,6756,28883,-49331,14151,1053
2007-05-15,239955,40372,9774,72050,118124,23399,11707,7422,7117,30598,-46074,11692,305
2007-05-22,248734,38613,11394,76438,120001,23030,12068,7718,6664,27219,-43563,10962,1054
2007-05-29,224843,38032,9796,71865,115078,21694,10523,7170,6546,28236,-43213,11171,624
2007-06-05,220265,38147,7709,62162,112090,22845,9476,7439,5269,30438,-49928,13369,2170
2007-06-12,234182,36135,5070,80649,129136,21577,10541,7418,5055,31065,-48487,11036,2363
2007-06-19,245003,41660,2880,78718,134740,22000,10802,6540,4523,38780,-56022,11198,2017
2007-06-26,225997,43667,3528,72261,130937,23309,10845,5883,4868,40139,-58676,12464,1015
2007-07-03,217812,45451,4089,65668,125449,23135,9211,3656,5143,41362,-59781,13924,-1487
2007-07-10,230868,51462,4114,69857,135692,23222,9495,4711,5234,47348,-65835,13727,-523
2007-07-17,220640,42017,5596,79111,134551,22277,9063,5543,4853,36421,-55440,13214,690
2007-07-24,229044,40875,5382,86231,141351,22744,9105,5863,4979,35493,-55120,13639,884
2007-07-31,214376,45082,5605,78152,134796,24188,8625,5246,5829,39477,-56644,15563,-583
2007-08-07,213750,41055,6730,78664,129551,24643,8639,5796,6565,34325,-50887,16004,-769
2007-08-14,216695,35044,7386,85936,131893,26898,8172,6121,6394,27658,-45957,18726,-273
2007-08-21,217762,30575,8953,86138,126766,24915,8474,8274,6476,21622,-40628,16441,1798
2007-08-28,198450,32696,7362,75243,118154,24504,8514,6953,6397,25334,-42911,15990,556
2007-09-04,193355,39439,6049,69047,119431,22657,6792,5570,6845,33390,-50384,15865,-1275
2007-09-11,198336,43864,5393,71807,128429,23244,6338,5595,6355,38471,-56622,16906,-760
2007-09-18,218551,53488,4882,78672,146638,23032,4999,5318,5922,48606,-67966,18033,-604
2007-09-25,213695,53135,4182,72949,142002,23366,6061,6640,5516,48953,-69053,17305,1124
2007-10-02,209869,48849,4419,70548,139381,24753,5328,8109,5230,44430,-68833,19425,2879
2007-10-09,212436,51376,3767,73840,148512,25488,4616,7385,4741,47609,-74672,20872,2644
2007-10-16,221784,55181,3045,72328,150006,25773,4139,6209,4779,52136,-77678,21634,1430
2007-10-23,228249,56827,3015,73004,155866,26345,4554,8128,4916,53812,-82862,21791,3212
2007-10-30,222573,56167,4010,63147,147706,27128,4333,7841,5117,52157,-84559,22795,2724
2007-11-06,238484,51299,3514,77467,157203,27984,4159,7115,5186,47785,-79736,23825,1929
2007-11-13,247245,51355,3143,88224,168482,27163,3804,5989,4806,48212,-80258,23359,1183
2007-11-20,249295,53709,3523,83796,169496,28440,3589,9416,4590,50186,-85700,24851,4826
2007-11-27,235990,51324,4306,79080,163958,29097,3831,9340,5010,47018,-84878,25266,4330
2007-12-04,226565,42282,5752,77389,151008,29682,4595,8800,2723,36530,-73619,25087,6077
2007-12-11,237249,41196,6659,83526,154464,29461,4038,7544,2753,34537,-70938,25423,4791
2007-12-18,247688,45775,5675,88991,160676,27990,3578,6345,2651,40100,-71685,24412,3694
2007-12-24,249870,49180,6259,85787,163962,29698,3462,6438,2928,42921,-78175,26236,3510
2007-12-31,238771,54045,4420,71565,161253,32189,3422,5994,2354,49625,-89688,28767,3640
2008-01-08,256290,50389,7359,81980,172364,35677,3034,7095,1557,43030,-90384,32643,5538
2008-01-15,266567,35781,14683,97061,169745,42087,2569,7918,4587,21098,-72684,39518,3331
2008-01-22,282656,32773,8772,109769,184297,43386,3310,8094,5136,24001,-74528,40076,2958
2008-01-29,282346,34076,8666,106555,182011,44778,2851,8816,7962,25410,-75456,41927,854
2008-02-05,288259,31468,13849,107623,177173,43547,1525,9356,8226,17619,-69550,42022,1130
2008-02-12,303884,39607,10457,105362,187147,43322,1731,9569,8865,29150,-81785,41591,704
2008-02-19,313562,48662,8359,98562,194804,44494,2002,8283,7495,40303,-96242,42492,788
2008-02-26,297672,54730,11347,84916,183533,42306,2251,8236,8915,43383,-98617,40055,-679
2008-03-04,277504,51258,13789,83320,168741,36078,6163,9652,3948,37469,-85421,29915,5704
2008-03-11,294773,57458,14119,84377,176299,38214,5804,10959,3634,43339,-91922,32410,7325
2008-03-18,298940,47668,9580,102538,188773,34140,3915,10668,2146,38088,-86235,30225,8522
