date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,646106,22886,98577,322952,174840,56677,99632,17347,21316,79563,198209,-118646,322952,174840,148112,56677,99632,-42955,-3969
2006-06-20,422954,24068,115348,256930,124326,62342,103301,13527,19734,86410,218649,-132239,256930,124326,132604,62342,103301,-40959,-6207
2006-06-27,428568,29552,125244,264402,138639,57793,85783,10549,16155,87345,211027,-123682,264402,138639,125763,57793,85783,-27990,-5606
2006-07-03,433982,34195,125066,269335,142099,57946,86334,6332,15722,92141,211400,-119259,269335,142099,127236,57946,86334,-28388,-9390
2006-07-11,426573,29989,124648,267263,142328,56994,80665,4487,14364,86983,205313,-118330,267263,142328,124935,56994,80665,-23671,-9877
2006-07-18,442058,26834,129477,277834,151075,53975,76552,7738,15113,80809,206029,-125220,277834,151075,126759,53975,76552,-22577,-7375
2006-07-25,453375,26152,131355,273623,151772,57840,76324,11708,12528,83992,207679,-123687,273623,151772,121851,57840,76324,-18484,-820
2006-08-01,459812,24508,129033,274812,158991,57184,78737,13881,12557,81692,207770,-126078,274812,158991,115821,57184,78737,-21553,1324
2006-08-08,464644,24436,126772,278302,157544,55225,84831,12463,15446,79661,211603,-131942,278302,157544,120758,55225,84831,-29606,-2983
2006-08-15,472493,25963,131241,283844,159617,62531,89783,9656,14817,88494,221024,-132530,283844,159617,124227,62531,89783,-27252,-5161
2006-08-22,473930,26507,130925,286564,161286,67535,88558,6551,14798,94042,219483,-125441,286564,161286,125278,67535,88558,-21023,-8247
2006-08-29,466862,29453,130411,281896,152964,69779,93742,7572,17731,99232,224153,-124921,281896,152964,128932,69779,93742,-23963,-10159
2006-09-05,464784,29442,125383,266593,149153,73673,96966,7409,16731,103115,222349,-119234,266593,149153,117440,73673,96966,-23293,-9322
2006-09-12,525769,31478,121091,270541,146020,66255,100500,8394,15612,97733,221591,-123858,270541,146020,124521,66255,100500,-34245,-7218
2006-09-19,406452,29922,119344,253214,124005,47947,90514,37,20173,77869,209858,-131989,253214,124005,129209,47947,90514,-42567,-20136
2006-09-26,424967,32848,119443,253507,117267,54728,115461,298,19126,87576,234904,-147328,253507,117267,136240,54728,115461,-60733,-18828
2006-10-03,428583,33216,121932,256276,107881,50727,120124,126,20805,83943,242056,-158113,256276,107881,148395,50727,120124,-69397,-20679
2006-10-10,433292,36254,120757,261399,110735,57392,125394,347,18712,93646,246151,-152505,261399,110735,150664,57392,125394,-68002,-18365
2006-10-17,426252,38629,107474,242580,128406,53802,106911,12,23325,92431,214385,-121954,242580,128406,114174,53802,106911,-53109,-23313
2006-10-24,419037,39754,100477,220988,136224,64933,105623,55,21922,104687,206100,-101413,220988,136224,84764,64933,105623,-40690,-21867
2006-10-31,424357,38751,96138,217652,140580,72132,110374,333,22453,110883,206512,-95629,217652,140580,77072,72132,110374,-38242,-22120
2006-11-07,415052,41473,97076,222329,116208,59992,129102,394,22165,101465,226178,-124713,222329,116208,106121,59992,129102,-69110,-21771
2006-11-14,424826,47138,97591,222433,114287,66124,136650,824,24372,113262,234241,-120979,222433,114287,108146,66124,136650,-70526,-23548
2006-11-21,415142,55277,94716,205942,123160,63876,120324,1015,25612,119153,215040,-95887,205942,123160,82782,63876,120324,-56448,-24597
2006-11-28,408211,54530,94612,202194,109819,61325,124514,1399,29166,115855,219126,-103271,202194,109819,92375,61325,124514,-63189,-27767
2006-12-05,438016,58528,96143,206630,112342,63796,127131,1039,30065,122324,223274,-100950,206630,112342,94288,63796,127131,-63335,-29026
2006-12-12,477420,60054,93498,204225,108047,60546,129197,698,30062,120600,222695,-102095,204225,108047,96178,60546,129197,-68651,-29364
2006-12-19,348845,56220,90208,153478,91639,73521,108732,2350,12021,129741,198940,-69199,153478,91639,61839,73521,108732,-35211,-9671
2006-12-26,355662,57441,90017,156405,96581,75473,107336,3459,13121,132914,197353,-64439,156405,96581,59824,75473,107336,-31863,-9662
2007-01-03,355683,58859,91203,158499,92759,75429,111421,2806,13846,134288,202624,-68336,158499,92759,65740,75429,111421,-35992,-11040
2007-01-09,360890,50981,94261,162288,90808,73771,109976,5584,12486,124752,204237,-79485,162288,90808,71480,73771,109976,-36205,-6902
2007-01-16,372680,47127,103620,169431,96068,80159,107339,4861,13076,127286,210959,-83673,169431,96068,73363,80159,107339,-27180,-8215
2007-01-23,373294,48177,107581,180766,93830,76097,109915,4860,13152,124274,217496,-93222,180766,93830,86936,76097,109915,-33818,-8292
2007-01-30,380202,46659,107869,182672,89276,80584,111547,2940,15123,127243,219416,-92173,182672,89276,93396,80584,111547,-30963,-12183
