date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,163132,21445,5659,20386,42554,4276,26423,8721,2186,15786,-22168,-22147,6535
2006-06-20,161702,20212,6584,22672,43904,5739,25298,8778,2277,13628,-21232,-19559,6501
2006-06-27,141778,19131,6351,21210,37728,5479,24855,8047,4725,12780,-16518,-19376,3322
2006-07-03,131659,19253,2699,17188,39594,7627,24463,7805,4555,16554,-22406,-16836,3250
2006-07-11,135926,20355,2292,17402,40416,7162,23318,7085,5190,18063,-23014,-16156,1895
2006-07-18,135165,19678,3993,15498,40448,9919,23180,7578,4556,15685,-24950,-13261,3022
2006-07-25,132941,19518,3560,14678,39511,9412,23491,7462,4203,15958,-24833,-14079,3259
2006-08-01,133573,22655,3932,14914,40195,8586,25262,6004,4474,18723,-25281,-16676,1530
2006-08-08,146644,27083,3344,14215,42261,9410,27453,6309,4841,23739,-28046,-18043,1468
2006-08-15,149122,27005,3294,15603,42727,8961,27248,5791,4971,23711,-27124,-18287,820
2006-08-22,156771,28126,2606,15782,44232,8665,27534,6461,5850,25520,-28450,-18869,611
2006-08-29,144938,27654,3977,14636,41986,8240,27251,6217,5054,23677,-27350,-19011,1163
2006-09-05,145645,29447,4649,13571,42842,9148,27782,6289,5968,24798,-29271,-18634,321
2006-09-12,135528,22128,6359,14935,39064,11140,25015,7214,5359,15769,-24129,-13875,1855
2006-09-19,134640,18202,8445,15939,38431,12439,23441,7182,2992,9757,-22492,-11002,4190
2006-09-26,134036,19458,7912,16817,38414,11614,24686,6050,2204,11546,-21597,-13072,3846
2006-10-03,132231,18545,7303,16755,38425,11609,24404,5784,1331,11242,-21670,-12795,4453
2006-10-10,134365,19115,7463,18061,38961,11391,24962,5721,1353,11652,-20900,-13571,4368
2006-10-17,142505,22446,6655,18431,41112,10869,27074,6020,2528,15791,-22681,-16205,3492
2006-10-24,145379,23268,6593,18608,42509,10206,27428,7731,1895,16675,-23901,-17222,5836
2006-10-31,146743,26792,5889,16477,42600,10158,29031,5845,2211,20903,-26123,-18873,3634
2006-11-07,151596,29509,6104,16633,45098,9610,29494,6180,2254,23405,-28465,-19884,3926
2006-11-14,156613,33759,5684,15202,47173,9183,30189,6924,2616,28075,-31971,-21006,4308
2006-11-21,156551,34880,5384,16804,50482,9213,31025,6822,1863,29496,-33678,-21812,4959
2006-11-28,136194,36335,4941,12700,49259,9784,31178,7258,1584,31394,-36559,-21394,5674
2006-12-05,136023,39679,4369,11318,50817,11629,32253,6475,2253,35310,-39499,-20624,4222
2006-12-12,139533,41213,4379,11932,52882,11694,32941,7725,3185,36834,-40950,-21247,4540
2006-12-19,133716,28303,4873,13493,49630,12064,29360,11711,1578,23430,-36137,-17296,10133
2006-12-26,127538,26658,4861,13076,47598,13661,28565,10760,1957,21797,-34522,-14904,8803
2007-01-03,130632,26342,6108,14951,46923,11743,28409,9635,2001,20234,-31972,-16666,7634
2007-01-09,129245,27557,5363,14035,44620,11095,27981,9497,2085,22194,-30585,-16886,7412
2007-01-16,128950,27159,4997,14743,44061,9079,28249,9230,2398,22162,-29318,-19170,6832
2007-01-23,138587,29390,4859,17406,48624,8893,30392,9841,2270,24531,-31218,-21499,7571
2007-01-30,141480,32980,5416,16869,50715,8618,31550,9936,2277,27564,-33846,-22932,7659
2007-02-06,147958,35687,5825,17917,52694,8498,32448,9872,2559,29862,-34777,-23950,7313
2007-02-13,157834,39606,6495,18807,55162,8446,33789,10102,3070,33111,-36355,-25343,7032
2007-02-20,160547,41650,7023,18770,55861,8178,33310,10866,2709,34627,-37091,-25132,8157
2007-02-27,154686,50800,5743,16633,63511,7394,32402,9271,2654,45057,-46878,-25008,6617
2007-03-06,140844,29780,6673,17013,52865,10596,29469,10501,857,23107,-35852,-18873,9644
2007-03-13,137688,24424,6658,18159,49700,10973,29010,11656,642,17766,-31541,-18037,11014
2007-03-20,140501,23024,6434,18147,49497,11156,28732,11418,687,16590,-31350,-17576,10731
2007-03-27,136408,23048,6226,15341,49290,11735,28876,12681,600,16822,-33949,-17141,12081
2007-04-03,137916,24389,7597,12530,45254,11348,29418,12590,511,16792,-32724,-18070,12079
2007-04-10,147885,28073,8113,12779,48949,11729,31344,12668,889,19960,-36170,-19615,11779
2007-04-17,153283,31232,8138,12133,51263,11306,30797,13847,1438,23094,-39130,-19491,12409
2007-04-24,154004,32402,8992,12721,52707,11236,30547,14703,1220,23410,-39986,-19311,13483
2007-05-01,132297,28294,10874,8861,46085,12221,29224,13385,787,17420,-37224,-17003,12598
2007-05-08,132804,26632,11489,9436,44564,12896,29236,13770,772,15143,-35128,-16340,12998
2007-05-15,132019,26061,11396,8860,44506,13364,28851,14273,814,14665,-35646,-15487,13459
2007-05-22,133402,24034,13565,8330,40846,14152,27567,14831,907,10469,-32516,-13415,13924
2007-05-29,134942,25800,13275,8034,42985,13712,27510,14879,328,12525,-34951,-13798,14551
2007-06-05,141695,29876,10507,7596,45212,11999,29833,14313,1094,19369,-37616,-17834,13219
2007-06-12,144674,28468,11645,7550,44640,13939,29217,15245,1143,16823,-37090,-15278,14102
2007-06-19,151279,28425,9844,8186,49120,14087,29615,15438,0,18581,-40934,-15528,15438
2007-06-26,143650,24368,12207,10213,45736,16559,27360,14394,1626,12161,-35523,-10801,12768
2007-07-03,141312,24411,14890,10840,42257,17754,27349,13149,1250,9521,-31417,-9595,11899
2007-07-10,141360,24498,13410,9594,44406,17773,27473,14468,1121,11088,-34812,-9700,13347
2007-07-17,140322,24464,10753,9899,46142,17770,28582,13960,1442,13711,-36243,-10812,12518
2007-07-24,147323,29040,9053,10010,50435,16198,29339,13767,1607,19987,-40425,-13141,12160
2007-07-31,143544,24733,10331,11707,47207,17238,29460,13229,1030,14402,-35500,-12222,12199
2007-08-07,148151,25617,9167,13132,50121,17040,28905,13499,1213,16450,-36989,-11865,12286
2007-08-14,148045,19632,8689,14498,50312,18189,29060,15468,880,10943,-35814,-10871,14588
2007-08-21,150179,15978,12736,15752,48208,20714,21554,14125,1339,3242,-32456,-840,12786
2007-08-28,135059,14408,14069,13630,44289,20449,19306,11534,875,339,-30659,1143,10659
2007-09-04,132025,14451,14283,14232,42439,18395,18106,11930,1096,168,-28207,289,10834
2007-09-11,135725,15637,14348,13292,44209,17467,15555,12074,1221,1289,-30917,1912,10853
2007-09-18,139669,17086,12390,14184,46764,18274,16663,10914,1934,4696,-32580,1611,8980
2007-09-25,149867,26119,10734,10601,52250,17439,19134,11029,1441,15385,-41649,-1695,9588
2007-10-02,149720,28024,11053,9846,50916,17174,22272,10487,941,16971,-41070,-5098,9546
2007-10-09,153803,29615,9842,10836,54013,17123,22771,10937,2016,19773,-43177,-5648,8921
2007-10-16,161068,29383,9832,12107,55767,16595,23442,11741,1888,19551,-43660,-6847,9853
2007-10-23,160043,30300,9539,12638,56042,17209,23057,9956,1588,20761,-43404,-5848,8368
2007-10-30,174092,33498,9991,13649,59145,16908,24720,9783,2441,23507,-45496,-7812,7342
2007-11-06,202422,36994,9707,18770,69089,17201,24930,10716,2580,27287,-50319,-7729,8136
2007-11-13,194623,34548,9567,18104,68225,15189,24029,11136,2123,24981,-50121,-8840,9013
2007-11-20,193720,32224,10216,21438,69161,13795,23060,11535,1545,22008,-47723,-9265,9990
2007-11-27,179254,28420,10169,22015,66900,13315,22593,14216,768,18251,-44885,-9278,13448
2007-12-04,174713,25903,9122,23678,65366,13257,23031,13016,1529,16781,-41688,-9774,11487
2007-12-11,187510,27982,8873,26878,72339,13786,23079,13503,1821,19109,-45461,-9293,11682
2007-12-18,184158,23986,10795,28824,68836,13010,21674,13054,1293,13191,-40012,-8664,11761
2007-12-24,187916,26682,7573,29128,72932,12675,22674,12756,951,19109,-43804,-9999,11805
2007-12-31,191024,29581,6787,27829,73150,11395,23947,12811,943,22794,-45321,-12552,11868
2008-01-08,213535,38014,7946,28965,79176,10767,25386,12337,1974,30068,-50211,-14619,10363
2008-01-15,226925,41348,8703,28297,82260,12991,25559,13027,2843,32645,-53963,-12568,10184
2008-01-22,228778,45197,7780,29490,84472,10551,25643,11464,2739,37417,-54982,-15092,8725
2008-01-29,234250,44438,6104,29126,86172,11007,25568,11679,3479,38334,-57046,-14561,8200
2008-02-05,234465,45611,5173,30124,88501,11443,24871,11421,2249,40438,-58377,-13428,9172
2008-02-12,242449,49190,5195,30262,91873,12903,24707,12048,4049,43995,-61611,-11804,7999
2008-02-19,245791,48892,5495,30356,95337,12749,24255,12592,3570,43397,-64981,-11506,9022
2008-02-26,219587,48348,3855,24206,89819,16742,24356,11584,3487,44493,-65613,-7614,8097
2008-03-04,221282,44141,3365,24362,88269,17981,24690,13283,4782,40776,-63907,-6709,8501
2008-03-11,218459,41260,3723,24271,86991,17566,25748,14244,2007,37537,-62720,-8182,12237
2008-03-18,219284,42261,4082,24012,86497,16770,25663,13669,2386,38179,-62485,-8893,11283
2008-03-25,204456,31183,5281,24857,79766,19051,23934,14589,1869,25902,-54909,-4883,12720
2008-04-01,197288,29028,3529,24242,77165,19356,22998,13790,1966,25499,-52923,-3642,11824
2008-04-08,199725,29035,3992,25375,77043,18667,23317,14264,2599,25043,-51668,-4650,11665
2008-04-15,204091,29434,3609,25247,77612,18798,23923,13726,1735,25825,-52365,-5125,11991
2008-04-22,208635,31240,3754,27325,80063,18266,24827,12878,1417,27486,-52738,-6561,11461
2008-04-29,169857,29645,4267,18101,68118,17451,23171,13131,1815,25378,-50017,-5720,11316
2008-05-06,165979,29745,5047,15170,60833,15239,23710,11913,1590,24698,-45663,-8471,10323
2008-05-13,167647,30301,6318,13519,59435,15118,23672,11561,1597,23983,-45916,-8554,9964
2008-05-20,175014,34682,6225,13271,62065,14884,24376,11947,2990,28457,-48794,-9492,8957
