date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,201077,18205,24234,98194,103064,1854,1664,11760,9423,-6029,-4870,190,2337
2006-06-20,191263,14897,22329,95515,97465,2030,1038,11742,8628,-7432,-1950,992,3114
2006-06-27,197286,12064,31416,106425,90078,1734,1705,11520,11770,-19352,16347,29,-250
2006-07-03,198744,14444,29290,105547,94308,1203,2262,10544,10630,-14846,11239,-1059,-86
2006-07-11,201955,15692,32586,105584,97739,1878,2411,12171,10000,-16894,7845,-533,2171
2006-07-18,224584,15573,46643,123718,106173,1631,3415,15891,8096,-31070,17545,-1784,7795
2006-07-25,223029,16447,49433,122804,102295,1687,4297,15859,8043,-32986,20509,-2610,7816
2006-08-01,236932,14315,56029,131749,104048,4480,4402,15857,9247,-41714,27701,78,6610
2006-08-08,246157,15596,60731,138474,103641,1820,5604,16417,9443,-45135,34833,-3784,6974
2006-08-15,253540,14437,60762,140026,104000,1792,7002,16084,8784,-46325,36026,-5210,7300
2006-08-22,264917,13884,64605,144465,105157,1611,7664,16099,8624,-50721,39308,-6053,7475
2006-08-29,257179,13353,62356,141237,99251,1963,8126,15417,9966,-49003,41986,-6163,5451
2006-09-05,260297,14865,59156,142819,105470,2035,9274,15604,10389,-44291,37349,-7239,5215
2006-09-12,274243,12911,68126,152522,106919,1890,8136,17422,10100,-55215,45603,-6246,7322
2006-09-19,265883,14239,57608,142881,111259,1760,7341,16877,9076,-43369,31622,-5581,7801
2006-09-26,242971,13284,49947,134923,107792,1503,5990,12792,8592,-36663,27131,-4487,4200
2006-10-03,236995,12348,50329,125600,100678,1516,5552,12629,7518,-37981,24922,-4036,5111
2006-10-10,229892,14075,44118,120049,104829,1628,4874,12236,5241,-30043,15220,-3246,6995
2006-10-17,222487,17723,28482,105344,119267,1823,1702,14074,4249,-10759,-13923,121,9825
2006-10-24,225422,20550,24590,102781,127474,2895,1029,13356,4368,-4040,-24693,1866,8988
2006-10-31,233442,30976,18591,95655,140960,4598,917,11823,2403,12385,-45305,3681,9420
2006-11-07,245096,35489,13162,98505,155990,5707,353,11620,3151,22327,-57485,5354,8469
2006-11-14,241080,37321,13860,98597,158487,6057,297,12938,3532,23461,-59890,5760,9406
2006-11-21,227001,35305,14032,96557,153101,6289,652,14155,2292,21273,-56544,5637,11863
2006-11-28,233777,36111,14417,99340,156067,6743,279,11281,2789,21694,-56727,6464,8492
2006-12-05,226476,28358,17623,108210,143452,5437,508,8811,4133,10735,-35242,4929,4678
2006-12-12,226162,26679,14939,109251,145881,6201,401,9469,4951,11740,-36630,5800,4518
2006-12-19,225546,22568,16524,111135,141100,6500,388,10235,5271,6044,-29965,6112,4964
2006-12-26,212641,23773,16337,102297,135341,6935,353,9479,5074,7436,-33044,6582,4405
2007-01-03,206889,26112,18181,98228,129776,7281,383,9605,5225,7931,-31548,6898,4380
2007-01-09,206766,23049,18098,100062,127051,8263,279,8340,5646,4951,-26989,7984,2694
