date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,283576,56074,14522,59814,180084,63906,2102,9495,4663,41552,-120270,61804,4832
2006-06-20,274033,39927,20096,76280,164982,61695,1585,9234,6723,19831,-88702,60110,2511
2006-06-27,249213,39994,13903,63966,162240,62112,456,9263,5357,26091,-98274,61656,3906
2006-07-03,268341,53249,12314,59509,181589,63248,556,11652,4861,40935,-122080,62692,6791
2006-07-11,301281,76595,12493,55126,206659,67026,556,12716,6360,64102,-151533,66470,6356
2006-07-18,313126,79255,15377,70238,222034,66919,446,14833,5488,63878,-151796,66473,9345
2006-07-25,305727,72804,14004,72245,218875,66720,606,14062,4653,58800,-146630,66114,9409
2006-08-01,308851,68863,11006,70439,217406,66463,656,12596,3888,57857,-146967,65807,8708
2006-08-08,299780,68192,9342,66863,210179,65620,856,10739,4442,58850,-143316,64764,6297
2006-08-15,287874,49830,15456,75666,189432,64496,450,12026,3562,34374,-113766,64046,8464
2006-08-22,289585,43995,15917,76550,181669,65598,0,13544,4520,28078,-105119,65598,9024
2006-08-29,285727,39609,24278,79735,170732,66114,932,14095,7387,15331,-90997,65182,6708
2006-09-05,279157,37851,25888,75683,164684,67938,1425,14168,8044,11963,-89001,66513,6124
2006-09-12,286750,33443,34540,80220,155295,69407,3062,11994,6988,-1097,-75075,66345,5006
2006-09-19,295106,33875,39149,81285,152921,70040,3359,13020,6885,-5274,-71636,66681,6135
2006-09-26,287221,27581,39443,88077,141484,66552,4222,12139,8750,-11862,-53407,62330,3389
2006-10-03,283318,25809,44213,86330,134684,67304,5002,9680,8208,-18404,-48354,62302,1472
2006-10-10,281871,24596,38244,91918,145769,65851,5099,10254,6745,-13648,-53851,60752,3509
2006-10-17,288196,28108,27291,91831,164257,64913,4832,11861,5973,817,-72426,60081,5888
2006-10-24,284082,31879,6890,74563,181436,63206,2401,14916,6612,24989,-106873,60805,8304
2006-10-31,296845,40740,10241,78940,191287,63960,1387,9821,4296,30499,-112347,62573,5525
2006-11-07,307139,49820,10441,66677,197725,68459,1187,10635,2107,39379,-131048,67272,8528
2006-11-14,323188,60835,7273,65300,213497,68243,1275,13693,2824,53562,-148197,66968,10869
2006-11-21,313991,62119,6973,63375,218285,71898,1251,17870,2638,55146,-154910,70647,15232
2006-11-28,320744,60515,6760,67635,220484,72303,1164,14459,2397,53755,-152849,71139,12062
2006-12-05,313362,62821,9357,65515,213445,71593,1527,12520,3607,53464,-147930,70066,8913
2006-12-12,309287,61953,10179,64232,208954,70595,1310,13053,2636,51774,-144722,69285,10417
2006-12-19,305179,55747,9847,70925,200032,68852,1048,7828,2824,45900,-129107,67804,5004
2006-12-26,292012,51511,9352,69357,194692,67436,723,8365,2935,42159,-125335,66713,5430
2007-01-03,287650,55397,11410,63797,188436,68351,560,7450,3780,43987,-124639,67791,3670
2007-01-09,284729,53909,14227,64932,183141,68380,538,6951,3532,39682,-118209,67842,3419
2007-01-16,285977,51011,11065,65997,181851,65777,540,7282,4633,39946,-115854,65237,2649
2007-01-23,301040,59597,6688,60654,197424,68265,885,8322,4839,52909,-136770,67380,3483
2007-01-30,297968,58442,4750,58778,197752,66652,1069,9125,2873,53692,-138974,65583,6252
2007-02-06,317960,73286,9774,55885,213128,72962,951,9588,4077,63512,-157243,72011,5511
2007-02-13,332968,72321,9726,62677,222201,75216,751,9674,3950,62595,-159524,74465,5724
2007-02-20,331389,70091,7991,56912,218335,75149,851,9649,2862,62100,-161423,74298,6787
2007-02-27,311955,71807,3999,52964,213572,76591,851,12467,10575,67808,-160608,75740,1892
2007-03-06,296781,62906,6297,59020,195817,73305,316,10299,12577,56609,-136797,72989,-2278
2007-03-13,301952,62905,5982,59805,208846,72946,366,10655,3261,56923,-149041,72580,7394
2007-03-20,315477,66343,6685,63632,216828,73803,312,11715,3544,59658,-153196,73491,8171
2007-03-27,342741,78406,6972,68660,236983,75225,492,11492,4725,71434,-168323,74733,6767
2007-04-03,352807,80819,5019,76554,249819,77163,0,11191,4702,75800,-173265,77163,6489
2007-04-10,360431,86246,5461,76476,254622,78367,31,11224,5918,80785,-178146,78336,5306
2007-04-17,351314,81053,6797,78405,245382,77039,0,9320,6228,74256,-166977,77039,3092
2007-04-24,329345,71990,8649,78851,230946,74463,0,7090,6754,63341,-152095,74463,336
2007-05-01,333678,81431,5616,71435,237828,76884,0,7971,8046,75815,-166393,76884,-75
2007-05-08,325126,78360,5587,68017,230867,77429,0,7169,8505,72773,-162850,77429,-1336
2007-05-15,336549,80892,3810,70104,243669,80231,0,10110,8922,77082,-173565,80231,1188
2007-05-22,341846,80358,4528,72002,244329,83930,0,11424,9295,75830,-172327,83930,2129
2007-05-29,353686,81137,6758,75738,248742,83902,0,12932,9151,74379,-173004,83902,3781
