date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,484407,40085,42608,96365,153245,104543,6416,17912,20334,-2523,-56880,98127,-2422
2006-06-20,470526,36917,52192,104691,151768,108102,7120,17600,19603,-15275,-47077,100982,-2003
2006-06-27,414948,34717,68052,97195,126040,102948,7416,18244,17185,-33335,-28845,95532,1059
2006-07-03,410024,39376,44532,77386,131146,103145,6658,18790,19973,-5156,-53760,96487,-1183
2006-07-11,427561,45254,39108,81268,153685,104578,5950,17609,20782,6146,-72417,98628,-3173
2006-07-18,416774,41314,39321,91294,151874,103656,6424,15911,24194,1993,-60580,97232,-8283
2006-07-25,398164,42451,48574,83129,138717,105723,6975,15772,24400,-6123,-55588,98748,-8628
2006-08-01,414997,43505,69211,87199,127738,110808,7410,16854,26269,-25706,-40539,103398,-9415
2006-08-08,418437,42194,80996,90368,120495,108436,6607,17533,23931,-38802,-30127,101829,-6398
2006-08-15,426421,38006,81780,101718,123128,106615,7293,17706,22823,-43774,-21410,99322,-5117
2006-08-22,443178,37595,83310,106939,133377,108183,6974,17906,18330,-45715,-26438,101209,-424
2006-08-29,433571,35858,83107,103898,128222,108539,7568,19181,17179,-47249,-24324,100971,2002
2006-09-05,435205,37300,83024,102379,126526,111451,8637,20153,19653,-45724,-24147,102814,500
2006-09-12,442040,36913,88062,110298,128922,111375,8694,20281,19095,-51149,-18624,102681,1186
2006-09-19,446428,35464,87535,111134,130851,111204,8885,19862,17269,-52071,-19717,102319,2593
2006-09-26,450924,31348,84868,115524,135304,111492,8239,19638,16135,-53520,-19780,103253,3503
2006-10-03,470218,29847,85112,123431,143596,112542,9167,22068,15539,-55265,-20165,103375,6529
2006-10-10,472253,36698,65401,122567,174552,111498,6626,17258,13837,-28703,-51985,104872,3421
2006-10-17,506020,45970,46175,122228,203253,108186,4430,16630,13974,-205,-81025,103756,2656
2006-10-24,495308,48737,28243,115002,220936,108942,2706,21077,14731,20494,-105934,106236,6346
2006-10-31,456696,58666,21848,102442,215748,111867,1416,9390,13855,36818,-113306,110451,-4465
2006-11-07,488685,64018,20031,100918,231103,115125,1438,11785,13394,43987,-130185,113687,-1609
2006-11-14,501704,69471,21072,110748,237662,114410,1221,12510,15617,48399,-126914,113189,-3107
2006-11-21,504744,67057,21612,116703,234636,115178,1091,10951,18820,45445,-117933,114087,-7869
2006-11-28,529498,71653,20247,111718,245524,116658,867,12903,16312,51406,-133806,115791,-3409
2006-12-05,538390,66681,21352,118228,249732,116676,787,12757,13029,45329,-131504,115889,-272
2006-12-12,550854,73942,20228,107290,247358,118206,1025,13384,15911,53714,-140068,117181,-2527
2006-12-19,546420,68823,20227,119386,253332,118612,952,12522,15909,48596,-133946,117660,-3387
2006-12-26,496168,70209,19197,102503,239663,117989,1203,12191,16602,51012,-137160,116786,-4411
2007-01-03,497953,77008,19695,87744,243010,120804,950,15632,13366,57313,-155266,119854,2266
2007-01-09,498726,77534,22547,88725,237688,121488,1163,13203,13284,54987,-148963,120325,-81
2007-01-16,541420,85955,21109,92526,253732,122284,1152,14997,17580,64846,-161206,121132,-2583
2007-01-23,570881,98365,20779,90675,272686,126842,725,15170,14513,77586,-182011,126117,657
2007-01-30,571574,99205,17234,90285,279067,126580,3,15004,13114,81971,-188782,126577,1890
2007-02-06,607699,109325,12976,93892,298946,130068,3,16282,15844,96349,-205054,130065,438
2007-02-13,628858,107747,12793,97274,299247,130266,253,17903,19052,94954,-201973,130013,-1149
2007-02-20,660578,111199,14380,107487,314916,133027,353,16166,19632,96819,-207429,132674,-3466
2007-02-27,622588,111104,14346,99921,307639,131128,397,20190,20715,96758,-207718,130731,-525
2007-03-06,608592,84982,18068,118485,295481,127892,561,15634,17145,66914,-176996,127331,-1511
2007-03-13,610320,89842,11221,117722,305355,127981,1015,15325,17037,78621,-187633,126966,-1712
2007-03-20,629459,94508,12213,125092,314659,126863,1698,15867,17333,82295,-189567,125165,-1466
2007-03-27,628757,93994,11713,134282,322354,125041,2330,17566,16701,82281,-188072,122711,865
2007-04-03,648432,97599,11594,139035,336914,129477,2094,17446,15348,86005,-197879,127383,2098
2007-04-10,637031,83606,14892,146487,320903,128076,2091,20039,16452,68714,-174416,125985,3587
2007-04-17,641764,73156,18216,156122,312841,126496,3010,20853,13998,54940,-156719,123486,6855
2007-04-24,551120,63721,21092,125064,262137,124143,3306,17339,13060,42629,-137073,120837,4279
2007-05-01,550492,74842,13764,113087,265949,125781,3893,16347,13453,61078,-152862,121888,2894
2007-05-08,549681,72441,15482,111556,262220,126473,3969,16212,12999,56959,-150664,122504,3213
2007-05-15,591999,91973,5981,113531,298212,127885,4138,17473,14698,85992,-184681,123747,2775
2007-05-22,632012,116380,6425,111574,326413,134477,4699,18488,15277,109955,-214839,129778,3211
2007-05-29,661839,125083,8487,117366,340744,137521,4987,18272,18322,116596,-223378,132534,-50
2007-06-05,723283,141846,6921,121270,369196,141882,5345,19546,19306,134925,-247926,136537,240
2007-06-12,722314,137850,8323,117831,363003,138967,5679,18428,18129,129527,-245172,133288,299
2007-06-19,736533,135725,4405,121306,364062,138735,5599,18387,17373,131320,-242756,133136,1014
2007-06-26,659065,121671,5203,109441,340127,138839,5152,17275,17148,116468,-230686,133687,127
2007-07-03,682760,130042,9486,113024,348921,141156,5544,18396,17649,120556,-235897,135612,747
2007-07-10,720536,146331,10705,114807,368190,144318,5756,18558,19598,135626,-253383,138562,-1040
2007-07-17,724567,129370,10720,126979,373923,148416,3620,20835,14449,118650,-246944,144796,6386
2007-07-24,699603,115684,11738,132600,358647,146651,3532,21462,15320,103946,-226047,143119,6142
2007-07-31,659871,108666,12267,119507,340440,146296,3358,18088,15399,96399,-220933,142938,2689
2007-08-07,652677,107309,8413,121931,344152,145250,3419,18158,14190,98896,-222221,141831,3968
2007-08-14,657415,116120,11539,122411,347276,142398,3740,17654,14329,104581,-224865,138658,3325
2007-08-21,648191,93173,14882,133674,325310,141823,3551,18131,11393,78291,-191636,138272,6738
2007-08-28,638126,105877,11237,120923,329697,142517,3460,17084,10640,94640,-208774,139057,6444
2007-09-04,659541,112780,8659,116932,338667,147744,4074,17664,14166,104121,-221735,143670,3498
2007-09-11,679157,117087,9370,125723,351053,151726,4254,17172,14465,107717,-225330,147472,2707
2007-09-18,737980,127829,8662,139030,375394,151904,4915,17265,14242,119167,-236364,146989,3023
2007-09-25,748040,131280,5498,144345,390473,154507,4926,18381,13768,125782,-246128,149581,4613
2007-10-02,755837,129234,8207,146233,377949,154236,4657,17804,14800,121027,-231716,149579,3004
2007-10-09,766273,132413,5989,147738,383683,152336,5028,18472,13767,126424,-235945,147308,4705
2007-10-16,784454,135193,6276,145516,392554,158826,5177,19363,16516,128917,-247038,153649,2847
2007-10-23,785306,136935,4931,153137,403550,161724,5327,21296,18829,132004,-250413,156397,2467
2007-10-30,696084,138682,5059,131890,387742,165358,5537,18954,19400,133623,-255852,159821,-446
2007-11-06,718137,151563,4512,129594,399018,167347,5961,17646,20688,147051,-269424,161386,-3042
2007-11-13,740331,150437,3951,141874,414790,168779,5780,21853,19711,146486,-272916,162999,2142
2007-11-20,764735,158249,2502,137539,417491,175104,6011,24021,27443,155747,-279952,169093,-3422
2007-11-27,749085,148424,5639,124082,395082,175933,5610,22137,27201,142785,-271000,170323,-5064
2007-12-04,760077,152873,4163,112655,386035,177523,5407,20256,27401,148710,-273380,172116,-7145
2007-12-11,774709,156679,1753,103825,393783,176986,5614,22185,20924,154926,-289958,171372,1261
2007-12-18,779134,148194,2066,107585,390016,177842,5321,22100,23861,146128,-282431,172521,-1761
