date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,2152246,370566,169268,296155,688428,231590,406333,18543,52112,602156,575601,26555,296155,688428,-392273,231590,406333,-174743,-33569
2006-06-20,1349820,411550,170024,165069,431246,110673,350575,27214,33669,522223,520599,1624,165069,431246,-266177,110673,350575,-239902,-6455
2006-06-27,1363863,392565,168491,188495,400272,115681,368792,25296,32052,508246,537283,-29037,188495,400272,-211777,115681,368792,-253111,-6756
2006-07-03,1405684,392527,158639,212010,444487,132055,353469,19712,39458,524582,512108,12474,212010,444487,-232477,132055,353469,-221414,-19746
2006-07-11,1421327,395993,153125,232079,429243,138884,386456,14201,42616,534877,539581,-4704,232079,429243,-197164,138884,386456,-247572,-28415
2006-07-18,1500369,391481,170529,293277,418780,125204,436545,24306,39691,516685,607074,-90389,293277,418780,-125503,125204,436545,-311341,-15385
2006-07-25,1434853,392016,148134,283908,437268,123822,394390,18636,42906,515838,542524,-26686,283908,437268,-153360,123822,394390,-270568,-24270
2006-08-01,1455623,381184,147495,325233,432367,97025,387654,21727,49425,478209,535149,-56940,325233,432367,-107134,97025,387654,-290629,-27698
2006-08-08,1545328,385521,142260,341323,453951,126161,454412,23189,41409,511682,596672,-84990,341323,453951,-112628,126161,454412,-328251,-18220
2006-08-15,1600884,399801,138861,293743,500254,167821,458542,21693,46290,567622,597403,-29781,293743,500254,-206511,167821,458542,-290721,-24597
2006-08-22,1609490,413560,132619,306977,518387,174109,488729,17330,45905,587669,621348,-33679,306977,518387,-211410,174109,488729,-314620,-28575
2006-08-29,1655101,413535,130258,286483,563847,190071,463912,20048,46202,603606,594170,9436,286483,563847,-277364,190071,463912,-273841,-26154
2006-09-05,1761712,437978,123748,326843,587979,221622,534307,17763,59011,659600,658055,1545,326843,587979,-261136,221622,534307,-312685,-41248
2006-09-12,2096832,440489,110332,307189,575779,201517,517177,20527,44800,642006,627509,14497,307189,575779,-268590,201517,517177,-315660,-24273
2006-09-19,1370272,494270,92648,121650,530065,129196,338484,18269,35187,623466,431132,192334,121650,530065,-408415,129196,338484,-209288,-16918
2006-09-26,1522094,500258,95179,128197,604669,203399,362321,18446,39911,703657,457500,246157,128197,604669,-476472,203399,362321,-158922,-21465
2006-10-03,1549192,484128,93701,121273,632514,258164,381509,16947,37852,742292,475210,267082,121273,632514,-511241,258164,381509,-123345,-20905
2006-10-10,1618149,481844,89362,118650,670922,252033,362145,17347,39761,733877,451507,282370,118650,670922,-552272,252033,362145,-110112,-22414
2006-10-17,1703226,484989,93491,139784,705423,283027,365113,20612,39241,768016,458604,309412,139784,705423,-565639,283027,365113,-82086,-18629
2006-10-24,1702703,486578,108582,141944,700044,321321,401285,22092,34948,807899,509867,298032,141944,700044,-558100,321321,401285,-79964,-12856
2006-10-31,1759719,471874,148870,162322,736813,351955,370091,22070,30373,823829,518961,304868,162322,736813,-574491,351955,370091,-18136,-8303
2006-11-07,1818635,465642,135205,167483,756750,362595,382997,19710,38951,828237,518202,310035,167483,756750,-589267,362595,382997,-20402,-19241
2006-11-14,1872607,467256,134182,164434,789408,400678,389870,21992,44990,867934,524052,343882,164434,789408,-624974,400678,389870,10808,-22998
2006-11-21,1871531,496354,131757,181857,838222,389017,359083,23046,41360,885371,490840,394531,181857,838222,-656365,389017,359083,29934,-18314
2006-11-28,1903268,503950,124140,206536,839176,395221,369029,23328,36173,899171,493169,406002,206536,839176,-632640,395221,369029,26192,-12845
2006-12-05,2078930,557521,118265,260724,893148,408439,428691,27531,51990,965960,546956,419004,260724,893148,-632424,408439,428691,-20252,-24459
2006-12-12,2492150,584983,118134,244125,939762,417594,461189,32644,54968,1002577,579323,423254,244125,939762,-695637,417594,461189,-43595,-22324
2006-12-19,1565014,540694,130463,182843,725849,266846,267750,22128,43737,807540,398213,409327,182843,725849,-543006,266846,267750,-904,-21609
2006-12-26,1564547,542970,130612,190313,760694,226375,236989,18941,37558,769345,367601,401744,190313,760694,-570381,226375,236989,-10614,-18617
2007-01-03,1601806,492273,140644,199093,757214,247634,220998,21126,38811,739907,361642,378265,199093,757214,-558121,247634,220998,26636,-17685
2007-01-09,1676435,531649,160174,198250,772351,266275,214702,20046,42505,797924,374876,423048,198250,772351,-574101,266275,214702,51573,-22459
2007-01-16,1746075,516768,151801,178984,769347,309662,238338,21771,64573,826430,390139,436291,178984,769347,-590363,309662,238338,71324,-42802
