date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,609988,64140,13643,169870,365582,129634,25309,34832,2648,50497,-195712,104325,32184
2006-06-20,609248,70234,10474,158553,370557,128929,25690,31921,2302,59760,-212004,103239,29619
2006-06-27,609094,74644,10345,148906,363272,130440,26487,29126,2509,64299,-214366,103953,26617
2006-07-03,609997,74362,10327,147385,368421,130494,27110,28030,1919,64035,-221036,103384,26111
2006-07-11,638156,83078,17358,154887,386684,131894,28159,26152,1253,65720,-231797,103735,24899
2006-07-18,626144,79922,18369,157571,370763,133094,27053,25879,1998,61553,-213192,106041,23881
2006-07-25,630918,74676,14659,158787,367522,133146,26305,26665,2867,60017,-208735,106841,23798
2006-08-01,632610,73393,24329,162574,358413,135609,26997,29050,3879,49064,-195839,108612,25171
2006-08-08,642302,62335,26504,177863,354791,136439,25450,32726,5086,35831,-176928,110989,27640
2006-08-15,664127,64477,30009,188488,364535,137906,25209,33483,6114,34468,-176047,112697,27369
2006-08-22,671225,61497,29970,183569,359569,139236,26151,37253,4987,31527,-176000,113085,32266
2006-08-29,693224,63038,33269,195367,369762,140865,26355,38242,5159,29769,-174395,114510,33083
2006-09-05,708389,65062,39642,197321,376257,144773,26587,39966,6033,25420,-178936,118186,33933
2006-09-12,643641,65717,44078,186465,357064,144741,24419,35914,5261,21639,-170599,120322,30653
2006-09-19,645026,67291,37361,183113,359972,139287,23869,33461,3848,29930,-176859,115418,29613
2006-09-26,636649,63309,39657,182597,346924,137771,24325,32002,4487,23652,-164327,113446,27515
2006-10-03,607584,61145,45343,146364,296031,138317,25485,32058,5408,15802,-149667,112832,26650
2006-10-10,604290,62996,39302,151273,304839,137852,25762,32190,4553,23694,-153566,112090,27637
2006-10-17,637302,64930,31771,166370,334368,135925,26580,32456,3878,33159,-167998,109345,28578
2006-10-24,643592,59376,33430,177115,341876,136560,27528,35876,4527,25946,-164761,109032,31349
2006-10-31,661406,63360,35760,187118,353597,136881,28391,33555,4501,27600,-166479,108490,29054
2006-11-07,677284,63193,37474,198054,366331,136886,28966,32611,5301,25719,-168277,107920,27310
2006-11-14,686189,60552,33306,211568,379422,135161,29340,32599,4940,27246,-167854,105821,27659
2006-11-21,698652,56798,35298,227258,390094,135449,29331,32295,4945,21500,-162836,106118,27350
2006-11-28,724881,60853,32141,234918,413642,136797,30047,33073,4259,28712,-178724,106750,28814
2006-12-05,756391,62576,39546,249094,427097,140607,30869,30484,4402,23030,-178003,109738,26082
2006-12-12,761757,64337,50688,253395,417168,141767,30355,32660,3246,13649,-163773,111412,29414
2006-12-19,777807,67428,40528,255698,432235,145229,30631,31298,2423,26900,-176537,114598,28875
2006-12-26,778203,68427,41432,260134,446045,143972,30959,30776,2914,26995,-185911,113013,27862
2007-01-03,786586,69031,55569,270217,434131,145925,29985,28660,4845,13462,-163914,115940,23815
2007-01-09,805266,66592,68694,281019,417515,147692,30555,27818,6914,-2102,-136496,117137,20904
2007-01-16,830722,68632,73769,285985,436864,173043,32340,25616,7450,-5137,-150879,140703,18166
2007-01-23,851850,73216,76834,298180,453955,175922,30035,26195,7425,-3618,-155775,145887,18770
2007-01-30,877415,74268,87465,307025,455368,177985,31238,25814,7771,-13197,-148343,146747,18043
2007-02-06,908368,71175,98100,323488,464847,182504,31871,26915,9486,-26925,-141359,150633,17429
2007-02-13,824186,75818,90525,309487,449772,183763,38735,20708,13982,-14707,-140285,145028,6726
2007-02-20,823882,81208,77600,300138,456710,182230,41486,18571,6162,3608,-156572,140744,12409
2007-02-27,807778,89664,81797,271822,447071,185410,43769,21021,3049,7867,-175249,141641,17972
2007-03-06,796661,98019,57444,264679,483357,190055,45942,21211,3171,40575,-218678,144113,18040
2007-03-13,795928,93911,62693,255644,471348,191717,47191,22233,3484,31218,-215704,144526,18749
2007-03-20,805044,90133,83917,250589,436612,193714,48277,25721,4221,6216,-186023,145437,21500
2007-03-27,814762,91741,98681,240146,416447,194717,48918,27779,5894,-6940,-176301,145799,21885
2007-04-03,827457,94292,114622,253805,413748,194324,51200,28523,4111,-20330,-159943,143124,24412
2007-04-10,839038,97938,122235,266550,415256,193993,52632,30362,12472,-24297,-148706,141361,17890
2007-04-17,819907,102381,119833,273595,422716,193661,56189,30159,11714,-17452,-149121,137472,18445
2007-04-24,841860,98430,121546,303569,441302,192041,53808,30228,12350,-23116,-137733,138233,17878
2007-05-01,873840,109610,120422,295930,449598,190513,53312,34409,10360,-10812,-153668,137201,24049
2007-05-08,888267,116807,120398,294577,454868,191895,55932,35877,11416,-3591,-160291,135963,24461
2007-05-15,922115,116764,129178,310252,454724,188586,53580,30550,11010,-12414,-144472,135006,19540
2007-05-22,941869,118884,120998,316954,468355,181425,54151,29189,10114,-2114,-151401,127274,19075
2007-05-29,973398,124433,104155,324587,508926,180799,55297,31253,11998,20278,-184339,125502,19255
2007-06-05,970800,124939,107546,305361,502862,178079,53432,29918,10375,17393,-197501,124647,19543
2007-06-12,820986,126402,111986,238630,417082,179916,50037,32201,9838,14416,-178452,129879,22363
2007-06-19,838395,120641,108470,242581,426361,187469,53026,34484,14467,12171,-183780,134443,20017
2007-06-26,845656,125444,95884,233628,429276,184699,50739,32934,15612,29560,-195648,133960,17322
2007-07-03,831077,127904,106790,223409,406839,185874,51124,31670,16734,21114,-183430,134750,14936
2007-07-10,841613,130439,103523,215294,423832,189101,50604,34033,13975,26916,-208538,138497,20058
2007-07-17,849479,132644,100021,214064,439144,189515,50944,38077,17718,32623,-225080,138571,20359
2007-07-24,914225,135765,85730,258469,504337,191631,53034,36878,20164,50035,-245868,138597,16714
2007-07-31,913596,133689,83959,272174,513283,187247,51973,36314,20696,49730,-241109,135274,15618
2007-08-07,881918,115501,88201,280528,481075,182295,51674,34437,18965,27300,-200547,130621,15472
2007-08-14,866006,100232,98051,289402,457451,183053,35779,32852,32439,2181,-168049,147274,413
2007-08-21,855873,99014,117714,283760,420972,180712,36117,28394,30974,-18700,-137212,144595,-2580
2007-08-28,856336,102264,115849,273041,421694,187159,52843,29871,15168,-13585,-148653,134316,14703
2007-09-04,877867,105307,115622,277912,429586,187501,53410,29234,15084,-10315,-151674,134091,14150
2007-09-11,872886,102518,128602,280119,412940,185733,53886,29056,14115,-26084,-132821,131847,14941
2007-09-18,789201,102635,123544,234415,397939,208204,41871,26239,15210,-20909,-163524,166333,11029
2007-09-25,824027,117639,91237,219523,464917,219134,40191,29830,16110,26402,-245394,178943,13720
2007-10-02,807474,120655,86747,202718,460152,225963,41915,30695,17271,33908,-257434,184048,13424
2007-10-09,807356,118925,86706,209770,458996,225791,41428,29027,13888,32219,-249226,184363,15139
2007-10-16,882113,124127,85651,229897,501719,229182,42097,31377,16928,38476,-271822,187085,14449
2007-10-23,950044,129861,82998,257223,548297,235476,41513,34215,19972,46863,-291074,193963,14243
2007-10-30,988992,133799,70706,273177,567739,240020,41924,34586,25717,63093,-294562,198096,8869
2007-11-06,1026771,129917,81939,298349,622693,258493,40089,36908,15281,47978,-324344,218404,21627
2007-11-13,1024234,129668,98803,301515,604880,256209,41380,38252,15542,30865,-303365,214829,22710
2007-11-20,1030895,130287,115589,295682,571339,256395,42265,39247,16872,14698,-275657,214130,22375
2007-11-27,1034854,129798,133265,309816,558056,252480,42883,37518,17064,-3467,-248240,209597,20454
2007-12-04,1054511,131206,118265,314958,588046,261503,42391,38318,16551,12941,-273088,219112,21767
2007-12-11,1083984,153492,96210,283870,620865,265159,44184,40638,21174,57282,-336995,220975,19464
2007-12-18,1126297,182744,90434,282634,662401,266478,48255,42358,23198,92310,-379767,218223,19160
2007-12-24,1185335,191668,78292,297664,700446,263168,51791,40789,23966,113376,-402782,211377,16823
2007-12-31,1253424,208838,76431,339002,747698,248008,53243,40362,24391,132407,-408696,194765,15971
2008-01-08,1409581,220278,70743,379845,831977,257016,54533,43169,25970,149535,-452132,202483,17199
2008-01-15,1533305,231986,73050,424351,923227,291312,52668,48494,31293,158936,-498876,238644,17201
2008-01-22,1535068,205517,59511,412801,875156,294538,57384,44520,31503,146006,-462355,237154,13017
2008-01-29,1481883,204191,56027,360500,841747,312269,64736,39541,29598,148164,-481247,247533,9943
2008-02-05,1492736,211840,56602,345554,838172,312167,66484,39428,26073,155238,-492618,245683,13355
2008-02-12,1291206,233289,52651,289773,804908,305868,66247,36973,21705,180638,-515135,239621,15268
2008-02-19,1364541,236479,35858,288776,825799,314934,74682,34314,28276,200621,-537023,240252,6038
2008-02-26,1442222,237413,31678,318931,860289,318748,80600,33859,24975,205735,-541358,238148,8884
2008-03-04,1429622,234276,27761,299345,833359,314490,81580,36271,26289,206515,-534014,232910,9982
2008-03-11,1404018,207465,22362,300348,815329,324222,82386,37667,28154,185103,-514981,241836,9513
2008-03-18,1373609,180588,32819,302076,787039,320761,71268,40489,19296,147769,-484963,249493,21193
2008-03-25,1332433,177399,25963,300751,768660,313047,69241,39758,19956,151436,-467909,243806,19802
2008-04-01,1330378,174495,26960,305426,760030,317424,66657,31086,20774,147535,-454604,250767,10312
2008-04-08,1332630,181824,35118,302453,768930,321097,68052,31519,20135,146706,-466477,253045,11384
2008-04-15,1265996,195574,43513,250157,745556,332767,69266,31871,17455,152061,-495399,263501,14416
2008-04-22,1272077,197924,42103,259180,751705,331580,68601,31178,18054,155821,-492525,262979,13124
2008-04-29,1251166,195439,38009,258715,734368,331330,64002,29407,19936,157430,-475653,267328,9471
2008-05-06,1250389,188623,49782,254069,715658,332930,61675,29955,20607,138841,-461589,271255,9348
2008-05-13,1238919,187806,51501,261846,710617,330228,60067,29175,20623,136305,-448771,270161,8552
2008-05-20,1247111,182565,52187,276221,708953,323849,58237,28801,21922,130378,-432732,265612,6879
2008-05-27,1266144,176536,57461,289562,700120,323892,55735,26902,20703,119075,-410558,268157,6199
2008-06-03,1276041,171156,68484,319741,704055,316399,54960,26705,24978,102672,-384314,261439,1727
2008-06-10,1296642,169028,67079,335928,705307,304684,55711,27431,25862,101949,-369379,248973,1569
2008-06-17,1168954,177948,66258,260871,658688,303247,56458,30847,19945,111690,-397817,246789,10902
2008-06-24,1154898,181414,57145,232799,655536,307384,51240,28111,20563,124269,-422737,256144,7548
2008-07-01,1167222,189268,57417,215321,649380,302805,56072,30625,21730,131851,-434059,246733,8895
2008-07-08,1161788,198283,52853,197600,643981,307038,55496,25632,22107,145430,-446381,251542,3525
2008-07-15,1156998,188351,48415,194404,624178,298493,57272,19756,20669,139936,-429774,241221,-913
2008-07-22,1123635,171812,52603,207395,595451,292690,47118,17188,19036,119209,-388056,245572,-1848
2008-07-29,1117624,167564,57147,206091,587568,293420,49602,18715,17989,110417,-381477,243818,726
2008-08-05,1152172,174329,40534,204231,607247,289736,55694,16273,18928,133795,-403016,234042,-2655
2008-08-12,1134983,176772,40333,201101,605411,285780,58456,18484,15592,136439,-404310,227324,2892
2008-08-19,1154085,177589,40664,209222,605889,287410,62963,15737,17033,136925,-396667,224447,-1296
2008-08-26,1176901,194420,34750,207179,626705,287836,69047,15793,19568,159670,-419526,218789,-3775
2008-09-02,1160354,167092,41405,229010,609362,285321,65030,14525,15353,125687,-380352,220291,-828
2008-09-09,1142849,150045,41425,249638,599840,278963,60517,14396,12282,108620,-350202,218446,2114
2008-09-16,1041011,142585,47419,229361,563006,278008,51579,12719,12025,95166,-333645,226429,694
2008-09-23,1001371,134073,40754,225310,549332,261660,49444,11783,9173,93319,-324022,212216,2610
2008-09-30,979169,130356,41962,215070,522284,254738,47618,13461,9507,88394,-307214,207120,3954
2008-10-07,957222,113657,49515,218592,473124,235052,39911,9585,13581,64142,-254532,195141,-3996
2008-10-14,966314,111687,48190,228732,470820,224846,35885,9746,17378,63497,-242088,188961,-7632
2008-10-21,947826,108925,49713,227579,456016,213970,34293,10792,17782,59212,-228437,179677,-6990
2008-10-28,936270,107557,50357,220584,439854,206415,34980,10847,15897,57200,-219270,171435,-5050
2008-11-04,950267,113323,36085,218413,457883,200440,41511,12605,13477,77238,-239470,158929,-872
2008-11-11,957776,109462,42982,224859,454406,203150,40375,11829,12697,66480,-229547,162775,-868
2008-11-18,935967,105025,41789,218051,442239,201712,40401,11365,10255,63236,-224188,161311,1110
2008-11-25,933085,106935,33190,216996,443138,195065,45574,10397,13022,73745,-226142,149491,-2625
2008-12-02,938038,108053,28784,222901,443726,188654,46739,11689,15368,79269,-220825,141915,-3679
2008-12-09,960745,101162,51063,241169,425729,186075,46876,11249,14601,50099,-184560,139199,-3352
2008-12-16,938447,99969,37997,247193,439411,175215,48621,12300,13805,61972,-192218,126594,-1505
2008-12-22,954964,99599,44884,250302,435737,184014,46664,11940,15695,54715,-185435,137350,-3755
2008-12-30,951269,98977,46963,243741,429178,182607,46777,12624,13893,52014,-185437,135830,-1269
2009-01-06,980181,105912,35548,241162,460209,182112,51048,14603,11060,70364,-219047,131064,3543
2009-01-13,965727,111210,33926,257710,449308,158920,50056,13009,13318,77284,-191598,108864,-309
2009-01-20,970670,122576,31192,258575,453944,143431,54283,13266,11783,91384,-195369,89148,1483
2009-01-27,981814,126432,23768,263018,457743,122402,52139,14359,12018,102664,-194725,70263,2341
2009-02-03,976556,126975,25951,262592,455635,119993,49869,14309,9291,101024,-193043,70124,5018
2009-02-10,965069,135164,21506,251390,463114,118685,55536,15865,5776,113658,-211724,63149,10089
2009-02-17,886498,138711,19223,238964,449767,119045,54346,16690,6176,119488,-210803,64699,10514
2009-02-24,853180,138175,23438,235039,446483,119019,50495,13514,4277,114737,-211444,68524,9237
2009-03-03,841474,131731,26034,218630,418657,123886,52724,13192,4041,105697,-200027,71162,9151
2009-03-10,846361,120601,25100,226268,415336,128757,52906,14526,2944,95501,-189068,75851,11582
2009-03-17,869500,133807,23811,235738,439877,132964,54263,13303,2884,109996,-204139,78701,10419
2009-03-24,931330,151669,13467,255928,488937,141410,66672,13529,3085,138202,-233009,74738,10444
2009-03-31,932159,148267,29929,267354,473350,139228,67577,14887,3553,118338,-205996,71651,11334
2009-04-07,937268,132696,36471,292975,474598,138176,65765,15769,3069,96225,-181623,72411,12700
2009-04-14,938749,142957,31429,267000,471873,138574,68160,17626,2491,111528,-204873,70414,15135
2009-04-21,875942,145083,34486,248282,458189,131942,62697,18664,2319,110597,-209907,69245,16345
2009-04-28,877967,152950,23307,220112,458936,137888,67290,17956,3588,129643,-238824,70598,14368
2009-05-05,929344,175970,12541,197502,479544,140953,79357,20521,3387,163429,-282042,61596,17134
2009-05-12,968675,185333,11373,193472,488869,143580,83333,24656,4198,173960,-295397,60247,20458
2009-05-19,996027,190990,12613,200682,497383,144429,86773,21963,2685,178377,-296701,57656,19278
2009-05-26,1037468,205108,12310,211416,522911,144194,88165,23119,3178,192798,-311495,56029,19941
2009-06-02,1078305,194205,14859,243720,521713,145872,105160,20989,4309,179346,-277993,40712,16680
2009-06-09,1089185,182488,13443,269909,531214,142629,104596,23246,10660,169045,-261305,38033,12586
2009-06-16,990462,158972,14698,259190,485035,149995,109417,19748,3113,144274,-225845,40578,16635
2009-06-23,1018956,170974,14779,261031,506909,156104,117254,19294,2788,156195,-245878,38850,16506
2009-06-30,1038949,185664,8674,245059,501914,146286,118914,20045,3697,176990,-256855,27372,16348
2009-07-07,1001126,179227,8449,218650,466926,143379,119238,20705,2554,170778,-248276,24141,18151
2009-07-14,1026949,171595,6545,220333,456175,142966,124874,21780,4293,165050,-235842,18092,17487
2009-07-21,1032516,177470,7408,226403,452431,144727,141107,23128,4315,170062,-226028,3620,18813
2009-07-28,1091083,191666,4224,249919,477956,126052,144695,24940,6526,187442,-228037,-18643,18414
2009-08-04,1139444,198861,4452,261765,500226,130990,146718,26897,7664,194409,-238461,-15728,19233
2009-08-11,1283970,179421,12014,338136,537714,132569,160380,21756,6337,167407,-199578,-27811,15419
2009-08-18,1299681,173156,4312,322265,529998,134408,158815,26137,7048,168844,-207733,-24407,19089
2009-08-25,1317033,169214,5306,341517,536200,137408,168590,26959,9467,163908,-194683,-31182,17492
2009-09-01,1392039,164529,5574,380883,569642,136793,168942,30155,10439,158955,-188759,-32149,19716
2009-09-08,1340079,158928,15138,377211,544427,146850,167699,26558,10034,143790,-167216,-20849,16524
2009-09-15,1190475,154699,8962,338036,502645,138713,167110,27144,14335,145737,-164609,-28397,12809
2009-09-22,1179749,160680,7195,328843,500103,141440,159088,28127,11315,153485,-171260,-17648,16812
2009-09-29,1183796,171856,4808,300301,509223,141623,153674,28581,7528,167048,-208922,-12051,21053
2009-10-06,1162945,169774,7930,287932,497145,149013,154296,27895,6756,161844,-209213,-5283,21139
2009-10-13,1154668,151643,14825,297660,461300,152933,150756,27900,6554,136818,-163640,2177,21346
2009-10-20,1180191,152459,8207,296293,497289,155429,152046,31873,5997,144252,-200996,3383,25876
2009-10-27,1165972,142593,7798,295909,490449,154732,151349,33116,4278,134795,-194540,3383,28838
2009-11-03,1199980,140787,6423,298314,494716,155807,149791,31366,4591,134364,-196402,6016,26775
2009-11-09,1159504,131619,11271,291592,466766,155385,147252,20524,4467,120348,-175174,8133,16057
2009-11-17,1160204,128695,14947,293200,468021,157775,148428,23010,5062,113748,-174821,9347,17948
2009-11-24,1151256,129722,16537,297022,467684,155840,148440,23766,6147,113185,-170662,7400,17619
