date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,1381214,414780,238219,132291,146427,151932,202657,81643,132643,566712,440876,125836,132291,146427,-14136,151932,202657,-50725,-51000
2006-06-20,1466695,483360,243726,166343,146151,132922,229565,80752,133475,616282,473291,142991,166343,146151,20192,132922,229565,-96643,-52723
2006-06-27,1439152,498664,246679,153632,151381,142211,217274,75990,134630,640875,463953,176922,153632,151381,2251,142211,217274,-75063,-58640
2006-07-03,1396721,468945,246621,152118,127671,125131,194584,80086,141622,594076,441205,152871,152118,127671,24447,125131,194584,-69453,-61536
2006-07-11,1390896,466129,247155,151812,152756,131308,186354,66573,118121,597437,433509,163928,151812,152756,-944,131308,186354,-55046,-51548
2006-07-18,1428499,473149,251278,139736,95497,149524,255267,63186,118711,622673,506545,116128,139736,95497,44239,149524,255267,-105743,-55525
2006-07-25,1395360,454504,273344,164189,116108,122646,205961,71013,149327,577150,479305,97845,164189,116108,48081,122646,205961,-83315,-78314
2006-08-01,1534968,444445,299803,193372,93471,142449,175830,82405,257853,586894,475633,111261,193372,93471,99901,142449,175830,-33381,-175448
2006-08-08,1578502,450421,297859,190713,86691,144641,241791,73436,206991,595062,539650,55412,190713,86691,104022,144641,241791,-97150,-133555
2006-08-15,1571101,473855,271918,144025,95474,143022,270450,57453,178421,616877,542368,74509,144025,95474,48551,143022,270450,-127428,-120968
2006-08-22,1713755,484940,318638,167896,77551,153704,245712,57796,214325,638644,564350,74294,167896,77551,90345,153704,245712,-92008,-156529
2006-08-29,1612609,459939,319418,178413,72453,162433,217180,47365,219509,622372,536598,85774,178413,72453,105960,162433,217180,-54747,-172144
2006-09-05,1509875,429288,310911,175552,76197,179448,202166,38233,215640,608736,513077,95659,175552,76197,99355,179448,202166,-22718,-177407
2006-09-12,1492732,435919,299727,159644,72937,150100,156111,45663,247257,586019,455838,130181,159644,72937,86707,150100,156111,-6011,-201594
2006-09-19,1467261,455662,327323,178283,73963,128370,155858,42223,239634,584032,483181,100851,178283,73963,104320,128370,155858,-27488,-197411
2006-09-26,1591363,404625,351175,252694,52925,155656,122997,51368,357184,560281,474172,86109,252694,52925,199769,155656,122997,32659,-305816
2006-10-03,1616883,388447,404176,250560,70820,198162,109210,74995,357151,586609,513386,73223,250560,70820,179740,198162,109210,88952,-282156
2006-10-10,1666336,424967,364437,249282,108713,177262,110460,80780,334111,602229,474897,127332,249282,108713,140569,177262,110460,66802,-253331
2006-10-17,1645545,463805,374900,249031,111225,134356,120529,81876,320397,598161,495429,102732,249031,111225,137806,134356,120529,13827,-238521
2006-10-24,1666384,494196,375019,257426,103808,115617,125412,82381,311437,609813,500431,109382,257426,103808,153618,115617,125412,-9795,-229056
2006-10-31,1578403,443127,392812,241134,107022,145887,117865,82800,262288,589014,510677,78337,241134,107022,134112,145887,117865,28022,-179488
2006-11-07,1564237,429286,405967,223470,59527,131578,128261,83481,264877,560864,534228,26636,223470,59527,163943,131578,128261,3317,-181396
2006-11-14,1658904,442683,404997,220511,69282,151019,160094,82983,263046,593702,565091,28611,220511,69282,151229,151019,160094,-9075,-180063
2006-11-21,1573632,423833,373322,251422,68535,134207,175073,82181,261054,558040,548395,9645,251422,68535,182887,134207,175073,-40866,-178873
2006-11-28,1785475,426967,422969,216265,68809,175644,157839,73993,261677,602611,580808,21803,216265,68809,147456,175644,157839,17805,-187684
2006-12-05,1635277,382738,421910,130330,92501,264224,120651,84895,263231,646962,542561,104401,130330,92501,37829,264224,120651,143573,-178336
2006-12-12,1563461,395957,438554,180524,117992,216608,148842,86917,197690,612565,587396,25169,180524,117992,62532,216608,148842,67766,-110773
2006-12-19,1514200,405103,395964,192614,161837,201810,144175,87334,178511,606913,540139,66774,192614,161837,30777,201810,144175,57635,-91177
2006-12-26,1468541,392556,406055,207885,169040,194813,132486,83394,159253,587369,538541,48828,207885,169040,38845,194813,132486,62327,-75859
2007-01-03,1516092,380110,378967,247405,176846,189319,141535,75123,175194,569429,520502,48927,247405,176846,70559,189319,141535,47784,-100071
2007-01-09,1580187,389375,382153,281851,219760,213693,130845,78495,175411,603068,512998,90070,281851,219760,62091,213693,130845,82848,-96916
2007-01-16,1643225,394785,413263,311546,209109,229936,132470,79478,179550,624721,545733,78988,311546,209109,102437,229936,132470,97466,-100072
2007-01-23,1721275,397920,462621,310762,163272,235874,147151,86504,192072,633794,609772,24022,310762,163272,147490,235874,147151,88723,-105568
2007-01-30,1710081,401045,463552,293568,195864,284813,137278,82047,162012,685858,600830,85028,293568,195864,97704,284813,137278,147535,-79965
2007-02-06,1720971,420600,448086,275058,205257,250282,140676,96933,173533,670882,588762,82120,275058,205257,69801,250282,140676,109606,-76600
2007-02-13,1680691,413236,443228,303272,161895,210906,152222,93635,171838,624142,595450,28692,303272,161895,141377,210906,152222,58684,-78203
2007-02-20,1649091,415074,422227,253752,182596,199620,133786,91946,170600,614694,556013,58681,253752,182596,71156,199620,133786,65834,-78654
2007-02-27,1676504,407224,398261,189359,190709,232058,124123,88515,165705,639282,522384,116898,189359,190709,-1350,232058,124123,107935,-77190
2007-03-06,1568340,403525,400103,122606,217065,268274,111131,66314,155465,671799,511234,160565,122606,217065,-94459,268274,111131,157143,-89151
2007-03-13,1620671,497639,428324,134416,223693,213656,119240,68551,161849,711295,547564,163731,134416,223693,-89277,213656,119240,94416,-93298
2007-03-20,1656052,526909,360003,139247,269326,191528,158998,66474,150491,718437,519001,199436,139247,269326,-130079,191528,158998,32530,-84017
2007-03-27,1687559,564142,378526,151287,279894,211723,198275,75174,169577,775865,576801,199064,151287,279894,-128607,211723,198275,13448,-94403
2007-04-03,1685081,575956,358259,133759,303341,244983,193247,72957,176070,820939,551506,269433,133759,303341,-169582,244983,193247,51736,-103113
2007-04-10,1730667,657066,306534,129896,321836,203179,223222,71090,175627,860245,529756,330489,129896,321836,-191940,203179,223222,-20043,-104537
2007-04-17,1753695,522770,277516,164271,289400,230560,219332,79308,199014,753330,496848,256482,164271,289400,-125129,230560,219332,11228,-119706
2007-04-24,1853791,534094,306352,125412,318516,286650,223450,91601,207152,820744,529802,290942,125412,318516,-193104,286650,223450,63200,-115551
2007-05-01,1938944,545236,301085,116099,298838,296416,264295,106735,206409,841652,565380,276272,116099,298838,-182739,296416,264295,32121,-99674
2007-05-08,1962404,517532,284806,131205,312432,287406,242499,107860,209473,804938,527305,277633,131205,312432,-181227,287406,242499,44907,-101613
2007-05-15,1945594,481968,289019,194247,287137,270603,270729,120428,214849,752571,559748,192823,194247,287137,-92890,270603,270729,-126,-94421
2007-05-22,1991470,497895,300248,201977,249563,232019,264523,116319,205244,729914,564771,165143,201977,249563,-47586,232019,264523,-32504,-88925
2007-05-29,2020298,504855,289261,230652,267909,203014,261718,119912,194423,707869,550979,156890,230652,267909,-37257,203014,261718,-58704,-74511
2007-06-05,1918731,497506,279930,259619,273440,183361,259268,120668,175132,680867,539198,141669,259619,273440,-13821,183361,259268,-75907,-54464
2007-06-12,1947424,475755,261511,249405,239692,164393,245631,99807,180984,640148,507142,133006,249405,239692,9713,164393,245631,-81238,-81177
2007-06-19,1926736,502922,243744,255700,237079,163098,292446,89137,174461,666020,536190,129830,255700,237079,18621,163098,292446,-129348,-85324
2007-06-26,1858674,493710,280734,257704,237511,179449,304606,80740,127705,673159,585340,87819,257704,237511,20193,179449,304606,-125157,-46965
2007-07-03,1822392,416477,290482,259967,228319,199623,268710,87286,117665,616100,559192,56908,259967,228319,31648,199623,268710,-69087,-30379
2007-07-10,1855046,416273,306746,247120,229414,224824,275197,92435,132436,641097,581943,59154,247120,229414,17706,224824,275197,-50373,-40001
2007-07-17,1861171,419343,371282,257938,224707,243110,241605,84309,142660,662453,612887,49566,257938,224707,33231,243110,241605,1505,-58351
2007-07-24,1885724,406551,410575,265287,240242,248437,190827,70561,134419,654988,601402,53586,265287,240242,25045,248437,190827,57610,-63858
2007-07-31,1958464,322859,398533,285642,232528,247483,141243,78378,130081,570342,539776,30566,285642,232528,53114,247483,141243,106240,-51703
2007-08-07,1979363,375582,442552,311281,235738,229930,165678,67248,120713,605512,608230,-2718,311281,235738,75543,229930,165678,64252,-53465
2007-08-14,1931383,376066,515199,294331,250283,202757,137356,83936,69920,578823,652555,-73732,294331,250283,44048,202757,137356,65401,14016
2007-08-21,2062392,427899,569653,233938,204208,216600,162185,100291,73865,644499,731838,-87339,233938,204208,29730,216600,162185,54415,26426
2007-08-28,1894003,414873,614053,176495,144448,192484,108407,126117,58757,607357,722460,-115103,176495,144448,32047,192484,108407,84077,67360
2007-09-04,1863051,400281,619792,204362,136659,229861,116093,103459,65310,630142,735885,-105743,204362,136659,67703,229861,116093,113768,38149
2007-09-11,1945908,393136,721866,235371,117235,231180,120340,129277,77930,624316,842206,-217890,235371,117235,118136,231180,120340,110840,51347
2007-09-18,1952810,395784,673600,193050,110998,242029,123627,103219,76720,637813,797227,-159414,193050,110998,82052,242029,123627,118402,26499
2007-09-25,1799296,490897,712903,151805,93679,260538,154200,99657,73585,751435,867103,-115668,151805,93679,58126,260538,154200,106338,26072
2007-10-02,1830788,487744,709407,128695,146576,290344,149716,130087,78238,778088,859123,-81035,128695,146576,-17881,290344,149716,140628,51849
2007-10-09,1857740,493245,760200,196125,150201,307170,157617,114825,70492,800415,917817,-117402,196125,150201,45924,307170,157617,149553,44333
2007-10-16,1862009,522412,729950,162507,172200,278444,154752,147801,65226,800856,884702,-83846,162507,172200,-9693,278444,154752,123692,82575
2007-10-23,1937784,570207,812359,146229,169957,284225,128238,144203,64961,854432,940597,-86165,146229,169957,-23728,284225,128238,155987,79242
2007-10-30,1979900,593873,868390,152280,155819,294386,127104,144151,61589,888259,995494,-107235,152280,155819,-3539,294386,127104,167282,82562
2007-11-06,2086212,638905,864672,154736,181754,294423,163004,176945,70529,933328,1027676,-94348,154736,181754,-27018,294423,163004,131419,106416
2007-11-13,2206966,649908,896262,215588,183901,290808,145672,141823,70291,940716,1041934,-101218,215588,183901,31687,290808,145672,145136,71532
2007-11-20,2094291,598207,845553,234014,201044,312536,126717,114382,71406,910743,972270,-61527,234014,201044,32970,312536,126717,185819,42976
2007-11-27,2332896,602913,1023671,265469,181486,424318,119939,106017,75766,1027231,1143610,-116379,265469,181486,83983,424318,119939,304379,30251
2007-12-04,2242918,566451,902953,241925,148651,390829,198189,106037,63560,957280,1101142,-143862,241925,148651,93274,390829,198189,192640,42477
2007-12-11,2173477,547619,872301,240440,158655,358419,196223,102413,53135,906038,1068524,-162486,240440,158655,81785,358419,196223,162196,49278
2007-12-18,2144923,508261,878000,291271,166833,340557,181994,110574,52424,848818,1059994,-211176,291271,166833,124438,340557,181994,158563,58150
2007-12-24,2036410,487949,841164,312728,154415,353458,152573,77974,82422,841407,993737,-152330,312728,154415,158313,353458,152573,200885,-4448
