date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,139868,5069,6759,21963,67643,45106,15024,1904,2728,50175,21783,28392,21963,67643,-45680,45106,15024,30082,-824
2006-06-20,134567,6204,6757,20275,58190,35653,14228,2146,3114,41857,20985,20872,20275,58190,-37915,35653,14228,21425,-968
2006-06-27,102529,6073,6759,10147,52349,36412,12309,2266,3611,42485,19068,23417,10147,52349,-42202,36412,12309,24103,-1345
2006-07-03,106765,6355,6771,10762,55482,39695,13193,2195,3264,46050,19964,26086,10762,55482,-44720,39695,13193,26502,-1069
2006-07-11,104679,5743,6293,9681,43451,35328,20335,3860,4981,41071,26628,14443,9681,43451,-33770,35328,20335,14993,-1121
2006-07-18,95853,5300,6294,12760,42489,26177,10905,4307,4846,31477,17199,14278,12760,42489,-29729,26177,10905,15272,-539
2006-07-25,104708,5136,6304,17967,37296,28344,24003,3374,5098,33480,30307,3173,17967,37296,-19329,28344,24003,4341,-1724
2006-08-01,97735,5204,6318,20809,34911,19358,20941,3502,4664,24562,27259,-2697,20809,34911,-14102,19358,20941,-1583,-1162
2006-08-08,92511,4693,6316,14238,43598,21214,10871,3699,4298,25907,17187,8720,14238,43598,-29360,21214,10871,10343,-599
2006-08-15,96555,4477,6316,15239,41610,27717,13751,3836,4371,32194,20067,12127,15239,41610,-26371,27717,13751,13966,-535
2006-08-22,95238,4510,6549,15363,43087,26381,10016,2231,5125,30891,16565,14326,15363,43087,-27724,26381,10016,16365,-2894
2006-08-29,114350,4861,7870,15787,58920,44844,14697,2533,2050,49705,22567,27138,15787,58920,-43133,44844,14697,30147,483
2006-09-05,119906,4960,7674,17820,58431,46118,20192,3221,2418,51078,27866,23212,17820,58431,-40611,46118,20192,25926,803
2006-09-12,143557,4907,8123,26254,57901,37153,19991,4185,2319,42060,28114,13946,26254,57901,-31647,37153,19991,17162,1866
2006-09-19,144896,4406,8115,39390,51061,43809,37731,4392,1901,48215,45846,2369,39390,51061,-11671,43809,37731,6078,2491
2006-09-26,99998,4419,8826,16418,31338,40107,29655,2776,2633,44526,38481,6045,16418,31338,-14920,40107,29655,10452,143
2006-10-03,106219,4364,8717,14285,36118,47471,32349,3379,2352,51835,41066,10769,14285,36118,-21833,47471,32349,15122,1027
2006-10-10,97002,4161,8923,16940,28805,35567,29018,3749,2910,39728,37941,1787,16940,28805,-11865,35567,29018,6549,839
2006-10-17,116841,3726,11287,40564,22954,30138,47270,4615,2451,33864,58557,-24693,40564,22954,17610,30138,47270,-17132,2164
2006-10-24,106872,3740,12375,35785,27151,25674,33411,3314,2338,29414,45786,-16372,35785,27151,8634,25674,33411,-7737,976
2006-10-31,110928,4406,10755,39926,30234,23793,36159,3778,2426,28199,46914,-18715,39926,30234,9692,23793,36159,-12366,1352
2006-11-07,108957,4442,10796,39298,32621,23801,33239,3222,2518,28243,44035,-15792,39298,32621,6677,23801,33239,-9438,704
2006-11-14,136069,4549,10614,53464,28497,28077,58484,4618,3588,32626,69098,-36472,53464,28497,24967,28077,58484,-30407,1030
2006-11-21,146017,4538,11243,66623,25464,23033,66622,4272,3074,27571,77865,-50294,66623,25464,41159,23033,66622,-43589,1198
