date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,123197,628,0,58921,59214,19248,22467,450,0,19876,22467,-2591,58921,59214,-293,19248,22467,-3219,450
2006-06-20,57878,613,0,25556,19990,18452,24602,450,617,19065,24602,-5537,25556,19990,5566,18452,24602,-6150,-167
2006-06-27,63923,613,0,37218,19295,12668,29822,450,617,13281,29822,-16541,37218,19295,17923,12668,29822,-17154,-167
2006-07-03,59261,613,407,26618,19680,19475,25411,450,617,20088,25818,-5730,26618,19680,6938,19475,25411,-5936,-167
2006-07-11,63069,613,401,31574,21268,17669,28455,450,617,18282,28856,-10574,31574,21268,10306,17669,28455,-10786,-167
2006-07-18,69938,634,0,39999,18684,17377,31234,450,2029,18011,31234,-13223,39999,18684,21315,17377,31234,-13857,-1579
2006-07-25,74011,634,0,45623,18804,14821,34295,450,2029,15455,34295,-18840,45623,18804,26819,14821,34295,-19474,-1579
2006-08-01,65680,634,0,35667,23265,15954,23990,450,829,16588,23990,-7402,35667,23265,12402,15954,23990,-8036,-379
2006-08-08,73268,429,0,36190,24311,20156,33692,450,829,20585,33692,-13107,36190,24311,11879,20156,33692,-13536,-379
2006-08-15,66723,429,0,41061,23084,11757,26450,450,1021,12186,26450,-14264,41061,23084,17977,11757,26450,-14693,-571
2006-08-22,69168,429,0,37097,27278,15971,25979,450,543,16400,25979,-9579,37097,27278,9819,15971,25979,-10008,-93
2006-08-29,69500,420,0,43599,27081,11177,25017,450,1222,11597,25017,-13420,43599,27081,16518,11177,25017,-13840,-772
2006-09-05,71028,870,400,44098,25416,11183,28460,450,541,12053,28860,-16807,44098,25416,18682,11183,28460,-17277,-91
2006-09-12,98686,857,430,62490,21788,12500,42995,450,1454,13357,43425,-30068,62490,21788,40702,12500,42995,-30495,-1004
2006-09-19,78095,450,466,54448,1654,11800,52262,450,1910,12250,52728,-40478,54448,1654,52794,11800,52262,-40462,-1460
2006-09-26,71151,450,466,46640,9940,12868,39116,450,970,13318,39582,-26264,46640,9940,36700,12868,39116,-26248,-520
2006-10-03,73981,450,483,50326,10647,10825,39865,450,987,11275,40348,-29073,50326,10647,39679,10825,39865,-29040,-537
2006-10-10,97911,447,509,74653,3064,9568,67486,447,986,10015,67995,-57980,74653,3064,71589,9568,67486,-57918,-539
2006-10-17,107386,450,543,82671,1346,11600,76374,911,1423,12050,76917,-64867,82671,1346,81325,11600,76374,-64774,-512
2006-10-24,110080,450,576,87464,2010,8233,77085,450,1395,8683,77661,-68978,87464,2010,85454,8233,77085,-68852,-945
2006-10-31,91757,450,572,70029,8405,6793,56855,450,2268,7243,57427,-50184,70029,8405,61624,6793,56855,-50062,-1818
2006-11-07,104471,450,563,76900,10342,10194,67362,450,1652,10644,67925,-57281,76900,10342,66558,10194,67362,-57168,-1202
2006-11-14,89215,450,563,65383,13795,4534,52524,450,1581,4984,53087,-48103,65383,13795,51588,4534,52524,-47990,-1131
2006-11-21,85649,450,563,61810,14659,5036,49267,450,483,5486,49830,-44344,61810,14659,47151,5036,49267,-44231,-33
2006-11-28,80863,450,545,38062,25955,16827,36738,2205,534,17277,37283,-20006,38062,25955,12107,16827,36738,-19911,1671
2006-12-05,83424,450,545,28571,32784,21404,32591,2205,0,21854,33136,-11282,28571,32784,-4213,21404,32591,-11187,2205
2006-12-12,94269,450,545,28313,33984,23428,33474,2599,0,23878,34019,-10141,28313,33984,-5671,23428,33474,-10046,2599
2006-12-19,56391,0,1033,14452,15892,18613,28737,1671,0,18613,29770,-11157,14452,15892,-1440,18613,28737,-10124,1671
2006-12-26,58874,0,1033,19271,15032,18774,29135,1671,0,18774,30168,-11394,19271,15032,4239,18774,29135,-10361,1671
2007-01-03,66805,0,1059,38349,16124,9698,34246,950,953,9698,35305,-25607,38349,16124,22225,9698,34246,-24548,-3
