date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-06-13,292367,29129,4178,64903,112543,60808,49779,5863,567,89937,53957,35980,64903,112543,-47640,60808,49779,11029,5296
2006-06-20,210140,24846,4252,31216,64072,51264,49286,5385,206,76110,53538,22572,31216,64072,-32856,51264,49286,1978,5179
2006-06-27,223924,27162,4939,40959,61554,50156,58928,6124,1619,77318,63867,13451,40959,61554,-20595,50156,58928,-8772,4505
2006-07-03,219635,27030,4169,35420,70716,50587,49401,6491,1681,77617,53570,24047,35420,70716,-35296,50587,49401,1186,4810
2006-07-11,222175,28754,1838,33684,80176,52338,48973,7107,1006,81092,50811,30281,33684,80176,-46492,52338,48973,3365,6101
2006-07-18,253725,30433,2421,53555,47530,55502,93067,6961,3575,85935,95488,-9553,53555,47530,6025,55502,93067,-37565,3386
2006-07-25,259161,29100,2610,62903,47186,53030,98146,6358,3951,82130,100756,-18626,62903,47186,15717,53030,98146,-45116,2407
2006-08-01,246090,28019,2611,43458,71609,59651,65393,7210,2998,87670,68004,19666,43458,71609,-28151,59651,65393,-5742,4212
2006-08-08,247575,30656,2363,42915,73272,60239,71432,7124,1548,90895,73795,17100,42915,73272,-30357,60239,71432,-11193,5576
2006-08-15,265945,33068,2377,48063,64824,65005,89100,8135,1342,98073,91477,6596,48063,64824,-16761,65005,89100,-24095,6793
2006-08-22,277702,32770,2569,61659,61062,63586,100769,7505,2786,96356,103338,-6982,61659,61062,597,63586,100769,-37183,4719
2006-08-29,295624,34058,3522,74318,55573,62881,118540,7490,2065,96939,122062,-25123,74318,55573,18745,62881,118540,-55659,5425
2006-09-05,279878,33755,4164,60381,57116,59321,100512,9099,2486,93076,104676,-11600,60381,57116,3265,59321,100512,-41191,6613
2006-09-12,315971,36217,6224,87821,49720,73700,129773,7286,2937,109917,135997,-26080,87821,49720,38101,73700,129773,-56073,4349
2006-09-19,267109,35135,6848,86580,43929,52200,124622,8285,3513,87335,131470,-44135,86580,43929,42651,52200,124622,-72422,4772
2006-09-26,263902,34325,6168,92549,43267,49435,130173,9603,2254,83760,136341,-52581,92549,43267,49282,49435,130173,-80738,7349
2006-10-03,287400,34308,6241,108387,44724,53199,148978,8761,3702,87507,155219,-67712,108387,44724,63663,53199,148978,-95779,5059
2006-10-10,307940,35054,6933,126176,42473,58050,171508,8542,2345,93104,178441,-85337,126176,42473,83703,58050,171508,-113458,6197
2006-10-17,303057,35731,6975,120688,46928,54940,162274,9898,3645,90671,169249,-78578,120688,46928,73760,54940,162274,-107334,6253
2006-10-24,326283,37011,6876,132620,48341,61907,182008,8687,3233,98918,188884,-89966,132620,48341,84279,61907,182008,-120101,5454
