date,oi,am_long,am_short,dealer_long,dealer_short,lev_long,lev_short,other_long,other_short,mm_long,mm_short,mm_net,pm_long,pm_short,pm_net,sd_long,sd_short,sd_net,other_net
2006-08-29,43376,18000,0,858,28584,17104,9928,0,1535,35104,9928,25176,858,28584,-27726,17104,9928,7176,-1535
2006-09-05,45702,17150,0,2274,29717,17252,9966,0,1535,34402,9966,24436,2274,29717,-27443,17252,9966,7286,-1535
2006-09-12,46956,18202,0,2474,30403,17228,9784,0,1286,35430,9784,25646,2474,30403,-27929,17228,9784,7444,-1286
2006-09-19,49654,18504,0,2539,31064,17767,10223,0,1444,36271,10223,26048,2539,31064,-28525,17767,10223,7544,-1444
2006-09-26,53755,23555,0,2447,34048,17042,11300,0,1543,40597,11300,29297,2447,34048,-31601,17042,11300,5742,-1543
2006-10-03,55929,23700,0,2442,34404,17811,11764,222,1662,41511,11764,29747,2442,34404,-31962,17811,11764,6047,-1440
2006-10-10,57977,19800,0,2503,31891,17665,11495,387,1531,37465,11495,25970,2503,31891,-29388,17665,11495,6170,-1144
2006-10-17,54409,17674,0,2581,30315,17233,10697,387,1789,34907,10697,24210,2581,30315,-27734,17233,10697,6536,-1402
2006-10-24,50271,17900,0,2601,29650,17472,10813,24,1762,35372,10813,24559,2601,29650,-27049,17472,10813,6659,-1738
2006-10-31,47115,11788,0,2726,26486,18806,9324,85,1784,30594,9324,21270,2726,26486,-23760,18806,9324,9482,-1699
2006-11-07,45390,6767,0,2654,25499,20050,9040,74,1865,26817,9040,17777,2654,25499,-22845,20050,9040,11010,-1791
2006-11-14,49627,7910,0,2914,25112,21290,10503,0,1584,29200,10503,18697,2914,25112,-22198,21290,10503,10787,-1584
2006-11-21,34767,7300,0,2225,14767,16462,12289,0,1939,23762,12289,11473,2225,14767,-12542,16462,12289,4173,-1939
2006-11-28,37441,7300,0,2275,15873,16610,12584,0,1754,23910,12584,11326,2275,15873,-13598,16610,12584,4026,-1754
2006-12-05,39246,7108,0,2234,16398,17027,13275,0,1665,24135,13275,10860,2234,16398,-14164,17027,13275,3752,-1665
2006-12-12,40895,6031,0,2055,17198,17906,12981,0,1323,23937,12981,10956,2055,17198,-15143,17906,12981,4925,-1323
2006-12-19,36684,1807,0,1257,14499,19254,10848,0,988,21061,10848,10213,1257,14499,-13242,19254,10848,8406,-988
2007-01-03,34191,1161,0,1957,15189,18752,10559,0,918,19913,10559,9354,1957,15189,-13232,18752,10559,8193,-918
2007-01-09,34130,1313,0,1771,15555,19307,10589,0,883,20620,10589,10031,1771,15555,-13784,19307,10589,8718,-883
2007-01-16,38528,1398,0,1416,16345,18909,10212,1452,1210,20307,10212,10095,1416,16345,-14929,18909,10212,8697,242
2007-01-23,35584,1700,0,1454,15646,18177,9540,1523,1194,19877,9540,10337,1454,15646,-14192,18177,9540,8637,329
2007-01-30,34944,1700,0,1431,14758,18541,8855,1438,1171,20241,8855,11386,1431,14758,-13327,18541,8855,9686,267
2007-02-06,39150,1957,0,2446,17704,19663,9672,1407,1531,21620,9672,11948,2446,17704,-15258,19663,9672,9991,-124
2007-02-13,39866,1328,0,1397,18132,21600,8523,254,929,22928,8523,14405,1397,18132,-16735,21600,8523,13077,-675
2007-02-20,32486,1784,0,1150,15692,18839,8206,517,999,20623,8206,12417,1150,15692,-14542,18839,8206,10633,-482
2007-02-27,36116,1984,150,768,16532,19432,7900,217,745,21416,8050,13366,768,16532,-15764,19432,7900,11532,-528
2007-03-06,38748,1399,0,612,17653,19102,5416,179,499,20501,5416,15085,612,17653,-17041,19102,5416,13686,-320
2007-03-13,37055,1520,0,837,18513,19821,5976,290,242,21341,5976,15365,837,18513,-17676,19821,5976,13845,48
2007-03-20,45055,8975,0,864,22942,19702,8956,241,235,28677,8956,19721,864,22942,-22078,19702,8956,10746,6
2007-03-27,41374,9005,0,801,21490,19536,9973,282,447,28541,9973,18568,801,21490,-20689,19536,9973,9563,-165
2007-04-03,42319,9005,0,740,22332,19387,9685,226,313,28392,9685,18707,740,22332,-21592,19387,9685,9702,-87
2007-04-10,45726,8605,0,358,20513,19078,10182,210,317,27683,10182,17501,358,20513,-20155,19078,10182,8896,-107
2007-04-17,46313,2015,0,1066,15469,19520,9827,210,360,21535,9827,11708,1066,15469,-14403,19520,9827,9693,-150
2007-04-24,37795,1845,0,200,14482,19385,9858,223,703,21230,9858,11372,200,14482,-14282,19385,9858,9527,-480
2007-05-01,41002,1897,0,1077,15507,19729,10646,445,840,21626,10646,10980,1077,15507,-14430,19729,10646,9083,-395
2007-05-08,48453,1915,0,1291,16559,19839,10998,1664,827,21754,10998,10756,1291,16559,-15268,19839,10998,8841,837
2007-05-15,55705,2079,0,2046,18157,19944,11201,2345,785,22023,11201,10822,2046,18157,-16111,19944,11201,8743,1560
2007-05-22,51613,1850,0,2044,16025,18141,11561,2288,852,19991,11561,8430,2044,16025,-13981,18141,11561,6580,1436
2007-05-29,42577,1885,0,2307,17666,19682,11345,2233,801,21567,11345,10222,2307,17666,-15359,19682,11345,8337,1432
2007-06-05,42818,1867,0,2497,19593,22297,11869,2211,683,24164,11869,12295,2497,19593,-17096,22297,11869,10428,1528
2007-06-12,48002,1745,0,2269,20112,24478,13309,1923,506,26223,13309,12914,2269,20112,-17843,24478,13309,11169,1417
2007-06-19,49534,2921,0,2167,20056,23478,12666,1933,494,26399,12666,13733,2167,20056,-17889,23478,12666,10812,1439
2007-06-26,49542,1961,0,1196,18653,23623,12231,969,203,25584,12231,13353,1196,18653,-17457,23623,12231,11392,766
2007-07-03,49924,1961,0,1665,17641,25070,14160,833,179,27031,14160,12871,1665,17641,-15976,25070,14160,10910,654
2007-07-10,55619,2066,0,1887,17837,26436,15466,532,169,28502,15466,13036,1887,17837,-15950,26436,15466,10970,363
2007-07-17,61073,2297,0,5608,20110,27416,17345,898,314,29713,17345,12368,5608,20110,-14502,27416,17345,10071,584
2007-07-24,63478,1937,0,1887,20511,32729,18133,906,403,34666,18133,16533,1887,20511,-18624,32729,18133,14596,503
2007-07-31,70351,1925,226,5721,20809,32787,19887,738,606,34712,20113,14599,5721,20809,-15088,32787,19887,12900,132
2007-08-07,81959,1933,226,15154,27557,30807,18378,477,507,32740,18604,14136,15154,27557,-12403,30807,18378,12429,-30
2007-08-14,84569,1450,0,16743,29337,32573,18604,478,864,34023,18604,15419,16743,29337,-12594,32573,18604,13969,-386
2007-08-21,84509,869,0,10702,28745,37186,18487,493,761,38055,18487,19568,10702,28745,-18043,37186,18487,18699,-268
2007-08-28,62933,791,0,4044,20284,30253,15195,488,1026,31044,15195,15849,4044,20284,-16240,30253,15195,15058,-538
2007-09-04,64514,1029,0,5947,21312,30001,15485,688,1053,31030,15485,15545,5947,21312,-15365,30001,15485,14516,-365
2007-09-11,69634,1029,0,7177,21861,30760,16484,706,1278,31789,16484,15305,7177,21861,-14684,30760,16484,14276,-572
2007-09-18,71878,1029,0,6930,23079,30604,14244,716,1738,31633,14244,17389,6930,23079,-16149,30604,14244,16360,-1022
2007-09-25,68704,1023,0,7758,30276,32781,13028,1024,1006,33804,13028,20776,7758,30276,-22518,32781,13028,19753,18
2007-10-02,76269,1022,0,9599,36041,35719,13047,949,1719,36741,13047,23694,9599,36041,-26442,35719,13047,22672,-770
2007-10-09,79984,1079,0,10615,37630,37155,14611,954,860,38234,14611,23623,10615,37630,-27015,37155,14611,22544,94
2007-10-16,86208,1079,0,10029,36658,37088,14626,1004,369,38167,14626,23541,10029,36658,-26629,37088,14626,22462,635
2007-10-23,73597,1279,0,4116,30818,35507,14645,1004,247,36786,14645,22141,4116,30818,-26702,35507,14645,20862,757
2007-10-30,73898,1279,206,3977,31541,36699,14594,1004,322,37978,14800,23178,3977,31541,-27564,36699,14594,22105,682
2007-11-06,77811,1279,0,10626,36933,36559,15364,1212,310,37838,15364,22474,10626,36933,-26307,36559,15364,21195,902
2007-11-13,81912,1279,0,16536,38883,36012,16076,1219,400,37291,16076,21215,16536,38883,-22347,36012,16076,19936,819
2007-11-20,91566,1279,760,17043,37978,37019,18396,1721,401,38298,19156,19142,17043,37978,-20935,37019,18396,18623,1320
2007-11-27,58570,901,760,5804,22844,30506,15213,1367,461,31407,15973,15434,5804,22844,-17040,30506,15213,15293,906
2007-12-04,59689,901,380,5369,23430,31006,15847,1355,452,31907,16227,15680,5369,23430,-18061,31006,15847,15159,903
2007-12-11,62050,901,0,2214,23460,32080,14049,679,0,32981,14049,18932,2214,23460,-21246,32080,14049,18031,679
2007-12-18,65878,1107,0,3011,22019,31608,15917,679,0,32715,15917,16798,3011,22019,-19008,31608,15917,15691,679
2008-01-08,59757,969,0,499,20733,31392,13403,679,0,32361,13403,18958,499,20733,-20234,31392,13403,17989,679
2008-01-15,59909,979,261,499,20954,33530,15797,682,0,34509,16058,18451,499,20954,-20455,33530,15797,17733,682
2008-01-22,56108,991,225,499,15959,27257,13397,688,0,28248,13622,14626,499,15959,-15460,27257,13397,13860,688
2008-01-29,54014,991,200,648,16064,27707,13794,688,0,28698,13994,14704,648,16064,-15416,27707,13794,13913,688
2008-02-05,55094,1059,200,702,15611,27699,14050,688,232,28758,14250,14508,702,15611,-14909,27699,14050,13649,456
2008-02-12,57103,1009,200,700,14146,26721,14026,688,242,27730,14226,13504,700,14146,-13446,26721,14026,12695,446
2008-02-19,58991,999,209,982,16381,26699,13838,938,0,27698,14047,13651,982,16381,-15399,26699,13838,12861,938
2008-02-26,48843,999,209,3343,15851,19666,11479,1012,0,20665,11688,8977,3343,15851,-12508,19666,11479,8187,1012
2008-03-04,49905,999,794,3533,15563,19402,11692,1521,49,20401,12486,7915,3533,15563,-12030,19402,11692,7710,1472
2008-03-11,52793,1211,794,3772,14037,18497,11790,1414,16,19708,12584,7124,3772,14037,-10265,18497,11790,6707,1398
2008-03-18,49633,1211,805,3469,9948,16582,12543,991,272,17793,13348,4445,3469,9948,-6479,16582,12543,4039,719
2008-03-25,46115,701,419,7007,12735,13272,11720,794,104,13973,12139,1834,7007,12735,-5728,13272,11720,1552,690
2008-04-01,47723,701,209,6730,16595,15122,11022,874,0,15823,11231,4592,6730,16595,-9865,15122,11022,4100,874
2008-04-08,50971,1337,209,996,19255,19251,8993,1407,372,20588,9202,11386,996,19255,-18259,19251,8993,10258,1035
2008-04-15,52640,701,0,1015,21754,21773,9145,1164,171,22474,9145,13329,1015,21754,-20739,21773,9145,12628,993
2008-04-22,47935,701,0,545,19759,20902,9585,1103,144,21603,9585,12018,545,19759,-19214,20902,9585,11317,959
2008-04-29,53865,1006,0,1270,22474,23239,9796,558,76,24245,9796,14449,1270,22474,-21204,23239,9796,13443,482
2008-05-06,60219,305,701,1336,25901,23538,10914,1384,92,23843,11615,12228,1336,25901,-24565,23538,10914,12624,1292
