date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,574241,73239,44193,76568,259453,193887,4670,15481,19783,29046,-182885,189217,-4302
2006-06-20,555313,59513,43068,83235,252424,187623,3338,13056,16608,16445,-169189,184285,-3552
2006-06-27,512823,56292,44000,72445,234220,184566,2870,14692,17566,12292,-161775,181696,-2874
2006-07-03,512860,57993,49477,71326,231334,186810,2681,14234,18892,8516,-160008,184129,-4658
2006-07-11,527642,64797,44927,74654,248653,189816,3430,14702,20057,19870,-173999,186386,-5355
2006-07-18,530072,69219,40292,76384,254282,189074,4357,13410,23007,28927,-177898,184717,-9597
2006-07-25,536928,69905,38269,79254,257669,187667,5404,13760,21573,31636,-178415,182263,-7813
2006-08-01,540095,64911,41941,77168,245639,189132,4984,14260,23171,22970,-168471,184148,-8911
2006-08-08,525146,65863,43093,74834,240706,187981,7807,15137,23398,22770,-165872,180174,-8261
2006-08-15,514412,59180,49868,78672,228315,183090,6206,15046,20910,9312,-149643,176884,-5864
2006-08-22,512816,49534,64124,83778,214315,182711,5288,16758,17991,-14590,-130537,177423,-1233
2006-08-29,495137,52349,60559,83518,210370,178216,4585,13531,17971,-8210,-126852,173631,-4440
2006-09-05,500500,50866,45494,75632,219622,180312,6350,12116,16411,5372,-143990,173962,-4295
2006-09-12,500192,54690,49868,73656,214812,179154,6515,9604,15173,4822,-141156,172639,-5569
2006-09-19,507320,49400,52135,78678,211875,178510,6367,9080,15680,-2735,-133197,172143,-6600
2006-09-26,524294,53315,47866,82427,221839,175959,5386,9708,15703,5449,-139412,170573,-5995
2006-10-03,571645,68935,40961,88914,252630,181629,7528,10956,16186,27974,-163716,174101,-5230
2006-10-10,585610,77293,35265,89518,270018,185136,7571,8170,15086,42028,-180500,177565,-6916
2006-10-17,612748,80174,32626,91100,274432,183295,13111,8651,14864,47548,-183332,170184,-6213
2006-10-24,601882,77745,31922,90572,275441,181478,14589,13315,13609,45823,-184869,166889,-294
2006-10-31,566127,74103,31600,83226,258908,179779,15805,9318,13798,42503,-175682,163974,-4480
2006-11-07,569489,71438,29742,79698,258112,181563,15555,10324,14272,41696,-178414,166008,-3948
2006-11-14,539737,66407,29984,73265,247217,180247,16394,12525,13074,36423,-173952,163853,-549
2006-11-21,479959,64362,32345,62198,233396,180300,15399,10773,14229,32017,-171198,164901,-3456
2006-11-28,479316,64664,33810,61106,235247,178463,12158,11687,13446,30854,-174141,166305,-1759
2006-12-05,488917,67188,31731,59732,243002,180902,11086,14752,14120,35457,-183270,169816,632
2006-12-12,478840,57862,35341,65873,233772,180284,12610,12665,11945,22521,-167899,167674,720
2006-12-19,488929,57535,38002,72346,240219,185294,13024,13160,12977,19533,-167873,172270,183
2006-12-26,509375,61850,33602,72992,250426,187656,12094,13778,13695,28248,-177434,175562,83
2007-01-03,513744,61748,41659,74994,244544,188043,10826,12903,13236,20089,-169550,177217,-333
2007-01-09,526032,55438,44235,81918,240591,184569,10626,13682,13778,11203,-158673,173943,-96
2007-01-16,527089,52993,45336,90229,233775,174097,8736,11256,12726,7657,-143546,165361,-1470
2007-01-23,537962,57272,44303,88200,236426,173473,8976,12127,12304,12969,-148226,164497,-177
2007-01-30,526759,55145,49093,84944,226390,173024,10087,13175,11740,6052,-141446,162937,1435
2007-02-06,532827,55446,51824,85211,225414,175892,12630,14409,12614,3622,-140203,163262,1795
2007-02-13,524970,56739,50843,77094,221185,175058,16397,16874,11465,5896,-144091,158661,5409
2007-02-20,515071,57369,52000,74521,214694,172262,19149,18218,11804,5369,-140173,153113,6414
2007-02-27,492314,72091,49802,63573,216100,173899,20606,14113,12161,22289,-152527,153293,1952
2007-03-06,474051,61373,49471,65038,204371,173518,20668,12561,14014,11902,-139333,152850,-1453
2007-03-13,478199,62287,50789,65934,202841,171409,19314,12170,13455,11498,-136907,152095,-1285
2007-03-20,484551,60320,61415,67962,190613,170962,18493,12658,13990,-1095,-122651,152469,-1332
2007-03-27,489379,63120,64746,69003,191110,170984,19369,13468,14079,-1626,-122107,151615,-611
2007-04-03,495554,54331,69770,70851,184783,170509,18709,16178,12793,-15439,-113932,151800,3385
2007-04-10,480306,59698,63139,61058,182085,169306,19736,12647,13211,-3441,-121027,149570,-564
2007-04-17,469860,62836,49247,50381,186346,165524,18881,12069,11554,13589,-135965,146643,515
