date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,172259,37379,1727,27042,100334,22652,0,19224,2290,35652,-73292,22652,16934
2006-06-20,174329,35791,1719,32958,103972,22379,0,18799,3034,34072,-71014,22379,15765
2006-06-27,172699,41290,1854,29511,110871,20909,0,22883,2696,39436,-81360,20909,20187
2006-07-03,180404,45485,1709,27954,117054,21494,0,24252,3255,43776,-89100,21494,20997
2006-07-11,192545,50717,2538,32481,125827,22135,0,24436,2223,48179,-93346,22135,22213
2006-07-18,187257,43193,4936,34761,118208,22047,0,22985,1868,38257,-83447,22047,21117
2006-07-25,187825,42180,6048,35140,116128,22091,0,23039,2088,36132,-80988,22091,20951
2006-08-01,191678,40659,6459,33028,111879,22326,0,22544,2393,34200,-78851,22326,20151
2006-08-08,190246,38561,5981,33550,107318,21731,0,18505,2389,32580,-73768,21731,16116
2006-08-15,183471,34623,8900,34723,96253,21748,0,16924,2484,25723,-61530,21748,14440
2006-08-22,189736,34039,9376,35487,95186,21508,0,15437,2253,24663,-59699,21508,13184
2006-08-29,174937,33611,7564,34038,94670,21593,221,17028,2142,26047,-60632,21372,14886
2006-09-05,177442,35100,8495,34587,94452,22939,179,14722,2365,26605,-59865,22760,12357
2006-09-12,175850,36087,8963,33877,92347,23880,0,12486,2395,27124,-58470,23880,10091
2006-09-19,174918,36027,6849,31657,92508,24074,0,13251,2147,29178,-60851,24074,11104
2006-09-26,171598,35328,8296,29871,88975,23892,0,14605,2254,27032,-59104,23892,12351
2006-10-03,175594,37762,7719,27554,89305,25610,0,13536,2229,30043,-61751,25610,11307
2006-10-10,171191,35389,6668,26292,85771,26752,0,13590,1965,28721,-59479,26752,11625
2006-10-17,157557,30171,5671,28058,81806,27316,0,13998,1906,24500,-53748,27316,12092
2006-10-24,155780,30841,3469,27774,84607,29163,0,13928,2685,27372,-56833,29163,11243
2006-10-31,151466,30328,4830,26932,81533,30238,0,12765,2654,25498,-54601,30238,10111
2006-11-07,152166,29605,3784,23962,80946,30413,0,13553,2710,25821,-56984,30413,10843
2006-11-14,143020,25913,3679,20913,75312,30366,0,11819,2937,22234,-54399,30366,8882
2006-11-21,140819,26429,3963,18290,76679,29810,0,15026,1949,22466,-58389,29810,13077
2006-11-28,126006,28871,3983,16338,74100,29834,0,13177,1707,24888,-57762,29834,11470
2006-12-05,129191,27826,4010,16518,77035,30141,0,15254,2122,23816,-60517,30141,13132
2006-12-12,122690,24881,4457,16698,69199,29680,0,12886,1613,20424,-52501,29680,11273
2006-12-19,122021,23229,5199,17954,67931,29466,663,12408,1772,18030,-49977,28803,10636
2006-12-26,123238,23671,5083,18323,67006,28822,1128,13776,3022,18588,-48683,27694,10754
2007-01-03,127957,24470,6916,20820,65753,28123,1280,12280,2926,17554,-44933,26843,9354
2007-01-09,126909,22121,8017,25575,63019,27102,1923,12105,3275,14104,-37444,25179,8830
2007-01-16,123747,23918,7298,23529,62415,25319,1951,12164,2849,16620,-38886,23368,9315
2007-01-23,126340,25951,7107,23166,63898,25421,1989,12245,2990,18844,-40732,23432,9255
2007-01-30,128163,25084,6871,23926,63287,25436,1839,11833,3782,18213,-39361,23597,8051
2007-02-06,130984,25190,6954,25774,66195,26372,1439,11669,4043,18236,-40421,24933,7626
2007-02-13,129482,25387,7094,25746,66258,26232,1392,10827,4057,18293,-40512,24840,6770
2007-02-20,127469,28002,7103,22651,67012,26231,0,11267,4346,20899,-44361,26231,6921
2007-02-27,127742,30563,6092,21118,69575,25707,0,12512,4269,24471,-48457,25707,8243
2007-03-06,123356,31077,5427,20008,69005,25629,0,12629,4232,25650,-48997,25629,8397
2007-03-13,125126,30180,5839,21200,67304,25552,0,12186,4391,24341,-46104,25552,7795
2007-03-20,130044,30580,8414,25169,68974,23937,0,13010,4445,22166,-43805,23937,8565
2007-03-27,140554,29267,10497,29927,72189,24103,161,13887,4224,18770,-42262,23942,9663
2007-04-03,150836,25888,14976,39554,73606,22737,310,13350,3754,10912,-34052,22427,9596
2007-04-10,149252,24886,14432,35536,73078,22394,310,14707,3655,10454,-37542,22084,11052
2007-04-17,146888,25472,16973,34549,72048,22684,447,10307,3079,8499,-37499,22237,7228
