date,oi,mm_long,mm_short,pm_long,pm_short,sd_long,sd_short,other_long,other_short,mm_net,pm_net,sd_net,other_net
2006-06-13,59242,12479,0,26339,38983,0,0,4625,348,12479,-12644,0,4277
2006-06-20,53411,10553,0,24129,34681,0,0,3703,301,10553,-10552,0,3402
2006-06-27,51892,11486,0,18849,33704,0,0,5072,747,11486,-14855,0,4325
2006-07-03,53723,12474,0,19781,35635,0,0,4937,813,12474,-15854,0,4124
2006-07-11,60100,10744,0,22711,38734,0,0,4055,822,10744,-16023,0,3233
2006-07-18,60491,9260,0,24650,37511,0,0,3896,568,9260,-12861,0,3328
2006-07-25,61122,7763,254,26206,36944,0,0,4889,522,7509,-10738,0,4367
2006-08-01,59799,5246,0,26601,33291,0,0,4822,535,5246,-6690,0,4287
2006-08-08,57964,4973,0,26583,34267,0,0,4909,848,4973,-7684,0,4061
2006-08-15,55622,3787,0,27094,32407,0,0,3361,712,3787,-5313,0,2649
2006-08-22,53420,3258,200,27465,31439,0,0,2899,572,3058,-3974,0,2327
2006-08-29,48617,4543,0,25571,31048,0,0,2472,583,4543,-5477,0,1889
2006-09-05,49681,5625,0,25412,31375,0,0,2174,546,5625,-5963,0,1628
2006-09-12,49273,4930,0,25459,31113,0,0,2358,457,4930,-5654,0,1901
2006-09-19,48593,4407,557,24878,30538,0,0,2343,74,3850,-5660,0,2269
2006-09-26,48665,4371,826,24396,29672,0,0,2526,0,3545,-5276,0,2526
2006-10-03,48012,4636,558,22841,28361,0,0,2820,17,4078,-5520,0,2803
2006-10-10,49620,6356,160,23758,29711,0,0,3007,144,6196,-5953,0,2863
2006-10-17,51253,6579,0,25231,32091,0,0,2769,75,6579,-6860,0,2694
2006-10-24,52584,6666,0,26667,33604,0,0,2973,227,6666,-6937,0,2746
2006-10-31,52188,6939,150,25303,32817,0,0,2888,291,6789,-7514,0,2597
2006-11-07,52257,7936,230,24789,33219,0,0,3246,293,7706,-8430,0,2953
2006-11-14,52726,8267,230,23728,33671,0,0,3690,413,8037,-9943,0,3277
2006-11-21,50033,8573,390,24054,31941,0,0,2244,502,8183,-7887,0,1742
2006-11-28,48863,8743,390,24266,32471,0,0,2766,349,8353,-8205,0,2417
2006-12-05,50585,9577,530,25043,33661,0,0,2917,401,9047,-8618,0,2516
2006-12-12,49476,10441,580,23341,32345,0,0,2432,248,9861,-9004,0,2184
2006-12-19,49224,11575,0,22988,33715,0,0,2505,106,11575,-10727,0,2399
2006-12-26,48795,11421,0,22789,33405,0,0,2298,15,11421,-10616,0,2283
2007-01-03,46146,11108,0,20864,30226,0,0,1508,72,11108,-9362,0,1436
2007-01-09,44202,8498,239,21381,27146,0,0,925,276,8259,-5765,0,649
2007-01-16,46409,9080,469,21373,27880,0,0,1076,209,8611,-6507,0,867
