date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,412.75,420.75,440.25,470.25,CONTANGO,6.6626,13.931
2026-06-15,415.5,422.5,441.5,471.25,CONTANGO,6.2575,13.4176
2026-06-16,414.25,423.25,443.25,473.25,CONTANGO,7.0006,14.2426
2026-06-17,421.25,429.75,449.0,478.0,CONTANGO,6.5875,13.4718
2026-06-18,417.5,425.25,444.25,473.0,CONTANGO,6.4072,13.2934
2026-06-19,417.5,425.25,444.0,473.0,CONTANGO,6.3473,13.2934
2026-06-22,411.25,419.5,439.0,469.5,CONTANGO,6.7477,14.1641
2026-06-23,410.0,418.0,437.75,467.25,CONTANGO,6.7683,13.9634
2026-06-24,406.0,414.5,433.75,463.5,CONTANGO,6.835,14.1626
2026-06-25,414.75,424.25,442.75,472.25,CONTANGO,6.7511,13.8638
2026-06-26,411.75,420.5,440.0,470.75,CONTANGO,6.861,14.3291
2026-06-29,400.5,408.75,428.75,460.25,CONTANGO,7.0537,14.9189
2026-06-30,412.5,416.75,436.5,467.25,CONTANGO,5.8182,13.2727
2026-07-01,422.25,423.75,443.0,473.5,CONTANGO,4.9142,12.1374
2026-07-02,424.5,422.25,440.75,470.25,CONTANGO,3.828,10.7774
2026-07-03,425.0,423.0,441.5,471.0,CONTANGO,3.8824,10.8235
2026-07-06,441.0,438.75,458.25,485.75,CONTANGO,3.9116,10.1474
2026-07-07,443.5,443.0,463.5,491.0,CONTANGO,4.5096,10.7103
2026-07-08,435.0,433.25,454.5,483.5,CONTANGO,4.4828,11.1494
2026-07-09,429.5,431.0,451.75,481.0,CONTANGO,5.1804,11.9907
2026-07-10,438.0,438.5,460.25,487.75,CONTANGO,5.0799,11.3584
2026-07-13,440.75,440.75,463.0,490.25,CONTANGO,5.0482,11.2309
2026-07-14,433.75,437.75,459.5,488.25,CONTANGO,5.9366,12.5648
2026-07-15,433.75,447.25,469.25,496.75,CONTANGO,8.1844,14.5245
2026-07-16,433.75,441.0,463.5,492.75,CONTANGO,6.8588,13.6023
2026-07-17,433.75,445.5,468.25,497.0,CONTANGO,7.9539,14.5821
2026-07-20,449.25,472.5,488.0,487.0,CONTANGO,8.6255,8.4029
2026-07-21,452.5,475.25,491.25,489.5,CONTANGO,8.5635,8.1768
2026-07-22,461.75,484.25,500.0,493.5,CONTANGO,8.2837,6.876
2026-07-23,463.25,486.75,502.0,493.0,CONTANGO,8.3648,6.422
2026-07-24,464.0,487.25,502.75,491.75,CONTANGO,8.3513,5.9806
2026-07-27,451.25,473.25,489.25,483.75,CONTANGO,8.4211,7.2022
2026-07-28,458.5,480.5,495.75,485.75,CONTANGO,8.1243,5.9433
2026-07-29,448.5,471.0,486.5,481.75,CONTANGO,8.4727,7.4136
2026-07-30,445.5,468.5,484.5,482.75,CONTANGO,8.7542,8.3614
2026-07-31,440.5,463.75,479.75,479.0,CONTANGO,8.9103,8.7401
2026-08-03,449.75,473.0,489.0,486.5,CONTANGO,8.7271,8.1712
2026-08-04,442.0,465.25,481.25,482.75,CONTANGO,8.8801,9.2195
2026-08-05,437.5,460.75,476.5,481.75,CONTANGO,8.9143,10.1143
2026-08-07,438.75,461.5,477.0,481.5,CONTANGO,8.7179,9.7436
2026-08-10,438.5,461.75,477.25,482.0,CONTANGO,8.8369,9.9202
