date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,4215.0,4238.7998046875,4268.2998046875,4365.10009765625,CONTANGO,1.2645,3.5611
2026-06-15,4313.7998046875,4331.7998046875,4365.2998046875,4472.7001953125,CONTANGO,1.1938,3.6835
2026-06-16,4321.2001953125,4353.7998046875,4385.39990234375,4490.0,CONTANGO,1.4857,3.9063
2026-06-17,4296.10009765625,4283.0,4315.0,4464.2998046875,CONTANGO,0.4399,3.9152
2026-06-18,4223.7001953125,4238.2001953125,4268.0,4391.10009765625,CONTANGO,1.0488,3.9633
2026-06-19,4145.2998046875,4172.89990234375,4201.7998046875,4375.10009765625,CONTANGO,1.363,5.5436
2026-06-22,4145.2998046875,4209.10009765625,4238.0,4336.39990234375,CONTANGO,2.2363,4.61
2026-06-23,4125.39990234375,4127.7001953125,4155.0,4274.39990234375,CONTANGO,0.7175,3.6118
2026-06-24,3998.60009765625,4016.39990234375,4040.5,4137.0,CONTANGO,1.0479,3.4612
2026-06-25,4015.800048828125,4043.60009765625,4072.89990234375,4170.0,CONTANGO,1.4219,3.8398
2026-06-26,4030.5,4080.699951171875,4110.10009765625,4221.2001953125,CONTANGO,1.9749,4.7314
2026-06-29,4078.699951171875,4030.5,4057.699951171875,4164.0,BACKWARDATION,-0.5149,2.0914
2026-06-30,4033.800048828125,4062.60009765625,4093.89990234375,4205.0,CONTANGO,1.4899,4.2441
2026-07-01,4048.89990234375,4077.0,4108.60009765625,4236.0,CONTANGO,1.4745,4.621
2026-07-02,4134.0,4157.5,4194.89990234375,4300.0,CONTANGO,1.4731,4.0155
2026-07-03,4187.2998046875,4216.7001953125,4248.39990234375,4344.5,CONTANGO,1.4592,3.7542
2026-07-06,4176.2998046875,4206.39990234375,4237.0,4344.5,CONTANGO,1.4534,4.0275
2026-07-07,4117.2001953125,4145.89990234375,4178.0,4287.0,CONTANGO,1.4767,4.1242
2026-07-08,4089.0,4116.7998046875,4148.0,4207.5,CONTANGO,1.4429,2.898
2026-07-09,4131.60009765625,4160.39990234375,4191.2998046875,4299.0,CONTANGO,1.445,4.0517
2026-07-10,4121.5,4143.60009765625,4180.89990234375,4269.5,CONTANGO,1.4412,3.5909
2026-07-13,4007.699951171875,4032.0,4065.10009765625,4157.39990234375,CONTANGO,1.4322,3.7353
2026-07-14,4057.0,4084.0,4114.89990234375,4223.5,CONTANGO,1.4272,4.104
2026-07-15,4067.5,4093.0,4124.89990234375,4206.2998046875,CONTANGO,1.4112,3.4124
2026-07-16,3979.199951171875,4004.60009765625,4035.0,4132.5,CONTANGO,1.4023,3.8525
2026-07-17,4013.5,4039.699951171875,4070.10009765625,4170.89990234375,CONTANGO,1.4102,3.9218
2026-07-20,4011.699951171875,4040.300048828125,4069.300048828125,4166.89990234375,CONTANGO,1.4358,3.8687
2026-07-21,4085.800048828125,4113.0,4143.5,4229.2001953125,CONTANGO,1.4122,3.5097
2026-07-22,4140.0,4168.89990234375,4199.0,4304.0,CONTANGO,1.4251,3.9614
2026-07-23,4052.300048828125,4080.800048828125,4111.39990234375,4214.0,CONTANGO,1.4584,3.9903
2026-07-24,4057.39990234375,4085.0,4115.89990234375,4224.2998046875,CONTANGO,1.4418,4.1135
2026-07-27,4085.199951171875,4114.39990234375,4144.89990234375,4232.7001953125,CONTANGO,1.4614,3.6106
2026-07-28,4025.800048828125,4054.60009765625,4086.0,4202.89990234375,CONTANGO,1.4954,4.3991
2026-07-29,4056.89990234375,4084.39990234375,4116.10009765625,4226.0,CONTANGO,1.4592,4.1682
2026-07-30,4107.7001953125,4135.2001953125,4166.39990234375,4261.2998046875,CONTANGO,1.429,3.7393
2026-07-31,4050.699951171875,4077.39990234375,4107.7998046875,4194.7001953125,CONTANGO,1.4096,3.5549
2026-08-03,4050.39990234375,4077.0,4107.89990234375,4204.2998046875,CONTANGO,1.4196,3.7996
2026-08-04,4088.10009765625,4104.89990234375,4135.5,4237.89990234375,CONTANGO,1.1595,3.6643
2026-08-05,4252.39990234375,4276.0,4308.2001953125,4392.7998046875,CONTANGO,1.3122,3.3017
2026-08-07,4346.39990234375,4369.10009765625,4401.2998046875,4506.0,CONTANGO,1.2631,3.672
2026-08-10,4386.5,4416.39990234375,4449.5,4542.5,CONTANGO,1.4362,3.5564
2026-08-11,4365.39990234375,4395.7001953125,4429.5,4547.0,CONTANGO,1.4684,4.16
2026-08-12,4425.5,4439.2001953125,4471.7001953125,4594.0,CONTANGO,1.044,3.8075
2026-08-13,4351.10009765625,4375.2001953125,4407.2001953125,4553.0,CONTANGO,1.2893,4.6402
2026-08-14,4373.89990234375,4395.2998046875,4428.7001953125,4555.0,CONTANGO,1.2529,4.1405
2026-08-17,4413.7998046875,4440.7998046875,4474.2998046875,4567.39990234375,CONTANGO,1.3707,3.48
2026-08-18,4388.0,4367.5,4400.7998046875,4517.89990234375,CONTANGO,0.2917,2.9603
2026-08-19,4477.7001953125,4534.5,4568.10009765625,4673.0,CONTANGO,2.0189,4.3616
2026-08-20,4513.60009765625,4552.60009765625,4584.7998046875,4681.2998046875,CONTANGO,1.5774,3.7154
2026-08-21,4615.0,4643.60009765625,4679.10009765625,4788.10009765625,CONTANGO,1.389,3.7508
2026-08-24,4670.89990234375,4672.2001953125,4708.7001953125,4808.60009765625,CONTANGO,0.8093,2.948
2026-08-25,4630.0,4658.7998046875,4696.10009765625,4805.0,CONTANGO,1.4276,3.7797
