date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,1276.199951171875,1291.5,1310.199951171875,1380.699951171875,CONTANGO,2.6642,8.1884
2026-06-15,1276.199951171875,1349.5,1372.0,1380.699951171875,CONTANGO,7.5067,8.1884
2026-06-16,1346.800048828125,1363.5,1382.0,1450.5,CONTANGO,2.6136,7.6997
2026-06-17,1355.9000244140625,1326.0,1342.0,1459.9000244140625,BACKWARDATION,-1.0252,7.6702
2026-06-18,1349.0999755859375,1294.0,1303.0,1448.300048828125,BACKWARDATION,-3.4171,7.3531
2026-06-19,1274.5,1264.5,1280.0,1375.699951171875,CONTANGO,0.4315,7.9404
2026-06-22,1274.5,1264.5,1280.0,1375.699951171875,CONTANGO,0.4315,7.9404
2026-06-23,1257.0999755859375,1238.5,1258.0,1330.5,CONTANGO,0.0716,5.8388
2026-06-24,1230.699951171875,1177.0,1180.0,1326.0,BACKWARDATION,-4.1196,7.7436
2026-06-25,1173.0,1192.0,1209.0,1259.5,CONTANGO,3.0691,7.3743
2026-06-26,1180.199951171875,1212.5,1233.0,1277.0999755859375,CONTANGO,4.4738,8.2105
2026-06-29,1209.0,1222.0,1240.0,1304.0999755859375,CONTANGO,2.5641,7.866
2026-06-30,1220.0,1238.0,1245.0,1324.0999755859375,CONTANGO,2.0492,8.5328
2026-07-01,1220.0,1236.0,1244.0,1313.0,CONTANGO,1.9672,7.623
2026-07-02,1269.5,1289.0,1254.5,1321.0,BACKWARDATION,-1.1816,4.0567
2026-07-03,1272.5,1292.0,1304.0,1372.5,CONTANGO,2.4754,7.8585
2026-07-06,1272.5,1292.0,1324.5,1372.5,CONTANGO,4.0864,7.8585
2026-07-07,1268.0,1290.5,1313.5,1368.0999755859375,CONTANGO,3.5883,7.8943
2026-07-08,1224.5,1240.0,1254.0,1377.800048828125,CONTANGO,2.4091,12.5194
2026-07-09,1251.5,1270.5,1253.9000244140625,1318.9000244140625,CONTANGO,0.1918,5.3855
2026-07-10,1278.5,1291.0,1284.800048828125,1350.800048828125,CONTANGO,0.4928,5.6551
2026-07-13,1254.0,1267.0,1308.0999755859375,1374.5999755859375,CONTANGO,4.3142,9.6172
2026-07-14,1306.5,1317.5,1328.5,1350.0999755859375,CONTANGO,1.6839,3.3372
2026-07-15,1319.5,1338.0,1338.0,1401.300048828125,CONTANGO,1.402,6.1993
2026-07-16,1255.5,1276.5,1323.699951171875,1388.199951171875,CONTANGO,5.4321,10.5695
2026-07-17,1251.0,1269.5,1284.0,1367.4000244140625,CONTANGO,2.6379,9.3046
2026-07-20,1270.5,1274.0,1283.199951171875,1347.800048828125,CONTANGO,0.9996,6.0842
