date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,1712.199951171875,1729.5999755859375,1743.0,1772.5,CONTANGO,1.7989,3.5218
2026-06-15,1773.5,1789.699951171875,1805.0,1844.5999755859375,CONTANGO,1.7761,4.009
2026-06-16,1809.9000244140625,1832.199951171875,1844.9000244140625,1831.9000244140625,CONTANGO,1.9338,1.2155
2026-06-17,1744.4000244140625,1761.5999755859375,1774.0999755859375,1874.9000244140625,CONTANGO,1.7026,7.4811
2026-06-18,1700.800048828125,1716.5,1732.300048828125,1788.199951171875,CONTANGO,1.8521,5.1388
2026-06-19,1668.199951171875,1685.9000244140625,1695.800048828125,1769.699951171875,CONTANGO,1.6545,6.0844
2026-06-22,1676.0999755859375,1694.199951171875,1695.800048828125,1770.0,CONTANGO,1.1754,5.6023
2026-06-23,1654.0,1669.300048828125,1689.800048828125,1718.199951171875,CONTANGO,2.1645,3.8815
2026-06-24,1582.5999755859375,1597.4000244140625,1609.5,1615.0,CONTANGO,1.6997,2.0473
2026-06-25,1598.0,1613.5,1628.699951171875,1615.9000244140625,CONTANGO,1.9211,1.1202
2026-06-26,1624.9000244140625,1641.800048828125,1651.300048828125,1656.5999755859375,CONTANGO,1.6247,1.9509
