date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,301.29998779296875,302.1000061035156,302.20001220703125,306.70001220703125,CONTANGO,0.2987,1.7922
2026-06-15,302.29998779296875,303.1000061035156,303.20001220703125,307.3999938964844,CONTANGO,0.2977,1.6871
2026-06-16,304.8999938964844,305.1000061035156,304.70001220703125,309.20001220703125,BACKWARDATION,-0.0656,1.4103
2026-06-17,304.8999938964844,304.8999938964844,304.20001220703125,308.1000061035156,BACKWARDATION,-0.2296,1.0495
2026-06-18,300.79998779296875,300.8999938964844,300.6000061035156,305.3999938964844,BACKWARDATION,-0.0665,1.5293
2026-06-19,301.29998779296875,301.29998779296875,300.79998779296875,305.3999938964844,BACKWARDATION,-0.1659,1.3608
2026-06-22,300.0,300.1000061035156,300.29998779296875,305.70001220703125,CONTANGO,0.1,1.9
2026-06-23,303.6000061035156,302.5,299.79998779296875,303.0,BACKWARDATION,-1.2517,-0.1976
2026-06-24,303.79998779296875,302.29998779296875,299.3999938964844,301.79998779296875,BACKWARDATION,-1.4483,-0.6583
2026-06-25,308.20001220703125,305.8999938964844,303.29998779296875,305.70001220703125,BACKWARDATION,-1.5899,-0.8112
2026-06-26,307.0,304.29998779296875,302.3999938964844,305.3999938964844,BACKWARDATION,-1.4984,-0.5212
2026-06-29,304.1000061035156,303.6000061035156,301.5,303.8999938964844,BACKWARDATION,-0.855,-0.0658
2026-06-30,304.70001220703125,303.70001220703125,301.6000061035156,304.6000061035156,BACKWARDATION,-1.0174,-0.0328
2026-07-01,306.70001220703125,306.1000061035156,304.0,306.5,BACKWARDATION,-0.8803,-0.0652
2026-07-02,307.70001220703125,305.20001220703125,303.0,305.8999938964844,BACKWARDATION,-1.5275,-0.585
2026-07-03,307.70001220703125,305.5,303.1000061035156,306.0,BACKWARDATION,-1.495,-0.5525
2026-07-06,315.0,312.5,310.5,313.8999938964844,BACKWARDATION,-1.4286,-0.3492
2026-07-07,318.29998779296875,315.79998779296875,314.0,316.8999938964844,BACKWARDATION,-1.3509,-0.4398
2026-07-08,315.0,311.70001220703125,309.29998779296875,312.6000061035156,BACKWARDATION,-1.8095,-0.7619
2026-07-09,319.1000061035156,316.29998779296875,313.29998779296875,315.8999938964844,BACKWARDATION,-1.8176,-1.0028
2026-07-10,325.79998779296875,319.70001220703125,316.29998779296875,319.70001220703125,BACKWARDATION,-2.9159,-1.8723
2026-07-13,340.0,317.70001220703125,314.29998779296875,317.29998779296875,BACKWARDATION,-7.5588,-6.6765
2026-07-14,319.6000061035156,317.29998779296875,314.79998779296875,318.1000061035156,BACKWARDATION,-1.5019,-0.4693
2026-07-15,319.6000061035156,319.0,317.79998779296875,321.79998779296875,BACKWARDATION,-0.5632,0.6884
2026-07-16,319.6000061035156,322.5,320.1000061035156,324.0,CONTANGO,0.1564,1.3767
2026-07-17,319.6000061035156,321.0,317.79998779296875,320.79998779296875,BACKWARDATION,-0.5632,0.3755
2026-07-20,322.8999938964844,320.70001220703125,319.29998779296875,326.5,BACKWARDATION,-1.1149,1.1149
2026-07-21,327.1000061035156,324.3999938964844,323.20001220703125,331.0,BACKWARDATION,-1.1923,1.1923
