date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,1113.5,1118.75,1117.75,1154.5,CONTANGO,0.3817,3.6821
2026-06-15,1118.75,1123.5,1121.5,1156.5,CONTANGO,0.2458,3.3743
2026-06-16,1129.5,1134.0,1132.75,1166.0,CONTANGO,0.2877,3.2315
2026-06-17,1133.5,1138.0,1138.0,1170.75,CONTANGO,0.397,3.2863
2026-06-18,1122.0,1127.75,1128.0,1162.25,CONTANGO,0.5348,3.5873
2026-06-19,1122.75,1128.25,1128.5,1163.25,CONTANGO,0.5121,3.6072
2026-06-22,1115.5,1122.75,1126.0,1162.75,CONTANGO,0.9413,4.2358
2026-06-23,1116.5,1123.25,1127.0,1161.5,CONTANGO,0.9404,4.0305
2026-06-24,1107.75,1115.0,1119.0,1153.75,CONTANGO,1.0156,4.1526
2026-06-25,1128.0,1137.5,1142.0,1175.75,CONTANGO,1.2411,4.2332
2026-06-26,1124.0,1134.25,1139.75,1173.5,CONTANGO,1.4012,4.4039
2026-06-29,1106.5,1117.25,1122.25,1159.0,CONTANGO,1.4234,4.7447
2026-06-30,1117.5,1123.75,1128.0,1166.0,CONTANGO,0.9396,4.34
2026-07-01,1126.5,1133.5,1136.0,1170.5,CONTANGO,0.8433,3.9059
2026-07-02,1131.75,1134.0,1134.5,1167.25,CONTANGO,0.243,3.1367
2026-07-03,1131.75,1136.25,1136.0,1168.25,CONTANGO,0.3755,3.2251
2026-07-06,1180.5,1182.0,1179.25,1206.25,BACKWARDATION,-0.1059,2.1813
2026-07-07,1200.25,1192.75,1186.0,1212.0,BACKWARDATION,-1.1873,0.979
2026-07-08,1196.25,1189.75,1179.5,1204.25,BACKWARDATION,-1.4002,0.6688
2026-07-09,1181.0,1176.75,1168.75,1198.75,BACKWARDATION,-1.0373,1.503
2026-07-10,1197.5,1190.5,1179.75,1206.5,BACKWARDATION,-1.4823,0.7516
2026-07-13,1207.0,1196.5,1184.25,1209.75,BACKWARDATION,-1.8848,0.2278
2026-07-14,1207.25,1191.0,1180.5,1208.25,BACKWARDATION,-2.2158,0.0828
2026-07-15,1207.25,1201.5,1191.75,1219.5,BACKWARDATION,-1.2839,1.0147
2026-07-16,1207.25,1193.75,1183.75,1211.75,BACKWARDATION,-1.9466,0.3727
2026-07-17,1207.25,1204.0,1193.0,1219.5,BACKWARDATION,-1.1804,1.0147
2026-07-20,1223.0,1213.75,1225.0,1242.0,CONTANGO,0.1635,1.5536
2026-07-21,1218.5,1210.25,1222.25,1242.5,CONTANGO,0.3078,1.9696
2026-07-22,1232.75,1225.75,1238.25,1256.25,CONTANGO,0.4462,1.9063
2026-07-23,1235.0,1227.75,1241.0,1255.75,CONTANGO,0.4858,1.6802
2026-07-24,1246.75,1239.0,1252.5,1264.75,CONTANGO,0.4612,1.4438
2026-07-27,1206.25,1197.5,1211.5,1231.25,CONTANGO,0.4352,2.0725
2026-07-28,1212.0,1204.75,1220.0,1240.0,CONTANGO,0.6601,2.3102
2026-07-29,1177.0,1174.75,1191.5,1215.75,CONTANGO,1.2319,3.2923
2026-07-30,1175.0,1171.75,1188.5,1214.5,CONTANGO,1.1489,3.3617
2026-07-31,1170.75,1171.25,1188.25,1210.5,CONTANGO,1.4948,3.3953
2026-08-03,1168.0,1174.0,1192.25,1216.75,CONTANGO,2.0762,4.1738
2026-08-04,1155.0,1158.25,1177.25,1206.0,CONTANGO,1.9264,4.4156
2026-08-05,1152.0,1158.25,1176.75,1206.5,CONTANGO,2.1484,4.7309
2026-08-07,1160.0,1158.75,1176.0,1206.0,CONTANGO,1.3793,3.9655
2026-08-10,1161.25,1162.75,1180.25,1210.25,CONTANGO,1.6362,4.2196
2026-08-11,1147.25,1150.25,1167.75,1200.0,CONTANGO,1.7869,4.598
2026-08-12,1159.0,1165.5,1183.25,1214.75,CONTANGO,2.0923,4.8102
2026-08-13,1167.0,1167.25,1183.0,1213.25,CONTANGO,1.371,3.9632
2026-08-14,1168.25,1176.25,1191.25,1219.25,CONTANGO,1.9688,4.3655
2026-08-17,1173.75,1200.5,1216.0,1239.75,CONTANGO,3.5996,5.623
2026-08-18,1199.25,1215.25,1230.25,1247.75,CONTANGO,2.5849,4.0442
2026-08-19,1221.0,1236.0,1250.75,1262.25,CONTANGO,2.4365,3.3784
2026-08-20,1220.5,1236.0,1250.5,1263.25,CONTANGO,2.458,3.5027
2026-08-21,1221.0,1236.0,1250.75,1263.0,CONTANGO,2.4365,3.4398
