date,m1_price,m2_price,m3_price,m6_price,signal,spread_m1m3,spread_m1m6
2026-06-13,584.5,595.75,612.0,642.25,CONTANGO,4.7049,9.8802
2026-06-15,590.0,600.25,616.75,645.5,CONTANGO,4.5339,9.4068
2026-06-16,595.75,604.25,622.25,652.5,CONTANGO,4.4482,9.5258
2026-06-17,613.5,621.5,637.25,661.75,CONTANGO,3.8712,7.8647
2026-06-18,605.0,613.25,628.75,657.75,CONTANGO,3.9256,8.719
2026-06-19,605.75,614.0,630.25,658.0,CONTANGO,4.0446,8.6257
2026-06-22,597.0,607.0,623.25,651.0,CONTANGO,4.397,9.0452
2026-06-23,588.0,598.0,614.75,643.75,CONTANGO,4.5493,9.4813
2026-06-24,585.5,595.75,612.5,642.0,CONTANGO,4.6114,9.6499
2026-06-25,590.75,601.25,617.75,647.25,CONTANGO,4.5705,9.5641
2026-06-26,577.25,588.75,606.0,637.0,CONTANGO,4.9805,10.3508
2026-06-29,568.75,578.0,595.25,627.25,CONTANGO,4.6593,10.2857
2026-06-30,584.25,591.25,606.5,635.25,CONTANGO,3.8083,8.7291
