call_gex,call_oi,net_gex,put_gex,put_oi,strike
0.0,0.0,0.0,0.0,7750.0,174.78
0.0,0.0,0.0,0.0,2779.0,179.78
0.0,0.0,0.0,0.0,836.0,184.78
0.0,0.0,0.0,0.0,983.0,189.78
0.0,0.0,0.0,0.0,572.0,194.78
0.0,0.0,0.0,0.0,1558.0,199.78
3145.88,237.0,-40879.45,-44025.33,11980.0,204.78
8509.73,434.0,-95075.72,-103585.44,9219.0,205.0
3299.32,236.0,-902.5,-4201.82,3037.0,209.78
1410.78,78.0,-64573.52,-65984.3,5201.0,210.0
404.4,27.0,-10804.74,-11209.14,3291.0,214.78
2239.27,93.0,-21489.53,-23728.81,2124.0,215.0
845.59,51.0,-672.67,-1518.26,1017.0,219.78
2311.87,93.0,-42509.49,-44821.36,2482.0,220.0
104.86,6.0,-2658.91,-2763.76,1544.0,224.78
1668.15,42.0,-30106.3,-31774.45,1187.0,225.0
159.48,9.0,-4925.64,-5085.13,1964.0,229.78
1799.19,37.0,-12647.32,-14446.5,686.0,230.0
0.0,0.0,-29896.27,-29896.27,3930.0,234.78
1785.75,34.0,-15239.23,-17024.97,594.0,235.0
178.41,9.0,-5244.27,-5422.68,1489.0,239.78
7465.92,233.0,-29771.68,-37237.59,1150.0,240.0
858.65,40.0,-9920.26,-10778.92,1196.0,244.78
1388.35,35.0,-14791.71,-16180.06,604.0,245.0
2177.39,99.0,-8540.38,-10717.77,2387.0,249.78
12021.81,329.0,-634331.53,-646353.34,16539.0,250.0
3167.1,132.0,-5659.95,-8827.05,1915.0,254.78
2232.13,42.0,-47843.71,-50075.84,2281.0,255.0
1248.81,51.0,-26491.39,-27740.19,2663.0,259.78
1407.84,33.0,-99576.32,-100984.16,3746.0,260.0
1086.61,41.0,-6600.57,-7687.18,1607.0,264.78
3140.62,73.0,-33936.19,-37076.81,1024.0,265.0
3426.5,124.0,-78402.36,-81828.86,4828.0,269.78
1760.09,42.0,-32668.05,-34428.15,1244.0,270.0
1507.96,52.0,-12910.29,-14418.25,2344.0,274.78
3967.29,122.0,-50863.38,-54830.67,1411.0,275.0
1312.57,44.0,-8906.44,-10219.01,4370.0,279.78
1766.98,32.0,-122582.72,-124349.7,3173.0,280.0
733.03,23.0,-103928.8,-104661.84,4076.0,284.78
3702.24,70.0,-96376.22,-100078.46,2311.0,285.0
1049.15,19.0,-23799.08,-24848.22,1127.0,289.78
3865.28,70.0,-147321.09,-151186.36,3561.0,290.0
3147.44,57.0,-154721.61,-157869.05,3854.0,294.78
9111.02,165.0,-87919.43,-97030.45,2130.0,295.0
6902.28,125.0,-119713.22,-126615.5,6393.0,299.78
48723.73,887.0,-864077.41,-912801.14,25618.0,300.0
6791.85,123.0,-15405.9,-22197.75,2291.0,304.78
4859.21,88.0,-133469.33,-138328.54,5797.0,305.0
3754.84,68.0,-23909.51,-27664.36,1621.0,309.78
6957.5,126.0,-145466.14,-152423.64,5149.0,310.0
2595.26,47.0,-26173.46,-28768.72,880.0,314.78
10081.68,205.0,-238681.6,-248763.28,8260.0,315.0
1104.37,20.0,-107565.2,-108669.56,4421.0,319.78
34842.73,493.0,-118394.8,-153237.53,4898.0,320.0
2043.08,37.0,-32413.13,-34456.2,1762.0,324.78
19933.8,253.0,-250841.93,-270775.73,5965.0,325.0
1490.89,27.0,-310381.92,-311872.82,12515.0,329.78
13298.14,192.0,-203647.42,-216945.56,4782.0,330.0
5963.57,108.0,-56156.99,-62120.56,1881.0,334.78
7785.78,108.0,-153580.72,-161366.49,3514.0,335.0
1214.8,22.0,-38708.01,-39922.81,2225.0,339.78
7564.9,86.0,-535313.92,-542878.82,9100.0,340.0
10933.22,198.0,-422585.46,-433518.68,8947.0,344.78
4914.43,52.0,-239772.13,-244686.55,4139.0,345.0
23467.77,425.0,-104086.45,-127554.21,6740.0,349.78
32192.25,396.0,-5137346.28,-5169538.53,50129.0,350.0
1159.58,21.0,-28492.63,-29652.21,1846.0,354.78
4702.95,53.0,-196939.98,-201642.92,3087.0,355.0
5797.92,105.0,-123026.32,-128824.24,5466.0,359.78
33407.06,341.0,-400324.49,-433731.54,6320.0,360.0
1490.89,27.0,-35284.48,-36775.37,1824.0,364.78
15358.97,224.0,-401825.87,-417184.84,5657.0,365.0
2816.13,51.0,-221646.16,-224462.29,5618.0,369.78
17570.1,197.0,-641217.86,-658787.97,7551.0,370.0
2981.79,54.0,-110491.77,-113473.55,3113.0,374.78
13320.01,132.0,-567551.6,-580871.62,7498.0,375.0
5797.92,105.0,-275594.41,-281392.33,5729.0,379.78
19160.74,190.0,-753854.07,-773014.81,17400.0,380.0
3423.53,31.0,-42297.2,-45720.73,2001.0,384.78
13307.6,146.0,-712632.35,-725939.96,5437.0,385.0
5080.08,46.0,-114301.83,-119381.91,2346.0,389.78
46493.79,391.0,-1260901.77,-1307395.56,20410.0,390.0
6626.19,60.0,-83600.47,-90226.66,3000.0,394.78
29817.87,223.0,-603030.94,-632848.81,7957.0,395.0
27388.26,248.0,-375042.52,-402430.79,7974.0,399.78
345224.65,2459.0,-13228322.32,-13573546.97,136544.0,400.0
9166.23,83.0,-146880.61,-156046.84,5731.0,404.78
23633.42,196.0,-459957.62,-483591.04,5161.0,405.0
7288.81,66.0,-56101.77,-63390.58,1250.0,409.78
45002.89,359.0,-1663001.31,-1708004.2,22901.0,410.0
9387.11,85.0,-243181.28,-252568.39,4499.0,414.78
29044.81,216.0,-524779.19,-553824.01,13494.0,415.0
4417.46,40.0,-52126.05,-56543.51,1671.0,419.78
110160.46,833.0,-2318158.16,-2428318.62,55484.0,420.0
20209.89,183.0,-150966.76,-171176.65,6557.0,424.78
70568.96,502.0,-1596221.07,-1666790.02,12748.0,425.0
12921.08,117.0,-36444.06,-49365.14,1468.0,429.78
299338.27,1814.0,-3190517.12,-3489855.39,43572.0,430.0
22694.71,137.0,-993.93,-23688.64,756.0,434.78
68636.32,409.0,-779093.83,-847730.15,6812.0,435.0
149089.34,900.0,-48205.55,-197294.9,5543.0,439.78
218498.71,1385.0,-4012845.95,-4231344.66,77668.0,440.0
229597.59,1386.0,-61954.9,-291552.49,3400.0,444.78
160298.65,777.0,-2856489.15,-3016787.8,17033.0,445.0
5300.95,32.0,-68415.44,-73716.4,1490.0,449.78
591939.91,3375.0,-10657526.99,-11249466.9,94935.0,450.0
0.0,0.0,-260.45,-260.45,22.0,451.0
0.0,0.0,-95.45,-95.45,8.0,452.0
0.0,0.0,-728.18,-728.18,55.0,453.0
0.0,0.0,-120.12,-120.12,9.0,454.0
33627.93,203.0,-272999.15,-306627.08,4226.0,454.78
184429.04,919.0,-1458585.56,-1643014.6,10033.0,455.0
0.0,0.0,-67.8,-67.8,5.0,456.0
0.0,0.0,-956.66,-956.66,70.0,457.0
0.0,0.0,-55.09,-55.09,4.0,458.0
0.0,0.0,-151.09,-151.09,10.0,459.0
35781.44,216.0,-24025.46,-59806.9,1774.0,459.78
163777.4,926.0,-3858959.23,-4022736.63,36661.0,460.0
0.0,0.0,-107.46,-107.46,7.0,461.0
0.0,0.0,-866.5,-866.5,56.0,462.0
0.0,0.0,-187.14,-187.14,12.0,463.0
0.0,0.0,-2973.49,-2973.49,189.0,464.0
30480.49,138.0,-75233.12,-105713.61,4120.0,464.78
121204.11,613.0,-2337930.13,-2459134.24,12100.0,465.0
0.0,0.0,-271.61,-271.61,17.0,466.0
0.0,0.0,-52.29,-52.29,3.0,467.0
0.0,0.0,-455.37,-455.37,26.0,468.0
0.0,0.0,-1606.27,-1606.27,91.0,469.0
139150.05,630.0,43883.16,-95266.9,1564.0,469.78
646329.91,2880.0,-2810637.32,-3456967.23,24908.0,470.0
0.0,0.0,-1938.02,-1938.02,108.0,471.0
0.0,0.0,-1663.59,-1663.59,92.0,472.0
0.0,0.0,-116983.82,-116983.82,6000.0,473.0
0.0,0.0,-118.02,-118.02,6.0,474.0
32247.47,146.0,-217665.92,-249913.39,6003.0,474.78
246991.34,1141.0,-3556040.42,-3803031.77,19449.0,475.0
0.0,0.0,-2139.68,-2139.68,107.0,476.0
0.0,0.0,-664.99,-664.99,33.0,477.0
0.0,0.0,-2538.16,-2538.16,125.0,478.0
0.0,0.0,-8383.79,-8383.79,385.0,479.0
32689.22,148.0,-45498.17,-78187.38,3124.0,479.78
1302157.36,6416.0,-7649499.84,-8951657.19,62810.0,480.0
0.0,0.0,-1416.84,-1416.84,64.0,481.0
0.0,0.0,-133.99,-133.99,6.0,482.0
0.0,0.0,-23.89,-23.89,1.0,483.0
0.0,0.0,-773.06,-773.06,14.0,484.0
93650.19,424.0,-272751.12,-366401.31,4124.0,484.78
1298347.3,4842.0,-962359.26,-2260706.55,12947.0,485.0
0.0,0.0,-1159.58,-1159.58,21.0,486.0
0.0,0.0,-3810.06,-3810.06,69.0,487.0
0.0,0.0,-1104.37,-1104.37,20.0,488.0
0.0,0.0,-4417.46,-4417.46,80.0,489.0
236058.12,855.0,58615.51,-177442.61,2806.0,489.78
501768.46,2196.0,-5472293.17,-5974061.63,42886.0,490.0
0.0,0.0,-165.65,-165.65,3.0,491.0
0.0,0.0,-938.71,-938.71,17.0,492.0
0.0,0.0,-5411.39,-5411.39,98.0,493.0
0.0,0.0,-717.84,-717.84,13.0,494.0
155715.53,564.0,-54375.15,-210090.69,3217.0,494.78
326340.0,1264.0,-1984619.64,-2310959.65,18707.0,495.0
165.65,3.0,-1104.37,-1270.02,23.0,496.0
55.22,1.0,-5908.36,-5963.57,108.0,497.0
0.0,0.0,-3423.53,-3423.53,62.0,498.0
0.0,0.0,-7399.25,-7399.25,134.0,499.0
88901.42,322.0,-119351.15,-208252.57,4819.0,499.78
3639105.18,13205.0,-25812453.79,-29451558.97,166710.0,500.0
55.22,1.0,-386.53,-441.75,8.0,501.0
0.0,0.0,-5080.08,-5080.08,92.0,502.0
55.22,1.0,-386.53,-441.75,8.0,503.0
0.0,0.0,-938.71,-938.71,17.0,504.0
524297.52,1899.0,254095.46,-270202.06,4027.0,504.78
487246.06,1760.0,-2739502.43,-3226748.48,12738.0,505.0
0.0,0.0,-55.22,-55.22,1.0,506.0
0.0,0.0,-2429.6,-2429.6,44.0,507.0
0.0,0.0,-1601.33,-1601.33,29.0,508.0
55.22,1.0,-1932.64,-1987.86,36.0,509.0
179238.52,541.0,68802.72,-110435.8,2207.0,509.78
1828056.21,6160.0,-7517704.28,-9345760.48,49394.0,510.0
0.0,0.0,-2429.6,-2429.6,44.0,511.0
0.0,0.0,-10822.78,-10822.78,196.0,512.0
0.0,0.0,-3202.66,-3202.66,58.0,513.0
0.0,0.0,-3202.66,-3202.66,58.0,514.0
31805.73,96.0,-102288.2,-134093.93,3022.0,514.78
917175.54,3096.0,-2543802.83,-3460978.37,13964.0,515.0
0.0,0.0,-10104.94,-10104.94,183.0,516.0
0.0,0.0,-2816.13,-2816.13,51.0,517.0
0.0,0.0,-1104.37,-1104.37,20.0,518.0
0.0,0.0,-2981.79,-2981.79,54.0,519.0
230260.21,695.0,-71737.33,-301997.54,3369.0,519.78
790173.51,2775.0,-11068787.11,-11858960.62,72082.0,520.0
0.0,0.0,-5577.05,-5577.05,101.0,521.0
0.0,0.0,-2760.91,-2760.91,50.0,522.0
0.0,0.0,-773.06,-773.06,14.0,523.0
55.22,1.0,-2208.73,-2263.95,41.0,524.0
83158.72,251.0,-72524.82,-155683.54,4516.0,524.78
914083.32,2912.0,-11216949.37,-12131032.69,45167.0,525.0
0.0,0.0,-3533.97,-3533.97,64.0,526.0
0.0,0.0,-2429.6,-2429.6,44.0,527.0
0.0,0.0,-6405.32,-6405.32,116.0,528.0
0.0,0.0,-7288.81,-7288.81,132.0,529.0
107841.29,279.0,-89945.51,-197786.8,7296.0,529.78
2146610.43,5933.0,-17427750.99,-19574361.42,89534.0,530.0
110.44,2.0,-1932.64,-2043.08,37.0,531.0
