call_gex,call_oi,net_gex,put_gex,put_oi,strike
442.52,66.0,-19982.98,-20425.5,56014.0,50.0
6.03,1.0,-2079.0,-2085.03,6240.0,55.0
57.93,8.0,-15268.43,-15326.36,43238.0,60.0
0.0,0.0,-6194.69,-6194.69,12851.0,65.0
12.09,2.0,-13321.27,-13333.37,26081.0,70.0
0.0,0.0,-3697.79,-3697.79,5750.0,75.0
5.15,1.0,-9946.33,-9951.48,13300.0,80.0
7.92,2.0,-173.94,-181.86,159.0,85.0
0.0,0.0,-734.63,-734.63,443.0,90.0
0.0,0.0,-3653.97,-3653.97,3368.0,95.0
65.53,9.0,-89931.07,-89996.6,34846.0,100.0
0.0,0.0,-1678.51,-1678.51,1119.0,105.0
0.0,0.0,-525.35,-525.35,266.0,110.0
0.0,0.0,-1293.15,-1293.15,661.0,115.0
0.02,1.0,-2932.67,-2932.7,877.0,120.0
0.0,0.0,-1222.11,-1222.11,390.0,125.0
0.0,0.0,-5925.73,-5925.73,1865.0,130.0
0.0,0.0,-8371.46,-8371.46,1649.0,135.0
2.4,2.0,-6917.52,-6919.92,1521.0,140.0
0.0,0.0,-5457.69,-5457.69,946.0,145.0
99.28,19.0,-110418.63,-110517.91,33425.0,150.0
3.91,1.0,-5130.58,-5134.49,570.0,155.0
255.07,42.0,-25473.71,-25728.78,3014.0,160.0
83.54,11.0,-23257.34,-23340.88,2084.0,165.0
4.69,1.0,-5822.33,-5827.03,787.0,170.0
0.0,0.0,-1439.87,-1439.87,203.0,175.0
57.88,7.0,-6895.74,-6953.62,792.0,180.0
1.52,1.0,-7187.93,-7189.45,938.0,185.0
29.33,3.0,-9930.34,-9959.67,778.0,190.0
12.14,1.0,-2952.06,-2964.19,303.0,195.0
2359.45,368.0,-497081.95,-499441.4,58760.0,200.0
0.0,0.0,-45859.11,-45859.11,2732.0,205.0
114.43,9.0,-17327.48,-17441.91,1680.0,210.0
16.58,3.0,-31967.44,-31984.02,1768.0,215.0
1116.01,22.0,-78104.46,-79220.48,5724.0,220.0
218.42,11.0,-27532.51,-27750.93,1511.0,225.0
1000.73,31.0,-120032.44,-121033.17,8766.0,230.0
