am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
1346,1653,2006-06-13 00:00:00,20830,48847,24706,8163,26052,16236,9816,81860,663,-247,910,20830,-28017,48847,24706,16543,8163
1518,1246,2006-06-20 00:00:00,3487,12933,14606,13651,16124,1227,14897,38389,1206,319,887,3487,-9446,12933,14606,955,13651
1730,1246,2006-06-27 00:00:00,4966,18149,15281,10449,17011,5316,11695,42822,1509,-404,1913,4966,-13183,18149,15281,4832,10449
2344,1246,2006-07-03 00:00:00,6319,21168,17090,11015,19434,7173,12261,46479,1392,-525,1917,6319,-14849,21168,17090,6075,11015
1914,906,2006-07-11 00:00:00,5761,27506,20895,6892,22809,15011,7798,52354,546,-2178,2724,5761,-21745,27506,20895,14003,6892
1923,906,2006-07-18 00:00:00,1424,36615,29627,5382,31550,25262,6288,55187,546,-2369,2915,1424,-35191,36615,29627,24245,5382
1964,906,2006-07-25 00:00:00,1108,43864,36059,5412,38023,31705,6318,62937,546,-2182,2728,1108,-42756,43864,36059,30647,5412
1971,906,2006-08-01 00:00:00,1110,53182,38784,2889,40755,36960,3795,68817,546,-961,1507,1110,-52072,53182,38784,35895,2889
2163,906,2006-08-08 00:00:00,627,51882,35632,2293,37795,34596,3199,66179,1402,418,984,627,-51255,51882,35632,33339,2293
2169,906,2006-08-15 00:00:00,527,59687,42703,3162,44872,40804,4068,73750,1087,26,1061,527,-59160,59687,42703,39541,3162
1961,906,2006-08-22 00:00:00,946,49951,32508,995,34469,32568,1901,62988,506,-570,1076,946,-49005,49951,32508,31513,995
1247,906,2006-08-29 00:00:00,1909,51806,33721,522,34968,33540,1428,64195,501,-860,1361,1909,-49897,51806,33721,33199,522
1166,906,2006-09-05 00:00:00,1167,65228,49600,3685,50766,46175,4591,82426,0,-1462,1462,1167,-64061,65228,49600,45915,3685
1032,1257,2006-09-12 00:00:00,3693,42809,29428,721,30460,28482,1978,69828,179,-768,947,3693,-39116,42809,29428,28707,721
434,1826,2006-09-19 00:00:00,851,44885,39661,5395,40095,32874,7221,62418,507,-1329,1836,851,-44034,44885,39661,34266,5395
421,1826,2006-09-26 00:00:00,916,41222,35614,3493,36035,30716,5319,57804,497,-1221,1718,916,-40306,41222,35614,32121,3493
0,2321,2006-10-03 00:00:00,918,34393,36950,9317,36950,25312,11638,56807,0,-500,500,918,-33475,34393,36950,27633,9317
0,2412,2006-10-10 00:00:00,917,41203,44942,8553,44942,33977,10965,65955,0,-2270,2270,917,-40286,41203,44942,36389,8553
0,2524,2006-10-17 00:00:00,1250,51552,49709,10242,49709,36943,12766,74537,687,687,0,1250,-50302,51552,49709,39467,10242
0,2576,2006-10-24 00:00:00,858,66558,61217,7573,61217,51068,10149,88052,775,775,0,858,-65700,66558,61217,53644,7573
0,2495,2006-10-31 00:00:00,1322,82179,76703,9572,76703,64636,12067,108714,1729,-103,1832,1322,-80857,82179,76703,67131,9572
561,1826,2006-11-07 00:00:00,1413,99437,90093,9942,90654,78886,11768,124275,2457,-119,2576,1413,-98024,99437,90093,80151,9942
769,1848,2006-11-14 00:00:00,1211,86844,69343,5828,70112,62436,7676,105920,2483,1604,879,1211,-85633,86844,69343,63515,5828
1814,1840,2006-11-21 00:00:00,1409,87365,72374,7084,74188,65264,8924,108935,1302,13,1289,1409,-85956,87365,72374,65290,7084
1833,1257,2006-11-28 00:00:00,1559,100176,86929,9984,88762,77521,11241,124776,866,-1134,2000,1559,-98617,100176,86929,76945,9984
1590,1857,2006-12-05 00:00:00,1147,106001,87404,8240,88994,78897,10097,130393,3438,-612,4050,1147,-104854,106001,87404,79164,8240
1290,1482,2006-12-12 00:00:00,4883,108369,91279,8630,92569,82457,10112,171329,979,-2813,3792,4883,-103486,108369,91279,82649,8630
2112,4401,2006-12-19 00:00:00,863,115869,94063,500,96175,91274,4901,130356,1480,-980,2460,863,-115006,115869,94063,93563,500
2756,4401,2006-12-26 00:00:00,1322,114751,91962,1011,94718,89306,5412,129194,2743,1050,1693,1322,-113429,114751,91962,90951,1011
4431,4401,2007-01-03 00:00:00,1804,115756,93560,1038,97991,92552,5439,132739,2196,-440,2636,1804,-113952,115756,93560,92522,1038
