am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
122,0,2018-04-10 00:00:00,0,0,902,1108,1024,-84,1108,1702,53,-154,207,0,0,0,902,-206,1108
122,0,2018-04-17 00:00:00,0,0,1053,1313,1175,-138,1313,2029,130,-202,332,0,0,0,1053,-260,1313
105,0,2018-04-24 00:00:00,0,0,1194,1682,1299,-383,1682,2380,198,-138,336,0,0,0,1194,-488,1682
0,0,2018-05-01 00:00:00,0,0,1198,1348,1198,-150,1348,1991,177,-106,283,0,0,0,1198,-150,1348
0,0,2018-05-08 00:00:00,0,0,1284,1707,1284,-423,1707,2485,391,23,368,0,0,0,1284,-423,1707
0,29,2018-05-15 00:00:00,0,0,1338,1657,1338,-348,1686,2505,337,-29,366,0,0,0,1338,-319,1657
0,29,2018-05-22 00:00:00,0,0,1323,1872,1323,-578,1901,2684,462,135,327,0,0,0,1323,-549,1872
38,25,2018-05-29 00:00:00,0,0,1172,1812,1210,-627,1837,2714,486,70,416,0,0,0,1172,-640,1812
47,29,2018-06-05 00:00:00,0,0,1126,1845,1173,-701,1874,2556,540,235,305,0,0,0,1126,-719,1845
0,108,2018-06-12 00:00:00,29,0,1349,1634,1349,-393,1742,2643,427,-13,440,29,29,0,1349,-285,1634
52,59,2018-06-19 00:00:00,29,0,1478,1414,1530,57,1473,2633,159,-431,590,29,29,0,1478,64,1414
0,111,2018-06-26 00:00:00,29,0,1508,1505,1508,-108,1616,2687,171,-344,515,29,29,0,1508,3,1505
44,84,2018-07-03 00:00:00,0,0,1198,1639,1242,-481,1723,2514,438,72,366,0,0,0,1198,-441,1639
0,119,2018-07-10 00:00:00,0,0,1412,1652,1412,-359,1771,2622,396,28,368,0,0,0,1412,-240,1652
25,89,2018-07-17 00:00:00,0,0,1469,1990,1494,-585,2079,2854,493,161,332,0,0,0,1469,-521,1990
44,164,2018-07-24 00:00:00,30,0,1353,2313,1397,-1080,2477,3431,868,476,392,30,30,0,1353,-960,2313
0,209,2018-07-31 00:00:00,0,0,1722,1969,1722,-456,2178,3063,259,-81,340,0,0,0,1722,-247,1969
0,143,2018-08-07 00:00:00,0,0,1481,1454,1481,-116,1597,2732,135,-335,470,0,0,0,1481,27,1454
0,215,2018-08-14 00:00:00,0,0,2065,1766,2065,84,1981,2983,138,-383,521,0,0,0,2065,299,1766
0,191,2018-08-21 00:00:00,0,0,2104,1838,2104,75,2029,2981,85,-430,515,0,0,0,2104,266,1838
67,170,2018-08-28 00:00:00,0,0,1688,1745,1755,-160,1915,2840,160,-369,529,0,0,0,1688,-57,1745
99,140,2018-09-04 00:00:00,0,0,1187,1657,1286,-511,1797,2707,576,44,532,0,0,0,1187,-470,1657
0,199,2018-09-11 00:00:00,0,0,1630,1322,1630,109,1521,2711,116,-611,727,0,0,0,1630,308,1322
0,140,2018-09-18 00:00:00,0,0,1566,1382,1566,44,1522,2742,90,-564,654,0,0,0,1566,184,1382
0,131,2018-09-25 00:00:00,0,1,1412,1420,1412,-139,1551,2746,213,-326,539,0,-1,1,1412,-8,1420
26,125,2018-10-02 00:00:00,0,40,1237,1342,1263,-204,1467,2354,327,-239,566,0,-40,40,1237,-105,1342
0,121,2018-10-09 00:00:00,0,76,1643,1656,1643,-134,1777,2848,395,-211,606,0,-76,76,1643,-13,1656
54,108,2018-10-16 00:00:00,0,76,1606,1620,1660,-68,1728,2730,302,-254,556,0,-76,76,1606,-14,1620
0,161,2018-10-23 00:00:00,0,76,1659,1400,1659,98,1561,3001,211,-320,531,0,-76,76,1659,259,1400
0,238,2018-10-30 00:00:00,0,0,1789,1511,1789,40,1749,2608,184,-267,451,0,0,0,1789,278,1511
72,108,2018-11-06 00:00:00,0,0,1877,1965,1949,-124,2073,2913,299,-253,552,0,0,0,1877,-88,1965
0,250,2018-11-13 00:00:00,31,0,2462,2353,2462,-141,2603,3530,399,-220,619,31,31,0,2462,109,2353
0,166,2018-11-20 00:00:00,0,0,2152,1912,2152,74,2078,3729,315,-357,672,0,0,0,2152,240,1912
