date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2018-07-31 00:00:00,33856,-9670,43526,192560,3627,-26467,30094,129849,28954,100895,1880,-341,2221
2018-08-07 00:00:00,34415,-6935,41350,197270,3469,-27207,30676,143794,38817,104977,935,-2978,3913
2018-08-14 00:00:00,38845,6603,32242,191269,4243,-28585,32828,134678,26506,108172,647,-2898,3545
2018-08-21 00:00:00,39942,14425,25517,172605,3248,-30274,33522,113415,18192,95223,1350,-561,1911
2018-08-28 00:00:00,36974,5652,31322,178367,3413,-30078,33491,114156,21500,92656,6596,4629,1967
2018-09-04 00:00:00,35868,1686,34182,182214,3653,-28579,32232,118977,23246,95731,6787,4903,1884
2018-09-11 00:00:00,35719,1608,34111,189032,3661,-25829,29490,124954,20694,104260,6640,4890,1750
2018-09-18 00:00:00,35457,-6514,41971,201473,3404,-25253,28657,132425,26221,106204,8354,6682,1672
2018-09-25 00:00:00,34874,-9999,44873,209507,4241,-25637,29878,138263,29730,108533,7768,6581,1187
2018-10-02 00:00:00,37089,1198,35891,171026,4316,-19744,24060,102266,14072,88194,5561,4720,841
2018-10-09 00:00:00,38772,10586,28186,171251,3820,-18093,21913,99194,2206,96988,6190,5369,821
2018-10-16 00:00:00,36924,8997,27927,154582,3256,-11610,14866,82442,-5690,88132,9797,9000,797
2018-10-23 00:00:00,35686,5403,30283,161083,5270,-5980,11250,83813,-7671,91484,9797,9086,711
2018-10-30 00:00:00,34926,-6966,41892,146739,5320,-5772,11092,82325,7737,74588,6624,5383,1241
2018-11-06 00:00:00,33785,-21646,55431,162036,4620,-5067,9687,91083,20256,70827,8260,6483,1777
2018-11-13 00:00:00,32900,-28017,60917,173133,5694,-4537,10231,99941,25922,74019,8493,6582,1911
2018-11-20 00:00:00,31966,-37578,69544,179837,4949,-5281,10230,103446,34381,69065,9919,8258,1661
2018-11-27 00:00:00,31713,-43024,74737,191809,5166,-5595,10761,112393,38565,73828,11197,9837,1360
2018-12-04 00:00:00,32196,-39460,71656,186038,9533,-926,10459,104488,30751,73737,10561,9376,1185
2018-12-11 00:00:00,31971,-33000,64971,188985,10303,-71,10374,111790,23454,88336,10518,9216,1302
2018-12-18 00:00:00,31589,-31591,63180,180316,8823,-2485,11308,110219,29312,80907,5585,4622,963
2018-12-24 00:00:00,31072,-33723,64795,171650,8212,-2425,10637,106061,35288,70773,1744,835,909
2018-12-31 00:00:00,31193,-34203,65396,177294,8381,-2678,11059,110333,35335,74998,2730,1564,1166
2019-01-08 00:00:00,31174,-30650,61824,181984,9855,-1251,11106,110782,29134,81648,4080,2670,1410
2019-01-15 00:00:00,31687,-33775,65462,190500,11324,-12,11336,113609,28856,84753,6265,4651,1614
2019-01-22 00:00:00,31510,-27644,59154,183235,9776,-2902,12678,109047,27364,81683,4361,2870,1491
2019-01-29 00:00:00,31476,-26766,58242,187900,5463,-4414,9877,116928,28695,88233,4255,2738,1517
2019-02-05 00:00:00,31675,-24554,56229,191606,6137,-2993,9130,115991,23954,92037,5224,3686,1538
2019-02-12 00:00:00,29842,-31375,61217,176108,8786,-1319,10105,101188,23866,77322,10717,9087,1630
2019-02-19 00:00:00,29377,-36052,65429,178692,10188,-1145,11333,106808,31429,75379,7698,6119,1579
2019-02-26 00:00:00,27200,-39948,67148,174419,11578,-1228,12806,107228,37748,69480,5186,3571,1615
2019-03-05 00:00:00,26141,-46348,72489,188787,11612,-3568,15180,116571,44506,72065,7081,5800,1281
2019-03-12 00:00:00,25566,-48853,74419,191942,7790,-10133,17923,120278,52212,68066,6922,6327,595
2019-03-19 00:00:00,23966,-53186,77152,198835,7690,-8372,16062,127918,54339,73579,7881,7178,703
2019-03-26 00:00:00,23391,-51631,75022,197605,9883,-11213,21096,123417,58640,64777,6685,4869,1816
2019-04-02 00:00:00,22582,-49406,71988,199274,9683,-11580,21263,124131,56905,67226,6648,4548,2100
2019-04-09 00:00:00,22311,-49598,71909,201843,10511,-9720,20231,121444,55279,66165,6726,4431,2295
2019-04-16 00:00:00,22056,-47744,69800,188766,5111,-12947,18058,114509,56719,57790,6738,4272,2466
2019-04-23 00:00:00,21521,-51958,73479,187940,7660,-11371,19031,116525,63941,52584,2617,46,2571
2019-04-30 00:00:00,20995,-57300,78295,176508,6761,-14711,21472,115017,72609,42408,2517,105,2412
2019-05-07 00:00:00,20513,-61395,81908,182731,3782,-18203,21985,123174,79233,43941,2708,1242,1466
2019-05-14 00:00:00,19765,-60193,79958,193517,3755,-18304,22059,132187,75153,57034,4357,4062,295
2019-05-21 00:00:00,19274,-59022,78296,200432,3774,-17956,21730,135912,73924,61988,3777,3752,25
2019-05-28 00:00:00,19194,-57636,76830,192321,4925,-17137,22062,125179,71308,53871,4221,3873,348
2019-06-04 00:00:00,18851,-48142,66993,184117,4753,-18050,22803,122790,62882,59908,4612,3748,864
2019-06-11 00:00:00,18040,-45779,63819,164609,5310,-15902,21212,111177,58459,52718,4852,3585,1267
2019-06-18 00:00:00,17243,-41426,58669,153591,4991,-15347,20338,107268,57173,50095,1622,112,1510
