date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,30813,-623,31436,155287,6790,5473,1317,77701,-17894,95595,11285,10360,925
2006-06-20 00:00:00,32342,5134,27208,142912,6170,4748,1422,65733,-25172,90905,11387,10940,447
2006-06-27 00:00:00,31871,8084,23787,140852,5883,4385,1498,63084,-27690,90774,11275,10891,384
2006-07-03 00:00:00,35403,21755,13648,145277,5526,2467,3059,59803,-40485,100288,10962,10416,546
2006-07-11 00:00:00,55805,50047,5758,174984,6215,460,5755,62526,-64024,126550,9980,7908,2072
2006-07-18 00:00:00,50021,45108,4913,172248,4370,-670,5040,62269,-59636,121905,10564,8488,2076
2006-07-25 00:00:00,39004,32920,6084,159118,4088,135,3953,62580,-50489,113069,12002,10451,1551
2006-08-01 00:00:00,37310,27230,10080,156689,3803,800,3003,64508,-44519,109027,12512,11112,1400
2006-08-08 00:00:00,39612,27196,12416,150100,3551,1277,2274,61763,-44606,106369,11545,10232,1313
2006-08-15 00:00:00,42001,29696,12305,141506,3787,1747,2040,53617,-46037,99654,11436,10072,1364
2006-08-22 00:00:00,39347,25213,14134,138472,3921,2106,1815,54663,-41812,96475,11845,10143,1702
2006-08-29 00:00:00,27155,6912,20243,139048,4452,2885,1567,65272,-25412,90684,12635,10975,1660
2006-09-05 00:00:00,27984,4887,23097,143552,3849,2218,1631,70627,-22023,92650,12644,11059,1585
2006-09-12 00:00:00,27562,3203,24359,148109,3596,2202,1394,74985,-19992,94977,12197,10611,1586
2006-09-19 00:00:00,24875,-7053,31928,156761,4083,2572,1511,85003,-10573,95576,12403,11637,766
2006-09-26 00:00:00,23521,635,22886,150960,4049,2065,1984,82792,-16125,98917,11919,11153,766
2006-10-03 00:00:00,23885,-3791,27676,157869,4481,2628,1853,84171,-13452,97623,12506,11751,755
2006-10-10 00:00:00,24421,-5746,30167,157060,3915,1652,2263,85585,-11931,97516,13044,12288,756
2006-10-17 00:00:00,24656,-16670,41326,168384,4880,2667,2213,91621,-5630,97251,14289,13523,766
2006-10-24 00:00:00,27816,-16669,44485,173480,4900,2196,2704,93096,-4656,97752,14225,13471,754
2006-10-31 00:00:00,28688,-8323,37011,166240,4386,1756,2630,85406,-11950,97356,14378,13619,759
2006-11-07 00:00:00,29910,478,29432,151991,4055,1287,2768,75012,-19651,94663,13475,12650,825
2006-11-14 00:00:00,31656,9742,21914,133286,2624,-155,2779,63687,-22033,85720,11599,9716,1883
2006-11-21 00:00:00,30254,5608,24646,136439,2759,21,2738,65728,-19028,84756,11908,10017,1891
2006-11-28 00:00:00,30465,2482,27983,139535,2879,-466,3345,68575,-16749,85324,11657,10133,1524
2006-12-05 00:00:00,34317,12282,22035,144167,3365,-1898,5263,66686,-24960,91646,11187,9468,1719
2006-12-12 00:00:00,37453,29674,7779,148243,3557,-1975,5532,64339,-41945,106284,11261,9286,1975
2006-12-19 00:00:00,44521,36940,7581,157500,3664,-2211,5875,63791,-48869,112660,10898,8961,1937
2006-12-26 00:00:00,44369,36866,7503,155390,3537,-2533,6070,63340,-49014,112354,10760,8904,1856
2007-01-03 00:00:00,48162,42024,6138,162595,4381,-2292,6673,62815,-55970,118785,10666,8836,1830
2007-01-09 00:00:00,45167,38301,6866,158797,3736,-1375,5111,64861,-53718,118579,11342,9935,1407
2007-01-16 00:00:00,42563,35489,7074,154572,4307,-1209,5516,64355,-48465,112820,11337,7717,3620
2007-01-23 00:00:00,41925,31579,10346,152872,4768,-1026,5794,63410,-45356,108766,11384,8555,2829
