date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,14371,-21208,35579,159563,10402,7016,3386,52914,-21438,74352,31585,31214,371
2006-06-20 00:00:00,14856,-21467,36323,157556,10904,6952,3952,49622,-20521,70143,31087,30789,298
2006-06-27 00:00:00,15285,-23666,38951,154667,11797,7270,4527,43156,-18913,62069,31216,30741,475
2006-07-03 00:00:00,17219,-13658,30877,157478,11088,4578,6510,38631,-27862,66493,31419,31070,349
2006-07-11 00:00:00,16591,-13899,30490,154188,11717,6579,5138,37868,-28581,66449,31587,31146,441
2006-07-18 00:00:00,17740,-14630,32370,151436,10734,6855,3879,36446,-28118,64564,31519,31101,418
2006-07-25 00:00:00,17327,-19076,36403,155756,10829,6852,3977,39598,-23501,63099,32076,31624,452
2006-08-01 00:00:00,18761,-14409,33170,153176,10037,5449,4588,36988,-27711,64699,31517,31209,308
2006-08-08 00:00:00,20478,-48,20526,153905,9547,5410,4137,32476,-41064,73540,30830,30421,409
2006-08-15 00:00:00,16675,-1663,18338,134945,10235,5957,4278,32401,-39091,71492,30216,29830,386
2006-08-22 00:00:00,18650,2487,16163,133673,9667,4255,5412,26424,-41575,67999,30647,30416,231
2006-08-29 00:00:00,17589,309,17280,130003,9961,4154,5807,27076,-38950,66026,30726,30556,170
2006-09-05 00:00:00,18640,1166,17474,133046,9536,3778,5758,26594,-41021,67615,31556,31311,245
2006-09-12 00:00:00,16927,-5528,22455,132032,10142,4132,6010,29296,-32941,62237,31292,31163,129
2006-09-19 00:00:00,16063,-11658,27721,138298,10232,5572,4660,33115,-27874,60989,31140,31043,97
2006-09-26 00:00:00,16779,-7492,24271,136541,9682,4626,5056,30760,-31908,62668,31208,31072,136
2006-10-03 00:00:00,17292,-6916,24208,142062,9881,4444,5437,33716,-31184,64900,31483,31246,237
2006-10-10 00:00:00,16911,-8269,25180,142009,10158,4647,5511,34930,-31070,66000,31269,30918,351
2006-10-17 00:00:00,17071,-11851,28922,139345,9946,5853,4093,36544,-28366,64910,31350,30563,787
2006-10-24 00:00:00,18689,-5284,23973,143758,10313,6275,4038,35484,-37035,72519,31418,30892,526
2006-10-31 00:00:00,21911,2041,19870,151090,9274,4504,4770,34432,-43341,77773,31252,30461,791
2006-11-07 00:00:00,26033,11449,14584,165573,10232,4228,6004,33778,-52048,85826,31433,30733,700
2006-11-14 00:00:00,30712,21516,9196,155363,9193,1401,7792,28353,-59540,87893,30698,30289,409
2006-11-21 00:00:00,31748,24052,7696,155139,8577,-674,9251,28338,-58946,87284,30861,30503,358
2006-11-28 00:00:00,33848,26419,7429,162836,9164,-389,9553,28388,-62322,90710,31180,30868,312
2006-12-05 00:00:00,36233,28881,7352,171839,9636,-1013,10649,28831,-65516,94347,31829,31388,441
2006-12-12 00:00:00,37901,31258,6643,170384,9665,-1297,10962,30042,-67779,97821,31859,31659,200
2006-12-19 00:00:00,34399,27248,7151,167635,9277,-1026,10303,32057,-64147,96204,32174,32006,168
2006-12-26 00:00:00,35996,29524,6472,175013,9395,-734,10129,34163,-66920,101083,32135,31891,244
2007-01-03 00:00:00,35093,26766,8327,177345,9940,384,9556,35858,-65855,101713,32853,32621,232
2007-01-09 00:00:00,27679,17524,10155,171344,9597,1959,7638,38117,-57424,95541,33003,32784,219
2007-01-16 00:00:00,26390,17072,9318,171887,9462,1528,7934,37212,-60198,97410,35072,34754,318
2007-01-23 00:00:00,20310,9320,10990,169124,9929,3643,6286,41733,-53313,95046,34606,34367,239
2007-01-30 00:00:00,19908,8043,11865,175153,10882,4554,6328,43546,-53162,96708,35081,34614,467
2007-02-06 00:00:00,20647,8735,11912,182138,10740,4903,5837,50784,-53948,104732,34924,34625,299
2007-02-13 00:00:00,19612,3226,16386,165533,10254,6590,3664,53840,-48373,102213,34579,34335,244
2007-02-20 00:00:00,19640,433,19207,163978,11417,7353,4064,48463,-47449,95912,35186,34968,218
2007-02-27 00:00:00,21645,3465,18180,167004,11717,8676,3041,46096,-52798,98894,35408,34893,515
2007-03-06 00:00:00,22934,280,22654,172069,10719,7445,3274,49736,-47739,97475,35696,35392,304
2007-03-13 00:00:00,22575,-3648,26223,174985,10455,7678,2777,50231,-44593,94824,35894,35720,174
2007-03-20 00:00:00,23464,-7572,31036,183371,11244,7891,3353,53362,-40685,94047,35990,35717,273
2007-03-27 00:00:00,26871,-4412,31283,194142,11569,7660,3909,51946,-45162,97108,36798,36566,232
2007-04-03 00:00:00,25741,-5567,31308,199093,11135,7281,3854,54574,-43444,98018,36487,36407,80
2007-04-10 00:00:00,25850,-5811,31661,195067,10599,6881,3718,55349,-42903,98252,36358,36227,131
2007-04-17 00:00:00,26732,-3472,30204,180824,10363,6612,3751,50765,-45232,95997,36531,36508,23
2007-04-24 00:00:00,25620,-10518,36138,184866,10574,6788,3786,53950,-37066,91016,36532,36532,0
2007-05-01 00:00:00,27976,-19008,46984,202785,11517,7586,3931,62884,-27877,90761,36352,36259,93
2007-05-08 00:00:00,28629,-21550,50179,209466,11564,7294,4270,65845,-27244,93089,36931,36843,88
2007-05-15 00:00:00,28566,-22155,50721,207901,11684,7984,3700,63166,-28295,91461,37714,37530,184
2007-05-22 00:00:00,27778,-16209,43987,208191,11913,8721,3192,60934,-35313,96247,37853,37766,87
2007-05-29 00:00:00,28284,-13392,41676,209880,11880,8890,2990,57890,-38732,96622,38389,38239,150
2007-06-05 00:00:00,29937,-696,30633,207588,11497,8552,2945,54749,-49319,104068,37955,37708,247
