date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,6177,-392,6569,81852,2116,-5315,7431,16910,-193,17103,29530,7219,22311
2006-06-20 00:00:00,6204,1109,5095,79307,2169,-4496,6665,14502,-3188,17690,29512,8040,21472
2006-06-27 00:00:00,6137,414,5723,75069,2038,-4355,6393,14580,-4050,18630,29751,9004,20747
2006-07-03 00:00:00,6543,1801,4742,74597,1897,-4476,6373,14012,-5204,19216,29790,8535,21255
2006-07-11 00:00:00,8601,2574,6027,76417,1977,-5114,7091,13234,-7633,20867,30101,9905,20196
2006-07-18 00:00:00,8819,2616,6203,78028,1993,-6302,8295,13978,-6874,20852,30470,11377,19093
2006-07-25 00:00:00,6411,273,6138,75062,2029,-6145,8174,13854,-6159,20013,30699,13096,17603
2006-08-01 00:00:00,6432,-71,6503,73081,2250,-6374,8624,12204,-7553,19757,30710,14251,16459
2006-08-08 00:00:00,7051,-445,7496,73948,2373,-6278,8651,12939,-7276,20215,30294,14215,16079
2006-08-15 00:00:00,6975,-1376,8351,75901,2348,-6804,9152,14326,-6545,20871,30026,15203,14823
2006-08-22 00:00:00,5889,-3097,8986,73677,2322,-6827,9149,14518,-5700,20218,30294,16357,13937
2006-08-29 00:00:00,5979,-4479,10458,70522,2177,-7009,9186,13672,-5843,19515,30434,17876,12558
2006-09-05 00:00:00,7300,-2547,9847,70659,2081,-6414,8495,13305,-7895,21200,30552,18165,12387
2006-09-12 00:00:00,5629,-2750,8379,70296,2294,-6848,9142,13742,-8799,22541,30393,19132,11261
2006-09-19 00:00:00,6850,-3467,10317,69561,2320,-7835,10155,14043,-9498,23541,30868,20807,10061
2006-09-26 00:00:00,8477,-2112,10589,69466,2090,-7743,9833,12615,-8140,20755,31135,20379,10756
2006-10-03 00:00:00,8511,-5153,13664,70934,2091,-7341,9432,13088,-8331,21419,31727,20500,11227
2006-10-10 00:00:00,8646,-5924,14570,70505,1930,-7495,9425,12186,-5660,17846,31446,20827,10619
2006-10-17 00:00:00,10760,-2106,12866,74270,2309,-6912,9221,11028,-10387,21415,30851,19989,10862
2006-10-24 00:00:00,10107,-1850,11957,76902,2334,-7999,10333,11138,-9936,21074,30956,20400,10556
2006-10-31 00:00:00,9492,-4345,13837,76020,2227,-6777,9004,10841,-9541,20382,31121,21133,9988
2006-11-07 00:00:00,9615,-5808,15423,73966,1792,-7988,9780,11224,-7304,18528,31769,21691,10078
2006-11-14 00:00:00,7812,-9581,17393,75570,2211,-7687,9898,12540,-4460,17000,32339,23945,8394
2006-11-21 00:00:00,7368,-10031,17399,75216,1729,-8381,10110,13906,-2904,16810,32998,24236,8762
2006-11-28 00:00:00,7749,-9972,17721,71524,2050,-8016,10066,11893,-2586,14479,33052,25232,7820
2006-12-05 00:00:00,7739,-8873,16612,69961,1745,-8502,10247,11640,-4433,16073,33168,25896,7272
2006-12-12 00:00:00,7499,-9288,16787,69269,1914,-8617,10531,11188,-5127,16315,33244,26458,6786
2006-12-19 00:00:00,6073,-11293,17366,70497,2322,-8196,10518,12905,-3378,16283,33731,26748,6983
2006-12-26 00:00:00,4553,-12957,17510,68970,1936,-7848,9784,13131,-2604,15735,33665,27476,6189
2007-01-03 00:00:00,3648,-13040,16688,72195,2145,-7704,9849,13633,-3198,16831,34374,27864,6510
2007-01-09 00:00:00,3088,-15660,18748,71944,3164,-4375,7539,14533,-4269,18802,34175,28052,6123
2007-01-16 00:00:00,3134,-15668,18802,70989,2131,-5768,7899,14961,-1646,16607,32873,26353,6520
2007-01-23 00:00:00,2626,-16548,19174,72844,2276,-5606,7882,14693,-2556,17249,33189,26933,6256
2007-01-30 00:00:00,2792,-16990,19782,73497,2509,-5376,7885,15347,-2027,17374,32540,26325,6215
2007-02-06 00:00:00,2262,-17779,20041,74215,2844,-4949,7793,16285,-1825,18110,32823,25804,7019
2007-02-13 00:00:00,2979,-15838,18817,73026,2379,-5647,8026,15254,-2632,17886,32462,25038,7424
2007-02-20 00:00:00,2727,-15864,18591,73575,2008,-5667,7675,16316,-924,17240,32186,23670,8516
2007-02-27 00:00:00,3320,-13034,16354,66804,1866,-6119,7985,12242,-2561,14803,32355,23718,8637
2007-03-06 00:00:00,2693,-14262,16955,66480,2340,-5381,7721,11425,-3878,15303,32323,24268,8055
2007-03-13 00:00:00,2502,-11995,14497,66097,1979,-6594,8573,11841,-4137,15978,32586,24412,8174
2007-03-20 00:00:00,5664,-7066,12730,72292,2011,-8225,10236,12724,-6456,19180,32316,22735,9581
2007-03-27 00:00:00,6785,-8088,14873,75521,1858,-7818,9676,12647,-7840,20487,32333,22539,9794
2007-04-03 00:00:00,8400,-5437,13837,78251,1486,-7603,9089,11557,-9888,21445,32542,22448,10094
2007-04-10 00:00:00,10779,-4317,15096,81586,1511,-5772,7283,11537,-11158,22695,32560,21003,11557
2007-04-17 00:00:00,12409,-2939,15348,82436,1343,-6045,7388,12232,-10266,22498,32360,19994,12366
2007-04-24 00:00:00,12195,-2578,14773,81578,1694,-5874,7568,12808,-10458,23266,31835,19242,12593
2007-05-01 00:00:00,14084,-1408,15492,82404,993,-6929,7922,12173,-11946,24119,32161,19166,12995
2007-05-08 00:00:00,14867,-1346,16213,82364,1026,-6834,7860,12633,-11964,24597,32075,18400,13675
2007-05-15 00:00:00,14245,-2817,17062,82439,1070,-6252,7322,12948,-11323,24271,32193,19317,12876
2007-05-22 00:00:00,11628,-5244,16872,80972,1028,-5864,6892,13272,-8205,21477,32465,19375,13090
2007-05-29 00:00:00,11233,-5377,16610,80330,859,-6195,7054,13076,-8456,21532,33180,19089,14091
2007-06-05 00:00:00,11877,-3912,15789,81725,900,-5706,6606,11618,-9735,21353,33423,18304,15119
2007-06-12 00:00:00,12529,-3274,15803,77414,711,-5747,6458,12045,-8987,21032,32882,17980,14902
2007-06-19 00:00:00,13264,-2458,15722,78816,653,-5944,6597,11935,-10749,22684,32518,18743,13775
2007-06-26 00:00:00,12538,-3851,16389,79628,940,-5068,6008,13061,-9924,22985,32558,19746,12812
2007-07-03 00:00:00,15221,-1386,16607,82120,139,-6961,7100,12190,-12468,24658,33349,20184,13165
2007-07-10 00:00:00,19403,2730,16673,87813,1243,-6641,7884,11948,-17091,29039,33525,20239,13286
2007-07-17 00:00:00,18702,2130,16572,90151,1936,-5898,7834,12648,-16289,28937,33856,19864,13992
2007-07-24 00:00:00,20502,3694,16808,94805,1489,-6661,8150,13522,-16878,30400,33935,19621,14314
2007-07-31 00:00:00,18274,2044,16230,89725,1269,-7465,8734,12755,-14150,26905,34235,20348,13887
2007-08-07 00:00:00,16233,944,15289,84969,2229,-6507,8736,13148,-13018,26166,34015,20375,13640
2007-08-14 00:00:00,13706,1897,11809,76411,264,-7847,8111,12824,-10937,23761,33566,20093,13473
2007-08-21 00:00:00,10950,-1801,12751,76935,1364,-5304,6668,15503,-9174,24677,33489,20749,12740
2007-08-28 00:00:00,10035,-173,10208,73334,1237,-6319,7556,14890,-9551,24441,33344,21073,12271
2007-09-04 00:00:00,10250,1919,8331,69418,1229,-7021,8250,12273,-11646,23919,33681,21501,12180
2007-09-11 00:00:00,10991,3130,7861,68998,1528,-7180,8708,11606,-12188,23794,33032,21279,11753
2007-09-18 00:00:00,13153,5941,7212,71876,1282,-8298,9580,11574,-14699,26273,33197,21055,12142
2007-09-25 00:00:00,16479,8454,8025,77852,995,-8307,9302,12345,-16866,29211,33118,19214,13904
2007-10-02 00:00:00,19777,10876,8901,83421,1010,-9327,10337,12270,-17697,29967,32888,16709,16179
2007-10-09 00:00:00,21878,12474,9404,87270,1445,-8368,9813,11538,-20770,32308,32350,16880,15470
2007-10-16 00:00:00,21407,10352,11055,90514,1484,-8319,9803,11430,-18126,29556,32222,16781,15441
2007-10-23 00:00:00,17603,6767,10836,87212,2004,-7240,9244,11370,-16635,28005,32592,18339,14253
2007-10-30 00:00:00,15056,4024,11032,86361,2339,-6651,8990,11614,-15315,26929,32889,19546,13343
2007-11-06 00:00:00,12577,1632,10945,83679,2987,-4701,7688,11287,-15326,26613,33318,20891,12427
2007-11-13 00:00:00,9455,-2358,11813,78936,2763,-3987,6750,13370,-12734,26104,33109,21251,11858
2007-11-20 00:00:00,7352,-4433,11785,78372,4131,-2078,6209,14464,-12502,26966,33443,22161,11282
2007-11-27 00:00:00,5592,-5701,11293,74073,4013,-2195,6208,12820,-8931,21751,33451,22720,10731
2007-12-04 00:00:00,5507,-4931,10438,71021,2966,-3409,6375,12003,-11628,23631,33831,23641,10190
2007-12-11 00:00:00,5272,-4993,10265,71082,3403,-2997,6400,9619,-12083,21702,33491,22443,11048
2007-12-18 00:00:00,4963,-5887,10850,73278,3750,-3146,6896,10919,-11240,22159,33435,22503,10932
2007-12-24 00:00:00,5161,-5095,10256,72031,3333,-2978,6311,10116,-11883,21999,33439,22755,10684
2007-12-31 00:00:00,5432,-4149,9581,72384,3870,-3126,6996,9902,-13041,22943,33734,22806,10928
2008-01-08 00:00:00,6369,-2331,8700,76179,3015,-3858,6873,10445,-14155,24600,34802,23418,11384
2008-01-15 00:00:00,8331,-3377,11708,84417,2397,-5429,7826,10151,-17345,27496,39780,28182,11598
2008-01-22 00:00:00,9230,-3066,12296,87064,2077,-5982,8059,9803,-16328,26131,40175,29019,11156
2008-01-29 00:00:00,8633,-3523,12156,90360,2091,-5757,7848,10087,-16069,26156,40194,28987,11207
2008-02-05 00:00:00,9744,-2898,12642,90981,1852,-4285,6137,10404,-17440,27844,39982,28312,11670
2008-02-12 00:00:00,16553,5754,10799,89314,1865,-5141,7006,9583,-23172,32755,40016,26420,13596
2008-02-19 00:00:00,19211,8552,10659,94858,2111,-4952,7063,10052,-25932,35984,40210,25927,14283
2008-02-26 00:00:00,22355,10435,11920,102213,2428,-4867,7295,11749,-29294,41043,40068,24313,15755
2008-03-04 00:00:00,24503,12178,12325,102361,2860,-3116,5976,9581,-30266,39847,39573,21124,18449
2008-03-11 00:00:00,25514,12789,12725,103876,3698,-2845,6543,9371,-30374,39745,39289,21085,18204
2008-03-18 00:00:00,23682,11432,12250,102794,3630,-4138,7768,9228,-29133,38361,39104,22266,16838
2008-03-25 00:00:00,20107,11632,8475,98165,3029,-4054,7083,9721,-27300,37021,38665,22338,16327
2008-04-01 00:00:00,22847,13883,8964,102617,2791,-4346,7137,9331,-27987,37318,37953,20744,17209
2008-04-08 00:00:00,25173,13584,11589,103283,2854,-4784,7638,9818,-27793,37611,37769,20824,16945
2008-04-15 00:00:00,27505,14009,13496,105936,3117,-4797,7914,10718,-27654,38372,37319,19747,17572
2008-04-22 00:00:00,28070,14340,13730,108473,2582,-5404,7986,11090,-27822,38912,37513,19889,17624
2008-04-29 00:00:00,26289,11992,14297,104817,2800,-5470,8270,9961,-24969,34930,37689,20466,17223
2008-05-06 00:00:00,24783,11245,13538,100086,3023,-4079,7102,9658,-26068,35726,37359,20659,16700
2008-05-13 00:00:00,22140,9770,12370,98450,2009,-5557,7566,9683,-24890,34573,37140,21943,15197
2008-05-20 00:00:00,22063,10342,11721,101637,2547,-5287,7834,9081,-27330,36411,37614,23053,14561
2008-05-27 00:00:00,20474,9929,10545,98919,1689,-6296,7985,9510,-25543,35053,37644,23831,13813
2008-06-03 00:00:00,18475,5368,13107,98485,2262,-6294,8556,9077,-21785,30862,37946,24538,13408
2008-06-10 00:00:00,18069,6724,11345,96763,2508,-6584,9092,9966,-21724,31690,38199,24412,13787
2008-06-17 00:00:00,20450,9639,10811,102993,2660,-6500,9160,12255,-22874,35129,37400,22485,14915
2008-06-24 00:00:00,22982,14475,8507,109984,2216,-7919,10135,12973,-27056,40029,37836,21463,16373
2008-07-01 00:00:00,23753,14941,8812,111803,2291,-7572,9863,10957,-28890,39847,38504,21231,17273
