date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,217971,186588,31383,1651025,76534,39127,37407,287963,-493155,781118,373170,371996,1174
2006-06-20 00:00:00,188222,136497,51725,1660431,72671,34960,37711,313909,-429005,742914,370100,363856,6244
2006-06-27 00:00:00,192676,107306,85370,1599046,73313,39800,33513,310586,-403728,714314,369097,354142,14955
2006-07-03 00:00:00,215391,117589,97802,1630673,76623,41468,35155,290596,-437628,728224,373327,363311,10016
2006-07-11 00:00:00,227375,160576,66799,1671220,71808,28170,43638,288127,-477500,765627,381437,379301,2136
2006-07-18 00:00:00,224003,190345,33658,1666137,67808,21382,46426,284985,-494148,779133,392972,392972,0
2006-07-25 00:00:00,220761,172038,48723,1703133,79309,40710,38599,293000,-481021,774021,385520,384836,684
2006-08-01 00:00:00,231366,171041,60325,1731018,70912,31879,39033,283494,-486056,769550,395206,393267,1939
2006-08-08 00:00:00,223341,159016,64325,1699740,72871,36102,36769,280528,-471776,752304,398384,395818,2566
2006-08-15 00:00:00,193068,90110,102958,1704444,80069,47971,32098,334372,-388641,723013,384362,380787,3575
2006-08-22 00:00:00,197270,80634,116636,1701840,64721,30198,34523,339327,-367904,707231,387955,382830,5125
2006-08-29 00:00:00,210127,85417,124710,1625725,63922,29879,34043,298897,-383108,682005,394176,387906,6270
2006-09-05 00:00:00,215646,96573,119073,1635746,67476,32661,34815,279970,-399597,679567,397604,390768,6836
2006-09-12 00:00:00,197439,74097,123342,1657493,61093,26367,34726,303081,-367746,670827,397022,389823,7199
2006-09-19 00:00:00,210962,98215,112747,1639081,57856,20218,37638,289802,-388601,678403,391763,384502,7261
2006-09-26 00:00:00,235713,167329,68384,1651672,56211,11228,44983,277640,-449887,727527,397394,392178,5216
2006-10-03 00:00:00,244102,201129,42973,1658557,53423,2145,51278,280254,-476857,757111,396910,396423,487
2006-10-10 00:00:00,245040,213798,31242,1704664,56755,17194,39561,276831,-510250,787081,399201,399075,126
