date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,26989,-13511,40500,234516,7122,3701,3421,47936,-70550,118486,73541,71566,1975
2006-06-20 00:00:00,26403,-11682,38085,210042,6366,2886,3480,41687,-70160,111847,72686,71177,1509
2006-06-27 00:00:00,24538,-22257,46795,205184,6431,2202,4229,37320,-57601,94921,75177,73288,1889
2006-07-03 00:00:00,24636,-25170,49806,209953,6785,2173,4612,39359,-55373,94732,75990,73947,2043
2006-07-11 00:00:00,24477,-27727,52204,214301,7277,2344,4933,38980,-53869,92849,77053,74801,2252
2006-07-18 00:00:00,24817,-24389,49206,216260,7154,1764,5390,39211,-57855,97066,76382,74404,1978
2006-07-25 00:00:00,24094,-18886,42980,220348,6262,1241,5021,41729,-63214,104943,76532,75039,1493
2006-08-01 00:00:00,25719,-13048,38767,226523,6417,1372,5045,42675,-70828,113503,76390,75139,1251
2006-08-08 00:00:00,26219,-4342,30561,228078,5844,1081,4763,41278,-81519,122797,77060,75668,1392
2006-08-15 00:00:00,25678,-5231,30909,228129,6825,2151,4674,42427,-78002,120429,76587,75128,1459
2006-08-22 00:00:00,26448,-5334,31782,227860,6494,1558,4936,43428,-77002,120430,75917,74453,1464
2006-08-29 00:00:00,26219,-6831,33050,229349,6317,1497,4820,45503,-75371,120874,75962,74416,1546
2006-09-05 00:00:00,25406,-13420,38826,231154,6174,1059,5115,46954,-67468,114422,76129,74536,1593
2006-09-12 00:00:00,25084,-19105,44189,233176,6603,1055,5548,49845,-58785,108630,75345,73373,1972
2006-09-19 00:00:00,23639,-23425,47064,238765,6898,1588,5310,54216,-54341,108557,74537,72879,1658
2006-09-26 00:00:00,24687,-21085,45772,238708,7109,2200,4909,53266,-56619,109885,74460,72277,2183
2006-10-03 00:00:00,23310,-27052,50362,245261,7920,2625,5295,54822,-51543,106365,75187,72839,2348
2006-10-10 00:00:00,22738,-28258,50996,249166,8448,911,7537,56331,-47597,103928,74402,71563,2839
2006-10-17 00:00:00,22490,-27965,50455,254411,8778,3170,5608,57334,-50875,108209,73935,70989,2946
2006-10-24 00:00:00,21288,-26610,47898,253572,10161,3940,6221,53732,-55007,108739,73975,71314,2661
2006-10-31 00:00:00,23895,-22699,46594,257078,9661,4716,4945,51594,-60690,112284,74625,71622,3003
2006-11-07 00:00:00,25204,-20040,45244,258611,9708,4751,4957,49586,-63913,113499,74365,70760,3605
2006-11-14 00:00:00,24352,-25184,49536,219665,9951,5033,4918,38567,-57286,95853,74007,70746,3261
2006-11-21 00:00:00,24679,-26612,51291,201950,9904,4261,5643,29714,-54153,83867,74134,70310,3824
2006-11-28 00:00:00,26716,-20370,47086,208383,10521,5051,5470,30506,-62167,92673,74205,69954,4251
2006-12-05 00:00:00,30226,-14891,45117,215913,11863,7547,4316,27047,-73451,100498,75120,69914,5206
2006-12-12 00:00:00,30732,-10360,41092,223543,11219,7123,4096,27719,-78817,106536,76436,69808,6628
2006-12-19 00:00:00,34961,2698,32263,234259,10957,7429,3528,29723,-93417,123140,76609,69946,6663
2006-12-26 00:00:00,35539,5259,30280,242661,12321,9223,3098,30782,-101446,132228,76892,70767,6125
