am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2942,565,2006-06-13 00:00:00,19531,26137,5706,6690,8648,1393,7255,67357,587,-4429,5016,19531,-6606,26137,5706,-984,6690
2615,843,2006-06-20 00:00:00,18194,39290,7869,3939,10484,5702,4782,56065,0,-5177,5177,18194,-21096,39290,7869,3930,3939
2412,1238,2006-06-27 00:00:00,17771,39115,7705,3244,10117,5635,4482,55519,234,-4950,5184,17771,-21344,39115,7705,4461,3244
3989,1238,2006-07-03 00:00:00,18073,39139,6670,2996,10659,6425,4234,56213,246,-5219,5465,18073,-21066,39139,6670,3674,2996
3623,1213,2006-07-11 00:00:00,18633,39833,6911,2767,10534,6554,3980,56915,0,-5323,5323,18633,-21200,39833,6911,4144,2767
3476,1859,2006-07-18 00:00:00,21006,42137,5858,3653,9334,3822,5512,58536,210,-4810,5020,21006,-21131,42137,5858,2205,3653
3594,1208,2006-07-25 00:00:00,21030,42140,6232,2812,9826,5806,4020,59236,0,-4824,4824,21030,-21110,42140,6232,3420,2812
3809,944,2006-08-01 00:00:00,21049,42254,6851,3126,10660,6590,4070,59589,79,-5051,5130,21049,-21205,42254,6851,3725,3126
3520,962,2006-08-08 00:00:00,21066,42071,7044,2936,10564,6666,3898,60103,0,-5058,5058,21066,-21005,42071,7044,4108,2936
3562,1196,2006-08-15 00:00:00,21063,42055,7835,3251,11397,6950,4447,59803,0,-5097,5097,21063,-20992,42055,7835,4584,3251
3220,849,2006-08-22 00:00:00,21371,42712,8188,3358,11408,7201,4207,61177,0,-5035,5035,21371,-21341,42712,8188,4830,3358
3220,1109,2006-08-29 00:00:00,21075,42644,8733,3502,11953,7342,4611,61818,0,-5114,5114,21075,-21569,42644,8733,5231,3502
2625,1249,2006-09-05 00:00:00,20892,42639,9890,3885,12515,7381,5134,63049,94,-4832,4926,20892,-21747,42639,9890,6005,3885
2594,945,2006-09-12 00:00:00,20812,42251,12598,4218,15192,10029,5163,79221,155,-5305,5460,20812,-21439,42251,12598,8380,4218
2554,1893,2006-09-19 00:00:00,18806,35829,9222,1421,11776,8462,3314,56295,321,-8447,8768,18806,-17023,35829,9222,7801,1421
2504,1636,2006-09-26 00:00:00,18428,35937,10574,1668,13078,9774,3304,57610,448,-8562,9010,18428,-17509,35937,10574,8906,1668
2493,1888,2006-10-03 00:00:00,19316,36708,12510,3345,15003,9770,5233,61756,0,-9068,9068,19316,-17392,36708,12510,9165,3345
2438,2271,2006-10-10 00:00:00,19869,37632,14611,4489,17049,10289,6760,63648,0,-7964,7964,19869,-17763,37632,14611,10122,4489
2415,2710,2006-10-17 00:00:00,19625,37582,15140,5515,17555,9330,8225,64472,0,-7985,7985,19625,-17957,37582,15140,9625,5515
2351,2950,2006-10-24 00:00:00,19549,37916,15720,5915,18071,9206,8865,65344,0,-8024,8024,19549,-18367,37916,15720,9805,5915
2361,3697,2006-10-31 00:00:00,19829,37741,16083,5057,18444,9690,8754,64747,514,-7724,8238,19829,-17912,37741,16083,11026,5057
1996,3689,2006-11-07 00:00:00,19235,37795,15876,4631,17872,9552,8320,65333,0,-8046,8046,19235,-18560,37795,15876,11245,4631
2032,3707,2006-11-14 00:00:00,18879,37785,16270,5049,18302,9546,8756,64507,0,-7936,7936,18879,-18906,37785,16270,11221,5049
1885,3613,2006-11-21 00:00:00,18335,37022,17101,5609,18986,9764,9222,63645,202,-7141,7343,18335,-18687,37022,17101,11492,5609
1989,3407,2006-11-28 00:00:00,18334,37153,15657,6293,17646,7946,9700,63829,202,-6841,7043,18334,-18819,37153,15657,9364,6293
