am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
22352,17391,2006-06-13 00:00:00,34944,110033,47535,7570,69887,44926,24961,226641,6523,3962,2561,34944,-75089,110033,47535,39965,7570
21190,14822,2006-06-20 00:00:00,15888,74780,35719,12877,56909,29210,27699,156363,7396,5865,1531,15888,-58892,74780,35719,22842,12877
20435,14770,2006-06-27 00:00:00,16392,86793,49147,11270,69582,43542,26040,175206,6296,3288,3008,16392,-70401,86793,49147,37877,11270
18375,14517,2006-07-03 00:00:00,15241,96729,62455,11419,80830,54894,25936,193017,6018,3836,2182,15241,-81488,96729,62455,51036,11419
18281,13091,2006-07-11 00:00:00,13037,108341,67082,10531,85363,61741,23622,192637,6211,3180,3031,13037,-95304,108341,67082,56551,10531
22961,11973,2006-07-18 00:00:00,10081,86189,48561,10085,71522,49464,22058,179294,7289,4852,2437,10081,-76108,86189,48561,38476,10085
23021,11973,2006-07-25 00:00:00,12672,79376,44826,13073,67847,42801,25046,172685,7014,3600,3414,12672,-66704,79376,44826,31753,13073
18412,11964,2006-08-01 00:00:00,15301,99895,58063,8152,76475,56359,20116,187609,7306,4969,2337,15301,-84594,99895,58063,49911,8152
17314,12104,2006-08-08 00:00:00,17554,124168,72929,6681,90243,71458,18785,204673,7767,6246,1521,17554,-106614,124168,72929,66248,6681
18403,11443,2006-08-15 00:00:00,16201,123058,71486,6329,89889,72117,17772,204849,8403,7305,1098,16201,-106857,123058,71486,65157,6329
16004,12589,2006-08-22 00:00:00,14275,116056,67107,6602,83111,63920,19191,203046,8905,7799,1106,14275,-101781,116056,67107,60505,6602
16596,12312,2006-08-29 00:00:00,17787,107036,61824,7439,78420,58669,19751,197787,7335,6271,1064,17787,-89249,107036,61824,54385,7439
17115,10746,2006-09-05 00:00:00,17573,108029,58712,8431,75827,56650,19177,198470,7606,5073,2533,17573,-90456,108029,58712,50281,8431
18623,10035,2006-09-12 00:00:00,13368,94124,61071,11146,79694,58513,21181,185640,5203,4036,1167,13368,-80756,94124,61071,49925,11146
19127,9552,2006-09-19 00:00:00,9678,69959,46668,13156,65795,43087,22708,150897,5641,3447,2194,9678,-60281,69959,46668,33512,13156
19953,7662,2006-09-26 00:00:00,11333,82052,43132,11783,63085,43640,19445,159111,7274,6225,1049,11333,-70719,82052,43132,31349,11783
19907,6666,2006-10-03 00:00:00,10250,82680,49740,12186,69647,50795,18852,163759,7040,5453,1587,10250,-72430,82680,49740,37554,12186
21592,5602,2006-10-10 00:00:00,17800,68659,41585,28543,63177,29032,34145,172274,9802,7019,2783,17800,-50859,68659,41585,13042,28543
23125,4641,2006-10-17 00:00:00,25379,65482,41202,33775,64327,25911,38416,178241,7496,5088,2408,25379,-40103,65482,41202,7427,33775
24035,5216,2006-10-24 00:00:00,30979,64891,40710,36230,64745,23299,41446,182181,7856,5329,2527,30979,-33912,64891,40710,4480,36230
23419,4294,2006-10-31 00:00:00,13118,93609,55449,13694,78868,60880,17988,187326,6214,3117,3097,13118,-80491,93609,55449,41755,13694
21998,4290,2006-11-07 00:00:00,15927,113184,68124,12817,90122,73015,17107,199717,5662,484,5178,15927,-97257,113184,68124,55307,12817
21620,4012,2006-11-14 00:00:00,19851,108468,55709,9242,77329,64075,13254,195647,5369,1895,3474,19851,-88617,108468,55709,46467,9242
21390,3721,2006-11-21 00:00:00,26018,118223,57088,8019,78478,66738,11740,204445,5518,1687,3831,26018,-92205,118223,57088,49069,8019
23573,2212,2006-11-28 00:00:00,29519,128309,67644,12726,91217,76279,14938,257426,9146,7230,1916,29519,-98790,128309,67644,54918,12726
21673,4980,2006-12-05 00:00:00,33770,140964,76002,13715,97675,78980,18695,283216,6399,2531,3868,33770,-107194,140964,76002,62287,13715
