am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
8405,2994,2006-06-13 00:00:00,17866,65836,45130,14314,53535,36227,17308,129086,498,-306,804,17866,-47970,65836,45130,30816,14314
8834,2872,2006-06-20 00:00:00,4617,54137,41245,8770,50079,38437,11642,81751,0,0,0,4617,-49520,54137,41245,32475,8770
8544,2794,2006-06-27 00:00:00,11462,43383,29771,13526,38315,21995,16320,81757,1187,1187,0,11462,-31921,43383,29771,16245,13526
8113,2931,2006-07-03 00:00:00,9279,45297,32811,12138,40924,25855,15069,81952,1140,1140,0,9279,-36018,45297,32811,20673,12138
8279,2089,2006-07-11 00:00:00,11034,49713,35668,15732,43947,26126,17821,87887,136,136,0,11034,-38679,49713,35668,19936,15732
8455,2265,2006-07-18 00:00:00,11950,51488,37261,12966,45716,30485,15231,90448,593,-357,950,11950,-39538,51488,37261,24295,12966
8759,2319,2006-07-25 00:00:00,16006,63308,47398,16661,56157,37177,18980,104319,0,-592,592,16006,-47302,63308,47398,30737,16661
8067,2306,2006-08-01 00:00:00,14156,73348,56674,17164,64741,45271,19470,116684,0,-825,825,14156,-59192,73348,56674,39510,17164
7872,2032,2006-08-08 00:00:00,16334,91643,66199,12281,74071,59758,14313,131051,975,975,0,16334,-75309,91643,66199,53918,12281
7740,1990,2006-08-15 00:00:00,14815,99754,74157,13372,81897,66535,15362,138760,471,-41,512,14815,-84939,99754,74157,60785,13372
8036,1935,2006-08-22 00:00:00,17779,92142,66613,13465,74649,59249,15400,130831,457,457,0,17779,-74363,92142,66613,53148,13465
8312,1974,2006-08-29 00:00:00,16900,95014,68229,13081,76541,61486,15055,133812,1063,1063,0,16900,-78114,95014,68229,55148,13081
8588,1878,2006-09-05 00:00:00,19266,94329,67749,12800,76337,61659,14678,135129,1569,1214,355,19266,-75063,94329,67749,54949,12800
8025,2841,2006-09-12 00:00:00,20765,68941,50920,15829,58945,40275,18670,130099,1133,871,262,20765,-48176,68941,50920,35091,15829
6395,2847,2006-09-19 00:00:00,10645,69866,59860,15595,66255,47813,18442,106904,948,681,267,10645,-59221,69866,59860,44265,15595
6071,3044,2006-09-26 00:00:00,9311,82915,74678,18306,80749,59399,21350,125243,980,-452,1432,9311,-73604,82915,74678,56372,18306
5538,2987,2006-10-03 00:00:00,9280,65393,62630,17646,68168,47535,20633,108041,939,-167,1106,9280,-56113,65393,62630,44984,17646
5225,2992,2006-10-10 00:00:00,19601,56564,46079,21665,51304,26647,24657,104601,985,985,0,19601,-36963,56564,46079,24414,21665
6843,2989,2006-10-17 00:00:00,18914,60926,54543,23332,61386,35065,26321,111292,967,966,1,18914,-42012,60926,54543,31211,23332
7935,2076,2006-10-24 00:00:00,12793,63105,53394,17437,61329,41816,19513,104601,1550,1547,3,12793,-50312,63105,53394,35957,17437
7775,2105,2006-10-31 00:00:00,10073,84647,76763,16433,84538,66000,18538,130470,982,576,406,10073,-74574,84647,76763,60330,16433
7124,2085,2006-11-07 00:00:00,10243,110068,100272,17933,107396,87378,20018,155328,1419,144,1275,10243,-99825,110068,100272,82339,17933
6918,2539,2006-11-14 00:00:00,9858,100661,82610,14385,89528,72604,16924,140304,2570,2274,296,9858,-90803,100661,82610,68225,14385
6751,2072,2006-11-21 00:00:00,9372,100229,87498,17653,94249,74524,19725,144658,1440,17,1423,9372,-90857,100229,87498,69845,17653
5520,1530,2006-11-28 00:00:00,9372,114430,99849,12511,105369,91328,14041,160710,1005,-53,1058,9372,-105058,114430,99849,87338,12511
5281,1526,2006-12-05 00:00:00,9331,108021,94009,13643,99290,84121,15169,159301,1028,-1675,2703,9331,-98690,108021,94009,80366,13643
3499,2491,2006-12-12 00:00:00,10336,116820,103077,15058,106576,89027,17549,186252,1050,-1214,2264,10336,-106484,116820,103077,88019,15058
4275,5808,2006-12-19 00:00:00,10444,113803,99176,10562,103451,87081,16370,154538,1660,-778,2438,10444,-103359,113803,99176,88614,10562
4804,6158,2006-12-26 00:00:00,10867,105660,87220,10488,92024,75378,16646,145282,2080,-392,2472,10867,-94793,105660,87220,76732,10488
4038,6960,2007-01-03 00:00:00,15221,96362,78980,11331,83018,64727,18291,142587,1034,-1433,2467,15221,-81141,96362,78980,67649,11331
3732,8144,2007-01-09 00:00:00,18517,89866,69683,10268,73415,55003,18412,136490,3559,1494,2065,18517,-71349,89866,69683,59415,10268
3222,9903,2007-01-16 00:00:00,12236,104284,93691,10741,96913,76269,20644,155935,2233,-570,2803,12236,-92048,104284,93691,82950,10741
3561,13206,2007-01-23 00:00:00,11270,115989,107465,10476,111026,87344,23682,170756,2318,81,2237,11270,-104719,115989,107465,96989,10476
3610,14208,2007-01-30 00:00:00,18436,94106,85946,11552,89556,63796,25760,153465,1023,-1777,2800,18436,-75670,94106,85946,74394,11552
2638,14799,2007-02-06 00:00:00,16313,107258,105316,13123,107954,80032,27922,169922,514,-3018,3532,16313,-90945,107258,105316,92193,13123
2770,14990,2007-02-13 00:00:00,49081,87099,57882,17342,60652,28320,32332,155967,1834,-1773,3607,49081,-38018,87099,57882,40540,17342
