date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,103211,72295,30916,382474,33230,22574,10656,42587,-86305,128892,19370,-47241,66611
2006-06-20 00:00:00,94632,63669,30963,390281,32947,21805,11142,47440,-79552,126992,22404,-42278,64682
2006-06-27 00:00:00,91042,58755,32287,384321,31307,19921,11386,48449,-73441,121890,22425,-40215,62640
2006-07-03 00:00:00,92545,62093,30452,392868,32874,24197,8677,48087,-74481,122568,22720,-46994,69714
2006-07-11 00:00:00,104213,76589,27624,427008,33165,21971,11194,54509,-76109,130618,21840,-57377,79217
2006-07-18 00:00:00,107413,83117,24296,443519,31760,22318,9442,49863,-81303,131166,21681,-61502,83183
2006-07-25 00:00:00,99087,76701,22386,432413,29740,23496,6244,52859,-80431,133290,22956,-62648,85604
2006-08-01 00:00:00,99330,74939,24391,394609,32195,27437,4758,45161,-90827,135988,21250,-51994,73244
2006-08-08 00:00:00,104600,80329,24271,402899,33123,26634,6489,46203,-96037,142240,20703,-51358,72061
2006-08-15 00:00:00,96966,72364,24602,402702,33047,27208,5839,46986,-92804,139790,20326,-45714,66040
2006-08-22 00:00:00,90079,64337,25742,393425,36185,29850,6335,48070,-90551,138621,22442,-40480,62922
2006-08-29 00:00:00,83122,51928,31194,390836,37506,32130,5376,51201,-85606,136807,27971,-31973,59944
2006-09-05 00:00:00,90955,63174,27781,420442,38744,32784,5960,54238,-90277,144515,23579,-43535,67114
2006-09-12 00:00:00,78251,47051,31200,403755,35724,29091,6633,53732,-79685,133417,33464,-26524,59988
2006-09-19 00:00:00,71695,42177,29518,430959,34606,27215,7391,61312,-74287,135599,36876,-22962,59838
2006-09-26 00:00:00,70524,37966,32558,406994,32245,28332,3913,63370,-67790,131160,33963,-25995,59958
2006-10-03 00:00:00,67587,34328,33259,413818,34112,29732,4380,66104,-65237,131341,35907,-24296,60203
2006-10-10 00:00:00,63659,25020,38639,430807,35107,30743,4364,72256,-61282,133538,38669,-17748,56417
