date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,14628,3448,11180,191044,5397,68,5329,56814,-49134,105948,39577,38977,600
2006-06-20 00:00:00,14523,2905,11618,191490,5567,1319,4248,57307,-49190,106497,39894,39735,159
2006-06-27 00:00:00,17881,9613,8268,192353,6236,2039,4197,52876,-56846,109722,39900,39781,119
2006-07-03 00:00:00,20523,11566,8957,187977,5406,721,4685,51129,-57461,108590,39593,39593,0
2006-07-11 00:00:00,17575,8986,8589,192976,5212,724,4488,53195,-55187,108382,39659,39179,480
2006-07-18 00:00:00,23723,15578,8145,211521,5445,1458,3987,60443,-61751,122194,38627,37167,1460
2006-07-25 00:00:00,14630,6043,8587,207150,4638,489,4149,63794,-49430,113224,39322,37806,1516
2006-08-01 00:00:00,15989,11542,4447,203204,5267,833,4434,58190,-57446,115636,39515,37374,2141
2006-08-08 00:00:00,18721,14460,4261,207106,5436,1125,4311,55706,-63055,118761,40784,38338,2446
2006-08-15 00:00:00,13540,6699,6841,210812,5937,508,5429,61685,-52066,113751,41647,40032,1615
2006-08-22 00:00:00,15648,8832,6816,212905,6158,1511,4647,64266,-53378,117644,43279,42459,820
2006-08-29 00:00:00,13265,2878,10387,213595,6924,2952,3972,66086,-52473,118559,45949,45124,825
2006-09-05 00:00:00,13390,2144,11246,214917,6934,3401,3533,64060,-51684,115744,46645,45343,1302
2006-09-12 00:00:00,16102,2262,13840,229095,6413,2666,3747,73933,-47288,121221,45557,44560,997
2006-09-19 00:00:00,14068,-4374,18442,243469,6886,3625,3261,79832,-44791,124623,49818,49346,472
2006-09-26 00:00:00,13330,-6574,19904,243158,8078,3600,4478,79397,-44423,123820,51698,50984,714
2006-10-03 00:00:00,13580,-12702,26282,250430,7151,3059,4092,81565,-41933,123498,55167,54053,1114
2006-10-10 00:00:00,12791,-11771,24562,250018,6855,3119,3736,83507,-42182,125689,55890,54117,1773
2006-10-17 00:00:00,13326,-10503,23829,248552,6936,3039,3897,84608,-45224,129832,54776,52900,1876
2006-10-24 00:00:00,11500,-16575,28075,255140,8981,5300,3681,88253,-41286,129539,54670,53212,1458
2006-10-31 00:00:00,12151,-16794,28945,259292,8955,5468,3487,88821,-43517,132338,56374,55354,1020
2006-11-07 00:00:00,14238,-12382,26620,259714,8385,5039,3346,88779,-47763,136542,55023,54580,443
2006-11-14 00:00:00,14012,-13603,27615,258624,8502,5436,3066,82344,-47242,129586,54750,53958,792
2006-11-21 00:00:00,14941,-10939,25880,265792,7721,4326,3395,88714,-47513,136227,54771,53840,931
2006-11-28 00:00:00,14174,-10949,25123,253702,8098,4256,3842,89158,-47142,136300,54109,53319,790
2006-12-05 00:00:00,17978,-3405,21383,243486,9080,4071,5009,79029,-55746,134775,52148,51589,559
2006-12-12 00:00:00,18339,-9299,27638,241968,9588,5768,3820,76401,-50178,126579,52746,51771,975
2006-12-19 00:00:00,17410,-8908,26318,242437,9055,5815,3240,79758,-49993,129751,53104,51969,1135
2006-12-26 00:00:00,16644,-12875,29519,239979,10082,6468,3614,80481,-50266,130747,56791,55615,1176
2007-01-03 00:00:00,15271,-19653,34924,239780,10040,6505,3535,78251,-46145,124396,61172,61172,0
2007-01-09 00:00:00,13552,-20038,33590,244376,9484,5729,3755,77835,-45449,123284,62842,62732,110
2007-01-16 00:00:00,12274,-18999,31273,251366,8210,3742,4468,79456,-45666,125122,63675,63675,0
2007-01-23 00:00:00,13115,-21043,34158,247158,8152,4187,3965,70829,-45123,115952,65193,65193,0
2007-01-30 00:00:00,14274,-16488,30762,236005,8748,4542,4206,66735,-47496,114231,63815,63585,230
2007-02-06 00:00:00,13540,-12839,26379,242270,8077,3341,4736,71405,-52311,123716,65158,64708,450
2007-02-13 00:00:00,12451,-10226,22677,253910,7774,2955,4819,83374,-52874,136248,63994,62413,1581
2007-02-20 00:00:00,11154,-11425,22579,248399,8169,4011,4158,83848,-48520,132368,61677,59012,2665
2007-02-27 00:00:00,15572,-2205,17777,230913,6786,1664,5122,72855,-51135,123990,57349,52515,4834
2007-03-06 00:00:00,15281,-3469,18750,229664,7259,2763,4496,68758,-51484,120242,57082,51538,5544
2007-03-13 00:00:00,12402,-9091,21493,232731,7552,3993,3559,77986,-45073,123059,56973,50922,6051
2007-03-20 00:00:00,15294,-9068,24362,231581,7944,4021,3923,73145,-42722,115867,54683,48104,6579
2007-03-27 00:00:00,17844,-905,18749,221148,7277,2274,5003,64033,-52552,116585,54761,49152,5609
2007-04-03 00:00:00,25568,10250,15318,222827,7835,1735,6100,55616,-61211,116827,52081,45317,6764
2007-04-10 00:00:00,26571,12256,14315,222473,8369,1083,7286,52084,-63141,115225,52158,45406,6752
2007-04-17 00:00:00,18718,3695,15023,236265,8942,1049,7893,69970,-53927,123897,51635,45966,5669
2007-04-24 00:00:00,18138,4383,13755,233135,7837,85,7752,65135,-52708,117843,50569,45090,5479
2007-05-01 00:00:00,24348,11252,13096,226418,6933,-3044,9977,53617,-59402,113019,50902,46219,4683
2007-05-08 00:00:00,19489,5718,13771,223324,6823,-3391,10214,58025,-49178,107203,50527,45432,5095
2007-05-15 00:00:00,26772,12681,14091,228496,6651,-4423,11074,53635,-58889,112524,50898,46538,4360
2007-05-22 00:00:00,30706,15028,15678,242978,7097,-4022,11119,57220,-64389,121609,50398,46372,4026
2007-05-29 00:00:00,25861,9931,15930,227681,7252,-3494,10746,49591,-60888,110479,50489,48029,2460
2007-06-05 00:00:00,32299,19040,13259,228012,6649,-3620,10269,49613,-70020,119633,49819,47783,2036
2007-06-12 00:00:00,21535,9112,12423,228373,6811,-2870,9681,59742,-60680,120422,49595,48175,1420
2007-06-19 00:00:00,32026,21096,10930,254671,7137,-3858,10995,59700,-76738,136438,51166,49067,2099
2007-06-26 00:00:00,28935,17682,11253,250339,7187,-2047,9234,56990,-78923,135913,53048,50931,2117
2007-07-03 00:00:00,34987,22962,12025,255332,7667,-1696,9363,54598,-86243,140841,55184,53032,2152
2007-07-10 00:00:00,40874,30847,10027,261383,7891,-1685,9576,57765,-95308,153073,55121,53143,1978
2007-07-17 00:00:00,33805,22020,11785,259848,7878,-933,8811,62499,-85286,147785,53572,51434,2138
2007-07-24 00:00:00,28600,13727,14873,261052,7350,-587,7937,64574,-79530,144104,53438,51513,1925
2007-07-31 00:00:00,32045,18245,13800,253029,7536,-569,8105,58985,-82964,141949,54485,52107,2378
2007-08-07 00:00:00,17979,4,17975,240551,8490,2004,6486,63266,-61892,125158,55674,52420,3254
2007-08-14 00:00:00,15679,1660,14019,240000,8514,3440,5074,64560,-67440,132000,56870,53386,3484
2007-08-21 00:00:00,16488,3737,12751,240695,8287,3017,5270,63779,-65978,129757,56194,52447,3747
2007-08-28 00:00:00,23324,15578,7746,236476,6876,1505,5371,58182,-75672,133854,55114,51614,3500
2007-09-04 00:00:00,29958,23038,6920,243729,8872,1768,7104,57095,-86831,143926,54357,52013,2344
2007-09-11 00:00:00,37616,30961,6655,256455,8380,49,8331,57695,-95065,152760,52553,49815,2738
2007-09-18 00:00:00,43902,37524,6378,269806,8148,-312,8460,57160,-99310,156470,51254,47997,3257
2007-09-25 00:00:00,41613,35228,6385,264759,9009,797,8212,57200,-96068,153268,50675,47754,2921
2007-10-02 00:00:00,32655,26405,6250,251583,8167,957,7210,52641,-90967,143608,53826,51055,2771
2007-10-09 00:00:00,32055,24978,7077,250489,8361,760,7601,51580,-88802,140382,54981,52281,2700
2007-10-16 00:00:00,41533,32670,8863,276210,8024,2394,5630,56332,-99392,155724,54457,51630,2827
2007-10-23 00:00:00,42067,32647,9420,274609,8566,2835,5731,55045,-98102,153147,52986,50041,2945
2007-10-30 00:00:00,40069,28422,11647,272288,8260,2607,5653,57499,-94031,151530,54330,51530,2800
2007-11-06 00:00:00,31632,18189,13443,266142,9280,3326,5954,57957,-83577,141534,51880,47341,4539
2007-11-13 00:00:00,31011,16986,14025,265352,8244,3264,4980,61818,-80987,142805,52588,48892,3696
