date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,20766,6263,14503,166835,9382,6599,2783,12462,-54687,67149,64614,64299,315
2006-06-20 00:00:00,22966,12847,10119,167064,9435,6620,2815,14864,-63539,78403,64370,64108,262
2006-06-27 00:00:00,26131,17245,8886,171957,9781,6781,3000,15691,-68213,83904,64618,64357,261
2006-07-03 00:00:00,26065,17951,8114,172219,10016,6791,3225,16191,-69377,85568,64790,64547,243
2006-07-11 00:00:00,24534,15308,9226,159264,10022,5993,4029,15660,-64729,80389,65301,65059,242
2006-07-18 00:00:00,22624,13265,9359,163158,9123,5171,3952,12583,-64001,76584,65067,64825,242
2006-07-25 00:00:00,19854,7666,12188,164359,9939,5125,4814,13041,-58813,71854,65857,65615,242
2006-08-01 00:00:00,22137,8760,13377,169562,10079,5454,4625,13575,-59356,72931,66255,66015,240
2006-08-08 00:00:00,24385,12170,12215,169321,9690,4860,4830,11784,-62104,73888,65724,65483,241
2006-08-15 00:00:00,25693,15300,10393,163337,7822,1239,6583,9507,-63271,72778,65007,64766,241
2006-08-22 00:00:00,28545,19260,9285,177164,7982,869,7113,11847,-68597,80444,66171,65971,200
2006-08-29 00:00:00,31645,22996,8649,183014,7973,221,7752,10339,-69856,80195,66501,66301,200
2006-09-05 00:00:00,33781,23879,9902,193225,8386,891,7495,10937,-74162,85099,68040,67840,200
2006-09-12 00:00:00,34070,23305,10765,187369,9090,2209,6881,11560,-74244,85804,68112,67914,198
2006-09-19 00:00:00,32242,24699,7543,184901,8387,927,7460,11364,-71551,82915,67673,67475,198
2006-09-26 00:00:00,26453,18268,8185,178364,8363,1834,6529,11215,-67084,78299,68019,67780,239
2006-10-03 00:00:00,23270,15276,7994,183748,9712,4678,5034,13739,-67653,81392,69350,68988,362
2006-10-10 00:00:00,23885,13416,10469,184441,9449,2669,6780,15232,-62900,78132,69246,68767,479
2006-10-17 00:00:00,24476,12077,12399,179007,7481,2002,5479,11408,-64621,76029,70769,70258,511
2006-10-24 00:00:00,17369,5095,12274,178993,15182,9965,5217,11859,-64462,76321,70830,70343,487
2006-10-31 00:00:00,27843,18115,9728,197929,10459,6148,4311,12223,-76924,89147,71691,71259,432
2006-11-07 00:00:00,32247,23456,8791,202280,11089,6541,4548,13270,-83334,96604,72020,71645,375
2006-11-14 00:00:00,30310,23407,6903,198030,6744,797,5947,17205,-80262,97467,71556,71293,263
2006-11-21 00:00:00,27577,20697,6880,199261,5861,-985,6846,18641,-78567,97208,73294,73093,201
2006-11-28 00:00:00,27174,19943,7231,195158,5260,-1713,6973,19153,-76433,95586,73717,73516,201
2006-12-05 00:00:00,25342,18321,7021,194939,5782,-901,6683,19305,-76929,96234,73660,73459,201
2006-12-12 00:00:00,23168,15332,7836,194022,8727,4786,3941,18723,-78787,97510,73282,73081,201
2006-12-19 00:00:00,20466,10119,10347,180391,10002,6974,3028,14560,-79542,94102,72290,72088,202
2006-12-26 00:00:00,19282,7900,11382,180670,10069,6512,3557,14598,-77540,92138,72036,71834,202
