date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,0,-108,108,37396,907,-859,1766,27566,10089,17477,0,0,0
2006-06-20 00:00:00,0,-110,110,38322,712,-1539,2251,29469,11087,18382,0,0,0
2006-06-27 00:00:00,0,-613,613,39079,672,-1762,2434,30416,11791,18625,0,0,0
2006-07-03 00:00:00,24,-609,633,35412,599,-1584,2183,27019,10038,16981,0,0,0
2006-07-11 00:00:00,75,-1083,1158,36111,595,-2103,2698,27748,10661,17087,0,0,0
2006-07-18 00:00:00,104,-1427,1531,37063,686,-2078,2764,28242,10805,17437,0,0,0
2006-07-25 00:00:00,152,-1804,1956,37949,673,-2571,3244,28644,10913,17731,0,0,0
2006-08-01 00:00:00,156,-1908,2064,38542,706,-3014,3720,29383,11381,18002,0,0,0
2006-08-08 00:00:00,168,-1918,2086,34755,801,-2198,2999,26501,10165,16336,0,0,0
2006-08-15 00:00:00,123,-1889,2012,34938,905,-1579,2484,26469,10015,16454,0,0,0
2006-08-22 00:00:00,148,-1802,1950,35829,809,-1650,2459,27102,9302,17800,0,0,0
2006-08-29 00:00:00,172,-1185,1357,36750,1069,-2368,3437,27616,9342,18274,0,0,0
2006-09-05 00:00:00,200,-762,962,31233,1506,-791,2297,22371,6441,15930,0,0,0
2006-09-12 00:00:00,0,-919,919,32213,1257,-409,1666,23481,6944,16537,0,0,0
2006-09-19 00:00:00,0,-953,953,33973,1310,-1070,2380,24525,7138,17387,0,0,0
2006-09-26 00:00:00,0,-973,973,35110,1516,-744,2260,25306,7110,18196,0,0,0
2006-10-03 00:00:00,0,-918,918,31527,1829,596,1233,22016,5846,16170,0,0,0
2006-10-10 00:00:00,0,-903,903,32134,1602,306,1296,22708,6315,16393,0,0,0
2006-10-17 00:00:00,0,-909,909,33301,2169,767,1402,22855,6219,16636,0,0,0
2006-10-24 00:00:00,0,-657,657,35976,2751,1404,1347,23684,5799,17885,0,0,0
2006-10-31 00:00:00,0,-706,706,37187,2806,789,2017,25063,6827,18236,0,0,0
