am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
17444,51983,2006-06-13 00:00:00,305928,95265,87991,233942,105435,-180490,285925,607238,19953,4646,15307,305928,210663,95265,87991,-145951,233942
16929,57607,2006-06-20 00:00:00,209017,53760,28191,164643,45120,-177130,222250,334523,15366,7139,8227,209017,155257,53760,28191,-136452,164643
14021,59702,2006-06-27 00:00:00,222791,60831,35634,176309,49655,-186356,236011,356310,13205,4368,8837,222791,161960,60831,35634,-140675,176309
22566,59460,2006-07-03 00:00:00,167194,80949,31483,131292,54049,-136703,190752,329418,9736,4199,5537,167194,86245,80949,31483,-99809,131292
16175,55117,2006-07-11 00:00:00,171384,72874,63256,152945,79431,-128631,208062,346387,16995,11652,5343,171384,98510,72874,63256,-89689,152945
13578,60731,2006-07-18 00:00:00,247538,97904,61766,183713,75344,-169100,244444,431910,15859,6478,9381,247538,149634,97904,61766,-121947,183713
13361,63631,2006-07-25 00:00:00,241387,96438,59970,173979,73331,-164279,237610,423300,15195,4965,10230,241387,144949,96438,59970,-114009,173979
14040,61166,2006-08-01 00:00:00,265467,99202,72502,186709,86542,-161333,247875,424398,11835,1685,10150,265467,166265,99202,72502,-114207,186709
17429,61750,2006-08-08 00:00:00,258721,102765,80356,181514,97785,-145479,243264,440480,15367,2264,13103,258721,155956,102765,80356,-101158,181514
17918,56418,2006-08-15 00:00:00,219123,117370,100927,180280,118845,-117853,236698,442038,12820,-2058,14878,219123,101753,117370,100927,-79353,180280
16885,53175,2006-08-22 00:00:00,195114,125825,94186,151548,111071,-93652,204723,416531,9740,-5321,15061,195114,69289,125825,94186,-57362,151548
18102,53246,2006-08-29 00:00:00,190651,130884,99847,159199,117949,-94496,212445,405196,16499,4577,11922,190651,59767,130884,99847,-59352,159199
16275,53379,2006-09-05 00:00:00,190815,130387,108420,161826,124695,-90510,215205,416054,10070,-1828,11898,190815,60428,130387,108420,-53406,161826
20315,51569,2006-09-12 00:00:00,193682,121205,120746,179002,141061,-89510,230571,561191,14166,-2349,16515,193682,72477,121205,120746,-58256,179002
22811,50671,2006-09-19 00:00:00,182466,110038,108756,113841,131567,-32945,164512,388670,12267,-4867,17134,182466,72428,110038,108756,-5085,113841
25881,50495,2006-09-26 00:00:00,200049,122896,124989,154247,150870,-53872,204742,437684,15930,-10259,26189,200049,77153,122896,124989,-29258,154247
