date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,82672,17682,64990,1266505,16412,-3318,19730,196619,-13945,210564,49803,-37608,87411
2006-06-20 00:00:00,76908,25853,51055,1314953,13605,-7078,20683,201615,-17531,219146,48392,-41283,89675
2006-06-27 00:00:00,84494,21943,62551,1276105,13699,-5107,18806,193286,-13593,206879,49710,-45485,95195
2006-07-03 00:00:00,82459,19029,63430,1273955,16270,-2853,19123,196401,-11391,207792,50636,-42607,93243
2006-07-11 00:00:00,87172,14516,72656,1323842,17314,-1267,18581,205644,-9748,215392,50326,-42775,93101
2006-07-18 00:00:00,90891,20993,69898,1370264,14994,-4893,19887,219812,-10947,230759,49520,-46719,96239
2006-07-25 00:00:00,85821,28875,56946,1385753,12313,-7447,19760,211918,-13905,225823,50532,-46684,97216
2006-08-01 00:00:00,77717,29906,47811,1401570,10163,-9555,19718,209169,-18725,227894,50278,-41822,92100
2006-08-08 00:00:00,80899,32720,48179,1431438,11560,-6542,18102,211762,-21052,232814,52217,-49271,101488
2006-08-15 00:00:00,88999,37076,51923,1439389,12799,-7110,19909,201948,-23139,225087,52753,-52254,105007
2006-08-22 00:00:00,97352,39046,58306,1456139,13570,-6934,20504,210270,-23291,233561,54569,-52211,106780
2006-08-29 00:00:00,105949,49021,56928,1377094,14687,-1547,16234,285374,-31258,316632,53814,-54328,108142
2006-09-05 00:00:00,98516,30545,67971,1387889,20220,4575,15645,208550,-18955,227505,56982,-54982,111964
2006-09-12 00:00:00,120288,45772,74516,1423441,15131,-1619,16750,216296,-17245,233541,55754,-62301,118055
2006-09-19 00:00:00,120067,43303,76764,1487089,17694,-2882,20576,229632,-10669,240301,56211,-64359,120570
2006-09-26 00:00:00,119914,37633,82281,1356047,23111,7519,15592,213117,-16515,229632,56036,-62714,118750
2006-10-03 00:00:00,116249,39596,76653,1357200,27254,10121,17133,209832,-15551,225383,56581,-67553,124134
2006-10-10 00:00:00,96713,37099,59614,1335952,26631,10501,16130,208840,-16201,225041,55527,-64784,120311
2006-10-17 00:00:00,93669,31239,62430,1370437,26093,10539,15554,213017,-13887,226904,54459,-62065,116524
2006-10-24 00:00:00,94100,40654,53446,1354294,23817,1230,22587,213896,-14431,228327,50791,-62547,113338
2006-10-31 00:00:00,105260,41387,63873,1313954,17359,890,16469,197833,-15184,213017,51323,-56489,107812
2006-11-07 00:00:00,99895,31445,68450,1319221,15193,-2003,17196,194626,-15367,209993,57091,-44786,101877
2006-11-14 00:00:00,96753,29247,67506,1350586,19676,267,19409,198400,-15105,213505,55540,-40445,95985
2006-11-21 00:00:00,89056,17153,71903,1365298,26055,6945,19110,193751,-18447,212198,63024,-29627,92651
2006-11-28 00:00:00,86742,17686,69056,1297098,28764,10063,18701,181994,-20765,202759,61903,-27172,89075
2006-12-05 00:00:00,89522,16124,73398,1342234,31511,13900,17611,189800,-13983,203783,62497,-37776,100273
2006-12-12 00:00:00,92083,4438,87645,1339702,26875,10976,15899,189151,-18853,208004,62066,-26722,88788
2006-12-19 00:00:00,92303,-974,93277,1366391,15223,-1948,17171,194060,-13256,207316,62561,-19083,81644
2006-12-26 00:00:00,85158,-2030,87188,1311746,13675,-7036,20711,186479,-8075,194554,64711,-22295,87006
2007-01-03 00:00:00,84417,-4988,89405,1315469,17196,-1429,18625,179021,-12624,191645,66081,-8775,74856
2007-01-09 00:00:00,80228,-15525,95753,1350716,16488,-738,17226,179915,-14248,194163,70976,4878,66098
2007-01-16 00:00:00,77810,-20311,98121,1406892,16141,-1831,17972,184167,-16282,200449,83911,12743,71168
2007-01-23 00:00:00,68965,-16405,85370,1445632,15371,-1886,17257,186072,-21535,207607,83647,12856,70791
2007-01-30 00:00:00,60367,-11343,71710,1419014,16924,-1442,18366,172449,-24678,197127,82914,11606,71308
2007-02-06 00:00:00,61706,2321,59385,1419051,14715,-4783,19498,167237,-27554,194791,82668,621,82047
2007-02-13 00:00:00,60429,-808,61237,1426150,12815,-14113,26928,170435,-28393,198828,88489,15381,73108
2007-02-20 00:00:00,59321,577,58744,1435541,13644,-11971,25615,171742,-27825,199567,90358,11053,79305
2007-02-27 00:00:00,63897,11588,52309,1279765,12762,-11869,24631,134247,-28360,162607,89004,-1766,90770
2007-03-06 00:00:00,64099,-7773,71872,1293980,11717,-15858,27575,134407,-28985,163392,94124,19725,74399
2007-03-13 00:00:00,62407,-12656,75063,1316305,11658,-11684,23342,139460,-19017,158477,95808,10944,84864
2007-03-20 00:00:00,66872,-25021,91893,1321858,14558,-15384,29942,145055,-15903,160958,97170,23098,74072
